date;followers;following;fans
2013-05-02;1459;457;1002
2013-05-04;1461;461;1000
2013-05-06;1470;462;1008
2013-05-08;1470;463;1007
2013-05-11;1473;462;1011
2013-05-13;1476;461;1015
2013-05-15;1480;462;1018
2013-05-17;1482;459;1023
2013-05-19;1482;457;1025
2013-05-21;1486;455;1031
2013-05-23;1484;454;1030
2013-05-25;1483;454;1029
2013-05-27;1484;453;1031
2013-05-28;1484;451;1033
2013-05-31;1485;450;1035
2013-06-02;1487;450;1037
2013-06-04;1479;447;1032
2013-06-06;1480;449;1031
2013-06-08;1483;450;1033
2013-06-10;1482;450;1032
2013-06-20;1490;453;1037
2013-06-21;1489;454;1035
2013-06-23;1491;453;1038
2013-06-26;1489;453;1036
2013-06-28;1490;453;1037
2013-06-30;1492;454;1038
2013-07-02;1490;453;1037
2013-07-04;1487;328;1159
2013-07-06;1485;327;1158
2013-07-08;1484;329;1155
2013-07-10;1485;330;1155
2013-07-12;1486;329;1157
2013-07-14;1485;329;1156
2013-07-16;1488;313;1175
2013-07-18;1488;313;1175
2013-07-20;1484;313;1171
2013-07-22;1484;313;1171
2013-07-24;1482;311;1171
2013-07-26;1481;314;1167
2013-07-28;1470;313;1157
2013-07-30;1471;313;1158
2013-08-01;1475;316;1159
2013-08-03;1473;316;1157
2013-08-05;1471;314;1157
2013-08-07;1471;312;1159
2013-08-09;1472;311;1161
2013-08-11;1471;310;1161
2013-08-13;1469;311;1158
2013-08-15;1469;309;1160
2013-08-17;1468;309;1159
2013-08-19;1466;308;1158
2013-08-21;1462;307;1155
2013-08-23;1457;306;1151
2013-08-25;1456;306;1150
2013-08-27;1456;306;1150
2013-08-29;1457;306;1151
2013-08-31;1455;307;1148
2013-09-02;1457;307;1150
2013-09-04;1456;307;1149
2013-09-06;1456;307;1149
2013-09-08;1462;308;1154
2013-09-10;1462;307;1155
2013-09-12;1462;307;1155
2013-09-14;1462;306;1156
2013-09-16;1465;305;1160
2013-09-18;1469;305;1164
2013-09-20;1468;304;1164
2013-09-22;1466;307;1159
2013-09-24;1466;306;1160
2013-09-26;1464;306;1158
2013-09-28;1463;306;1157
2013-09-29;1464;306;1158
2013-10-02;1465;307;1158
2013-10-04;1469;305;1164
2013-10-06;1473;305;1168
2013-10-08;1473;232;1241
2013-10-10;1468;233;1235
2013-10-12;1467;233;1234
2013-10-14;1467;232;1235
2013-10-16;1467;233;1234
2013-10-18;1467;233;1234
2013-10-20;1469;233;1236
2013-10-22;1470;233;1237
2013-10-24;1469;232;1237
2013-10-26;1469;232;1237
2013-10-28;1470;233;1237
2013-10-30;1469;233;1236
2013-11-01;1468;234;1234
2013-11-03;1469;233;1236
2013-11-05;1465;233;1232
2013-11-07;1469;234;1235
2013-11-09;1469;234;1235
2013-11-10;1468;234;1234
2013-11-12;1468;235;1233
2013-11-15;1467;235;1232
2013-11-17;1473;237;1236
2013-11-19;1475;237;1238
2013-11-21;1476;237;1239
2013-11-23;1476;224;1252
2013-11-25;1479;224;1255
2013-11-27;1479;224;1255
2013-11-29;1481;224;1257
2013-12-01;1498;226;1272
2013-12-03;1504;227;1277
2013-12-05;1507;227;1280
2013-12-07;1510;226;1284
2013-12-09;1510;226;1284
2013-12-11;1510;226;1284
2013-12-13;1510;226;1284
2013-12-15;1511;226;1285
2013-12-17;1512;226;1286
2013-12-19;1510;227;1283
2013-12-21;1510;227;1283
2013-12-23;1504;226;1278
2013-12-25;1507;226;1281
2013-12-27;1502;226;1276
2013-12-29;1500;226;1274
2013-12-31;1500;225;1275
2014-01-02;1495;225;1270
2014-01-04;1490;224;1266
2014-01-06;1492;224;1268
2014-01-08;1488;224;1264
2014-01-10;1490;226;1264
2014-01-12;1487;225;1262
2014-01-14;1489;227;1262
2014-01-16;1487;227;1260
2014-01-18;1489;228;1261
2014-01-20;1486;228;1258
2014-01-22;1489;228;1261
2014-01-24;1488;229;1259
2014-01-26;1488;229;1259
2014-01-28;1495;229;1266
2014-01-30;1496;229;1267
2014-02-01;1498;229;1269
2014-02-03;1506;229;1277
2014-02-05;1504;229;1275
2014-02-07;1504;230;1274
2014-02-09;1501;229;1272
2014-02-11;1497;229;1268
2014-02-13;1499;229;1270
2014-02-15;1499;228;1271
2014-02-17;1495;228;1267
2014-02-19;1497;228;1269
2014-02-21;1498;228;1270
2014-02-23;1497;229;1268
2014-02-25;1496;231;1265
2014-02-27;1497;231;1266
2014-03-01;1496;230;1266
2014-03-03;1495;230;1265
2014-03-05;1495;233;1262
2014-03-07;1496;233;1263
2014-03-09;1494;232;1262
2014-03-11;1494;232;1262
2014-03-13;1494;234;1260
2014-03-15;1494;235;1259
2014-03-17;1494;236;1258
2014-03-19;1496;239;1257
2014-03-21;1497;238;1259
2014-03-23;1500;239;1261
2014-03-25;1499;240;1259
2014-03-27;1498;239;1259
2014-03-29;1499;241;1258
2014-03-31;1497;242;1255
2014-04-02;1497;241;1256
2014-04-04;1501;241;1260
2014-04-06;1508;241;1267
2014-04-08;1504;242;1262
2014-04-10;1501;242;1259
2014-04-12;1503;242;1261
2014-04-14;1504;242;1262
2014-04-16;1502;242;1260
2014-04-18;1501;243;1258
2014-04-20;1503;243;1260
2014-04-22;1502;243;1259
2014-04-24;1498;243;1255
2014-04-26;1500;243;1257
2014-04-28;1498;243;1255
2014-04-30;1499;244;1255
2014-05-02;1494;242;1252
2014-05-04;1494;242;1252