date;followers;following;fans
2013-04-18;6435;5229;1206
2013-04-20;6433;5230;1203
2013-04-22;6431;5230;1201
2013-04-24;6425;5237;1188
2013-04-26;6428;5238;1190
2013-04-28;6429;5237;1192
2013-04-30;6427;5237;1190
2013-05-02;6425;5238;1187
2013-05-04;6425;5238;1187
2013-05-06;6429;5239;1190
2013-05-08;6439;5239;1200
2013-05-10;6439;5239;1200
2013-05-12;6338;5173;1165
2013-05-14;6378;5201;1177
2013-05-16;6406;5223;1183
2013-05-18;6434;5239;1195
2013-05-20;6439;5244;1195
2013-05-22;6441;5243;1198
2013-05-24;6443;5243;1200
2013-05-26;6444;5243;1201
2013-05-28;6439;5245;1194
2013-05-30;6442;5246;1196
2013-06-01;6441;5251;1190
2013-06-03;6442;5251;1191
2013-06-05;6438;5251;1187
2013-06-07;6438;5252;1186
2013-06-09;6442;5252;1190
2013-06-11;6439;5251;1188
2013-06-20;6443;5256;1187
2013-06-22;6447;5256;1191
2013-06-24;6445;5255;1190
2013-06-26;6445;5254;1191
2013-06-28;6445;5256;1189
2013-06-30;6442;5253;1189
2013-07-02;6445;5254;1191
2013-07-04;6447;5256;1191
2013-07-06;6445;5256;1189
2013-07-08;6446;5256;1190
2013-07-10;6447;5259;1188
2013-07-12;6448;5271;1177
2013-07-14;6447;5271;1176
2013-07-16;6449;5273;1176
2013-07-18;6450;5271;1179
2013-07-20;6447;5270;1177
2013-07-22;6448;5271;1177
2013-07-24;6452;5273;1179
2013-07-26;6452;5276;1176
2013-07-28;6435;5267;1168
2013-07-30;6439;5268;1171
2013-08-01;6440;5268;1172
2013-08-03;6444;5268;1176
2013-08-05;6445;5279;1166
2013-08-07;6442;5279;1163
2013-08-09;6442;5282;1160
2013-08-11;6440;5280;1160
2013-08-13;6437;5280;1157
2013-08-15;6438;5280;1158
2013-08-17;6435;5280;1155
2013-08-19;6438;5280;1158
2013-08-21;6437;5281;1156
2013-08-23;6440;5292;1148
2013-08-25;6438;5291;1147
2013-08-27;6440;5290;1150
2013-08-29;6442;5291;1151
2013-08-31;6445;5294;1151
2013-09-02;6442;5294;1148
2013-09-04;6442;5293;1149
2013-09-06;6442;5294;1148
2013-09-08;6453;5296;1157
2013-09-10;6451;5298;1153
2013-09-12;6452;5299;1153
2013-09-14;6455;5300;1155
2013-09-16;6454;5299;1155
2013-09-18;6454;5304;1150
2013-09-20;6454;5307;1147
2013-09-22;6452;5307;1145
2013-09-24;6452;5307;1145
2013-09-26;6454;5306;1148
2013-09-28;6472;5311;1161
2013-09-30;6480;5315;1165
2013-10-02;6471;5317;1154
2013-10-04;6472;5317;1155
2013-10-06;6474;5319;1155
2013-10-08;6476;5319;1157
2013-10-10;6482;5321;1161
2013-10-12;6483;5322;1161
2013-10-14;6489;5322;1167
2013-10-16;6487;5325;1162
2013-10-18;6493;5326;1167
2013-10-20;6498;5325;1173
2013-10-22;6494;5326;1168
2013-10-24;6497;5329;1168
2013-10-26;6495;5333;1162
2013-10-28;6492;5332;1160
2013-10-30;6495;5332;1163
2013-11-01;6498;5332;1166
2013-11-03;6499;5332;1167
2013-11-05;6495;5334;1161
2013-11-07;6492;5341;1151
2013-11-09;6488;5351;1137
2013-11-11;6490;5351;1139
2013-11-13;6493;5351;1142
2013-11-15;6492;5353;1139
2013-11-17;6490;5355;1135
2013-11-19;6490;5359;1131
2013-11-21;6492;5362;1130
2013-11-23;6491;5365;1126
2013-11-25;6490;5364;1126
2013-11-27;6491;5364;1127
2013-11-29;6489;5366;1123
2013-12-01;6492;5367;1125
2013-12-03;6493;5367;1126
2013-12-05;6492;5370;1122
2013-12-07;6491;5371;1120
2013-12-09;6487;5371;1116
2013-12-11;6490;5373;1117
2013-12-13;6481;5374;1107
2013-12-15;6482;5374;1108
2013-12-17;6485;5379;1106
2013-12-19;6481;5379;1102
2013-12-21;6482;5381;1101
2013-12-23;6482;5381;1101
2013-12-25;6484;5381;1103
2013-12-27;6483;5381;1102
2013-12-29;6484;5381;1103
2013-12-31;6482;5381;1101
2014-01-02;6480;5381;1099
2014-01-04;6479;5381;1098
2014-01-06;6479;5381;1098
2014-01-08;6483;5387;1096
2014-01-10;6482;5388;1094
2014-01-12;6485;5396;1089
2014-01-14;6493;5396;1097
2014-01-16;6495;5399;1096
2014-01-18;6502;5403;1099
2014-01-20;6499;5404;1095
2014-01-22;6501;5410;1091
2014-01-24;6502;5411;1091
2014-01-26;6503;5415;1088
2014-01-28;6505;5415;1090
2014-01-30;6498;5414;1084
2014-02-01;6498;5414;1084
2014-02-03;6501;5414;1087
2014-02-05;6506;5416;1090
2014-02-07;6507;5417;1090
2014-02-09;6505;5420;1085
2014-02-11;6502;5423;1079
2014-02-13;6497;5423;1074
2014-02-15;6497;5423;1074
2014-02-17;6495;5423;1072
2014-02-19;6498;5425;1073
2014-02-21;6495;5430;1065
2014-02-23;6499;5430;1069
2014-02-25;6496;5430;1066
2014-02-27;6497;5429;1068
2014-03-01;6496;5430;1066
2014-03-03;6497;5430;1067
2014-03-05;6498;5431;1067
2014-03-07;6496;5431;1065
2014-03-09;6494;5431;1063
2014-03-11;6495;5431;1064
2014-03-13;6497;5431;1066
2014-03-15;6500;5432;1068
2014-03-17;6501;5431;1070
2014-03-19;6500;5430;1070
2014-03-21;6497;5432;1065
2014-03-23;6506;5432;1074
2014-03-25;6503;5432;1071
2014-03-27;6493;5432;1061
2014-03-29;6492;5435;1057
2014-03-31;6490;5435;1055
2014-04-02;6487;5435;1052
2014-04-04;6485;5434;1051
2014-04-06;6480;5434;1046
2014-04-08;6482;5433;1049
2014-04-10;6484;5434;1050
2014-04-12;6489;5436;1053
2014-04-14;6491;5436;1055
2014-04-16;6492;5443;1049
2014-04-18;6494;5443;1051
2014-04-20;6497;5443;1054
2014-04-22;6494;5443;1051
2014-04-24;6491;5444;1047
2014-04-26;6491;5444;1047
2014-04-28;6495;5444;1051
2014-04-30;6499;5454;1045
2014-05-02;6503;5457;1046
2014-05-04;6502;5455;1047