date;followers;following;fans
2013-04-23;1806;176;1630
2013-04-25;1796;179;1617
2013-04-27;1787;181;1606
2013-04-29;1777;183;1594
2013-05-01;1770;185;1585
2013-05-03;1770;185;1585
2013-05-05;1764;186;1578
2013-05-07;1759;185;1574
2013-05-09;1757;184;1573
2013-05-11;1756;188;1568
2013-05-13;1756;188;1568
2013-05-15;1751;188;1563
2013-05-17;1747;189;1558
2013-05-19;1743;193;1550
2013-05-21;1742;193;1549
2013-05-23;1735;193;1542
2013-05-25;1732;180;1552
2013-05-27;1723;179;1544
2013-05-29;1724;181;1543
2013-05-31;1711;181;1530
2013-06-02;1707;182;1525
2013-06-04;1709;176;1533
2013-06-06;1706;173;1533
2013-06-08;1702;172;1530
2013-06-10;1698;172;1526
2013-06-20;1684;174;1510
2013-06-21;1685;182;1503
2013-06-24;1683;183;1500
2013-06-26;1687;183;1504
2013-06-28;1686;185;1501
2013-06-30;1684;187;1497
2013-07-02;1681;190;1491
2013-07-04;1683;195;1488
2013-07-06;1682;198;1484
2013-07-08;1687;198;1489
2013-07-10;1686;200;1486
2013-07-12;1689;202;1487
2013-07-14;1687;204;1483
2013-07-16;1688;206;1482
2013-07-18;1690;211;1479
2013-07-20;1682;210;1472
2013-07-22;1677;210;1467
2013-07-24;1672;211;1461
2013-07-26;1678;211;1467
2013-07-28;1634;211;1423
2013-07-30;1633;213;1420
2013-08-01;1640;197;1443
2013-08-03;1635;198;1437
2013-08-05;1633;142;1491
2013-08-07;1631;140;1491
2013-08-09;1634;126;1508
2013-08-11;1632;130;1502
2013-08-13;1634;132;1502
2013-08-15;1630;130;1500
2013-08-17;1629;131;1498
2013-08-19;1631;132;1499
2013-08-21;1631;133;1498
2013-08-23;1630;135;1495
2013-08-25;1635;137;1498
2013-08-27;1631;137;1494
2013-08-29;1627;138;1489
2013-08-31;1622;139;1483
2013-09-02;1620;145;1475
2013-09-04;1623;147;1476
2013-09-06;1622;150;1472
2013-09-08;1626;151;1475
2013-09-10;1619;149;1470
2013-09-12;1621;148;1473
2013-09-14;1620;139;1481
2013-09-16;1617;140;1477
2013-09-18;1613;140;1473
2013-09-20;1607;140;1467
2013-09-22;1609;139;1470
2013-09-24;1606;139;1467
2013-09-26;12357;147;12210
2013-09-27;11929;150;11779
2013-09-28;11765;150;11615
2013-09-29;11614;150;11464
2013-09-30;11513;150;11363
2013-10-01;11394;150;11244
2013-10-02;11315;151;11164
2013-10-03;11180;157;11023
2013-10-04;11123;161;10962
2013-10-05;11071;161;10910
2013-10-06;10994;163;10831
2013-10-07;10946;163;10783
2013-10-08;10900;169;10731
2013-10-09;11376;174;11202
2013-10-10;11324;174;11150
2013-10-11;11284;174;11110
2013-10-12;11263;196;11067
2013-10-13;11223;200;11023
2013-10-14;11192;200;10992
2013-10-15;11170;200;10970
2013-10-16;11140;199;10941
2013-10-17;11074;202;10872
2013-10-18;10946;202;10744
2013-10-19;10907;213;10694
2013-10-20;10886;216;10670
2013-10-21;10856;217;10639
2013-10-22;10834;234;10600
2013-10-23;10820;249;10571
2013-10-24;10801;250;10551
2013-10-25;10783;251;10532
2013-10-26;10766;251;10515
2013-10-27;10754;253;10501
2013-10-28;10732;253;10479
2013-10-29;10709;253;10456
2013-10-30;10673;257;10416
2013-10-31;10639;259;10380
2013-11-01;10620;260;10360
2013-11-02;10607;277;10330
2013-11-03;10597;290;10307
2013-11-04;10587;308;10279
2013-11-05;10571;313;10258
2013-11-06;10554;316;10238
2013-11-07;10542;319;10223
2013-11-08;10528;328;10200
2013-11-09;10519;331;10188
2013-11-10;10513;338;10175
2013-11-11;10487;340;10147
2013-11-12;10468;338;10130
2013-11-13;10438;340;10098
2013-11-14;10414;341;10073
2013-11-15;10391;348;10043
2013-11-16;10376;348;10028
2013-11-17;10363;352;10011
2013-11-18;10352;354;9998
2013-11-19;10331;356;9975
2013-11-20;10311;357;9954
2013-11-21;10297;365;9932
2013-11-22;10281;365;9916
2013-11-23;10266;364;9902
2013-11-24;10243;364;9879
2013-11-25;10230;371;9859
2013-11-26;10212;371;9841
2013-11-27;10191;369;9822
2013-11-28;10147;370;9777
2013-11-29;10141;374;9767
2013-11-30;10135;373;9762
2013-12-01;10122;373;9749
2013-12-02;10105;374;9731
2013-12-03;10086;376;9710
2013-12-04;10066;375;9691
2013-12-05;10034;393;9641
2013-12-06;10033;397;9636
2013-12-07;10017;396;9621
2013-12-08;10007;397;9610
2013-12-09;10000;397;9603
2013-12-10;15361;397;14964
2013-12-11;15240;399;14841
2013-12-12;15172;410;14762
2013-12-13;15128;415;14713
2013-12-14;15042;415;14627
2013-12-15;15006;415;14591
2013-12-16;14966;419;14547
2013-12-17;14945;420;14525
2013-12-18;14912;420;14492
2013-12-19;14893;424;14469
2013-12-20;14870;424;14446
2013-12-21;14442;423;14019
2013-12-22;14423;423;14000
2013-12-23;14399;424;13975
2013-12-24;14382;422;13960
2013-12-25;14367;425;13942
2013-12-26;14398;425;13973
2013-12-27;14368;429;13939
2013-12-28;14356;439;13917
2013-12-29;14333;439;13894
2013-12-30;14319;440;13879
2013-12-31;14303;439;13864
2014-01-01;14286;439;13847
2014-01-02;14277;437;13840
2014-01-03;14265;440;13825
2014-01-04;14242;440;13802
2014-01-05;14235;444;13791
2014-01-06;14219;447;13772
2014-01-07;14205;450;13755
2014-01-08;14180;451;13729
2014-01-09;14159;455;13704
2014-01-10;14145;454;13691
2014-01-11;14119;454;13665
2014-01-12;14106;453;13653
2014-01-13;14094;453;13641
2014-01-14;14072;453;13619
2014-01-15;14051;452;13599
2014-01-16;14039;458;13581
2014-01-17;14022;460;13562
2014-01-18;13999;466;13533
2014-01-19;13981;467;13514
2014-01-20;13974;469;13505
2014-01-21;13960;468;13492
2014-01-22;13946;468;13478
2014-01-23;13926;468;13458
2014-01-24;13909;469;13440
2014-01-25;13897;468;13429
2014-01-26;13884;470;13414
2014-01-27;13870;469;13401
2014-01-28;13852;472;13380
2014-01-30;13833;473;13360
2014-01-31;13822;476;13346
2014-02-01;13808;475;13333
2014-02-02;13793;477;13316
2014-02-03;13781;477;13304
2014-02-04;13764;477;13287
2014-02-05;13753;477;13276
2014-02-06;13746;478;13268
2014-02-07;13732;478;13254
2014-02-08;13725;478;13247
2014-02-09;13709;476;13233
2014-02-10;13697;476;13221
2014-02-11;13680;476;13204
2014-02-12;13660;477;13183
2014-02-13;13644;478;13166
2014-02-14;13631;478;13153
2014-02-15;13620;478;13142
2014-02-16;13620;478;13142
2014-02-17;13603;479;13124
2014-02-18;13590;479;13111
2014-02-19;13567;479;13088
2014-02-20;13588;480;13108
2014-02-21;13564;479;13085
2014-02-22;13557;482;13075
2014-02-23;13547;482;13065
2014-02-24;13534;482;13052
2014-02-25;13521;483;13038
2014-02-26;13510;483;13027
2014-02-27;13492;485;13007
2014-02-28;13483;485;12998
2014-03-01;13473;485;12988
2014-03-02;13468;485;12983
2014-03-03;13456;486;12970
2014-03-04;13438;486;12952
2014-03-05;13428;489;12939
2014-03-06;13421;491;12930
2014-03-07;13417;493;12924
2014-03-08;13414;494;12920
2014-03-09;13411;496;12915
2014-03-10;13409;497;12912
2014-03-11;13397;500;12897
2014-03-12;13397;500;12897
2014-03-13;13379;500;12879
2014-03-14;13370;499;12871
2014-03-15;13365;499;12866
2014-03-16;13358;499;12859
2014-03-17;13346;498;12848
2014-03-18;13334;498;12836
2014-03-19;13332;499;12833
2014-03-20;13323;500;12823
2014-03-21;13308;498;12810
2014-03-22;13307;497;12810
2014-03-23;13289;498;12791
2014-03-24;13281;494;12787
2014-03-25;13269;494;12775
2014-03-26;13259;499;12760
2014-03-27;13255;499;12756
2014-03-28;13244;496;12748
2014-03-29;13242;497;12745
2014-03-30;13235;497;12738
2014-03-31;13234;499;12735
2014-04-01;13224;499;12725
2014-04-02;13217;497;12720
2014-04-03;13215;496;12719
2014-04-04;13209;498;12711
2014-04-05;13202;500;12702
2014-04-06;13202;500;12702
2014-04-07;13197;500;12697
2014-04-08;13189;500;12689
2014-04-09;13188;500;12688
2014-04-10;13178;500;12678
2014-04-11;13174;501;12673
2014-04-12;13170;501;12669
2014-04-13;13164;501;12663
2014-04-14;13156;502;12654
2014-04-15;13148;502;12646
2014-04-16;13145;502;12643
2014-04-17;13138;502;12636
2014-04-18;13133;503;12630
2014-04-19;13127;503;12624
2014-04-20;13120;503;12617
2014-04-21;13122;511;12611
2014-04-22;13119;513;12606
2014-04-23;13114;513;12601
2014-04-24;13108;512;12596
2014-04-25;13107;525;12582
2014-04-26;13103;526;12577
2014-04-27;13101;528;12573
2014-04-28;13109;531;12578
2014-04-29;13096;532;12564
2014-04-30;13090;536;12554
2014-05-01;13087;537;12550
2014-05-02;13081;537;12544
2014-05-03;13077;538;12539
2014-05-04;13068;537;12531
2014-05-05;13063;537;12526
2014-05-06;13059;536;12523