date;followers;following;fans
2013-04-17;13791;555;13236
2013-04-18;13789;560;13229
2013-04-19;13780;560;13220
2013-04-20;13779;560;13219
2013-04-21;13770;560;13210
2013-04-22;13771;561;13210
2013-04-23;13774;561;13213
2013-04-24;13771;561;13210
2013-04-25;13769;561;13208
2013-04-26;13760;561;13199
2013-04-27;13759;562;13197
2013-04-28;13756;564;13192
2013-04-29;13751;565;13186
2013-04-30;13747;566;13181
2013-05-01;13748;567;13181
2013-05-02;13750;567;13183
2013-05-03;13762;568;13194
2013-05-04;13768;577;13191
2013-05-05;13765;576;13189
2013-05-06;13768;578;13190
2013-05-07;13773;576;13197
2013-05-08;13783;294;13489
2013-05-09;13780;293;13487
2013-05-10;13765;293;13472
2013-05-11;13621;294;13327
2013-05-12;13612;295;13317
2013-05-13;13611;295;13316
2013-05-14;13645;298;13347
2013-05-15;13734;299;13435
2013-05-16;13751;307;13444
2013-05-17;13752;306;13446
2013-05-18;13789;306;13483
2013-05-19;13792;308;13484
2013-05-20;13791;308;13483
2013-05-21;13793;308;13485
2013-05-22;13791;308;13483
2013-05-23;13794;311;13483
2013-05-24;13793;316;13477
2013-05-25;13786;315;13471
2013-05-26;13781;315;13466
2013-05-27;13780;315;13465
2013-05-28;13783;340;13443
2013-05-29;13789;341;13448
2013-05-30;13801;341;13460
2013-05-31;13799;340;13459
2013-06-01;13808;344;13464
2013-06-02;13808;345;13463
2013-06-03;13812;344;13468
2013-06-04;13813;344;13469
2013-06-05;13820;344;13476
2013-06-06;13826;349;13477
2013-06-07;13836;350;13486
2013-06-08;13836;349;13487
2013-06-09;13832;350;13482
2013-06-10;27101;351;26750
2013-06-11;26802;353;26449
2013-06-20;43137;329;42808
2013-06-21;43397;331;43066
2013-06-22;48499;337;48162
2013-06-23;48545;337;48208
2013-06-24;48423;337;48086
2013-06-25;48541;337;48204
2013-06-26;48467;336;48131
2013-06-27;48483;336;48147
2013-06-28;48470;338;48132
2013-06-29;84290;340;83950
2013-06-30;80573;340;80233
2013-07-01;80399;341;80058
2013-07-02;80428;345;80083
2013-07-03;80250;346;79904
2013-07-04;99132;346;98786
2013-07-05;98011;347;97664
2013-07-06;97930;349;97581
2013-07-07;97316;349;96967
2013-07-08;97386;349;97037
2013-07-09;97314;350;96964
2013-07-10;96940;350;96590
2013-07-11;94651;352;94299
2013-07-12;152641;353;152288
2013-07-13;152393;352;152041
2013-07-14;149977;352;149625
2013-07-15;145474;353;145121
2013-07-16;137880;353;137527
2013-07-17;136294;353;135941
2013-07-18;121401;355;121046
2013-07-19;110115;356;109759
2013-07-20;78235;357;77878
2013-07-21;76918;357;76561
2013-07-22;71520;357;71163
2013-07-23;66644;358;66286
2013-07-24;64024;358;63666
2013-07-25;63956;359;63597
2013-07-26;62884;360;62524
2013-07-27;62343;362;61981
2013-07-28;61424;362;61062
2013-07-29;59159;362;58797
2013-07-30;58989;363;58626
2013-07-31;58880;365;58515
2013-08-01;58599;365;58234
2013-08-02;58585;365;58220
2013-08-03;58565;365;58200
2013-08-04;58559;365;58194
2013-08-05;58544;365;58179
2013-08-06;58526;365;58161
2013-08-07;58501;365;58136
2013-08-08;58074;365;57709
2013-08-09;57477;366;57111
2013-08-10;42705;366;42339
2013-08-11;42682;366;42316
2013-08-12;42668;366;42302
2013-08-13;42623;366;42257
2013-08-14;42619;366;42253
2013-08-15;42600;366;42234
2013-08-16;42588;366;42222
2013-08-17;42584;366;42218
2013-08-18;42560;366;42194
2013-08-19;42554;366;42188
2013-08-20;42557;367;42190
2013-08-21;42583;366;42217
2013-08-22;42508;366;42142
2013-08-23;42499;366;42133
2013-08-24;42493;366;42127
2013-08-25;42092;366;41726
2013-08-26;42077;366;41711
2013-08-27;42068;366;41702
2013-08-28;41893;366;41527
2013-08-29;40503;366;40137
2013-08-30;40487;367;40120
2013-08-31;40413;366;40047
2013-09-01;40405;366;40039
2013-09-02;40397;366;40031
2013-09-03;40388;366;40022
2013-09-04;40372;367;40005
2013-09-05;40366;366;40000
2013-09-06;40354;365;39989
2013-09-07;40174;365;39809
2013-09-08;40013;365;39648
2013-09-09;40001;365;39636
2013-09-10;39997;366;39631
2013-09-11;39251;366;38885
2013-09-12;40513;365;40148
2013-09-13;51327;365;50962
2013-09-14;58286;367;57919
2013-09-15;67361;367;66994
2013-09-16;70245;368;69877
2013-09-17;69582;369;69213
2013-09-18;69531;370;69161
2013-09-19;67120;370;66750
2013-09-20;65290;371;64919
2013-09-21;65220;371;64849
2013-09-22;64090;371;63719
2013-09-23;63833;371;63462
2013-09-24;63731;371;63360
2013-09-25;60757;371;60386
2013-09-26;60575;371;60204
2013-09-27;60262;371;59891
2013-09-28;59689;372;59317
2013-09-29;59558;372;59186
2013-09-30;59515;372;59143
2013-10-01;58778;373;58405
2013-10-02;58645;373;58272
2013-10-03;57939;374;57565
2013-10-04;57834;374;57460
2013-10-05;57650;373;57277
2013-10-06;57473;373;57100
2013-10-07;57413;373;57040
2013-10-08;57348;373;56975
2013-10-09;57302;373;56929
2013-10-10;57267;373;56894
2013-10-11;57243;374;56869
2013-10-12;57203;374;56829
2013-10-13;56994;374;56620
2013-10-14;56931;374;56557
2013-10-15;56908;374;56534
2013-10-16;56887;373;56514
2013-10-17;56840;373;56467
2013-10-18;56411;373;56038
2013-10-19;56200;373;55827
2013-10-20;56171;373;55798
2013-10-21;56139;373;55766
2013-10-22;56110;373;55737
2013-10-23;56060;373;55687
2013-10-24;55796;373;55423
2013-10-25;55625;373;55252
2013-10-26;55403;373;55030
2013-10-27;55269;373;54896
2013-10-28;55174;373;54801
2013-10-29;55022;373;54649
2013-10-30;54918;373;54545
2013-10-31;54913;373;54540
2013-11-01;54878;373;54505
2013-11-02;54810;374;54436
2013-11-03;54740;373;54367
2013-11-04;54716;373;54343
2013-11-05;54693;373;54320
2013-11-06;54511;374;54137
2013-11-07;54204;374;53830
2013-11-08;53986;374;53612
2013-11-09;53952;374;53578
2013-11-10;53869;374;53495
2013-11-11;53807;374;53433
2013-11-12;53766;373;53393
2013-11-13;53664;373;53291
2013-11-14;53044;373;52671
2013-11-15;52533;373;52160
2013-11-16;52101;373;51728
2013-11-17;51660;373;51287
2013-11-18;51638;373;51265
2013-11-19;51611;373;51238
2013-11-20;50964;373;50591
2013-11-21;50916;373;50543
2013-11-22;50875;373;50502
2013-11-23;50840;373;50467
2013-11-24;50806;373;50433
2013-11-25;50758;373;50385
2013-11-26;50721;374;50347
2013-11-27;49962;374;49588
2013-11-28;48210;374;47836
2013-11-29;48249;374;47875
2013-11-30;48233;374;47859
2013-12-01;48212;374;47838
2013-12-02;48191;374;47817
2013-12-03;48171;375;47796
2013-12-04;48164;375;47789
2013-12-05;48083;375;47708
2013-12-06;47984;375;47609
2013-12-07;47901;376;47525
2013-12-08;47879;376;47503
2013-12-09;47861;376;47485
2013-12-10;47848;376;47472
2013-12-11;47655;376;47279
2013-12-12;47641;376;47265
2013-12-13;47608;376;47232
2013-12-14;47591;377;47214
2013-12-15;47574;377;47197
2013-12-16;47562;377;47185
2013-12-17;47552;377;47175
2013-12-18;47376;377;46999
2013-12-19;47268;377;46891
2013-12-20;47202;377;46825
2013-12-21;47122;377;46745
2013-12-22;47108;377;46731
2013-12-23;47095;377;46718
2013-12-24;47076;377;46699
2013-12-25;47053;377;46676
2013-12-26;47048;377;46671
2013-12-27;47036;377;46659
2013-12-28;47053;377;46676
2013-12-29;47051;377;46674
2013-12-30;47037;376;46661
2013-12-31;47026;376;46650
2014-01-01;47022;376;46646
2014-01-02;47011;376;46635
2014-01-03;46993;376;46617
2014-01-04;46982;376;46606
2014-01-05;46961;376;46585
2014-01-06;46949;376;46573
2014-01-07;46939;376;46563
2014-01-08;46928;378;46550
2014-01-09;46910;379;46531
2014-01-10;46896;379;46517
2014-01-11;46888;379;46509
2014-01-12;46873;379;46494
2014-01-13;46859;379;46480
2014-01-14;46848;379;46469
2014-01-15;46832;380;46452
2014-01-16;46823;380;46443
2014-01-17;46817;365;46452
2014-01-18;46767;365;46402
2014-01-19;46754;365;46389
2014-01-20;46744;366;46378
2014-01-21;46729;366;46363
2014-01-22;46730;365;46365
2014-01-23;46715;365;46350
2014-01-24;46700;365;46335
2014-01-25;46697;365;46332
2014-01-26;46696;365;46331
2014-01-27;46687;368;46319
2014-01-28;46679;368;46311
2014-01-30;46674;369;46305
2014-01-31;46671;370;46301
2014-02-01;46666;373;46293
2014-02-02;46658;373;46285
2014-02-03;46649;373;46276
2014-02-04;98925;373;98552
2014-02-05;163983;372;163611
2014-02-06;196388;372;196016
2014-02-07;211586;372;211214
2014-02-08;210649;363;210286
2014-02-09;209480;363;209117
2014-02-10;208398;364;208034
2014-02-11;207419;367;207052
2014-02-12;206167;367;205800
2014-02-13;205217;367;204850
2014-02-14;204644;368;204276
2014-02-15;204060;368;203692
2014-02-16;203670;369;203301
2014-02-17;203204;369;202835
2014-02-18;202813;370;202443
2014-02-19;202468;370;202098
2014-02-20;202254;371;201883
2014-02-21;201883;371;201512
2014-02-22;201672;373;201299
2014-02-23;201408;230;201178
2014-02-24;201048;230;200818
2014-02-25;200808;230;200578
2014-02-26;200508;233;200275
2014-02-27;200300;234;200066
2014-02-28;200090;234;199856
2014-03-01;199933;234;199699
2014-03-02;199756;235;199521
2014-03-03;199579;235;199344
2014-03-04;199365;235;199130
2014-03-05;199202;235;198967
2014-03-06;199047;236;198811
2014-03-07;198942;237;198705
2014-03-08;198823;238;198585
2014-03-09;198704;240;198464
2014-03-10;198559;240;198319
2014-03-11;198418;240;198178
2014-03-12;198307;240;198067
2014-03-13;198165;245;197920
2014-03-14;198095;245;197850
2014-03-15;198002;243;197759
2014-03-16;197858;243;197615
2014-03-17;197725;243;197482
2014-03-18;197572;243;197329
2014-03-19;197442;242;197200
2014-03-20;197325;242;197083
2014-03-21;197205;263;196942
2014-03-22;197069;259;196810
2014-03-23;196921;259;196662
2014-03-24;196786;250;196536
2014-03-25;196649;246;196403
2014-03-26;196547;246;196301
2014-03-27;196450;248;196202
2014-03-28;196366;249;196117
2014-03-29;196236;390;195846
2014-03-30;196156;391;195765
2014-03-31;196052;391;195661
2014-04-01;195945;227;195718
2014-04-02;195829;227;195602
2014-04-03;195720;228;195492
2014-04-04;195593;228;195365
2014-04-05;195507;228;195279
2014-04-06;195359;228;195131
2014-04-07;195296;228;195068
2014-04-08;195182;228;194954
2014-04-09;195037;232;194805
2014-04-10;194852;232;194620
2014-04-11;194782;233;194549
2014-04-12;194702;233;194469
2014-04-13;194625;233;194392
2014-04-14;194534;233;194301
2014-04-15;194390;234;194156
2014-04-16;194320;234;194086
2014-04-17;194228;234;193994
2014-04-18;194138;236;193902
2014-04-19;194084;236;193848
2014-04-20;193985;236;193749
2014-04-21;193927;237;193690
2014-04-22;193810;230;193580
2014-04-23;193748;230;193518
2014-04-24;193656;230;193426
2014-04-25;193587;231;193356
2014-04-26;193517;234;193283
2014-04-27;193452;233;193219
2014-04-28;193393;240;193153
2014-04-29;193326;242;193084
2014-04-30;193236;241;192995
2014-05-01;193223;241;192982
2014-05-02;193042;241;192801
2014-05-03;192946;244;192702
2014-05-04;192879;244;192635
2014-05-05;192842;244;192598