date;followers;following;fans
2013-04-18;2236;515;1721
2013-04-20;2243;518;1725
2013-04-22;2244;515;1729
2013-04-24;2242;517;1725
2013-04-26;2241;512;1729
2013-04-28;2240;512;1728
2013-04-30;2240;516;1724
2013-05-02;2244;498;1746
2013-05-04;2242;500;1742
2013-05-06;2241;498;1743
2013-05-08;2243;500;1743
2013-05-10;2239;499;1740
2013-05-12;2238;500;1738
2013-05-14;2241;498;1743
2013-05-16;2243;497;1746
2013-05-18;2243;495;1748
2013-05-20;2241;495;1746
2013-05-22;2246;496;1750
2013-05-24;2243;496;1747
2013-05-26;2244;496;1748
2013-05-28;2245;497;1748
2013-05-30;2243;496;1747
2013-06-01;2241;496;1745
2013-06-03;2246;496;1750
2013-06-05;2246;496;1750
2013-06-07;2246;496;1750
2013-06-09;2242;495;1747
2013-06-11;2238;496;1742
2013-06-20;2239;498;1741
2013-06-22;2240;501;1739
2013-06-24;2237;501;1736
2013-06-26;2239;500;1739
2013-06-28;2240;496;1744
2013-06-30;2241;481;1760
2013-07-02;2241;483;1758
2013-07-04;2242;484;1758
2013-07-06;2243;486;1757
2013-07-08;2243;485;1758
2013-07-10;2243;488;1755
2013-07-12;2241;488;1753
2013-07-14;2239;463;1776
2013-07-16;2239;462;1777
2013-07-18;2244;465;1779
2013-07-20;2246;467;1779
2013-07-22;2246;467;1779
2013-07-24;2247;465;1782
2013-07-26;2250;467;1783
2013-07-28;2247;469;1778
2013-07-30;2252;469;1783
2013-08-01;2250;470;1780
2013-08-03;2248;470;1778
2013-08-05;2250;402;1848
2013-08-07;2246;403;1843
2013-08-09;2249;405;1844
2013-08-11;2251;407;1844
2013-08-13;2247;408;1839
2013-08-15;2244;407;1837
2013-08-17;2244;404;1840
2013-08-19;2247;407;1840
2013-08-21;2244;409;1835
2013-08-23;2241;407;1834
2013-08-25;2246;397;1849
2013-08-27;2244;399;1845
2013-08-29;2248;401;1847
2013-08-31;2248;402;1846
2013-09-02;2247;403;1844
2013-09-04;2246;405;1841
2013-09-06;2247;404;1843
2013-09-08;2247;404;1843
2013-09-10;2248;404;1844
2013-09-12;2249;404;1845
2013-09-14;2250;405;1845
2013-09-16;2248;405;1843
2013-09-18;2250;405;1845
2013-09-20;2248;389;1859
2013-09-22;2245;394;1851
2013-09-24;2243;388;1855
2013-09-26;2242;391;1851
2013-09-28;2240;391;1849
2013-09-30;2238;355;1883
2013-10-02;2235;354;1881
2013-10-04;2233;354;1879
2013-10-06;2231;354;1877
2013-10-08;2228;354;1874
2013-10-10;2228;354;1874
2013-10-12;2230;355;1875
2013-10-14;2229;355;1874
2013-10-16;2228;371;1857
2013-10-18;2228;372;1856
2013-10-20;2227;374;1853
2013-10-22;2224;375;1849
2013-10-24;2226;376;1850
2013-10-26;2226;379;1847
2013-10-28;2226;383;1843
2013-10-30;2227;383;1844
2013-11-01;2227;383;1844
2013-11-03;2224;383;1841
2013-11-05;2224;383;1841
2013-11-07;2223;384;1839
2013-11-09;2223;386;1837
2013-11-11;2224;386;1838
2013-11-13;2222;387;1835
2013-11-15;2222;387;1835
2013-11-17;2217;387;1830
2013-11-19;2217;386;1831
2013-11-21;2217;390;1827
2013-11-23;2216;393;1823
2013-11-25;2214;394;1820
2013-11-27;2215;395;1820
2013-11-29;2213;406;1807
2013-12-01;2218;409;1809
2013-12-03;2222;409;1813
2013-12-05;2223;410;1813
2013-12-07;2225;411;1814
2013-12-09;2224;404;1820
2013-12-11;2225;374;1851
2013-12-13;2225;375;1850
2013-12-15;2226;375;1851
2013-12-17;2231;344;1887
2013-12-19;2231;347;1884
2013-12-21;2232;347;1885
2013-12-23;2227;337;1890
2013-12-25;2227;337;1890
2013-12-27;2230;341;1889
2013-12-29;2231;348;1883
2013-12-31;2230;370;1860
2014-01-02;2233;394;1839
2014-01-04;2236;400;1836
2014-01-06;2233;400;1833
2014-01-08;2234;388;1846
2014-01-10;2236;370;1866
2014-01-12;2234;372;1862
2014-01-14;2235;377;1858
2014-01-16;2237;387;1850
2014-01-18;2238;389;1849
2014-01-20;2238;390;1848
2014-01-22;2240;374;1866
2014-01-24;2241;374;1867
2014-01-26;2242;375;1867
2014-01-28;2240;375;1865
2014-01-30;2240;378;1862
2014-02-01;2244;379;1865
2014-02-03;2240;381;1859
2014-02-05;2239;383;1856
2014-02-07;2253;383;1870
2014-02-09;2254;383;1871
2014-02-11;2250;384;1866
2014-02-13;2249;385;1864
2014-02-15;2246;390;1856
2014-02-17;2246;391;1855
2014-02-19;2246;392;1854
2014-02-21;2246;389;1857
2014-02-23;2255;339;1916
2014-02-25;2252;335;1917
2014-02-27;2255;344;1911
2014-03-01;2257;345;1912
2014-03-03;2262;347;1915
2014-03-05;2260;355;1905
2014-03-07;2259;358;1901
2014-03-09;2260;361;1899
2014-03-11;2258;361;1897
2014-03-13;2257;343;1914
2014-03-15;2255;345;1910
2014-03-17;2255;344;1911
2014-03-19;2253;346;1907
2014-03-21;2252;348;1904
2014-03-23;2256;360;1896
2014-03-25;2256;362;1894
2014-03-27;2253;364;1889
2014-03-29;2253;367;1886
2014-03-31;2253;368;1885
2014-04-02;2256;368;1888
2014-04-04;2255;364;1891
2014-04-06;2256;364;1892
2014-04-08;2255;364;1891
2014-04-10;2253;364;1889
2014-04-12;2251;354;1897
2014-04-14;2251;349;1902
2014-04-16;2251;349;1902
2014-04-18;2246;350;1896
2014-04-20;2246;350;1896
2014-04-22;2249;349;1900
2014-04-24;2249;347;1902
2014-04-26;2252;346;1906
2014-04-28;2253;342;1911
2014-04-30;2253;342;1911
2014-05-02;2253;342;1911
2014-05-04;2252;338;1914