date;followers;following;fans
2013-08-09;13375;10969;2406
2013-08-11;13396;11062;2334
2013-08-13;13446;11193;2253
2013-08-15;13459;11201;2258
2013-08-17;13474;10929;2545
2013-08-18;13474;10724;2750
2013-08-19;13489;10668;2821
2013-08-20;13508;10676;2832
2013-08-21;13521;10689;2832
2013-08-22;13523;10688;2835
2013-08-23;13529;10689;2840
2013-08-25;13535;10690;2845
2013-08-26;13534;10688;2846
2013-08-27;13547;10697;2850
2013-08-28;13545;10719;2826
2013-08-29;13557;10595;2962
2013-08-30;13589;10463;3126
2013-08-31;13590;10496;3094
2013-09-02;13590;10531;3059
2013-09-03;13602;10543;3059
2013-09-04;13606;10542;3064
2013-09-05;13613;10541;3072
2013-09-06;13620;10376;3244
2013-09-07;13627;10477;3150
2013-09-09;13639;10566;3073
2013-09-10;13645;10451;3194
2013-09-11;13649;10461;3188
2013-09-12;13659;10552;3107
2013-09-13;13663;10552;3111
2013-09-14;13284;10554;2730
2013-09-16;13282;10554;2728
2013-09-17;13290;10606;2684
2013-09-18;13287;10598;2689
2013-09-19;13294;10599;2695
2013-09-20;13299;10612;2687
2013-09-21;13317;10800;2517
2013-09-23;13334;10725;2609
2013-09-24;13390;10771;2619
2013-09-25;13427;10855;2572
2013-09-26;13443;10866;2577
2013-09-27;13451;10875;2576
2013-09-29;13457;10879;2578
2013-09-30;13464;10948;2516
2013-10-01;13467;10949;2518
2013-10-02;13478;10956;2522
2013-10-03;13529;11342;2187
2013-10-06;13577;11201;2376
2013-10-08;13628;11385;2243
2013-10-10;13685;11473;2212
2013-10-12;13742;11798;1944
2013-10-14;13774;11769;2005
2013-10-16;13843;12009;1834
2013-10-18;13891;11953;1938
2013-10-20;13920;11956;1964
2013-10-22;13956;11799;2157
2013-10-24;13996;11449;2547
2013-10-25;14009;11497;2512
2013-10-26;14018;11494;2524
2013-10-27;14024;11478;2546
2013-10-28;14025;11485;2540
2013-10-29;14047;11377;2670
2013-10-31;14067;11308;2759
2013-11-01;14077;11314;2763
2013-11-02;14087;11310;2777
2013-11-03;14091;11307;2784
2013-11-05;14122;11572;2550
2013-11-06;14117;11563;2554
2013-11-07;14126;11560;2566
2013-11-08;14128;11571;2557
2013-11-09;14209;11967;2242
2013-11-12;14249;11870;2379
2013-11-13;14254;11871;2383
2013-11-16;14254;11875;2379
2013-11-18;14241;11882;2359
2013-11-19;14285;11887;2398
2013-11-21;14297;11766;2531
2013-11-23;14325;11472;2853
2013-11-24;14377;11710;2667
2013-11-25;14399;11794;2605
2013-11-26;14416;11799;2617
2013-11-28;14449;12146;2303
2013-11-30;14505;12157;2348
2013-12-02;14573;12389;2184
2013-12-04;14613;12505;2108
2013-12-06;14663;12419;2244
2013-12-08;14681;12179;2502
2013-12-09;14703;12246;2457
2013-12-11;14756;12178;2578
2013-12-12;14766;12196;2570
2013-12-13;14772;11972;2800
2013-12-14;14783;11942;2841
2013-12-16;14801;12276;2525
2013-12-17;14884;12817;2067
2013-12-19;14939;12800;2139
2013-12-21;14950;12810;2140
2013-12-23;14962;12814;2148
2013-12-25;15046;12895;2151
2013-12-27;15123;12902;2221
2013-12-29;15179;13002;2177
2013-12-31;15185;13003;2182
2014-01-02;15200;13052;2148
2014-01-04;15277;12941;2336
2014-01-06;15291;12950;2341
2014-01-08;15348;13087;2261
2014-01-10;15372;13104;2268
2014-01-12;15417;13318;2099
2014-01-14;15424;13404;2020
2014-01-16;15460;13477;1983
2014-01-18;15477;13479;1998
2014-01-20;15487;13494;1993
2014-01-22;15516;13148;2368
2014-01-24;15538;13237;2301
2014-01-26;15551;13289;2262
2014-01-28;15564;13294;2270
2014-01-30;15568;12614;2954
2014-01-31;15575;12618;2957
2014-02-01;15583;12601;2982
2014-02-03;15589;12604;2985
2014-02-04;15581;12606;2975
2014-02-05;15586;12591;2995
2014-02-07;15586;12603;2983
2014-02-08;15579;12606;2973
2014-02-09;15582;12611;2971
2014-02-11;15597;12626;2971
2014-02-12;15602;12528;3074
2014-02-13;15606;12610;2996
2014-02-14;15476;12501;2975
2014-02-16;15480;12501;2979
2014-02-17;15478;12490;2988
2014-02-18;15486;12492;2994
2014-02-20;15496;12519;2977
2014-02-21;15501;12487;3014
2014-02-23;15523;12627;2896
2014-02-24;15536;12558;2978
2014-02-25;15550;12678;2872
2014-02-26;15578;12800;2778
2014-02-28;15592;12834;2758
2014-03-01;15635;13125;2510
2014-03-03;15687;13189;2498
2014-03-05;15723;13261;2462
2014-03-07;15768;13338;2430
2014-03-09;15790;13375;2415
2014-03-11;15796;13372;2424
2014-03-13;15813;13396;2417
2014-03-15;15820;13468;2352
2014-03-17;15870;12990;2880
2014-03-18;15907;13112;2795
2014-03-19;15968;13250;2718
2014-03-20;15991;13295;2696
2014-03-22;16001;13298;2703
2014-03-23;16010;13300;2710
2014-03-25;16016;13322;2694
2014-03-26;16030;13362;2668
2014-03-27;16032;13367;2665
2014-03-29;16066;13452;2614
2014-03-30;16012;13075;2937
2014-03-31;16020;13079;2941
2014-04-02;16047;13356;2691
2014-04-03;16085;13399;2686
2014-04-04;16108;13451;2657
2014-04-06;16196;13601;2595
2014-04-07;16224;13446;2778
2014-04-09;16244;13562;2682
2014-04-10;16260;13576;2684
2014-04-12;16292;13489;2803
2014-04-13;16297;13489;2808
2014-04-14;16300;13498;2802
2014-04-16;16332;13646;2686
2014-04-17;16352;13645;2707
2014-04-18;16346;13638;2708
2014-04-20;16354;13815;2539
2014-04-21;16368;13816;2552
2014-04-22;16379;13862;2517
2014-04-24;16421;14026;2395
2014-04-26;16467;13760;2707
2014-04-27;16481;13922;2559
2014-04-28;16562;14254;2308
2014-05-01;16599;14290;2309
2014-05-03;16611;14290;2321
2014-05-05;16616;14288;2328