date;followers;following;fans
2013-04-18;3138;1231;1907
2013-04-20;3138;1232;1906
2013-04-22;3135;1232;1903
2013-04-24;3133;1232;1901
2013-04-26;3133;1226;1907
2013-04-28;3134;1227;1907
2013-04-30;3131;1228;1903
2013-05-02;3126;1227;1899
2013-05-04;3128;1229;1899
2013-05-06;3126;1229;1897
2013-05-08;3125;1226;1899
2013-05-10;3125;1224;1901
2013-05-12;3116;1225;1891
2013-05-14;3116;1225;1891
2013-05-16;3122;1223;1899
2013-05-18;3124;1222;1902
2013-05-20;3121;1221;1900
2013-05-22;3116;1221;1895
2013-05-24;3115;1222;1893
2013-05-26;3114;1223;1891
2013-05-28;3116;1224;1892
2013-05-30;3112;1223;1889
2013-06-01;3112;1222;1890
2013-06-03;3113;1223;1890
2013-06-05;3113;1223;1890
2013-06-07;3112;1224;1888
2013-06-09;3109;1224;1885
2013-06-11;3109;1216;1893
2013-06-20;3100;1217;1883
2013-06-22;3102;1223;1879
2013-06-24;3110;1225;1885
2013-06-26;3112;1227;1885
2013-06-28;3135;1244;1891
2013-06-30;3141;1252;1889
2013-07-02;3148;1258;1890
2013-07-04;3166;1282;1884
2013-07-06;3226;1335;1891
2013-07-08;3246;1357;1889
2013-07-10;3351;1437;1914
2013-07-12;3448;1495;1953
2013-07-14;3523;1545;1978
2013-07-16;3663;1680;1983
2013-07-18;3724;1737;1987
2013-07-20;3782;1788;1994
2013-07-22;3857;1836;2021
2013-07-24;3875;1846;2029
2013-07-26;3916;1884;2032
2013-07-28;3966;1931;2035
2013-07-30;3990;1955;2035
2013-08-01;4013;1916;2097
2013-08-03;4012;1927;2085
2013-08-05;4009;1925;2084
2013-08-07;4012;1937;2075
2013-08-09;4010;1929;2081
2013-08-11;4016;1930;2086
2013-08-13;4014;1931;2083
2013-08-15;4013;1930;2083
2013-08-17;4007;1928;2079
2013-08-19;4021;1948;2073
2013-08-21;4019;1948;2071
2013-08-23;4015;1947;2068
2013-08-25;4012;1948;2064
2013-08-27;4005;1948;2057
2013-08-29;4014;1952;2062
2013-08-31;4015;1954;2061
2013-09-02;4017;1966;2051
2013-09-04;4029;1974;2055
2013-09-06;4025;1973;2052
2013-09-08;4029;1979;2050
2013-09-10;4020;1951;2069
2013-09-12;4019;1954;2065
2013-09-14;4018;1955;2063
2013-09-16;4023;1970;2053
2013-09-18;4022;1969;2053
2013-09-20;4019;1969;2050
2013-09-22;4016;1967;2049
2013-09-24;4014;1969;2045
2013-09-26;4013;1970;2043
2013-09-28;4007;1970;2037
2013-09-29;4015;1982;2033
2013-10-02;4013;1986;2027
2013-10-04;4010;1959;2051
2013-10-06;4021;1967;2054
2013-10-08;4013;1967;2046
2013-10-10;4026;1973;2053
2013-10-12;4033;1986;2047
2013-10-14;4034;1988;2046
2013-10-16;4029;1988;2041
2013-10-18;4040;1998;2042
2013-10-20;4038;1995;2043
2013-10-22;4038;1997;2041
2013-10-24;4035;1995;2040
2013-10-26;4032;1994;2038
2013-10-28;4034;1995;2039
2013-10-30;4027;1994;2033
2013-11-01;4028;1995;2033
2013-11-03;4020;1991;2029
2013-11-05;4037;2007;2030
2013-11-07;4039;2008;2031
2013-11-09;4038;2012;2026
2013-11-11;4028;1984;2044
2013-11-13;4022;1986;2036
2013-11-15;4021;1984;2037
2013-11-17;4021;1986;2035
2013-11-19;4021;1986;2035
2013-11-21;4021;1986;2035
2013-11-23;4018;1985;2033
2013-11-25;4013;1985;2028
2013-11-27;4015;1978;2037
2013-11-29;4008;1975;2033
2013-12-01;4012;1985;2027
2013-12-03;4010;1985;2025
2013-12-05;4010;1987;2023
2013-12-07;4011;1998;2013
2013-12-09;4025;1980;2045
2013-12-11;4025;1981;2044
2013-12-13;4022;1979;2043
2013-12-15;4018;1980;2038
2013-12-17;4016;1978;2038
2013-12-19;4016;1978;2038
2013-12-21;4012;1979;2033
2013-12-23;4010;1990;2020
2013-12-25;4010;1990;2020
2013-12-27;4007;1987;2020
2013-12-29;4015;2001;2014
2013-12-31;4012;2003;2009
2014-01-02;4005;2002;2003
2014-01-04;4017;2017;2000
2014-01-06;4013;2019;1994
2014-01-08;4012;2020;1992
2014-01-10;4009;2020;1989
2014-01-12;4006;2019;1987
2014-01-14;4001;2017;1984
2014-01-16;3998;2014;1984
2014-01-18;4000;2015;1985
2014-01-20;3994;1947;2047
2014-01-22;3993;1947;2046
2014-01-24;3991;1946;2045
2014-01-26;3991;1949;2042
2014-01-28;3996;1962;2034
2014-01-30;3999;1962;2037
2014-02-01;3998;1964;2034
2014-02-03;3992;1961;2031
2014-02-05;3993;1961;2032
2014-02-07;3995;1952;2043
2014-02-09;3992;1949;2043
2014-02-11;3986;1947;2039
2014-02-13;3983;1948;2035
2014-02-15;3994;1961;2033
2014-02-17;3988;1961;2027
2014-02-19;3986;1961;2025
2014-02-21;3987;1961;2026
2014-02-23;3981;1958;2023
2014-02-25;3979;1957;2022
2014-02-27;3973;1957;2016
2014-03-01;3975;1956;2019
2014-03-03;3973;1959;2014
2014-03-05;3977;1962;2015
2014-03-07;3976;1960;2016
2014-03-09;3972;1961;2011
2014-03-11;3971;1962;2009
2014-03-13;3964;1960;2004
2014-03-15;3962;1960;2002
2014-03-17;3957;1959;1998
2014-03-19;3950;1956;1994
2014-03-21;3947;1956;1991
2014-03-23;3949;1959;1990
2014-03-25;3945;1958;1987
2014-03-27;3943;1956;1987
2014-03-29;3941;1956;1985
2014-03-31;3939;1958;1981
2014-04-02;3939;1958;1981
2014-04-04;3938;1959;1979
2014-04-06;3934;1958;1976
2014-04-08;3933;1957;1976
2014-04-10;3929;1954;1975
2014-04-12;3928;1954;1974
2014-04-14;3927;1954;1973
2014-04-16;3925;1952;1973
2014-04-18;3920;1953;1967
2014-04-20;3917;1952;1965
2014-04-22;3924;1958;1966
2014-04-24;3920;1957;1963
2014-04-26;3916;1956;1960
2014-04-28;3908;1956;1952
2014-04-30;3910;1955;1955
2014-05-02;3907;1956;1951
2014-05-04;3903;1953;1950