date;followers;following;fans
2013-04-29;5038;63;4975
2013-04-30;5033;67;4966
2013-05-01;5031;67;4964
2013-05-02;5032;72;4960
2013-05-03;5033;74;4959
2013-05-04;5036;75;4961
2013-05-06;5035;82;4953
2013-05-07;5041;83;4958
2013-05-08;5038;83;4955
2013-05-09;5036;83;4953
2013-05-10;4981;83;4898
2013-05-11;4879;87;4792
2013-05-12;4880;88;4792
2013-05-13;4881;92;4789
2013-05-15;4983;95;4888
2013-05-16;4992;98;4894
2013-05-17;4995;100;4895
2013-05-18;5018;101;4917
2013-05-19;5021;103;4918
2013-05-20;5019;109;4910
2013-05-21;5023;113;4910
2013-05-22;5019;115;4904
2013-05-24;5022;117;4905
2013-05-25;5015;119;4896
2013-05-26;5015;121;4894
2013-05-27;5253;125;5128
2013-05-28;5297;126;5171
2013-05-29;5362;131;5231
2013-05-30;5341;136;5205
2013-05-31;5316;137;5179
2013-06-01;5313;138;5175
2013-06-02;5286;139;5147
2013-06-03;5281;139;5142
2013-06-04;5250;140;5110
2013-06-05;5251;141;5110
2013-06-06;5246;141;5105
2013-06-07;5245;142;5103
2013-06-08;5241;142;5099
2013-06-09;5232;145;5087
2013-06-10;5237;147;5090
2013-06-11;5226;148;5078
2013-06-20;5214;156;5058
2013-06-21;5212;156;5056
2013-06-22;5210;156;5054
2013-06-23;5209;157;5052
2013-06-24;5209;157;5052
2013-06-25;5206;158;5048
2013-06-26;5205;159;5046
2013-06-27;5192;159;5033
2013-06-28;5179;161;5018
2013-06-29;5180;162;5018
2013-06-30;5178;162;5016
2013-07-01;5171;162;5009
2013-07-02;5164;162;5002
2013-07-03;5165;162;5003
2013-07-04;5162;162;5000
2013-07-05;5152;162;4990
2013-07-06;5154;163;4991
2013-07-07;5151;163;4988
2013-07-08;5151;163;4988
2013-07-09;5153;163;4990
2013-07-10;5145;166;4979
2013-07-11;5145;168;4977
2013-07-12;5146;168;4978
2013-07-13;5129;168;4961
2013-07-15;5125;168;4957
2013-07-16;5123;168;4955
2013-07-17;5123;167;4956
2013-07-18;5122;167;4955
2013-07-19;5121;166;4955
2013-07-20;5122;166;4956
2013-07-21;5119;166;4953
2013-07-22;5116;167;4949
2013-07-24;5111;167;4944
2013-07-25;5110;167;4943
2013-07-26;5110;168;4942
2013-07-27;5098;169;4929
2013-07-28;5091;169;4922
2013-07-29;5090;169;4921
2013-07-30;5090;171;4919
2013-08-01;5091;172;4919
2013-08-02;5095;172;4923
2013-08-03;5092;173;4919
2013-08-04;5089;173;4916
2013-08-05;5090;173;4917
2013-08-06;5090;175;4915
2013-08-07;5091;181;4910
2013-08-08;5095;187;4908
2013-08-10;5092;191;4901
2013-08-11;5083;191;4892
2013-08-12;5080;191;4889
2013-08-13;5078;191;4887
2013-08-14;5085;192;4893
2013-08-15;5084;193;4891
2013-08-16;5081;193;4888
2013-08-18;5082;193;4889
2013-08-19;5079;194;4885
2013-08-20;5079;194;4885
2013-08-21;5079;194;4885
2013-08-22;5081;195;4886
2013-08-23;5082;195;4887
2013-08-24;5083;195;4888
2013-08-26;5080;197;4883
2013-08-27;5080;197;4883
2013-08-28;5079;197;4882
2013-08-29;5074;197;4877
2013-08-30;5076;197;4879
2013-08-31;5073;197;4876
2013-09-02;5071;197;4874
2013-09-03;5073;197;4876
2013-09-04;5071;197;4874
2013-09-05;5057;197;4860
2013-09-06;5059;197;4862
2013-09-07;5055;197;4858
2013-09-08;5053;197;4856
2013-09-10;5054;197;4857
2013-09-11;5050;197;4853
2013-09-12;5051;197;4854
2013-09-13;5051;197;4854
2013-09-14;5046;197;4849
2013-09-15;5046;198;4848
2013-09-17;5047;198;4849
2013-09-18;5045;198;4847
2013-09-19;5042;198;4844
2013-09-20;5043;198;4845
2013-09-21;5042;198;4844
2013-09-23;5039;199;4840
2013-09-24;5039;199;4840
2013-09-25;5037;199;4838
2013-09-26;5038;200;4838
2013-09-27;5038;200;4838
2013-09-28;5036;201;4835
2013-09-30;5037;201;4836
2013-10-01;5037;201;4836
2013-10-02;5035;202;4833
2013-10-03;5035;202;4833
2013-10-05;5033;202;4831
2013-10-06;5034;202;4832
2013-10-07;5033;202;4831
2013-10-08;5032;202;4830
2013-10-09;5028;202;4826
2013-10-10;5028;202;4826
2013-10-12;5026;204;4822
2013-10-13;5025;211;4814
2013-10-14;5024;211;4813
2013-10-15;5023;211;4812
2013-10-16;5022;211;4811
2013-10-17;5022;214;4808
2013-10-19;5027;217;4810
2013-10-20;5027;217;4810
2013-10-21;5026;217;4809
2013-10-22;5024;217;4807
2013-10-23;5025;217;4808
2013-10-25;5029;217;4812
2013-10-26;5027;218;4809
2013-10-27;5024;218;4806
2013-10-28;5022;218;4804
2013-10-29;5022;218;4804
2013-10-31;5022;218;4804
2013-11-01;5020;218;4802
2013-11-02;5020;218;4802
2013-11-03;5018;218;4800
2013-11-04;5016;218;4798
2013-11-06;5016;218;4798
2013-11-07;5015;218;4797
2013-11-08;5016;219;4797
2013-11-09;5011;219;4792
2013-11-11;5012;219;4793
2013-11-12;5004;220;4784
2013-11-13;5004;221;4783
2013-11-14;5004;221;4783
2013-11-16;5003;221;4782
2013-11-17;5002;221;4781
2013-11-18;4998;221;4777
2013-11-19;4996;221;4775
2013-11-20;4997;221;4776
2013-11-22;4997;221;4776
2013-11-23;4998;221;4777
2013-11-24;4998;221;4777
2013-11-25;4993;221;4772
2013-11-26;4994;221;4773
2013-11-28;4994;221;4773
2013-11-29;4993;221;4772
2013-11-30;4995;221;4774
2013-12-01;4994;221;4773
2013-12-03;4993;222;4771
2013-12-04;4993;222;4771
2013-12-05;4994;222;4772
2013-12-06;4993;222;4771
2013-12-08;4993;222;4771
2013-12-09;4992;222;4770
2013-12-10;4988;222;4766
2013-12-11;4984;222;4762
2013-12-13;4981;222;4759
2013-12-14;4981;222;4759
2013-12-15;4979;222;4757
2013-12-16;4977;224;4753
2013-12-18;4975;224;4751
2013-12-19;4975;224;4751
2013-12-20;4970;224;4746
2013-12-21;4971;226;4745
2013-12-23;4970;226;4744
2013-12-24;4968;226;4742
2013-12-25;4970;226;4744
2013-12-27;4968;226;4742
2013-12-28;4968;227;4741
2013-12-29;4968;226;4742
2013-12-30;4968;228;4740
2014-01-01;4968;229;4739
2014-01-02;4967;230;4737
2014-01-03;4969;230;4739
2014-01-05;4967;231;4736
2014-01-06;4963;231;4732
2014-01-07;4962;231;4731
2014-01-08;4960;232;4728
2014-01-10;4961;233;4728
2014-01-11;4958;233;4725
2014-01-12;4957;233;4724
2014-01-14;4957;235;4722
2014-01-15;4956;235;4721
2014-01-16;4955;236;4719
2014-01-17;4952;237;4715
2014-01-19;4951;239;4712
2014-01-20;4951;239;4712
2014-01-21;4954;241;4713
2014-01-22;4954;243;4711
2014-01-24;4956;244;4712
2014-01-25;4954;245;4709
2014-01-26;4952;246;4706
2014-01-28;4956;247;4709
2014-01-30;4955;246;4709
2014-01-31;4953;245;4708
2014-02-01;4949;245;4704
2014-02-02;4949;247;4702
2014-02-04;4947;248;4699
2014-02-05;4947;247;4700
2014-02-06;4947;247;4700
2014-02-07;4948;251;4697
2014-02-09;4949;251;4698
2014-02-10;4946;251;4695
2014-02-11;4950;253;4697
2014-02-13;4947;253;4694
2014-02-14;4944;255;4689
2014-02-15;4941;256;4685
2014-02-17;4940;256;4684
2014-02-18;4940;256;4684
2014-02-19;4945;258;4687
2014-02-21;4949;259;4690
2014-02-22;4946;207;4739
2014-02-23;4946;149;4797
2014-02-25;4946;149;4797
2014-02-26;4944;150;4794
2014-02-27;4943;151;4792
2014-03-01;4944;151;4793
2014-03-02;4943;153;4790
2014-03-03;4944;154;4790
2014-03-05;4942;154;4788
2014-03-06;4945;154;4791
2014-03-07;4946;154;4792
2014-03-09;4946;154;4792
2014-03-10;4944;154;4790
2014-03-12;4945;154;4791
2014-03-13;4944;154;4790
2014-03-14;4936;154;4782
2014-03-16;4936;154;4782
2014-03-17;4934;154;4780
2014-03-18;4932;154;4778
2014-03-20;4936;154;4782
2014-03-21;4933;155;4778
2014-03-22;4936;155;4781
2014-03-24;4931;155;4776
2014-03-25;4932;155;4777
2014-03-26;4929;156;4773
2014-03-28;4930;156;4774
2014-03-29;4935;158;4777
2014-03-31;4932;157;4775
2014-04-01;4932;157;4775
2014-04-02;4930;158;4772
2014-04-03;4931;158;4773
2014-04-05;4936;158;4778
2014-04-06;4937;158;4779
2014-04-07;4935;158;4777
2014-04-09;4935;158;4777
2014-04-10;4931;159;4772
2014-04-12;4932;160;4772
2014-04-13;4932;160;4772
2014-04-14;4932;160;4772
2014-04-16;4930;160;4770
2014-04-17;4931;160;4771
2014-04-18;4928;160;4768
2014-04-20;4926;160;4766
2014-04-21;4925;160;4765
2014-04-22;4924;160;4764
2014-04-24;4920;160;4760
2014-04-25;4918;160;4758
2014-04-27;4919;160;4759
2014-04-28;4918;160;4758
2014-04-29;4916;160;4756
2014-05-01;4919;160;4759
2014-05-02;4920;160;4760
2014-05-03;4919;160;4759
2014-05-05;4919;160;4759