date;followers;following;fans
2013-04-17;10943;316;10627
2013-04-18;10972;318;10654
2013-04-19;11033;319;10714
2013-04-20;11088;319;10769
2013-04-21;11132;319;10813
2013-04-22;11168;319;10849
2013-04-23;11195;319;10876
2013-04-24;11218;319;10899
2013-04-25;11238;319;10919
2013-04-26;11266;320;10946
2013-04-27;11304;320;10984
2013-04-28;11325;320;11005
2013-04-29;11355;320;11035
2013-04-30;11384;320;11064
2013-05-01;11406;321;11085
2013-05-02;11434;321;11113
2013-05-03;11464;321;11143
2013-05-04;11480;322;11158
2013-05-05;11506;322;11184
2013-05-06;11524;322;11202
2013-05-07;11551;322;11229
2013-05-08;11566;324;11242
2013-05-09;11593;327;11266
2013-05-10;11600;327;11273
2013-05-11;11608;326;11282
2013-05-12;11626;327;11299
2013-05-13;11643;328;11315
2013-05-14;11671;329;11342
2013-05-15;11698;331;11367
2013-05-16;11730;335;11395
2013-05-17;11749;335;11414
2013-05-18;11766;335;11431
2013-05-19;11804;336;11468
2013-05-20;11828;336;11492
2013-05-21;11846;338;11508
2013-05-22;11863;340;11523
2013-05-23;11890;339;11551
2013-05-24;11921;337;11584
2013-05-25;11957;340;11617
2013-05-26;11979;340;11639
2013-05-27;12009;340;11669
2013-05-28;12023;342;11681
2013-05-29;12052;346;11706
2013-05-30;12090;348;11742
2013-05-31;12127;348;11779
2013-06-01;12159;349;11810
2013-06-02;12181;349;11832
2013-06-03;12218;350;11868
2013-06-04;12259;351;11908
2013-06-05;12273;356;11917
2013-06-06;12311;360;11951
2013-06-07;12342;361;11981
2013-06-08;12374;364;12010
2013-06-09;12385;364;12021
2013-06-10;12407;364;12043
2013-06-11;12434;366;12068
2013-06-20;12640;369;12271
2013-06-21;12671;369;12302
2013-06-22;12699;370;12329
2013-06-23;12720;370;12350
2013-06-24;12741;370;12371
2013-06-25;12758;372;12386
2013-06-26;12784;371;12413
2013-06-27;12820;373;12447
2013-06-28;12845;373;12472
2013-06-29;12881;374;12507
2013-06-30;12897;374;12523
2013-07-01;12909;374;12535
2013-07-02;12934;376;12558
2013-07-03;12964;378;12586
2013-07-04;13158;381;12777
2013-07-05;13256;385;12871
2013-07-06;13280;386;12894
2013-07-07;13304;385;12919
2013-07-08;13326;385;12941
2013-07-09;13340;385;12955
2013-07-10;13384;386;12998
2013-07-11;13415;391;13024
2013-07-12;13446;393;13053
2013-07-13;13465;398;13067
2013-07-14;13489;401;13088
2013-07-15;13503;402;13101
2013-07-16;13531;402;13129
2013-07-17;13551;403;13148
2013-07-18;13567;402;13165
2013-07-19;13587;402;13185
2013-07-20;13607;403;13204
2013-07-21;13615;403;13212
2013-07-22;13627;403;13224
2013-07-23;13641;404;13237
2013-07-24;13660;405;13255
2013-07-25;13676;407;13269
2013-07-26;13685;407;13278
2013-07-27;13708;408;13300
2013-07-28;13718;407;13311
2013-07-29;13743;407;13336
2013-07-30;13759;407;13352
2013-07-31;13785;408;13377
2013-08-01;13811;411;13400
2013-08-02;13830;412;13418
2013-08-03;13855;413;13442
2013-08-04;13879;413;13466
2013-08-05;13899;413;13486
2013-08-06;13912;413;13499
2013-08-07;13935;417;13518
2013-08-08;13960;418;13542
2013-08-09;13975;419;13556
2013-08-10;14001;419;13582
2013-08-11;14016;419;13597
2013-08-12;14037;419;13618
2013-08-13;14060;419;13641
2013-08-14;14081;419;13662
2013-08-15;14102;419;13683
2013-08-16;14138;420;13718
2013-08-17;14160;420;13740
2013-08-18;14182;420;13762
2013-08-19;14210;420;13790
2013-08-20;14230;420;13810
2013-08-21;14259;420;13839
2013-08-22;14285;421;13864
2013-08-23;14306;421;13885
2013-08-24;14325;421;13904
2013-08-25;14335;421;13914
2013-08-26;14371;421;13950
2013-08-27;14397;421;13976
2013-08-28;14427;422;14005
2013-08-29;14454;421;14033
2013-08-30;14474;420;14054
2013-08-31;14488;420;14068
2013-09-01;14508;420;14088
2013-09-02;14604;420;14184
2013-09-03;14642;420;14222
2013-09-04;14691;421;14270
2013-09-05;14718;421;14297
2013-09-06;14765;421;14344
2013-09-07;14797;421;14376
2013-09-08;14833;421;14412
2013-09-09;14880;423;14457
2013-09-10;14940;423;14517
2013-09-11;14979;425;14554
2013-09-12;15033;427;14606
2013-09-13;15065;427;14638
2013-09-14;15096;428;14668
2013-09-15;15123;428;14695
2013-09-16;15174;428;14746
2013-09-17;15200;428;14772
2013-09-18;15237;429;14808
2013-09-19;15280;429;14851
2013-09-20;15331;429;14902
2013-09-21;15359;429;14930
2013-09-22;15392;429;14963
2013-09-23;15514;429;15085
2013-09-24;15554;429;15125
2013-09-25;15599;430;15169
2013-09-26;15628;430;15198
2013-09-27;15665;430;15235
2013-09-28;15703;432;15271
2013-09-29;15721;432;15289
2013-09-30;15755;432;15323
2013-10-01;15786;433;15353
2013-10-02;15819;435;15384
2013-10-03;15848;436;15412
2013-10-04;15866;437;15429
2013-10-05;15902;437;15465
2013-10-06;15929;437;15492
2013-10-07;15938;437;15501
2013-10-08;15965;439;15526
2013-10-09;15987;441;15546
2013-10-10;16009;441;15568
2013-10-11;16028;442;15586
2013-10-12;16054;442;15612
2013-10-13;16089;458;15631
2013-10-14;16100;458;15642
2013-10-15;16131;462;15669
2013-10-16;16160;466;15694
2013-10-17;16186;470;15716
2013-10-18;16215;475;15740
2013-10-19;16257;483;15774
2013-10-20;16276;483;15793
2013-10-21;16285;484;15801
2013-10-22;16308;488;15820
2013-10-23;16319;488;15831
2013-10-24;16345;489;15856
2013-10-25;16367;493;15874
2013-10-26;16406;496;15910
2013-10-27;16424;496;15928
2013-10-28;16450;496;15954
2013-10-29;16489;500;15989
2013-10-30;16517;511;16006
2013-10-31;16541;512;16029
2013-11-01;16564;515;16049
2013-11-02;16597;516;16081
2013-11-03;16630;517;16113
2013-11-04;16657;519;16138
2013-11-05;16679;520;16159
2013-11-06;16704;522;16182
2013-11-07;16732;526;16206
2013-11-08;16769;532;16237
2013-11-09;16800;532;16268
2013-11-10;16831;532;16299
2013-11-11;16873;532;16341
2013-11-12;16909;532;16377
2013-11-13;16934;533;16401
2013-11-14;16956;533;16423
2013-11-15;16975;536;16439
2013-11-16;17013;539;16474
2013-11-17;17047;539;16508
2013-11-18;17074;540;16534
2013-11-19;17110;542;16568
2013-11-20;17152;542;16610
2013-11-21;17193;542;16651
2013-11-22;17220;542;16678
2013-11-23;17238;544;16694
2013-11-24;17254;545;16709
2013-11-25;17282;545;16737
2013-11-26;17314;546;16768
2013-11-27;17345;546;16799
2013-11-28;17363;547;16816
2013-11-29;17388;547;16841
2013-11-30;17416;549;16867
2013-12-01;17436;549;16887
2013-12-02;17463;550;16913
2013-12-03;17509;550;16959
2013-12-04;17528;550;16978
2013-12-05;17560;557;17003
2013-12-06;17588;558;17030
2013-12-07;17623;559;17064
2013-12-08;17663;559;17104
2013-12-09;17694;560;17134
2013-12-10;17719;560;17159
2013-12-11;17746;562;17184
2013-12-12;17788;569;17219
2013-12-13;17810;575;17235
2013-12-14;17822;576;17246
2013-12-15;17853;576;17277
2013-12-16;17892;576;17316
2013-12-17;17911;577;17334
2013-12-18;17940;577;17363
2013-12-19;17955;578;17377
2013-12-20;17985;580;17405
2013-12-21;18011;581;17430
2013-12-22;18032;581;17451
2013-12-23;18052;581;17471
2013-12-24;18074;581;17493
2013-12-25;18102;581;17521
2013-12-26;18129;581;17548
2013-12-27;18148;581;17567
2013-12-28;18154;581;17573
2013-12-29;18192;581;17611
2013-12-30;18231;581;17650
2013-12-31;18295;581;17714
2014-01-01;18332;581;17751
2014-01-02;18365;583;17782
2014-01-03;18405;583;17822
2014-01-04;18449;583;17866
2014-01-05;18490;583;17907
2014-01-06;18518;583;17935
2014-01-07;18561;586;17975
2014-01-08;18583;589;17994
2014-01-09;18612;589;18023
2014-01-10;18642;590;18052
2014-01-11;18682;591;18091
2014-01-12;18707;591;18116
2014-01-13;18737;592;18145
2014-01-14;18763;592;18171
2014-01-15;18792;593;18199
2014-01-16;18809;594;18215
2014-01-17;18836;593;18243
2014-01-18;18862;595;18267
2014-01-19;18887;596;18291
2014-01-20;18920;596;18324
2014-01-21;18968;598;18370
2014-01-22;19014;598;18416
2014-01-23;19049;600;18449
2014-01-24;19083;601;18482
2014-01-25;19131;601;18530
2014-01-26;19171;601;18570
2014-01-27;19240;601;18639
2014-01-28;19292;602;18690
2014-01-29;19345;604;18741
2014-01-30;19347;604;18743
2014-01-31;19381;604;18777
2014-02-01;19414;605;18809
2014-02-02;19441;605;18836
2014-02-03;19472;605;18867
2014-02-04;19507;605;18902
2014-02-05;19519;605;18914
2014-02-06;19551;605;18946
2014-02-07;19580;608;18972
2014-02-08;19599;609;18990
2014-02-09;19629;609;19020
2014-02-10;19663;609;19054
2014-02-11;19687;609;19078
2014-02-12;19725;609;19116
2014-02-13;19760;609;19151
2014-02-14;19791;609;19182
2014-02-15;19815;611;19204
2014-02-16;19831;611;19220
2014-02-17;19872;611;19261
2014-02-18;19900;611;19289
2014-02-19;19930;611;19319
2014-02-20;19976;612;19364
2014-02-21;20022;612;19410
2014-02-22;20052;612;19440
2014-02-23;20084;612;19472
2014-02-24;20122;612;19510
2014-02-25;20159;614;19545
2014-02-26;20208;615;19593
2014-02-27;20248;615;19633
2014-02-28;20278;615;19663
2014-03-01;20320;615;19705
2014-03-02;20344;615;19729
2014-03-03;20389;615;19774
2014-03-04;20430;616;19814
2014-03-05;20474;616;19858
2014-03-06;20507;616;19891
2014-03-07;20537;616;19921
2014-03-08;20561;616;19945
2014-03-09;20585;616;19969
2014-03-10;20634;616;20018
2014-03-11;20668;616;20052
2014-03-12;20704;616;20088
2014-03-13;20741;616;20125
2014-03-14;20785;618;20167
2014-03-15;20810;618;20192
2014-03-16;20837;618;20219
2014-03-17;20869;621;20248
2014-03-18;20910;621;20289
2014-03-19;20934;621;20313
2014-03-20;20956;621;20335
2014-03-21;20986;622;20364
2014-03-22;21046;623;20423
2014-03-23;21084;625;20459
2014-03-24;21118;625;20493
2014-03-25;21158;625;20533
2014-03-26;21202;625;20577
2014-03-27;21238;626;20612
2014-03-28;21270;626;20644
2014-03-29;21318;626;20692
2014-03-30;21360;626;20734
2014-03-31;21405;626;20779
2014-04-01;21433;626;20807
2014-04-02;21494;626;20868
2014-04-03;21528;626;20902
2014-04-04;21554;626;20928
2014-04-05;21580;626;20954
2014-04-06;21607;626;20981
2014-04-07;21653;626;21027
2014-04-08;21687;626;21061
2014-04-09;21734;626;21108
2014-04-10;21761;626;21135
2014-04-11;21792;629;21163
2014-04-12;21824;629;21195
2014-04-13;21845;629;21216
2014-04-14;21882;629;21253
2014-04-15;21916;630;21286
2014-04-16;21956;631;21325
2014-04-17;21991;631;21360
2014-04-18;22011;631;21380
2014-04-19;22027;631;21396
2014-04-20;22053;632;21421
2014-04-21;22080;633;21447
2014-04-22;22161;633;21528
2014-04-23;22199;633;21566
2014-04-24;22228;633;21595
2014-04-25;22246;633;21613
2014-04-26;22280;633;21647
2014-04-27;22303;633;21670
2014-04-28;22335;634;21701
2014-04-29;22363;634;21729
2014-04-30;22394;635;21759
2014-05-01;22426;636;21790
2014-05-02;22454;636;21818
2014-05-03;22479;636;21843
2014-05-04;22503;637;21866
2014-05-05;22534;639;21895