date;followers;following;fans
2013-04-18;1677;199;1478
2013-04-20;1676;199;1477
2013-04-22;1676;199;1477
2013-04-24;1674;199;1475
2013-04-26;1676;199;1477
2013-04-28;1677;199;1478
2013-04-30;1678;199;1479
2013-05-02;1677;199;1478
2013-05-04;1680;199;1481
2013-05-06;1682;199;1483
2013-05-08;1683;199;1484
2013-05-10;1680;199;1481
2013-05-12;1677;199;1478
2013-05-14;1677;199;1478
2013-05-16;1677;199;1478
2013-05-18;1676;199;1477
2013-05-20;1677;200;1477
2013-05-22;1674;200;1474
2013-05-24;1674;200;1474
2013-05-26;1674;200;1474
2013-05-28;1678;200;1478
2013-05-30;1678;200;1478
2013-06-01;1680;200;1480
2013-06-03;1680;200;1480
2013-06-05;1681;200;1481
2013-06-07;1681;200;1481
2013-06-09;1680;200;1480
2013-06-11;1682;200;1482
2013-06-20;1687;203;1484
2013-06-22;1687;203;1484
2013-06-24;1687;205;1482
2013-06-26;1688;206;1482
2013-06-28;1689;207;1482
2013-06-30;1691;208;1483
2013-07-02;1692;206;1486
2013-07-04;1693;206;1487
2013-07-06;1694;206;1488
2013-07-08;1693;206;1487
2013-07-10;1693;206;1487
2013-07-12;1694;206;1488
2013-07-14;1696;206;1490
2013-07-16;1697;206;1491
2013-07-18;1695;206;1489
2013-07-20;1694;205;1489
2013-07-22;1693;205;1488
2013-07-24;1696;205;1491
2013-07-26;1696;205;1491
2013-07-28;1695;205;1490
2013-07-30;1694;205;1489
2013-08-01;1695;206;1489
2013-08-03;1694;206;1488
2013-08-05;1696;206;1490
2013-08-07;1694;207;1487
2013-08-09;1695;208;1487
2013-08-11;1696;208;1488
2013-08-13;1696;208;1488
2013-08-15;1697;208;1489
2013-08-17;1694;208;1486
2013-08-19;1694;208;1486
2013-08-21;1696;208;1488
2013-08-23;1697;208;1489
2013-08-25;1698;208;1490
2013-08-27;1699;208;1491
2013-08-29;1698;208;1490
2013-08-31;1700;208;1492
2013-09-02;1700;209;1491
2013-09-04;1699;210;1489
2013-09-06;1700;211;1489
2013-09-08;1700;211;1489
2013-09-10;1700;211;1489
2013-09-12;1700;211;1489
2013-09-14;1700;211;1489
2013-09-16;1700;213;1487
2013-09-18;1701;211;1490
2013-09-20;1703;211;1492
2013-09-22;1703;211;1492
2013-09-24;1703;211;1492
2013-09-26;1703;210;1493
2013-09-28;1703;210;1493
2013-09-30;1703;211;1492
2013-10-02;1702;211;1491
2013-10-04;1701;211;1490
2013-10-06;1701;211;1490
2013-10-08;1702;212;1490
2013-10-10;1699;212;1487
2013-10-12;1699;212;1487
2013-10-14;1701;214;1487
2013-10-16;1704;216;1488
2013-10-18;1704;218;1486
2013-10-20;1704;217;1487
2013-10-22;1711;217;1494
2013-10-24;1716;217;1499
2013-10-26;1716;216;1500
2013-10-28;1718;216;1502
2013-10-30;1721;215;1506
2013-11-01;1720;216;1504
2013-11-03;1720;217;1503
2013-11-05;1724;217;1507
2013-11-07;1723;217;1506
2013-11-09;1724;216;1508
2013-11-11;1723;196;1527
2013-11-13;1723;197;1526
2013-11-15;1724;197;1527
2013-11-17;1726;197;1529
2013-11-19;1727;198;1529
2013-11-21;1728;198;1530
2013-11-23;1729;198;1531
2013-11-25;1729;198;1531
2013-11-27;1728;198;1530
2013-11-29;1729;198;1531
2013-12-01;1723;198;1525
2013-12-03;1722;201;1521
2013-12-05;1722;201;1521
2013-12-07;1722;202;1520
2013-12-09;1722;202;1520
2013-12-11;1723;202;1521
2013-12-13;1723;202;1521
2013-12-15;1725;202;1523
2013-12-17;1725;202;1523
2013-12-19;1726;202;1524
2013-12-21;1725;202;1523
2013-12-23;1724;204;1520
2013-12-25;1727;205;1522
2013-12-27;1729;206;1523
2013-12-29;1730;207;1523
2013-12-31;1728;207;1521
2014-01-02;1727;207;1520
2014-01-04;1723;206;1517
2014-01-06;1727;206;1521
2014-01-08;1730;207;1523
2014-01-10;1731;208;1523
2014-01-12;1735;208;1527
2014-01-14;1738;209;1529
2014-01-16;1736;209;1527
2014-01-18;1738;208;1530
2014-01-20;1737;209;1528
2014-01-22;1736;208;1528
2014-01-24;1737;208;1529
2014-01-26;1741;211;1530
2014-01-28;1741;210;1531
2014-01-30;1741;210;1531
2014-02-01;1742;210;1532
2014-02-03;1743;211;1532
2014-02-05;1743;211;1532
2014-02-07;1743;211;1532
2014-02-09;1742;210;1532
2014-02-11;1741;211;1530
2014-02-13;1741;211;1530
2014-02-15;1743;211;1532
2014-02-17;1744;212;1532
2014-02-19;1743;212;1531
2014-02-21;1743;212;1531
2014-02-23;1745;212;1533
2014-02-25;1746;211;1535
2014-02-27;1746;211;1535
2014-03-01;1745;212;1533
2014-03-03;1746;213;1533
2014-03-05;1746;213;1533
2014-03-07;1746;213;1533
2014-03-09;1748;213;1535
2014-03-11;1747;214;1533
2014-03-13;1746;213;1533
2014-03-15;1749;213;1536
2014-03-17;1749;213;1536
2014-03-19;1750;213;1537
2014-03-21;1750;214;1536
2014-03-23;1747;214;1533
2014-03-25;1751;216;1535
2014-03-27;1751;216;1535
2014-03-29;1751;216;1535
2014-03-31;1750;217;1533
2014-04-02;1749;217;1532
2014-04-04;1749;218;1531
2014-04-06;1748;218;1530
2014-04-08;1749;219;1530
2014-04-10;1747;219;1528
2014-04-12;1751;219;1532
2014-04-14;1753;220;1533
2014-04-16;1753;220;1533
2014-04-18;1751;220;1531
2014-04-20;1750;220;1530
2014-04-22;1751;220;1531
2014-04-24;1752;220;1532
2014-04-26;1754;220;1534
2014-04-28;1753;220;1533
2014-04-30;1752;220;1532
2014-05-02;1752;220;1532
2014-05-04;1753;220;1533