date;followers;following;fans
2014-01-18;2373;581;1792
2014-01-20;2373;582;1791
2014-01-22;2378;583;1795
2014-01-24;2378;584;1794
2014-01-26;2376;587;1789
2014-01-28;2393;588;1805
2014-01-30;2401;590;1811
2014-02-01;2409;593;1816
2014-02-03;2410;598;1812
2014-02-05;2412;603;1809
2014-02-07;2417;608;1809
2014-02-09;2418;609;1809
2014-02-11;2422;610;1812
2014-02-13;2429;614;1815
2014-02-15;2440;615;1825
2014-02-17;2441;615;1826
2014-02-19;2453;618;1835
2014-02-21;2457;621;1836
2014-02-23;2462;623;1839
2014-02-25;2468;626;1842
2014-02-27;2470;633;1837
2014-03-01;2474;636;1838
2014-03-03;2473;636;1837
2014-03-05;2473;635;1838
2014-03-07;2477;634;1843
2014-03-09;2475;637;1838
2014-03-11;2480;643;1837
2014-03-13;2489;643;1846
2014-03-15;2504;646;1858
2014-03-17;2509;647;1862
2014-03-19;2513;647;1866
2014-03-21;2513;649;1864
2014-03-23;2516;649;1867
2014-03-25;2532;651;1881
2014-03-27;2535;652;1883
2014-03-29;2538;653;1885
2014-03-31;2541;655;1886
2014-04-02;2550;660;1890
2014-04-04;2560;661;1899
2014-04-06;2564;662;1902
2014-04-08;2571;664;1907
2014-04-11;2576;666;1910
2014-04-13;2577;669;1908
2014-04-15;2584;668;1916
2014-04-17;2590;669;1921
2014-04-19;2589;653;1936
2014-04-21;2595;653;1942
2014-04-23;2602;654;1948
2014-04-25;2610;655;1955
2014-04-27;2615;658;1957
2014-04-29;2619;658;1961
2014-05-01;2629;662;1967
2014-05-03;2634;661;1973
2014-05-05;2638;662;1976