date;followers;following;fans
2013-04-17;1983;497;1486
2013-04-20;1981;498;1483
2013-04-22;1977;499;1478
2013-04-24;1977;500;1477
2013-04-26;1975;502;1473
2013-04-28;1978;502;1476
2013-04-30;1976;502;1474
2013-05-02;1975;502;1473
2013-05-03;1974;505;1469
2013-05-06;1974;506;1468
2013-05-08;1976;508;1468
2013-05-10;1974;508;1466
2013-05-12;1966;508;1458
2013-05-14;1964;508;1456
2013-05-16;1965;510;1455
2013-05-18;1969;511;1458
2013-05-20;1969;511;1458
2013-05-22;1970;510;1460
2013-05-23;1972;510;1462
2013-05-26;1969;511;1458
2013-05-28;1968;513;1455
2013-05-30;1969;514;1455
2013-06-01;1967;514;1453
2013-06-03;1966;516;1450
2013-06-05;1964;517;1447
2013-06-06;1966;517;1449
2013-06-09;1966;519;1447
2013-06-11;1965;519;1446
2013-06-20;1965;519;1446
2013-06-22;1966;519;1447
2013-06-24;1968;519;1449
2013-06-26;1967;519;1448
2013-06-28;1968;519;1449
2013-06-30;1969;519;1450
2013-07-02;1967;519;1448
2013-07-04;1967;519;1448
2013-07-06;1969;521;1448
2013-07-08;1971;521;1450
2013-07-10;1971;521;1450
2013-07-12;1970;521;1449
2013-07-14;1970;521;1449
2013-07-16;1969;521;1448
2013-07-18;1969;521;1448
2013-07-20;1969;520;1449
2013-07-22;1969;522;1447
2013-07-24;1971;524;1447
2013-07-26;1968;524;1444
2013-07-28;1966;524;1442
2013-07-30;1969;524;1445
2013-08-01;1972;524;1448
2013-08-03;1974;524;1450
2013-08-05;1974;524;1450
2013-08-07;1972;524;1448
2013-08-09;1973;524;1449
2013-08-11;1974;524;1450
2013-08-13;1975;524;1451
2013-08-15;1977;530;1447
2013-08-17;1979;531;1448
2013-08-19;1981;531;1450
2013-08-21;1981;531;1450
2013-08-23;1982;531;1451
2013-08-25;1983;531;1452
2013-08-27;1984;531;1453
2013-08-29;1984;532;1452
2013-08-31;1985;533;1452
2013-09-02;1984;533;1451
2013-09-04;1983;533;1450
2013-09-06;1984;533;1451
2013-09-08;1978;104;1874
2013-09-10;1975;105;1870
2013-09-12;1977;106;1871
2013-09-14;1973;111;1862
2013-09-16;1973;111;1862
2013-09-18;1976;111;1865
2013-09-20;1977;110;1867
2013-09-22;1976;110;1866
2013-09-24;1975;110;1865
2013-09-26;1972;110;1862
2013-09-28;1973;110;1863
2013-09-29;1971;110;1861
2013-10-02;1971;110;1861
2013-10-04;1968;110;1858
2013-10-06;1969;110;1859
2013-10-08;1966;110;1856
2013-10-10;1965;110;1855
2013-10-12;1965;110;1855
2013-10-14;1963;110;1853
2013-10-16;1961;110;1851
2013-10-18;1962;111;1851
2013-10-20;1961;111;1850
2013-10-22;1962;111;1851
2013-10-24;1962;111;1851
2013-10-26;1965;111;1854
2013-10-28;1965;111;1854
2013-10-30;1964;111;1853
2013-11-01;1964;111;1853
2013-11-03;1964;111;1853
2013-11-05;1964;111;1853
2013-11-07;1961;112;1849
2013-11-09;1960;112;1848
2013-11-11;1959;112;1847
2013-11-13;1961;112;1849
2013-11-15;1962;112;1850
2013-11-17;1963;112;1851
2013-11-19;1962;112;1850
2013-11-21;1962;112;1850
2013-11-23;1963;112;1851
2013-11-25;1962;112;1850
2013-11-27;1963;112;1851
2013-11-29;1961;112;1849
2013-12-01;1960;112;1848
2013-12-03;1959;112;1847
2013-12-05;1958;112;1846
2013-12-07;1959;113;1846
2013-12-09;1955;114;1841
2013-12-11;1956;114;1842
2013-12-13;1955;114;1841
2013-12-15;1955;114;1841
2013-12-17;1955;114;1841
2013-12-19;1955;116;1839
2013-12-21;1952;116;1836
2013-12-23;1952;116;1836
2013-12-25;1952;116;1836
2013-12-27;1952;116;1836
2013-12-29;1952;116;1836
2013-12-31;1952;117;1835
2014-01-02;1952;117;1835
2014-01-04;1951;117;1834
2014-01-06;1950;117;1833
2014-01-08;1946;121;1825
2014-01-10;1946;121;1825
2014-01-12;1947;121;1826
2014-01-14;1945;122;1823
2014-01-16;1946;122;1824
2014-01-18;1946;123;1823
2014-01-20;1945;123;1822
2014-01-22;1943;123;1820
2014-01-24;1945;123;1822
2014-01-26;1942;122;1820
2014-01-28;1942;123;1819
2014-01-30;1941;122;1819
2014-02-01;1941;123;1818
2014-02-03;1941;125;1816
2014-02-05;1940;126;1814
2014-02-07;1940;126;1814
2014-02-09;1940;127;1813
2014-02-11;1939;128;1811
2014-02-13;1940;129;1811
2014-02-15;1939;130;1809
2014-02-17;1939;131;1808
2014-02-19;1939;132;1807
2014-02-21;1939;132;1807
2014-02-23;1941;132;1809
2014-02-25;1942;132;1810
2014-02-27;1943;133;1810
2014-03-01;1942;133;1809
2014-03-03;1942;134;1808
2014-03-05;1942;134;1808
2014-03-07;1940;133;1807
2014-03-09;1939;133;1806
2014-03-11;1939;138;1801
2014-03-13;1940;138;1802
2014-03-15;1940;138;1802
2014-03-17;1937;137;1800
2014-03-19;1938;136;1802
2014-03-21;1937;136;1801
2014-03-23;1939;137;1802
2014-03-25;1936;137;1799
2014-03-27;1935;139;1796
2014-03-29;1934;139;1795
2014-03-31;1934;139;1795
2014-04-02;1936;139;1797
2014-04-04;1935;140;1795
2014-04-06;1935;141;1794
2014-04-08;1935;141;1794
2014-04-10;1935;141;1794
2014-04-12;1937;141;1796
2014-04-14;1936;141;1795
2014-04-16;1936;141;1795
2014-04-18;1936;142;1794
2014-04-20;1935;143;1792
2014-04-22;1935;143;1792
2014-04-24;1933;143;1790
2014-04-26;1932;143;1789
2014-04-28;1933;145;1788
2014-04-30;1932;145;1787
2014-05-02;1931;145;1786
2014-05-04;1929;145;1784