date;followers;following;fans
2013-07-31;3340;2281;1059
2013-08-02;3346;2282;1064
2013-08-04;3347;2282;1065
2013-08-06;3350;2282;1068
2013-08-08;3350;2280;1070
2013-08-10;3354;2280;1074
2013-08-12;3360;2282;1078
2013-08-14;3362;2283;1079
2013-08-16;3370;2283;1087
2013-08-18;3370;2283;1087
2013-08-20;3372;2286;1086
2013-08-22;3373;2286;1087
2013-08-24;3375;2286;1089
2013-08-26;3376;2287;1089
2013-08-28;3379;2287;1092
2013-08-30;3385;2287;1098
2013-09-01;3391;2288;1103
2013-09-03;3404;2289;1115
2013-09-05;3416;2297;1119
2013-09-07;3422;2304;1118
2013-09-09;3430;2314;1116
2013-09-11;3435;2314;1121
2013-09-13;3439;2314;1125
2013-09-15;3447;2316;1131
2013-09-17;3459;2318;1141
2013-09-19;3463;2317;1146
2013-09-21;3472;2316;1156
2013-09-23;3473;2317;1156
2013-09-25;3479;2316;1163
2013-09-27;3480;2314;1166
2013-09-29;3487;2314;1173
2013-10-01;3489;2311;1178
2013-10-03;3486;2312;1174
2013-10-05;3486;2312;1174
2013-10-07;3486;2313;1173
2013-10-09;3491;2312;1179
2013-10-11;3494;2314;1180
2013-10-13;3498;2329;1169
2013-10-15;3501;2330;1171
2013-10-17;3501;2330;1171
2013-10-19;3504;2330;1174
2013-10-21;3506;2330;1176
2013-10-23;3509;2329;1180
2013-10-25;3512;2329;1183
2013-10-27;3517;2330;1187
2013-10-28;3517;2329;1188
2013-10-31;3518;2327;1191
2013-11-02;3518;2327;1191
2013-11-04;3521;2327;1194
2013-11-06;3526;2325;1201
2013-11-08;3528;2328;1200
2013-11-10;3525;2328;1197
2013-11-12;3529;2328;1201
2013-11-14;3534;2328;1206
2013-11-16;3534;2328;1206
2013-11-18;3539;2328;1211
2013-11-20;3537;2326;1211
2013-11-22;3539;2327;1212
2013-11-23;3539;2329;1210
2013-11-26;3543;2330;1213
2013-11-28;3549;2332;1217
2013-11-30;3555;2331;1224
2013-12-02;3553;2330;1223
2013-12-04;3553;2330;1223
2013-12-06;3557;2330;1227
2013-12-08;3562;2329;1233
2013-12-10;3561;2328;1233
2013-12-12;3564;2328;1236
2013-12-14;3569;2329;1240
2013-12-16;3576;2329;1247
2013-12-18;3578;2329;1249
2013-12-20;3581;2329;1252
2013-12-22;3583;2331;1252
2013-12-24;3585;2331;1254
2013-12-26;3591;2329;1262
2013-12-28;3595;2329;1266
2013-12-30;3592;2329;1263
2014-01-01;3591;2329;1262
2014-01-03;3593;2330;1263
2014-01-05;3594;2330;1264
2014-01-07;3598;2330;1268
2014-01-09;3600;2334;1266
2014-01-11;3608;2334;1274
2014-01-13;3607;2333;1274
2014-01-15;3608;2336;1272
2014-01-17;3608;2334;1274
2014-01-19;3614;2338;1276
2014-01-21;3618;2338;1280
2014-01-23;3624;2340;1284
2014-01-25;3629;2340;1289
2014-01-27;3631;2340;1291
2014-01-29;3633;2343;1290
2014-02-01;3640;2343;1297
2014-02-03;3642;2343;1299
2014-02-05;3641;2343;1298
2014-02-07;3644;2349;1295
2014-02-09;3646;2349;1297
2014-02-11;3645;2351;1294
2014-02-13;3647;2351;1296
2014-02-15;3649;2356;1293
2014-02-17;3651;2355;1296
2014-02-19;3651;2356;1295
2014-02-21;3652;2357;1295
2014-02-23;3658;2358;1300
2014-02-25;3657;2357;1300
2014-02-27;3661;2360;1301
2014-03-01;3662;2359;1303
2014-03-03;3666;2359;1307
2014-03-05;3672;2362;1310
2014-03-07;3669;2362;1307
2014-03-09;3671;2363;1308
2014-03-11;3673;2363;1310
2014-03-13;3674;2366;1308
2014-03-15;3678;2367;1311
2014-03-17;3682;2366;1316
2014-03-19;3683;2375;1308
2014-03-21;3686;2375;1311
2014-03-23;3685;2375;1310
2014-03-25;3690;2379;1311
2014-03-27;3689;2379;1310
2014-03-29;3689;2379;1310
2014-03-31;3698;2379;1319
2014-04-02;3696;2380;1316
2014-04-04;3694;2382;1312
2014-04-06;3696;2385;1311
2014-04-08;3692;2385;1307
2014-04-10;3693;2384;1309
2014-04-12;3695;2384;1311
2014-04-14;3694;2383;1311
2014-04-16;3694;2383;1311
2014-04-18;3696;2385;1311
2014-04-20;3697;2385;1312
2014-04-22;3692;2384;1308
2014-04-24;3694;2385;1309
2014-04-26;3692;2385;1307
2014-04-28;3698;2385;1313
2014-04-30;3698;2384;1314
2014-05-02;3701;2384;1317
2014-05-04;3701;2385;1316