date;followers;following;fans
2014-02-21;1218;94;1124
2014-02-23;1225;94;1131
2014-02-25;1243;94;1149
2014-02-27;1251;94;1157
2014-03-01;1252;94;1158
2014-03-03;1261;95;1166
2014-03-05;1274;95;1179
2014-03-07;1287;95;1192
2014-03-09;1296;96;1200
2014-03-11;1304;97;1207
2014-03-13;1316;98;1218
2014-03-15;1325;100;1225
2014-03-17;1336;101;1235
2014-03-19;1340;102;1238
2014-03-21;1347;102;1245
2014-03-23;1351;102;1249
2014-03-25;1356;103;1253
2014-03-27;1383;104;1279
2014-03-29;1398;106;1292
2014-03-31;1409;108;1301
2014-04-02;1413;109;1304
2014-04-04;1416;110;1306
2014-04-06;1427;110;1317
2014-04-08;1469;112;1357
2014-04-11;1489;111;1378
2014-04-13;1498;111;1387
2014-04-15;1512;111;1401
2014-04-17;1518;111;1407
2014-04-19;1529;111;1418
2014-04-21;1539;111;1428
2014-04-23;1551;111;1440
2014-04-25;1563;112;1451
2014-04-27;1601;113;1488
2014-04-29;1705;113;1592
2014-05-01;1723;113;1610
2014-05-03;1740;113;1627
2014-05-05;1754;113;1641