date;followers;following;fans
2013-04-17;43693;805;42888
2013-04-18;43697;808;42889
2013-04-19;43712;812;42900
2013-04-20;43706;814;42892
2013-04-21;43699;813;42886
2013-04-22;43711;814;42897
2013-04-23;43715;817;42898
2013-04-24;43719;827;42892
2013-04-25;43726;838;42888
2013-04-26;43725;844;42881
2013-04-27;43741;846;42895
2013-04-28;43750;846;42904
2013-04-29;43767;847;42920
2013-04-30;43779;848;42931
2013-05-01;43794;849;42945
2013-05-02;43798;849;42949
2013-05-03;43818;849;42969
2013-05-04;43831;851;42980
2013-05-05;43843;851;42992
2013-05-06;43843;855;42988
2013-05-07;43858;856;43002
2013-05-08;43907;859;43048
2013-05-09;43910;860;43050
2013-05-10;43921;864;43057
2013-05-11;43884;865;43019
2013-05-12;43882;866;43016
2013-05-13;43879;867;43012
2013-05-14;43888;868;43020
2013-05-15;43916;870;43046
2013-05-16;43924;870;43054
2013-05-17;43946;873;43073
2013-05-18;43947;873;43074
2013-05-19;43964;875;43089
2013-05-20;43962;875;43087
2013-05-21;43958;875;43083
2013-05-22;43958;875;43083
2013-05-23;43962;877;43085
2013-05-24;43972;878;43094
2013-05-25;43973;877;43096
2013-05-26;43969;878;43091
2013-05-27;43978;879;43099
2013-05-28;43970;879;43091
2013-05-29;43975;882;43093
2013-05-30;43974;881;43093
2013-05-31;43965;882;43083
2013-06-01;43961;882;43079
2013-06-02;43964;882;43082
2013-06-03;43959;882;43077
2013-06-04;43956;882;43074
2013-06-05;43948;884;43064
2013-06-06;43947;885;43062
2013-06-07;43955;884;43071
2013-06-08;43957;884;43073
2013-06-09;43962;884;43078
2013-06-10;43966;884;43082
2013-06-11;43977;885;43092
2013-06-20;43999;891;43108
2013-06-21;43996;892;43104
2013-06-22;44000;892;43108
2013-06-23;44008;892;43116
2013-06-24;44014;891;43123
2013-06-25;44018;890;43128
2013-06-26;44021;891;43130
2013-06-27;44028;891;43137
2013-06-28;44044;891;43153
2013-06-29;44052;891;43161
2013-06-30;44046;890;43156
2013-07-01;44050;892;43158
2013-07-02;44050;893;43157
2013-07-03;44053;892;43161
2013-07-04;44053;893;43160
2013-07-05;44052;894;43158
2013-07-06;44063;895;43168
2013-07-07;44066;895;43171
2013-07-08;44073;895;43178
2013-07-09;44068;895;43173
2013-07-10;44070;895;43175
2013-07-11;44067;895;43172
2013-07-12;44069;896;43173
2013-07-13;44066;899;43167
2013-07-14;44075;924;43151
2013-07-15;44082;933;43149
2013-07-16;44069;933;43136
2013-07-17;44075;934;43141
2013-07-18;44081;935;43146
2013-07-19;44083;935;43148
2013-07-20;44087;939;43148
2013-07-21;44084;939;43145
2013-07-22;44075;939;43136
2013-07-23;44078;942;43136
2013-07-24;44077;945;43132
2013-07-25;44075;946;43129
2013-07-26;44065;947;43118
2013-07-27;44053;946;43107
2013-07-28;44031;946;43085
2013-07-29;44027;947;43080
2013-07-30;44031;949;43082
2013-07-31;44029;949;43080
2013-08-01;44025;949;43076
2013-08-02;44026;949;43077
2013-08-03;44024;950;43074
2013-08-04;44021;950;43071
2013-08-05;44021;950;43071
2013-08-06;44015;950;43065
2013-08-07;44015;950;43065
2013-08-08;44014;950;43064
2013-08-09;44018;950;43068
2013-08-10;44016;948;43068
2013-08-11;44024;948;43076
2013-08-12;44023;948;43075
2013-08-13;44024;940;43084
2013-08-14;44020;940;43080
2013-08-15;44024;940;43084
2013-08-16;44025;940;43085
2013-08-17;44031;942;43089
2013-08-18;44029;940;43089
2013-08-19;44039;941;43098
2013-08-20;44040;941;43099
2013-08-21;44036;941;43095
2013-08-22;44037;940;43097
2013-08-23;44035;940;43095
2013-08-24;44031;941;43090
2013-08-25;44031;940;43091
2013-08-26;44027;940;43087
2013-08-27;44026;941;43085
2013-08-28;44021;941;43080
2013-08-29;44023;941;43082
2013-08-30;44025;943;43082
2013-08-31;44019;944;43075
2013-09-01;44013;944;43069
2013-09-02;44056;944;43112
2013-09-03;44062;944;43118
2013-09-04;44067;945;43122
2013-09-05;44071;945;43126
2013-09-06;44075;945;43130
2013-09-07;44079;945;43134
2013-09-08;44078;945;43133
2013-09-09;44083;945;43138
2013-09-10;44079;944;43135
2013-09-11;44081;941;43140
2013-09-12;44089;935;43154
2013-09-13;44093;934;43159
2013-09-14;44093;934;43159
2013-09-15;44097;934;43163
2013-09-16;44093;934;43159
2013-09-17;44091;932;43159
2013-09-18;44103;932;43171
2013-09-19;44104;931;43173
2013-09-20;44101;931;43170
2013-09-21;44102;932;43170
2013-09-22;44107;932;43175
2013-09-23;44113;933;43180
2013-09-24;44113;934;43179
2013-09-25;44107;937;43170
2013-09-26;44118;940;43178
2013-09-27;44115;941;43174
2013-09-28;44107;943;43164
2013-09-29;44105;942;43163
2013-09-30;44107;942;43165
2013-10-01;44101;942;43159
2013-10-02;44100;942;43158
2013-10-03;44099;942;43157
2013-10-04;44092;942;43150
2013-10-05;44087;941;43146
2013-10-06;44081;941;43140
2013-10-07;44072;941;43131
2013-10-08;44070;942;43128
2013-10-09;44073;940;43133
2013-10-10;44070;939;43131
2013-10-11;44063;938;43125
2013-10-12;44067;936;43131
2013-10-13;44063;936;43127
2013-10-14;44055;936;43119
2013-10-15;44052;936;43116
2013-10-16;44060;936;43124
2013-10-17;44061;936;43125
2013-10-18;44047;936;43111
2013-10-19;44045;936;43109
2013-10-20;44038;936;43102
2013-10-21;44035;936;43099
2013-10-22;44028;936;43092
2013-10-23;44020;936;43084
2013-10-24;44020;935;43085
2013-10-25;44012;935;43077
2013-10-26;44012;934;43078
2013-10-27;44011;934;43077
2013-10-28;44002;934;43068
2013-10-29;43987;934;43053
2013-10-30;43984;934;43050
2013-10-31;43974;935;43039
2013-11-01;43967;935;43032
2013-11-02;43958;936;43022
2013-11-03;43949;936;43013
2013-11-04;43948;935;43013
2013-11-05;43942;934;43008
2013-11-06;43929;934;42995
2013-11-07;43915;933;42982
2013-11-08;43913;934;42979
2013-11-09;43910;933;42977
2013-11-10;43907;933;42974
2013-11-11;43894;933;42961
2013-11-12;43890;933;42957
2013-11-13;43891;933;42958
2013-11-14;43887;934;42953
2013-11-15;43882;934;42948
2013-11-16;43882;934;42948
2013-11-17;43883;934;42949
2013-11-18;43880;934;42946
2013-11-19;43876;931;42945
2013-11-20;43861;931;42930
2013-11-21;43853;930;42923
2013-11-22;43853;931;42922
2013-11-23;43858;932;42926
2013-11-24;43856;932;42924
2013-11-25;43858;930;42928
2013-11-26;43853;930;42923
2013-11-27;43850;931;42919
2013-11-28;43844;929;42915
2013-11-29;43848;928;42920
2013-11-30;43845;927;42918
2013-12-01;43840;927;42913
2013-12-02;43834;926;42908
2013-12-03;43837;928;42909
2013-12-04;43837;928;42909
2013-12-05;43827;928;42899
2013-12-06;43823;928;42895
2013-12-07;43813;928;42885
2013-12-08;43810;926;42884
2013-12-09;43807;926;42881
2013-12-10;43803;925;42878
2013-12-11;43798;925;42873
2013-12-12;43798;924;42874
2013-12-13;43794;923;42871
2013-12-14;43790;922;42868
2013-12-15;43785;922;42863
2013-12-16;43780;922;42858
2013-12-17;43776;922;42854
2013-12-18;43768;922;42846
2013-12-19;43766;826;42940
2013-12-20;43764;824;42940
2013-12-21;43761;824;42937
2013-12-22;43757;824;42933
2013-12-23;43750;824;42926
2013-12-24;43750;822;42928
2013-12-25;43753;820;42933
2013-12-26;43746;820;42926
2013-12-27;43734;820;42914
2013-12-28;43732;820;42912
2013-12-29;43728;820;42908
2013-12-30;43724;820;42904
2013-12-31;43719;820;42899
2014-01-01;43715;820;42895
2014-01-02;43717;820;42897
2014-01-03;43713;820;42893
2014-01-04;43700;820;42880
2014-01-05;43695;820;42875
2014-01-06;43678;820;42858
2014-01-07;43685;820;42865
2014-01-08;43690;820;42870
2014-01-09;43689;820;42869
2014-01-10;43680;819;42861
2014-01-11;43671;818;42853
2014-01-12;43673;818;42855
2014-01-13;43659;818;42841
2014-01-14;43652;818;42834
2014-01-15;43648;818;42830
2014-01-16;43650;818;42832
2014-01-17;43643;818;42825
2014-01-18;43641;818;42823
2014-01-19;43635;817;42818
2014-01-20;43621;817;42804
2014-01-21;43618;818;42800
2014-01-22;43614;818;42796
2014-01-23;43603;818;42785
2014-01-24;43593;817;42776
2014-01-25;43587;816;42771
2014-01-26;43581;816;42765
2014-01-27;43579;816;42763
2014-01-28;43578;816;42762
2014-01-29;43574;816;42758
2014-01-30;43573;816;42757
2014-01-31;43569;816;42753
2014-02-01;43568;810;42758
2014-02-02;43572;810;42762
2014-02-03;43567;810;42757
2014-02-04;43561;811;42750
2014-02-05;43550;808;42742
2014-02-06;43545;808;42737
2014-02-07;43538;807;42731
2014-02-08;43535;806;42729
2014-02-09;43531;806;42725
2014-02-10;43527;806;42721
2014-02-11;43522;806;42716
2014-02-12;43523;806;42717
2014-02-13;43521;806;42715
2014-02-14;43521;806;42715
2014-02-15;43516;806;42710
2014-02-16;43512;806;42706
2014-02-17;43508;806;42702
2014-02-18;43500;807;42693
2014-02-19;43502;807;42695
2014-02-20;43497;806;42691
2014-02-21;43492;806;42686
2014-02-22;43489;805;42684
2014-02-23;43481;804;42677
2014-02-24;43478;804;42674
2014-02-25;43475;804;42671
2014-02-26;43470;804;42666
2014-02-27;43468;800;42668
2014-02-28;43461;799;42662
2014-03-01;43454;799;42655
2014-03-02;43450;799;42651
2014-03-03;43440;799;42641
2014-03-04;43437;800;42637
2014-03-05;43433;800;42633
2014-03-06;43442;800;42642
2014-03-07;43441;800;42641
2014-03-08;43437;800;42637
2014-03-09;43439;801;42638
2014-03-10;43439;800;42639
2014-03-11;43433;800;42633
2014-03-12;43438;800;42638
2014-03-13;43434;800;42634
2014-03-14;43436;800;42636
2014-03-15;43432;800;42632
2014-03-16;43425;800;42625
2014-03-17;43417;799;42618
2014-03-18;43422;799;42623
2014-03-19;43421;799;42622
2014-03-20;43423;799;42624
2014-03-21;43414;799;42615
2014-03-22;43404;800;42604
2014-03-23;43402;800;42602
2014-03-24;43396;800;42596
2014-03-25;43398;800;42598
2014-03-26;43395;800;42595
2014-03-27;43387;800;42587
2014-03-28;43387;800;42587
2014-03-29;43385;800;42585
2014-03-30;43381;800;42581
2014-03-31;43379;800;42579
2014-04-01;43378;800;42578
2014-04-02;43379;798;42581
2014-04-03;43377;798;42579
2014-04-04;43372;794;42578
2014-04-05;43375;792;42583
2014-04-06;43371;790;42581
2014-04-07;43375;770;42605
2014-04-08;43357;770;42587
2014-04-09;43360;770;42590
2014-04-10;43357;770;42587
2014-04-11;43353;770;42583
2014-04-12;43355;770;42585
2014-04-13;43355;770;42585
2014-04-14;43353;770;42583
2014-04-15;43349;770;42579
2014-04-16;43341;770;42571
2014-04-17;43339;770;42569
2014-04-18;43341;770;42571
2014-04-19;43336;770;42566
2014-04-20;43329;770;42559
2014-04-21;43328;770;42558
2014-04-22;43328;770;42558
2014-04-23;43328;770;42558
2014-04-24;43323;770;42553
2014-04-25;43312;766;42546
2014-04-26;43313;766;42547
2014-04-27;43309;766;42543
2014-04-28;43299;767;42532
2014-04-29;43304;766;42538
2014-04-30;43300;766;42534
2014-05-01;43300;760;42540
2014-05-02;43304;760;42544
2014-05-03;43303;760;42543
2014-05-04;43301;760;42541
2014-05-05;43295;750;42545
2014-05-06;43285;750;42535