date;followers;following;fans
2014-02-22;2249;1249;1000
2014-02-24;2251;1249;1002
2014-02-26;2258;1251;1007
2014-02-28;2256;1252;1004
2014-03-02;2260;1252;1008
2014-03-04;2263;1252;1011
2014-03-06;2271;1254;1017
2014-03-08;2273;1255;1018
2014-03-10;2274;1256;1018
2014-03-12;2276;1258;1018
2014-03-14;2279;1260;1019
2014-03-16;2286;1261;1025
2014-03-18;2289;1263;1026
2014-03-20;2294;1264;1030
2014-03-22;2297;1264;1033
2014-03-24;2301;1265;1036
2014-03-26;2311;1266;1045
2014-03-28;2319;1272;1047
2014-03-30;2321;1276;1045
2014-04-01;2323;1277;1046
2014-04-03;2323;1277;1046
2014-04-05;2328;1277;1051
2014-04-07;2328;1278;1050
2014-04-09;2333;1278;1055
2014-04-11;2339;1278;1061
2014-04-13;2340;1282;1058
2014-04-15;2340;1283;1057
2014-04-17;2336;1283;1053
2014-04-19;2338;1283;1055
2014-04-21;2341;1284;1057
2014-04-23;2338;1285;1053
2014-04-25;2339;1285;1054
2014-04-27;2341;1286;1055
2014-04-29;2341;1287;1054
2014-05-01;2345;1287;1058
2014-05-03;2345;1288;1057
2014-05-05;2343;1288;1055