date;followers;following;fans
2013-11-01;1643;640;1003
2013-11-03;1640;639;1001
2013-11-06;1649;639;1010
2013-11-08;1652;641;1011
2013-11-10;1651;645;1006
2013-11-12;1658;648;1010
2013-11-14;1661;649;1012
2013-11-16;1665;652;1013
2013-11-18;1672;655;1017
2013-11-19;1672;654;1018
2013-11-21;1675;654;1021
2013-11-23;1677;658;1019
2013-11-26;1679;659;1020
2013-11-28;1680;660;1020
2013-11-30;1683;661;1022
2013-12-02;1680;664;1016
2013-12-04;1677;664;1013
2013-12-05;1679;668;1011
2013-12-08;1682;662;1020
2013-12-10;1680;662;1018
2013-12-17;1684;661;1023
2013-12-19;1686;663;1023
2013-12-21;1690;662;1028
2013-12-23;1699;667;1032
2013-12-24;1699;667;1032
2013-12-27;1703;667;1036
2013-12-29;1707;673;1034
2013-12-31;1717;673;1044
2014-01-02;1718;680;1038
2014-01-04;1722;683;1039
2014-01-06;1724;683;1041
2014-01-08;1725;686;1039
2014-01-10;1731;687;1044
2014-01-12;1735;686;1049
2014-01-14;1742;687;1055
2014-01-16;1747;688;1059
2014-01-18;1747;692;1055
2014-01-20;1752;689;1063
2014-01-22;1761;692;1069
2014-01-24;1775;651;1124
2014-01-26;1798;654;1144
2014-01-28;1804;653;1151
2014-01-30;1808;659;1149
2014-02-01;1822;663;1159
2014-02-03;1837;663;1174
2014-02-05;1837;664;1173
2014-02-07;1843;667;1176
2014-02-09;1855;666;1189
2014-02-11;1865;670;1195
2014-02-13;1874;676;1198
2014-02-15;1875;675;1200
2014-02-17;1876;674;1202
2014-02-19;1878;677;1201
2014-02-21;1881;680;1201
2014-02-23;1882;681;1201
2014-02-25;1888;682;1206
2014-02-27;1891;682;1209
2014-03-01;1900;685;1215
2014-03-03;1903;687;1216
2014-03-05;1905;688;1217
2014-03-07;1915;692;1223
2014-03-09;1922;696;1226
2014-03-16;1927;701;1226
2014-03-18;1931;701;1230
2014-03-20;1936;700;1236
2014-03-22;1951;705;1246
2014-03-24;1953;711;1242
2014-03-26;1965;713;1252
2014-03-28;1967;714;1253
2014-03-30;1978;717;1261
2014-04-01;1984;716;1268
2014-04-03;1991;720;1271
2014-04-05;1993;724;1269
2014-04-07;1988;728;1260
2014-04-09;2007;730;1277
2014-04-11;2014;732;1282
2014-04-13;2023;733;1290
2014-04-15;2026;733;1293
2014-04-17;2028;735;1293
2014-04-19;2041;737;1304
2014-04-21;2043;741;1302
2014-04-23;2050;741;1309
2014-04-25;2055;743;1312
2014-04-27;2063;745;1318
2014-04-29;2060;747;1313
2014-05-01;2060;749;1311
2014-05-03;2063;751;1312
2014-05-05;2085;753;1332