date;followers;following;fans
2013-04-18;2126;119;2007
2013-04-20;2126;119;2007
2013-04-22;2129;119;2010
2013-04-24;2130;119;2011
2013-04-26;2129;119;2010
2013-04-28;2130;123;2007
2013-04-30;2132;123;2009
2013-05-02;2133;123;2010
2013-05-04;2134;123;2011
2013-05-06;2133;123;2010
2013-05-08;2141;123;2018
2013-05-10;2145;123;2022
2013-05-12;2144;121;2023
2013-05-14;2148;122;2026
2013-05-16;2150;122;2028
2013-05-18;2156;123;2033
2013-05-20;2156;123;2033
2013-05-22;2157;123;2034
2013-05-24;2157;123;2034
2013-05-26;2158;123;2035
2013-05-28;2160;123;2037
2013-05-30;2165;123;2042
2013-06-01;2167;123;2044
2013-06-03;2171;123;2048
2013-06-05;2175;123;2052
2013-06-07;2174;123;2051
2013-06-09;2177;123;2054
2013-06-11;2172;123;2049
2013-06-20;2189;142;2047
2013-06-22;2186;142;2044
2013-06-24;2189;142;2047
2013-06-26;2191;143;2048
2013-06-28;2194;144;2050
2013-06-30;2193;144;2049
2013-07-02;2196;144;2052
2013-07-04;2199;145;2054
2013-07-06;2203;145;2058
2013-07-08;2210;145;2065
2013-07-10;2212;145;2067
2013-07-12;2214;145;2069
2013-07-14;2215;145;2070
2013-07-16;2216;145;2071
2013-07-18;2214;145;2069
2013-07-20;2215;145;2070
2013-07-22;2215;145;2070
2013-07-24;2216;145;2071
2013-07-26;2222;145;2077
2013-07-28;2222;145;2077
2013-07-30;2223;145;2078
2013-08-01;2225;145;2080
2013-08-03;2224;145;2079
2013-08-05;2228;145;2083
2013-08-07;2228;145;2083
2013-08-09;2231;145;2086
2013-08-11;2233;145;2088
2013-08-13;2232;145;2087
2013-08-15;2235;145;2090
2013-08-17;2236;145;2091
2013-08-19;2237;145;2092
2013-08-21;2236;145;2091
2013-08-23;2237;145;2092
2013-08-25;2239;145;2094
2013-08-27;2239;145;2094
2013-08-29;2241;145;2096
2013-08-31;2248;145;2103
2013-09-02;2252;145;2107
2013-09-04;2259;145;2114
2013-09-06;2260;145;2115
2013-09-08;2260;145;2115
2013-09-10;2260;145;2115
2013-09-12;2259;145;2114
2013-09-14;2260;145;2115
2013-09-16;2261;145;2116
2013-09-18;2260;145;2115
2013-09-20;2262;145;2117
2013-09-22;2263;145;2118
2013-09-24;2265;145;2120
2013-09-26;2268;145;2123
2013-09-28;2264;145;2119
2013-09-30;2267;145;2122
2013-10-02;2268;145;2123
2013-10-04;2273;145;2128
2013-10-06;2274;145;2129
2013-10-08;2277;145;2132
2013-10-10;2283;145;2138
2013-10-12;2286;145;2141
2013-10-14;2286;145;2141
2013-10-16;2285;145;2140
2013-10-18;2285;145;2140
2013-10-20;2288;145;2143
2013-10-22;2290;146;2144
2013-10-24;2292;146;2146
2013-10-26;2294;146;2148
2013-10-28;2298;146;2152
2013-10-30;2299;146;2153
2013-11-01;2303;146;2157
2013-11-03;2303;146;2157
2013-11-05;2305;146;2159
2013-11-07;2303;146;2157
2013-11-09;2306;147;2159
2013-11-11;2306;147;2159
2013-11-13;2306;147;2159
2013-11-15;2308;148;2160
2013-11-17;2308;148;2160
2013-11-19;2306;149;2157
2013-11-21;2308;150;2158
2013-11-23;2309;150;2159
2013-11-25;2309;150;2159
2013-11-27;2310;150;2160
2013-11-29;2310;150;2160
2013-12-01;2316;150;2166
2013-12-03;2317;150;2167
2013-12-05;2318;150;2168
2013-12-07;2318;150;2168
2013-12-09;2321;150;2171
2013-12-11;2322;150;2172
2013-12-13;2325;150;2175
2013-12-15;2324;150;2174
2013-12-17;2320;150;2170
2013-12-19;2320;150;2170
2013-12-21;2320;150;2170
2013-12-23;2319;150;2169
2013-12-25;2320;150;2170
2013-12-27;2322;150;2172
2013-12-29;2321;150;2171
2013-12-31;2323;151;2172
2014-01-02;2329;151;2178
2014-01-04;2330;151;2179
2014-01-06;2329;151;2178
2014-01-08;2330;151;2179
2014-01-10;2337;151;2186
2014-01-12;2338;152;2186
2014-01-14;2338;152;2186
2014-01-16;2338;152;2186
2014-01-18;2336;152;2184
2014-01-20;2340;153;2187
2014-01-22;2343;154;2189
2014-01-24;2349;154;2195
2014-01-26;2356;154;2202
2014-01-28;2360;154;2206
2014-01-30;2359;154;2205
2014-02-01;2363;154;2209
2014-02-03;2365;154;2211
2014-02-05;2367;155;2212
2014-02-07;2370;155;2215
2014-02-09;2371;155;2216
2014-02-11;2369;155;2214
2014-02-13;2367;155;2212
2014-02-15;2366;155;2211
2014-02-17;2366;155;2211
2014-02-19;2367;155;2212
2014-02-21;2370;155;2215
2014-02-23;2377;155;2222
2014-02-25;2376;155;2221
2014-02-27;2380;155;2225
2014-03-01;2379;155;2224
2014-03-03;2378;155;2223
2014-03-05;2382;155;2227
2014-03-07;2385;155;2230
2014-03-09;2387;155;2232
2014-03-11;2391;155;2236
2014-03-13;2393;156;2237
2014-03-15;2394;156;2238
2014-03-17;2396;156;2240
2014-03-19;2396;156;2240
2014-03-21;2396;156;2240
2014-03-23;2399;156;2243
2014-03-25;2403;156;2247
2014-03-27;2404;156;2248
2014-03-29;2402;156;2246
2014-03-31;2403;156;2247
2014-04-02;2406;156;2250
2014-04-04;2404;156;2248
2014-04-06;2407;156;2251
2014-04-08;2409;156;2253
2014-04-10;2416;156;2260
2014-04-12;2415;156;2259
2014-04-14;2413;156;2257
2014-04-16;2414;156;2258
2014-04-18;2414;156;2258
2014-04-20;2416;156;2260
2014-04-22;2415;156;2259
2014-04-24;2412;156;2256
2014-04-26;2412;156;2256
2014-04-28;2415;156;2259
2014-04-30;2412;156;2256
2014-05-02;2415;156;2259
2014-05-04;2415;156;2259