date;followers;following;fans
2013-04-18;1826;292;1534
2013-04-20;1831;293;1538
2013-04-22;1831;294;1537
2013-04-24;1852;296;1556
2013-04-26;1857;298;1559
2013-04-28;1862;301;1561
2013-04-30;1868;301;1567
2013-05-02;1870;301;1569
2013-05-04;1872;301;1571
2013-05-06;1871;301;1570
2013-05-08;1885;303;1582
2013-05-10;1887;306;1581
2013-05-12;1890;306;1584
2013-05-14;1898;307;1591
2013-05-16;1898;308;1590
2013-05-18;1905;313;1592
2013-05-20;1924;318;1606
2013-05-22;1928;318;1610
2013-05-24;1928;318;1610
2013-05-26;1933;318;1615
2013-05-28;1931;318;1613
2013-05-30;1933;318;1615
2013-06-01;1934;318;1616
2013-06-03;1935;318;1617
2013-06-05;1937;318;1619
2013-06-07;1944;319;1625
2013-06-09;1951;319;1632
2013-06-11;1956;319;1637
2013-06-20;1999;325;1674
2013-06-22;1998;347;1651
2013-06-24;1997;347;1650
2013-06-26;1997;347;1650
2013-06-28;2003;347;1656
2013-06-30;2004;347;1657
2013-07-02;2011;347;1664
2013-07-04;2020;348;1672
2013-07-06;2023;352;1671
2013-07-08;2023;353;1670
2013-07-10;2027;353;1674
2013-07-12;2030;353;1677
2013-07-14;2031;353;1678
2013-07-16;2031;353;1678
2013-07-18;2032;353;1679
2013-07-20;2034;353;1681
2013-07-22;2032;353;1679
2013-07-24;2035;353;1682
2013-07-26;2036;362;1674
2013-07-28;2036;362;1674
2013-07-30;2039;364;1675
2013-08-01;2045;364;1681
2013-08-03;2047;364;1683
2013-08-05;2051;366;1685
2013-08-07;2057;366;1691
2013-08-09;2068;366;1702
2013-08-11;2071;366;1705
2013-08-13;2070;366;1704
2013-08-15;2071;366;1705
2013-08-17;2070;366;1704
2013-08-19;2070;367;1703
2013-08-21;2074;367;1707
2013-08-23;2078;369;1709
2013-08-25;2081;370;1711
2013-08-27;2083;370;1713
2013-08-29;2087;375;1712
2013-08-31;2094;375;1719
2013-09-02;2104;376;1728
2013-09-04;2105;377;1728
2013-09-06;2111;377;1734
2013-09-08;2112;377;1735
2013-09-10;2113;377;1736
2013-09-12;2119;378;1741
2013-09-14;2115;378;1737
2013-09-16;2125;378;1747
2013-09-18;2160;379;1781
2013-09-20;2162;379;1783
2013-09-22;2166;380;1786
2013-09-24;2173;380;1793
2013-09-26;2183;380;1803
2013-09-28;2183;380;1803
2013-09-30;2182;380;1802
2013-10-02;2186;380;1806
2013-10-04;2194;380;1814
2013-10-06;2192;380;1812
2013-10-08;2196;380;1816
2013-10-10;2193;380;1813
2013-10-12;2201;381;1820
2013-10-14;2204;381;1823
2013-10-16;2218;381;1837
2013-10-18;2222;381;1841
2013-10-20;2223;382;1841
2013-10-22;2222;383;1839
2013-10-24;2226;383;1843
2013-10-26;2265;384;1881
2013-10-28;2297;389;1908
2013-10-30;2325;389;1936
2013-11-01;2330;389;1941
2013-11-03;2334;390;1944
2013-11-05;2341;390;1951
2013-11-07;2343;388;1955
2013-11-09;2351;389;1962
2013-11-11;2351;390;1961
2013-11-13;2351;391;1960
2013-11-15;2351;391;1960
2013-11-17;2355;391;1964
2013-11-19;2354;391;1963
2013-11-21;2356;392;1964
2013-11-23;2354;392;1962
2013-11-25;2359;393;1966
2013-11-27;2363;393;1970
2013-11-29;2365;393;1972
2013-12-01;2391;393;1998
2013-12-03;2395;395;2000
2013-12-05;2398;396;2002
2013-12-07;2400;402;1998
2013-12-09;2402;402;2000
2013-12-11;2399;402;1997
2013-12-13;2432;405;2027
2013-12-15;2437;405;2032
2013-12-17;2451;405;2046
2013-12-19;2455;408;2047
2013-12-21;2454;408;2046
2013-12-23;2455;408;2047
2013-12-25;2454;408;2046
2013-12-27;2454;408;2046
2013-12-29;2455;408;2047
2013-12-31;2454;408;2046
2014-01-02;2457;409;2048
2014-01-04;2466;410;2056
2014-01-06;2468;409;2059
2014-01-08;2475;409;2066
2014-01-10;2475;409;2066
2014-01-12;2478;409;2069
2014-01-14;2482;410;2072
2014-01-16;2487;410;2077
2014-01-18;2493;411;2082
2014-01-20;2492;411;2081
2014-01-22;2498;411;2087
2014-01-24;2500;414;2086
2014-01-26;2504;414;2090
2014-01-28;2504;414;2090
2014-01-30;2505;414;2091
2014-02-01;2506;414;2092
2014-02-03;2505;414;2091
2014-02-05;2549;415;2134
2014-02-07;2553;415;2138
2014-02-09;2553;415;2138
2014-02-11;2551;415;2136
2014-02-13;2586;415;2171
2014-02-15;2594;415;2179
2014-02-17;2592;415;2177
2014-02-19;2630;416;2214
2014-02-21;2634;416;2218
2014-02-23;2633;416;2217
2014-02-25;2638;416;2222
2014-02-27;2642;422;2220
2014-03-01;2644;422;2222
2014-03-03;2653;442;2211
2014-03-05;2652;442;2210
2014-03-07;2664;443;2221
2014-03-09;2665;443;2222
2014-03-11;2664;443;2221
2014-03-13;2693;443;2250
2014-03-15;2698;445;2253
2014-03-17;2705;447;2258
2014-03-19;2712;447;2265
2014-03-21;2718;448;2270
2014-03-23;2722;448;2274
2014-03-25;2722;449;2273
2014-03-27;2723;450;2273
2014-03-29;2774;453;2321
2014-03-31;2788;453;2335
2014-04-02;2793;455;2338
2014-04-04;2801;455;2346
2014-04-06;2806;457;2349
2014-04-08;2820;458;2362
2014-04-10;2822;459;2363
2014-04-12;2826;459;2367
2014-04-14;2829;459;2370
2014-04-16;2831;459;2372
2014-04-18;2832;459;2373
2014-04-20;2834;459;2375
2014-04-22;2837;459;2378
2014-04-24;2837;459;2378
2014-04-26;2837;459;2378
2014-04-28;2841;459;2382
2014-04-30;2846;461;2385
2014-05-02;2846;461;2385
2014-05-04;2848;461;2387