date;followers;following;fans
2013-04-17;16204;1496;14708
2013-04-18;16200;1496;14704
2013-04-19;16197;1496;14701
2013-04-20;16195;1495;14700
2013-04-21;16191;1493;14698
2013-04-22;16193;1493;14700
2013-04-23;16188;1494;14694
2013-04-24;16187;1495;14692
2013-04-25;16189;1496;14693
2013-04-26;16184;1496;14688
2013-04-27;16184;1497;14687
2013-04-28;16186;1497;14689
2013-04-29;16178;1496;14682
2013-04-30;16179;1496;14683
2013-05-01;16179;1496;14683
2013-05-02;16178;1495;14683
2013-05-03;16174;1496;14678
2013-05-04;16173;1496;14677
2013-05-05;16172;1497;14675
2013-05-06;16172;1497;14675
2013-05-07;16170;1497;14673
2013-05-08;16171;1498;14673
2013-05-09;16168;1498;14670
2013-05-10;16166;1497;14669
2013-05-11;16115;1497;14618
2013-05-12;16116;1498;14618
2013-05-13;16115;1497;14618
2013-05-14;16118;1496;14622
2013-05-15;16134;1495;14639
2013-05-16;16141;1494;14647
2013-05-17;16149;1494;14655
2013-05-18;16152;1495;14657
2013-05-19;16148;1497;14651
2013-05-20;16148;1497;14651
2013-05-21;16150;1497;14653
2013-05-22;16144;1498;14646
2013-05-23;16139;1501;14638
2013-05-24;16140;1500;14640
2013-05-25;16136;1500;14636
2013-05-26;16132;1500;14632
2013-05-27;16128;1500;14628
2013-05-28;16128;1499;14629
2013-05-29;16123;1500;14623
2013-05-30;16120;1502;14618
2013-05-31;16115;1503;14612
2013-06-01;16114;1507;14607
2013-06-02;16107;1508;14599
2013-06-03;16106;1508;14598
2013-06-04;16107;1508;14599
2013-06-05;16095;1507;14588
2013-06-06;16091;1507;14584
2013-06-07;16092;1506;14586
2013-06-08;16087;1506;14581
2013-06-09;16087;1506;14581
2013-06-10;16086;1508;14578
2013-06-11;16079;1509;14570
2013-06-20;16061;1515;14546
2013-06-21;16061;1517;14544
2013-06-22;16057;1517;14540
2013-06-23;16054;1516;14538
2013-06-24;16050;1517;14533
2013-06-25;16052;1517;14535
2013-06-26;16052;1518;14534
2013-06-27;16050;1518;14532
2013-06-28;16050;1518;14532
2013-06-29;16049;1518;14531
2013-06-30;16041;1517;14524
2013-07-01;16040;1518;14522
2013-07-02;16041;1518;14523
2013-07-03;16038;1518;14520
2013-07-04;16036;1517;14519
2013-07-05;16035;1517;14518
2013-07-06;16035;1517;14518
2013-07-07;16033;1517;14516
2013-07-08;16033;1517;14516
2013-07-09;16031;1519;14512
2013-07-10;16029;1519;14510
2013-07-11;16026;1520;14506
2013-07-12;16023;1520;14503
2013-07-13;16018;1520;14498
2013-07-14;16014;1522;14492
2013-07-15;16015;1522;14493
2013-07-16;16016;1523;14493
2013-07-17;16011;1523;14488
2013-07-18;16009;1524;14485
2013-07-19;16007;1524;14483
2013-07-20;16010;1523;14487
2013-07-21;16006;1524;14482
2013-07-22;16005;1524;14481
2013-07-23;16001;1524;14477
2013-07-24;16002;1525;14477
2013-07-25;16000;1525;14475
2013-07-26;16002;1524;14478
2013-07-27;15988;1523;14465
2013-07-28;15980;1522;14458
2013-07-29;15978;1522;14456
2013-07-30;15973;1522;14451
2013-07-31;15975;1522;14453
2013-08-01;15977;1522;14455
2013-08-02;15976;1522;14454
2013-08-03;15975;1522;14453
2013-08-04;15974;1522;14452
2013-08-05;15972;1522;14450
2013-08-06;15966;1521;14445
2013-08-07;15965;1521;14444
2013-08-08;15965;1521;14444
2013-08-09;15961;1521;14440
2013-08-10;15965;1521;14444
2013-08-11;15962;1522;14440
2013-08-12;15958;1521;14437
2013-08-13;15959;1521;14438
2013-08-14;15955;1521;14434
2013-08-15;15958;1521;14437
2013-08-16;15957;1521;14436
2013-08-17;15955;1522;14433
2013-08-18;15954;1522;14432
2013-08-19;15954;1523;14431
2013-08-20;15951;1523;14428
2013-08-21;15950;1522;14428
2013-08-22;15950;1522;14428
2013-08-23;15951;1522;14429
2013-08-24;15950;1521;14429
2013-08-25;15954;1521;14433
2013-08-26;15952;1521;14431
2013-08-27;15951;1520;14431
2013-08-28;15952;1519;14433
2013-08-29;15953;1519;14434
2013-08-30;15952;1519;14433
2013-08-31;15954;1520;14434
2013-09-01;15952;1520;14432
2013-09-02;15949;1521;14428
2013-09-03;15947;1521;14426
2013-09-04;15944;1521;14423
2013-09-05;15943;1521;14422
2013-09-06;15942;1521;14421
2013-09-07;15940;1521;14419
2013-09-08;15943;1521;14422
2013-09-09;15943;1521;14422
2013-09-10;15941;1522;14419
2013-09-11;15939;1521;14418
2013-09-12;15935;1520;14415
2013-09-13;15932;1520;14412
2013-09-14;15933;1519;14414
2013-09-15;15934;1520;14414
2013-09-16;15933;1522;14411
2013-09-17;15932;1522;14410
2013-09-18;15930;1521;14409
2013-09-19;15930;1520;14410
2013-09-20;15929;1518;14411
2013-09-21;15929;1519;14410
2013-09-22;15925;1519;14406
2013-09-23;15931;1522;14409
2013-09-24;15925;1521;14404
2013-09-25;15918;1520;14398
2013-09-26;15915;1520;14395
2013-09-27;15912;1518;14394
2013-09-28;15906;1520;14386
2013-09-29;15900;1519;14381
2013-09-30;15893;1519;14374
2013-10-01;15893;1520;14373
2013-10-02;15887;1519;14368
2013-10-03;15884;1519;14365
2013-10-04;15883;1519;14364
2013-10-05;15882;1521;14361
2013-10-06;15877;1524;14353
2013-10-07;15872;1525;14347
2013-10-08;15869;1524;14345
2013-10-09;15865;1526;14339
2013-10-10;15864;1526;14338
2013-10-11;15861;1526;14335
2013-10-12;15859;1525;14334
2013-10-13;15857;1525;14332
2013-10-14;15851;1528;14323
2013-10-15;15844;1529;14315
2013-10-16;15843;1530;14313
2013-10-17;15843;1530;14313
2013-10-18;15832;1530;14302
2013-10-19;15828;1529;14299
2013-10-20;15827;1529;14298
2013-10-21;15819;1530;14289
2013-10-22;15817;1532;14285
2013-10-23;15818;1532;14286
2013-10-24;15818;1531;14287
2013-10-25;15817;1531;14286
2013-10-26;15813;1531;14282
2013-10-27;15815;1531;14284
2013-10-28;15808;1531;14277
2013-10-29;15806;1531;14275
2013-10-30;15803;1531;14272
2013-10-31;15799;1531;14268
2013-11-01;15797;1531;14266
2013-11-02;15801;1531;14270
2013-11-03;15794;1531;14263
2013-11-04;15789;1531;14258
2013-11-05;15786;1530;14256
2013-11-06;15781;1530;14251
2013-11-07;15777;1529;14248
2013-11-08;15773;1529;14244
2013-11-09;15773;1529;14244
2013-11-10;15770;1530;14240
2013-11-11;15767;1530;14237
2013-11-12;15765;1531;14234
2013-11-13;15764;1531;14233
2013-11-14;15761;1531;14230
2013-11-15;15753;1530;14223
2013-11-16;15752;1530;14222
2013-11-17;15748;1530;14218
2013-11-18;15748;1530;14218
2013-11-19;15743;1532;14211
2013-11-20;15738;1533;14205
2013-11-21;15735;1534;14201
2013-11-22;15729;1534;14195
2013-11-23;15726;1533;14193
2013-11-24;15723;1533;14190
2013-11-25;15718;1533;14185
2013-11-26;15717;1533;14184
2013-11-27;15713;1534;14179
2013-11-28;15711;1534;14177
2013-11-29;15712;1534;14178
2013-11-30;15712;1534;14178
2013-12-01;15709;1533;14176
2013-12-02;15706;1533;14173
2013-12-03;15700;1533;14167
2013-12-04;15699;1533;14166
2013-12-05;15691;1533;14158
2013-12-06;15689;1533;14156
2013-12-07;15693;1533;14160
2013-12-08;15689;1533;14156
2013-12-09;15683;1533;14150
2013-12-10;15682;1534;14148
2013-12-11;15679;1534;14145
2013-12-12;15680;1534;14146
2013-12-13;15676;1534;14142
2013-12-14;15674;1534;14140
2013-12-15;15671;1534;14137
2013-12-16;15668;1530;14138
2013-12-17;15667;1530;14137
2013-12-18;15667;1530;14137
2013-12-19;15667;1530;14137
2013-12-20;15668;1529;14139
2013-12-21;15671;1529;14142
2013-12-22;15667;1529;14138
2013-12-23;15661;1529;14132
2013-12-24;15663;1529;14134
2013-12-25;15660;1531;14129
2013-12-26;15657;1531;14126
2013-12-27;15656;1532;14124
2013-12-28;15654;1532;14122
2013-12-29;15654;1532;14122
2013-12-30;15654;1532;14122
2013-12-31;15655;1532;14123
2014-01-01;15657;1531;14126
2014-01-02;15657;1530;14127
2014-01-03;15649;1529;14120
2014-01-04;15649;1528;14121
2014-01-05;15648;1529;14119
2014-01-06;15646;1529;14117
2014-01-07;15648;1529;14119
2014-01-08;15648;1529;14119
2014-01-09;15639;1529;14110
2014-01-10;15632;1529;14103
2014-01-11;15631;1528;14103
2014-01-12;15632;1527;14105
2014-01-13;15628;1525;14103
2014-01-14;15626;1525;14101
2014-01-15;15626;1525;14101
2014-01-16;15624;1525;14099
2014-01-17;15624;1524;14100
2014-01-18;15620;1525;14095
2014-01-19;15619;1525;14094
2014-01-20;15618;1525;14093
2014-01-21;15616;1525;14091
2014-01-22;15611;1526;14085
2014-01-23;15608;1526;14082
2014-01-24;15603;1526;14077
2014-01-25;15600;1526;14074
2014-01-26;15595;1526;14069
2014-01-27;15593;1525;14068
2014-01-28;15593;1526;14067
2014-01-30;15588;1526;14062
2014-01-31;15588;1526;14062
2014-02-01;15583;1526;14057
2014-02-02;15590;1526;14064
2014-02-03;15589;1526;14063
2014-02-04;15588;1526;14062
2014-02-05;15585;1526;14059
2014-02-06;15586;1528;14058
2014-02-07;15581;1528;14053
2014-02-08;15578;1528;14050
2014-02-09;15578;1528;14050
2014-02-10;15576;1526;14050
2014-02-11;15574;1526;14048
2014-02-12;15587;1526;14061
2014-02-13;15581;1524;14057
2014-02-14;15586;1524;14062
2014-02-15;15590;1524;14066
2014-02-16;15589;1524;14065
2014-02-17;15592;1524;14068
2014-02-18;15593;1524;14069
2014-02-19;15593;1524;14069
2014-02-20;15588;1522;14066
2014-02-21;15586;1523;14063
2014-02-22;15573;1524;14049
2014-02-23;15569;1524;14045
2014-02-24;15564;1525;14039
2014-02-25;15559;1525;14034
2014-02-26;15556;1525;14031
2014-02-27;15553;1524;14029
2014-02-28;15547;1524;14023
2014-03-01;15538;1524;14014
2014-03-02;15539;1526;14013
2014-03-03;15537;1523;14014
2014-03-04;15531;1526;14005
2014-03-05;15527;1528;13999
2014-03-06;15524;1529;13995
2014-03-07;15525;1532;13993
2014-03-08;15522;1532;13990
2014-03-09;15517;1534;13983
2014-03-10;15513;1534;13979
2014-03-11;15512;1534;13978
2014-03-12;15509;1534;13975
2014-03-13;15513;1534;13979
2014-03-14;15511;1536;13975
2014-03-15;15507;1536;13971
2014-03-16;15503;1536;13967
2014-03-17;15507;1535;13972
2014-03-18;15507;1536;13971
2014-03-19;15507;1537;13970
2014-03-20;15508;1538;13970
2014-03-21;15508;1538;13970
2014-03-22;15512;1541;13971
2014-03-23;15508;1544;13964
2014-03-24;15498;1546;13952
2014-03-25;15495;1546;13949
2014-03-26;15496;1546;13950
2014-03-27;15493;1546;13947
2014-03-28;15490;1548;13942
2014-03-29;15493;1550;13943
2014-03-30;15489;1173;14316
2014-03-31;15490;1174;14316
2014-04-01;15487;1174;14313
2014-04-02;15484;1174;14310
2014-04-03;15482;1174;14308
2014-04-04;15478;1173;14305
2014-04-05;15474;1174;14300
2014-04-06;15474;1174;14300
2014-04-07;15473;1174;14299
2014-04-08;15471;1174;14297
2014-04-09;15472;1174;14298
2014-04-10;15467;1175;14292
2014-04-11;15469;1175;14294
2014-04-12;15469;1174;14295
2014-04-13;15472;1174;14298
2014-04-14;15469;1174;14295
2014-04-15;15468;1176;14292
2014-04-16;15471;1177;14294
2014-04-17;15470;1177;14293
2014-04-18;15468;1177;14291
2014-04-19;15468;1176;14292
2014-04-20;15463;1176;14287
2014-04-21;15464;1178;14286
2014-04-22;15463;1178;14285
2014-04-23;15461;1178;14283
2014-04-24;15461;1179;14282
2014-04-25;15459;1179;14280
2014-04-26;15455;1178;14277
2014-04-27;15459;1178;14281
2014-04-28;15466;1178;14288
2014-04-29;15462;1178;14284
2014-04-30;15461;1178;14283
2014-05-01;15467;1182;14285
2014-05-02;15464;1181;14283
2014-05-03;15467;1182;14285
2014-05-04;15467;1182;14285
2014-05-05;15466;1183;14283
2014-05-06;15458;1183;14275