date;followers;following;fans
2014-03-15;5414;381;5033
2014-03-16;5349;381;4968
2014-03-17;5238;382;4856
2014-03-18;5086;388;4698
2014-03-20;4997;389;4608
2014-03-21;4942;391;4551
2014-03-22;4889;395;4494
2014-03-24;4812;400;4412
2014-03-25;4752;401;4351
2014-03-26;4685;385;4300
2014-03-28;4628;385;4243
2014-03-29;4574;382;4192
2014-03-31;4515;385;4130
2014-04-01;4478;386;4092
2014-04-02;4430;386;4044
2014-04-03;4379;386;3993
2014-04-05;4355;387;3968
2014-04-06;4342;388;3954
2014-04-07;4308;389;3919
2014-04-09;4286;389;3897
2014-04-10;4261;389;3872
2014-04-12;4226;390;3836
2014-04-13;4199;390;3809
2014-04-14;4179;390;3789
2014-04-16;4157;390;3767
2014-04-17;4145;390;3755
2014-04-18;4134;390;3744
2014-04-20;4120;389;3731
2014-04-21;4094;388;3706
2014-04-22;4070;393;3677
2014-04-24;4053;393;3660
2014-04-25;4033;394;3639
2014-04-27;4015;398;3617
2014-04-28;4000;399;3601
2014-04-29;3980;401;3579
2014-05-01;3973;401;3572
2014-05-02;3960;402;3558
2014-05-04;3943;407;3536
2014-05-05;3944;410;3534