date;followers;following;fans
2013-10-08;3692;2439;1253
2013-10-11;3838;2728;1110
2013-10-13;3928;2907;1021
2013-10-17;4042;2949;1093
2013-10-19;4065;2951;1114
2013-10-21;4107;2915;1192
2013-10-23;4159;3027;1132
2013-10-25;4172;3026;1146
2013-10-27;4187;3028;1159
2013-10-29;4226;3194;1032
2014-03-29;7072;5832;1240
2014-03-31;7072;5832;1240
2014-04-02;7083;5832;1251
2014-04-04;7090;5831;1259
2014-04-06;7096;5834;1262
2014-04-08;7101;5833;1268
2014-04-10;7103;5833;1270
2014-04-12;7106;5832;1274
2014-04-14;7105;5831;1274
2014-04-16;7103;5828;1275
2014-04-18;7096;5828;1268
2014-04-20;7088;5827;1261
2014-04-22;7089;5827;1262
2014-04-24;7081;5829;1252
2014-04-26;7103;5827;1276
2014-04-28;7098;5829;1269
2014-04-30;7103;5830;1273
2014-05-02;7113;5832;1281
2014-05-04;7111;5832;1279