date;followers;following;fans
2013-04-17;3385;1245;2140
2013-04-19;3388;1246;2142
2013-04-21;3391;1246;2145
2013-04-23;3111;1246;1865
2013-04-26;3088;1246;1842
2013-04-28;3088;1246;1842
2013-04-29;3089;1246;1843
2013-05-02;3090;1246;1844
2013-05-03;3090;1246;1844
2013-05-05;3092;1246;1846
2013-05-07;3091;1246;1845
2013-05-09;3090;1246;1844
2013-05-11;3058;1234;1824
2013-05-14;3061;1235;1826
2013-05-16;3082;1248;1834
2013-05-18;3093;1250;1843
2013-05-20;3094;1250;1844
2013-05-22;3093;1250;1843
2013-05-23;3091;1250;1841
2013-05-26;3091;1250;1841
2013-05-28;3090;1250;1840
2013-05-30;3090;1251;1839
2013-06-01;3090;1251;1839
2013-06-03;3093;1251;1842
2013-06-05;3093;1252;1841
2013-06-06;3094;1252;1842
2013-06-09;3091;1251;1840
2013-06-11;3092;1251;1841
2013-06-20;3092;1251;1841
2013-06-22;3092;1251;1841
2013-06-24;3097;1274;1823
2013-06-26;3100;1274;1826
2013-06-28;3098;1273;1825
2013-06-30;3096;1273;1823
2013-07-02;3097;1273;1824
2013-07-04;3097;1271;1826
2013-07-06;3099;1271;1828
2013-07-08;3098;1271;1827