date;followers;following;fans
2013-04-17;4467;855;3612
2013-04-18;4466;856;3610
2013-04-19;4470;857;3613
2013-04-20;4476;857;3619
2013-04-21;4482;858;3624
2013-04-22;4482;858;3624
2013-04-23;4488;858;3630
2013-04-24;4490;857;3633
2013-04-25;4494;857;3637
2013-04-26;4502;858;3644
2013-04-28;4504;858;3646
2013-04-29;4506;858;3648
2013-04-30;4508;858;3650
2013-05-01;4508;857;3651
2013-05-02;4517;857;3660
2013-05-03;4524;857;3667
2013-05-04;4530;857;3673
2013-05-05;4534;857;3677
2013-05-06;4541;858;3683
2013-05-08;4544;858;3686
2013-05-09;4543;858;3685
2013-05-10;4548;858;3690
2013-05-11;4549;858;3691
2013-05-12;4552;858;3694
2013-05-13;4554;858;3696
2013-05-14;4557;859;3698
2013-05-15;4569;859;3710
2013-05-16;4572;859;3713
2013-05-18;4577;859;3718
2013-05-19;4583;859;3724
2013-05-20;4586;859;3727
2013-05-21;4590;859;3731
2013-05-22;4596;859;3737
2013-05-23;4600;860;3740
2013-05-24;4607;861;3746
2013-05-25;4611;861;3750
2013-05-26;4610;861;3749
2013-05-27;4622;862;3760
2013-05-29;4623;862;3761
2013-05-30;4622;862;3760
2013-05-31;4630;862;3768
2013-06-01;4629;862;3767
2013-06-02;4631;861;3770
2013-06-03;4638;861;3777
2013-06-04;4643;861;3782
2013-06-05;4652;861;3791
2013-06-07;4655;861;3794
2013-06-08;4656;861;3795
2013-06-09;4656;861;3795
2013-06-10;4654;860;3794
2013-06-11;4652;860;3792
2013-06-20;4690;862;3828
2013-06-21;4694;862;3832
2013-06-22;4697;862;3835
2013-06-23;4700;862;3838
2013-06-24;4702;863;3839
2013-06-26;4706;863;3843
2013-06-27;4714;865;3849
2013-06-28;4718;863;3855
2013-06-29;4722;863;3859
2013-06-30;4726;862;3864
2013-07-01;4729;862;3867
2013-07-02;4730;862;3868
2013-07-03;4733;862;3871
2013-07-05;4733;862;3871
2013-07-06;4735;862;3873
2013-07-07;4740;862;3878
2013-07-08;4746;863;3883
2013-07-09;4745;863;3882
2013-07-10;4749;863;3886
2013-07-11;4750;863;3887
2013-07-12;4754;863;3891
2013-07-14;4756;862;3894
2013-07-15;4759;862;3897
2013-07-16;4757;863;3894
2013-07-17;4757;863;3894
2013-07-18;4760;864;3896
2013-07-19;4764;865;3899
2013-07-20;4770;865;3905
2013-07-21;4770;865;3905
2013-07-23;4771;865;3906
2013-07-24;4773;865;3908
2013-07-25;4771;865;3906
2013-07-26;4775;865;3910
2013-07-27;4779;864;3915
2013-07-28;4782;864;3918
2013-07-29;4785;864;3921
2013-07-30;4791;865;3926
2013-08-01;4793;865;3928
2013-08-02;4795;866;3929
2013-08-03;4799;866;3933
2013-08-04;4803;867;3936
2013-08-05;4805;867;3938
2013-08-06;4808;867;3941
2013-08-07;4815;869;3946
2013-08-09;4817;869;3948
2013-08-10;4819;869;3950
2013-08-11;4823;869;3954
2013-08-12;4821;869;3952
2013-08-13;4818;869;3949
2013-08-14;4819;869;3950
2013-08-15;4823;869;3954
2013-08-17;4825;869;3956
2013-08-18;4825;869;3956
2013-08-19;4828;869;3959
2013-08-20;4832;870;3962
2013-08-21;4838;870;3968
2013-08-22;4840;870;3970
2013-08-23;4843;870;3973
2013-08-25;4843;870;3973
2013-08-26;4846;870;3976
2013-08-27;4846;870;3976
2013-08-28;4851;871;3980
2013-08-29;4849;871;3978
2013-08-30;4854;871;3983
2013-08-31;4854;872;3982
2013-09-02;4860;872;3988
2013-09-03;4868;871;3997
2013-09-04;4870;871;3999
2013-09-05;4880;871;4009
2013-09-06;4881;871;4010
2013-09-07;4884;872;4012
2013-09-09;4885;872;4013
2013-09-10;4891;872;4019
2013-09-11;4894;872;4022
2013-09-12;4895;872;4023
2013-09-13;4898;873;4025
2013-09-14;4898;873;4025
2013-09-16;4905;874;4031
2013-09-17;4912;874;4038
2013-09-18;4922;874;4048
2013-09-19;4924;874;4050
2013-09-20;4932;874;4058
2013-09-21;4934;874;4060
2013-09-23;4939;874;4065
2013-09-24;4937;874;4063
2013-09-25;4942;874;4068
2013-09-26;4944;874;4070
2013-09-27;4948;874;4074
2013-09-29;4953;874;4079
2013-09-30;4957;874;4083
2013-10-01;4963;874;4089
2013-10-02;4967;874;4093
2013-10-03;4970;875;4095
2013-10-05;4973;875;4098
2013-10-06;4979;875;4104
2013-10-07;4986;875;4111
2013-10-08;4980;876;4104
2013-10-09;4984;876;4108
2013-10-10;4992;878;4114
2013-10-12;4997;878;4119
2013-10-13;4999;878;4121
2013-10-14;5004;800;4204
2013-10-15;5006;801;4205
2013-10-17;5012;801;4211
2013-10-18;5013;801;4212
2013-10-19;5016;801;4215
2013-10-20;5018;801;4217
2013-10-21;5019;801;4218
2013-10-22;5025;801;4224
2013-10-24;5026;801;4225
2013-10-25;5030;802;4228
2013-10-26;5031;802;4229
2013-10-27;5034;802;4232
2013-10-28;5033;802;4231
2013-10-29;5046;801;4245
2013-10-31;5052;801;4251
2013-11-01;5054;801;4253
2013-11-02;5056;801;4255
2013-11-03;5061;801;4260
2013-11-04;5064;801;4263
2013-11-06;5067;802;4265
2013-11-07;5069;802;4267
2013-11-08;5075;802;4273
2013-11-09;5083;803;4280
2013-11-11;5086;803;4283
2013-11-12;5083;803;4280
2013-11-13;5086;803;4283
2013-11-14;5090;802;4288
2013-11-16;5096;802;4294
2013-11-17;5099;802;4297
2013-11-18;5101;802;4299
2013-11-19;5105;802;4303
2013-11-20;5109;802;4307
2013-11-22;5112;802;4310
2013-11-23;5112;802;4310
2013-11-24;5112;802;4310
2013-11-25;5117;802;4315
2013-11-27;5120;749;4371
2013-11-28;5125;751;4374
2013-11-29;5128;751;4377
2013-11-30;5129;751;4378
2013-12-01;5131;751;4380
2013-12-03;5130;751;4379
2013-12-04;5133;751;4382
2013-12-05;5136;751;4385
2013-12-06;5139;753;4386
2013-12-08;5143;753;4390
2013-12-09;5143;753;4390
2013-12-10;5143;752;4391
2013-12-11;5147;753;4394
2013-12-13;5150;753;4397
2013-12-14;5151;753;4398
2013-12-15;5157;754;4403
2013-12-17;5167;754;4413
2013-12-18;5175;755;4420
2013-12-19;5177;755;4422
2013-12-20;5178;754;4424
2013-12-21;5184;754;4430
2013-12-23;5187;754;4433
2013-12-24;5189;754;4435
2013-12-25;5192;754;4438
2013-12-27;5195;754;4441
2013-12-28;5195;755;4440
2013-12-29;5194;756;4438
2013-12-30;5205;756;4449
2014-01-01;5205;756;4449
2014-01-02;5205;756;4449
2014-01-03;5208;756;4452
2014-01-05;5211;756;4455
2014-01-06;5213;756;4457
2014-01-07;5215;756;4459
2014-01-08;5220;756;4464
2014-01-10;5223;757;4466
2014-01-11;5225;757;4468
2014-01-12;5229;757;4472
2014-01-14;5237;758;4479
2014-01-15;5240;758;4482
2014-01-16;5245;758;4487
2014-01-17;5246;758;4488
2014-01-19;5250;758;4492
2014-01-20;5256;758;4498
2014-01-21;5262;758;4504
2014-01-22;5273;758;4515
2014-01-24;5272;758;4514
2014-01-25;5277;758;4519
2014-01-26;5277;758;4519
2014-01-27;5290;759;4531
2014-01-30;5297;759;4538
2014-01-31;5301;759;4542
2014-02-01;5303;759;4544
2014-02-02;5307;759;4548
2014-02-04;5322;759;4563
2014-02-05;5321;760;4561
2014-02-06;5329;760;4569
2014-02-07;5338;764;4574
2014-02-09;5334;764;4570
2014-02-10;5338;764;4574
2014-02-11;5339;764;4575
2014-02-13;5346;763;4583
2014-02-14;5350;763;4587
2014-02-15;5353;763;4590
2014-02-17;5361;763;4598
2014-02-18;5358;764;4594
2014-02-19;5359;764;4595
2014-02-21;5362;765;4597
2014-02-22;5366;765;4601
2014-02-23;5367;764;4603
2014-02-25;5371;764;4607
2014-02-26;5373;764;4609
2014-02-27;5381;764;4617
2014-03-01;5388;764;4624
2014-03-02;5390;764;4626
2014-03-03;5399;764;4635
2014-03-05;5404;764;4640
2014-03-06;5406;764;4642
2014-03-07;5421;764;4657
2014-03-09;5421;765;4656
2014-03-10;5423;764;4659
2014-03-11;5437;764;4673
2014-03-13;5438;764;4674
2014-03-14;5438;764;4674
2014-03-16;5445;764;4681
2014-03-17;5444;764;4680
2014-03-18;5453;763;4690
2014-03-20;5462;765;4697
2014-03-21;5467;765;4702
2014-03-22;5466;765;4701
2014-03-24;5471;767;4704
2014-03-25;5473;767;4706
2014-03-26;5486;767;4719
2014-03-28;5490;767;4723
2014-03-29;5494;767;4727
2014-03-31;5494;767;4727
2014-04-01;5494;767;4727
2014-04-02;5500;768;4732
2014-04-03;5507;770;4737
2014-04-05;5516;770;4746
2014-04-06;5515;770;4745
2014-04-07;5518;772;4746
2014-04-09;5521;772;4749
2014-04-10;5532;773;4759
2014-04-12;5532;773;4759
2014-04-13;5535;773;4762
2014-04-14;5538;773;4765
2014-04-16;5539;773;4766
2014-04-17;5543;773;4770
2014-04-18;5545;773;4772
2014-04-20;5549;773;4776
2014-04-21;5549;773;4776
2014-04-22;5549;774;4775
2014-04-24;5556;775;4781
2014-04-25;5564;776;4788
2014-04-26;5563;776;4787
2014-04-28;5562;776;4786
2014-04-29;5564;776;4788
2014-04-30;5565;776;4789
2014-05-02;5564;776;4788
2014-05-03;5564;776;4788
2014-05-04;5571;776;4795