date;followers;following;fans
2013-04-18;3229;1698;1531
2013-04-20;3235;1699;1536
2013-04-22;3242;1701;1541
2013-04-24;3247;1701;1546
2013-04-26;3251;1709;1542
2013-04-28;3255;1712;1543
2013-04-30;3256;1712;1544
2013-05-02;3258;1714;1544
2013-05-04;3262;1714;1548
2013-05-06;3255;1714;1541
2013-05-08;3258;1714;1544
2013-05-10;3260;1719;1541
2013-05-12;3263;1715;1548
2013-05-14;3267;1718;1549
2013-05-16;3282;1721;1561
2013-05-18;3283;1722;1561
2013-05-20;3281;1722;1559
2013-05-22;3284;1722;1562
2013-05-24;3288;1721;1567
2013-05-26;3289;1721;1568
2013-05-28;3293;1722;1571
2013-05-30;3293;1721;1572
2013-06-01;3296;1722;1574
2013-06-03;3302;1723;1579
2013-06-05;3309;1723;1586
2013-06-07;3310;1723;1587
2013-06-09;3319;1723;1596
2013-06-11;3320;1723;1597
2013-06-20;3333;1725;1608
2013-06-22;3333;1725;1608
2013-06-24;3342;1725;1617
2013-06-26;3347;1725;1622
2013-06-28;3353;1725;1628
2013-06-30;3355;1725;1630
2013-07-02;3357;1725;1632
2013-07-04;3358;1725;1633
2013-07-06;3358;1725;1633
2013-07-08;3355;1725;1630
2013-07-10;3358;1725;1633
2013-07-12;3362;1726;1636
2013-07-14;3361;1726;1635
2013-07-16;3362;1725;1637
2013-07-18;3363;1725;1638
2013-07-20;3367;1725;1642
2013-07-22;3368;1725;1643
2013-07-24;3369;1725;1644
2013-07-26;3371;1725;1646
2013-07-28;3370;1722;1648
2013-07-30;3373;1722;1651
2013-08-01;3380;1722;1658
2013-08-03;3381;1722;1659
2013-08-05;3378;1722;1656
2013-08-07;3380;1722;1658
2013-08-09;3383;1722;1661
2013-08-11;3386;1722;1664
2013-08-13;3386;1722;1664
2013-08-15;3388;1721;1667
2013-08-17;3390;1728;1662
2013-08-19;3391;1728;1663
2013-08-21;3394;1873;1521
2013-08-23;3400;1872;1528
2013-08-25;3403;1871;1532
2013-08-27;3406;1875;1531
2013-08-29;3405;1874;1531
2013-08-31;3411;1874;1537
2013-09-02;3423;1874;1549
2013-09-04;3429;1876;1553
2013-09-06;3441;1875;1566
2013-09-08;3443;1878;1565
2013-09-10;3443;1878;1565
2013-09-12;3445;1880;1565
2013-09-14;3445;1881;1564
2013-09-16;3450;1881;1569
2013-09-18;3453;1881;1572
2013-09-20;3454;1881;1573
2013-09-22;3464;1881;1583
2013-09-24;3467;1881;1586
2013-09-26;3470;1881;1589
2013-09-28;3469;1880;1589
2013-09-30;3471;1880;1591
2013-10-02;3471;1880;1591
2013-10-04;3475;1880;1595
2013-10-06;3478;1880;1598
2013-10-08;3475;1879;1596
2013-10-10;3473;1879;1594
2013-10-12;3471;1879;1592
2013-10-14;3472;1877;1595
2013-10-16;3475;1880;1595
2013-10-18;3473;1880;1593
2013-10-20;3476;1880;1596
2013-10-22;3477;1880;1597
2013-10-24;3480;1880;1600
2013-10-26;3482;1880;1602
2013-10-28;3483;1880;1603
2013-10-30;3485;1880;1605
2013-11-01;3485;1880;1605
2013-11-03;3489;1880;1609
2013-11-05;3489;1884;1605
2013-11-07;3488;1882;1606
2013-11-09;3489;1882;1607
2013-11-11;3489;1881;1608
2013-11-13;3487;1881;1606
2013-11-15;3483;1881;1602
2013-11-17;3484;1881;1603
2013-11-19;3484;1880;1604
2013-11-21;3486;1881;1605
2013-11-23;3485;1881;1604
2013-11-25;3487;1881;1606
2013-11-27;3489;1880;1609
2013-11-29;3498;2022;1476
2013-12-01;3498;2021;1477
2013-12-03;3500;2024;1476
2013-12-05;3501;2024;1477
2013-12-07;3497;2024;1473
2013-12-09;3499;2024;1475
2013-12-11;3500;2024;1476
2013-12-13;3501;2023;1478
2013-12-15;3502;2028;1474
2013-12-17;3504;2027;1477
2013-12-19;3506;2027;1479
2013-12-21;3505;2027;1478
2013-12-23;3504;2029;1475
2013-12-25;3504;2028;1476
2013-12-27;3503;2028;1475
2013-12-29;3505;2028;1477
2013-12-31;3504;2032;1472
2014-01-02;3505;2032;1473
2014-01-04;3503;2032;1471
2014-01-06;3504;2032;1472
2014-01-08;3505;2032;1473
2014-01-10;3508;2033;1475
2014-01-12;3504;2033;1471
2014-01-14;3505;2033;1472
2014-01-16;3508;2033;1475
2014-01-18;3506;2033;1473
2014-01-20;3507;2033;1474
2014-01-22;3508;2032;1476
2014-01-24;3512;2032;1480
2014-01-26;3517;2032;1485
2014-01-28;3517;2032;1485
2014-01-30;3520;2032;1488
2014-02-01;3521;2031;1490
2014-02-03;3521;2031;1490
2014-02-05;3528;2031;1497
2014-02-07;3525;2030;1495
2014-02-09;3525;2030;1495
2014-02-11;3521;2030;1491
2014-02-13;3520;2030;1490
2014-02-15;3523;2030;1493
2014-02-17;3522;2030;1492
2014-02-19;3522;2031;1491
2014-02-21;3525;2032;1493
2014-02-23;3523;2031;1492
2014-02-25;3519;2030;1489
2014-02-27;3517;2030;1487
2014-03-01;3517;2030;1487
2014-03-03;3518;2030;1488
2014-03-05;3517;2030;1487
2014-03-07;3518;2030;1488
2014-03-09;3518;2030;1488
2014-03-11;3521;2031;1490
2014-03-13;3517;2030;1487
2014-03-15;3520;2033;1487
2014-03-17;3524;2033;1491
2014-03-19;3526;2034;1492
2014-03-21;3528;2034;1494
2014-03-23;3528;2033;1495
2014-03-25;3527;2038;1489
2014-03-27;3530;2038;1492
2014-03-29;3527;2038;1489
2014-03-31;3535;2038;1497
2014-04-02;3538;2038;1500
2014-04-04;3532;2041;1491
2014-04-06;3536;2042;1494
2014-04-08;3535;2042;1493
2014-04-10;3538;2042;1496
2014-04-12;3544;2042;1502
2014-04-14;3543;2047;1496
2014-04-16;3544;2046;1498
2014-04-18;3546;2046;1500
2014-04-20;3545;2053;1492
2014-04-22;3543;2052;1491
2014-04-24;3541;2053;1488
2014-04-26;3542;2053;1489
2014-04-28;3542;2054;1488
2014-04-30;3540;2054;1486
2014-05-02;3543;2054;1489
2014-05-04;3545;2055;1490