date;followers;following;fans
2013-04-18;2887;458;2429
2013-04-20;2895;458;2437
2013-04-22;2905;458;2447
2013-04-24;2900;458;2442
2013-04-26;2906;458;2448
2013-04-28;2908;458;2450
2013-04-30;2911;458;2453
2013-05-02;2919;458;2461
2013-05-04;2916;458;2458
2013-05-06;2920;458;2462
2013-05-08;2922;458;2464
2013-05-10;2924;456;2468
2013-05-12;2902;439;2463
2013-05-14;2913;447;2466
2013-05-16;2926;453;2473
2013-05-18;2932;457;2475
2013-05-20;2931;457;2474
2013-05-22;2936;457;2479
2013-05-24;2934;455;2479
2013-05-26;2938;455;2483
2013-05-28;2944;455;2489
2013-05-30;2948;455;2493
2013-06-01;2954;455;2499
2013-06-03;2953;455;2498
2013-06-05;2962;455;2507
2013-06-06;2961;455;2506
2013-06-07;2963;456;2507
2013-06-08;2960;456;2504
2013-06-09;2962;456;2506
2013-06-10;2967;456;2511
2013-06-11;2965;457;2508
2013-06-20;2979;458;2521
2013-06-21;2974;458;2516
2013-06-22;2975;458;2517
2013-06-23;2980;458;2522
2013-06-24;2987;458;2529
2013-06-26;2993;458;2535
2013-06-27;2991;458;2533
2013-06-28;2988;458;2530
2013-06-29;2989;458;2531
2013-06-30;2990;458;2532
2013-07-01;2993;458;2535
2013-07-02;2996;458;2538
2013-07-03;2998;458;2540
2013-07-05;2998;458;2540
2013-07-06;3004;458;2546
2013-07-07;3000;458;2542
2013-07-08;3001;458;2543
2013-07-09;3003;458;2545
2013-07-10;3007;458;2549
2013-07-11;3005;458;2547
2013-07-12;3007;458;2549
2013-07-14;3008;458;2550
2013-07-15;3010;458;2552
2013-07-16;3009;458;2551
2013-07-17;3014;458;2556
2013-07-18;3012;458;2554
2013-07-19;3013;458;2555
2013-07-20;3014;458;2556
2013-07-21;3022;458;2564
2013-07-23;3025;458;2567
2013-07-24;3021;458;2563
2013-07-25;3019;458;2561
2013-07-26;3023;458;2565
2013-07-27;3020;458;2562
2013-07-28;3017;458;2559
2013-07-29;3021;458;2563
2013-07-30;3027;458;2569
2013-08-01;3031;458;2573
2013-08-02;3033;458;2575
2013-08-03;3040;458;2582
2013-08-04;3042;458;2584
2013-08-05;3037;458;2579
2013-08-06;3041;458;2583
2013-08-07;3040;458;2582
2013-08-09;3042;458;2584
2013-08-10;3041;458;2583
2013-08-11;3036;458;2578
2013-08-12;3036;458;2578
2013-08-13;3039;458;2581
2013-08-14;3041;458;2583
2013-08-15;3043;458;2585
2013-08-16;3044;458;2586
2013-08-18;3045;458;2587
2013-08-19;3045;458;2587
2013-08-20;3049;458;2591
2013-08-21;3050;458;2592
2013-08-22;3054;458;2596
2013-08-23;3057;458;2599
2013-08-24;3055;458;2597
2013-08-26;3058;458;2600
2013-08-27;3059;458;2601
2013-08-28;3061;458;2603
2013-08-29;3061;458;2603
2013-08-30;3062;458;2604
2013-08-31;3062;458;2604
2013-09-02;3064;458;2606
2013-09-03;3068;458;2610
2013-09-04;3071;457;2614
2013-09-05;3073;457;2616
2013-09-06;3074;457;2617
2013-09-07;3079;457;2622
2013-09-08;3083;457;2626
2013-09-10;3082;457;2625
2013-09-11;3089;457;2632
2013-09-12;3091;457;2634
2013-09-13;3092;457;2635
2013-09-14;3093;457;2636
2013-09-15;3098;457;2641
2013-09-17;3102;457;2645
2013-09-18;3109;457;2652
2013-09-19;3109;457;2652
2013-09-20;3108;457;2651
2013-09-21;3110;457;2653
2013-09-22;3115;457;2658
2013-09-24;3122;457;2665
2013-09-25;3125;457;2668
2013-09-26;3128;457;2671
2013-09-27;3127;457;2670
2013-09-28;3129;457;2672
2013-09-30;3129;457;2672
2013-10-01;3135;457;2678
2013-10-02;3139;457;2682
2013-10-03;3143;457;2686
2013-10-04;3140;457;2683
2013-10-06;3142;457;2685
2013-10-07;3144;457;2687
2013-10-08;3142;457;2685
2013-10-09;3147;457;2690
2013-10-10;3147;457;2690
2013-10-11;3153;457;2696
2013-10-13;3153;457;2696
2013-10-14;3153;457;2696
2013-10-15;3155;457;2698
2013-10-16;3157;457;2700
2013-10-17;3157;457;2700
2013-10-19;3158;457;2701
2013-10-20;3157;457;2700
2013-10-21;3159;457;2702
2013-10-22;3159;457;2702
2013-10-23;3158;457;2701
2013-10-25;3165;457;2708
2013-10-26;3164;457;2707
2013-10-27;3166;457;2709
2013-10-28;3164;457;2707
2013-10-29;3165;457;2708
2013-10-31;3169;457;2712
2013-11-01;3167;457;2710
2013-11-02;3169;457;2712
2013-11-03;3170;457;2713
2013-11-04;3176;457;2719
2013-11-06;3182;457;2725
2013-11-07;3185;457;2728
2013-11-08;3190;457;2733
2013-11-09;3192;457;2735
2013-11-11;3197;457;2740
2013-11-12;3199;457;2742
2013-11-13;3203;457;2746
2013-11-14;3205;457;2748
2013-11-16;3205;457;2748
2013-11-17;3207;457;2750
2013-11-18;3208;457;2751
2013-11-19;3207;457;2750
2013-11-20;3212;456;2756
2013-11-22;3215;456;2759
2013-11-23;3220;457;2763
2013-11-24;3221;457;2764
2013-11-25;3222;457;2765
2013-11-26;3228;457;2771
2013-11-28;3229;457;2772
2013-11-29;3227;457;2770
2013-11-30;3229;457;2772
2013-12-01;3227;457;2770
2013-12-03;3229;457;2772
2013-12-04;3226;457;2769
2013-12-05;3230;457;2773
2013-12-06;3230;457;2773
2013-12-08;3229;457;2772
2013-12-09;3232;457;2775
2013-12-10;3236;457;2779
2013-12-11;3241;457;2784
2013-12-12;3246;457;2789
2013-12-14;3243;457;2786
2013-12-15;3244;457;2787
2013-12-16;3246;457;2789
2013-12-18;3250;457;2793
2013-12-19;3249;457;2792
2013-12-20;3250;457;2793
2013-12-21;3255;457;2798
2013-12-23;3261;457;2804
2013-12-24;3263;457;2806
2013-12-25;3262;457;2805
2013-12-26;3260;457;2803
2013-12-28;3257;457;2800
2013-12-29;3259;457;2802
2013-12-30;3260;457;2803
2014-01-01;3262;457;2805
2014-01-02;3263;457;2806
2014-01-03;3265;457;2808
2014-01-04;3265;457;2808
2014-01-06;3263;457;2806
2014-01-07;3262;457;2805
2014-01-08;3265;456;2809
2014-01-10;3271;457;2814
2014-01-11;3271;457;2814
2014-01-12;3272;457;2815
2014-01-13;3272;457;2815
2014-01-15;3276;457;2819
2014-01-16;3275;457;2818
2014-01-17;3272;457;2815
2014-01-18;3273;456;2817
2014-01-20;3279;456;2823
2014-01-21;3282;456;2826
2014-01-22;3285;456;2829
2014-01-23;3296;456;2840
2014-01-25;3300;456;2844
2014-01-26;3309;456;2853
2014-01-27;3316;456;2860
2014-01-30;3318;456;2862
2014-01-31;3323;456;2867
2014-02-01;3323;456;2867
2014-02-02;3321;456;2865
2014-02-04;3325;456;2869
2014-02-05;3327;456;2871
2014-02-06;3325;456;2869
2014-02-07;3330;456;2874
2014-02-09;3337;456;2881
2014-02-10;3330;456;2874
2014-02-11;3327;456;2871
2014-02-13;3332;456;2876
2014-02-14;3333;456;2877
2014-02-15;3322;456;2866
2014-02-17;3314;456;2858
2014-02-18;3318;456;2862
2014-02-19;3321;456;2865
2014-02-20;3333;456;2877
2014-02-22;3337;456;2881
2014-02-23;3341;456;2885
2014-02-24;3346;456;2890
2014-02-26;3348;456;2892
2014-02-27;3349;456;2893
2014-02-28;3350;456;2894
2014-03-02;3352;456;2896
2014-03-03;3349;456;2893
2014-03-04;3346;456;2890
2014-03-06;3346;456;2890
2014-03-07;3351;456;2895
2014-03-08;3355;456;2899
2014-03-10;3358;456;2902
2014-03-11;3375;456;2919
2014-03-13;3374;456;2918
2014-03-14;3362;456;2906
2014-03-15;3368;456;2912
2014-03-17;3366;456;2910
2014-03-18;3368;456;2912
2014-03-19;3366;456;2910
2014-03-21;3364;456;2908
2014-03-22;3368;456;2912
2014-03-23;3369;456;2913
2014-03-25;3371;456;2915
2014-03-26;3371;456;2915
2014-03-27;3378;456;2922
2014-03-29;3380;456;2924
2014-03-30;3384;456;2928
2014-04-01;3383;456;2927
2014-04-02;3385;456;2929
2014-04-03;3386;456;2930
2014-04-05;3389;456;2933
2014-04-06;3389;456;2933
2014-04-07;3391;456;2935
2014-04-09;3391;456;2935
2014-04-10;3395;456;2939
2014-04-12;3402;456;2946
2014-04-13;3401;456;2945
2014-04-14;3404;456;2948
2014-04-16;3410;456;2954
2014-04-17;3413;456;2957
2014-04-18;3412;456;2956
2014-04-20;3409;456;2953
2014-04-21;3408;456;2952
2014-04-22;3410;456;2954
2014-04-24;3417;456;2961
2014-04-25;3416;456;2960
2014-04-26;3417;456;2961
2014-04-28;3423;456;2967
2014-04-29;3421;456;2965
2014-04-30;3419;456;2963
2014-05-02;3423;456;2967
2014-05-03;3426;456;2970
2014-05-04;3425;456;2969
2014-05-06;3427;456;2971