date;followers;following;fans
2013-04-18;2132;320;1812
2013-04-20;2135;320;1815
2013-04-22;2139;320;1819
2013-04-24;2145;320;1825
2013-04-26;2146;321;1825
2013-04-28;2151;323;1828
2013-04-30;2150;326;1824
2013-05-02;2152;326;1826
2013-05-04;2156;326;1830
2013-05-06;2158;326;1832
2013-05-08;2158;326;1832
2013-05-10;2162;326;1836
2013-05-12;2168;326;1842
2013-05-14;2165;327;1838
2013-05-16;2175;327;1848
2013-05-18;2175;327;1848
2013-05-20;2173;327;1846
2013-05-22;2177;327;1850
2013-05-24;2178;327;1851
2013-05-26;2182;327;1855
2013-05-28;2185;327;1858
2013-05-30;2188;327;1861
2013-06-01;2195;327;1868
2013-06-03;2199;326;1873
2013-06-05;2205;328;1877
2013-06-07;2209;328;1881
2013-06-09;2207;328;1879
2013-06-11;2213;330;1883
2013-06-20;2224;332;1892
2013-06-22;2228;332;1896
2013-06-24;2229;332;1897
2013-06-26;2233;332;1901
2013-06-28;2234;334;1900
2013-06-30;2239;336;1903
2013-07-02;2241;336;1905
2013-07-04;2244;336;1908
2013-07-06;2245;334;1911
2013-07-08;2249;334;1915
2013-07-10;2255;334;1921
2013-07-12;2259;334;1925
2013-07-14;2260;334;1926
2013-07-16;2263;335;1928
2013-07-18;2272;335;1937
2013-07-20;2277;335;1942
2013-07-22;2282;335;1947
2013-07-24;2284;335;1949
2013-07-26;2290;336;1954
2013-07-28;2297;337;1960
2013-07-30;2302;337;1965
2013-08-01;2302;337;1965
2013-08-03;2306;337;1969
2013-08-05;2307;337;1970
2013-08-07;2311;337;1974
2013-08-09;2314;337;1977
2013-08-11;2318;337;1981
2013-08-13;2324;337;1987
2013-08-15;2334;337;1997
2013-08-17;2339;338;2001
2013-08-19;2343;338;2005
2013-08-21;2350;338;2012
2013-08-23;2356;341;2015
2013-08-25;2358;341;2017
2013-08-27;2359;341;2018
2013-08-29;2361;345;2016
2013-08-31;2362;347;2015
2013-09-02;2361;350;2011
2013-09-04;2363;349;2014
2013-09-06;2368;349;2019
2013-09-08;2368;351;2017
2013-09-10;2372;352;2020
2013-09-12;2379;355;2024
2013-09-14;2384;355;2029
2013-09-16;2386;355;2031
2013-09-18;2394;355;2039
2013-09-20;2400;360;2040
2013-09-22;2400;365;2035
2013-09-24;2405;365;2040
2013-09-26;2404;365;2039
2013-09-28;2405;367;2038
2013-09-29;2404;370;2034
2013-10-02;2406;370;2036
2013-10-04;2411;370;2041
2013-10-06;2420;370;2050
2013-10-08;2421;374;2047
2013-10-10;2424;374;2050
2013-10-12;2427;374;2053
2013-10-14;2432;374;2058
2013-10-16;2440;373;2067
2013-10-18;2443;374;2069
2013-10-20;2444;374;2070
2013-10-22;2443;376;2067
2013-10-24;2441;376;2065
2013-10-26;2441;376;2065
2013-10-28;2440;376;2064
2013-10-30;2439;376;2063
2013-11-01;2440;376;2064
2013-11-03;2444;376;2068
2013-11-05;2443;377;2066
2013-11-07;2449;377;2072
2013-11-09;2448;377;2071
2013-11-11;2447;377;2070
2013-11-12;2450;377;2073
2013-11-15;2453;377;2076
2013-11-17;2454;377;2077
2013-11-19;2460;386;2074
2013-11-21;2464;387;2077
2013-11-23;2466;387;2079
2013-11-25;2470;387;2083
2013-11-27;2471;387;2084
2013-11-29;2475;387;2088
2013-12-01;2478;387;2091
2013-12-03;2480;386;2094
2013-12-05;2482;386;2096
2013-12-07;2485;386;2099
2013-12-09;2484;386;2098
2013-12-11;2485;386;2099
2013-12-13;2487;386;2101
2013-12-15;2490;386;2104
2013-12-17;2490;385;2105
2013-12-19;2494;386;2108
2013-12-21;2494;386;2108
2013-12-23;2495;384;2111
2013-12-25;2498;384;2114
2013-12-27;2499;384;2115
2013-12-29;2498;384;2114
2013-12-31;2501;384;2117
2014-01-02;2501;386;2115
2014-01-04;2503;386;2117
2014-01-06;2506;386;2120
2014-01-08;2511;386;2125
2014-01-10;2515;387;2128
2014-01-12;2516;389;2127
2014-01-14;2514;390;2124
2014-01-16;2516;390;2126
2014-01-18;2520;390;2130
2014-01-20;2523;390;2133
2014-01-22;2522;391;2131
2014-01-24;2519;393;2126
2014-01-26;2529;393;2136
2014-01-28;2529;395;2134
2014-01-30;2528;395;2133
2014-02-01;2530;396;2134
2014-02-03;2531;396;2135
2014-02-05;2532;397;2135
2014-02-07;2537;397;2140
2014-02-09;2542;397;2145
2014-02-11;2545;397;2148
2014-02-13;2545;397;2148
2014-02-15;2542;398;2144
2014-02-17;2545;395;2150
2014-02-19;2548;396;2152
2014-02-21;2551;396;2155
2014-02-23;2552;397;2155
2014-02-25;2553;397;2156
2014-02-27;2555;398;2157
2014-03-01;2560;399;2161
2014-03-03;2567;399;2168
2014-03-05;2571;399;2172
2014-03-07;2572;399;2173
2014-03-09;2573;399;2174
2014-03-11;2579;399;2180
2014-03-13;2582;401;2181
2014-03-15;2582;401;2181
2014-03-17;2581;401;2180
2014-03-19;2580;401;2179
2014-03-21;2582;401;2181
2014-03-23;2587;403;2184
2014-03-25;2587;403;2184
2014-03-27;2588;403;2185
2014-03-29;2592;404;2188
2014-03-31;2602;404;2198
2014-04-02;2610;404;2206
2014-04-04;2615;404;2211
2014-04-06;2616;404;2212
2014-04-08;2621;406;2215
2014-04-10;2625;406;2219
2014-04-12;2624;406;2218
2014-04-14;2625;406;2219
2014-04-16;2627;406;2221
2014-04-18;2626;407;2219
2014-04-20;2629;407;2222
2014-04-22;2626;407;2219
2014-04-24;2628;407;2221
2014-04-26;2627;407;2220
2014-04-28;2631;407;2224
2014-04-30;2639;407;2232
2014-05-02;2639;408;2231
2014-05-04;2639;408;2231