date;followers;following;fans
2013-04-18;1916;617;1299
2013-04-20;1920;617;1303
2013-04-22;1920;617;1303
2013-04-24;1924;617;1307
2013-04-26;1925;617;1308
2013-04-28;1927;617;1310
2013-04-30;1932;617;1315
2013-05-02;1933;617;1316
2013-05-04;1935;617;1318
2013-05-06;1937;617;1320
2013-05-08;1941;617;1324
2013-05-10;1940;617;1323
2013-05-12;1938;617;1321
2013-05-14;1944;617;1327
2013-05-16;1950;617;1333
2013-05-18;1953;617;1336
2013-05-20;1951;617;1334
2013-05-22;1953;617;1336
2013-05-24;1968;619;1349
2013-05-26;1985;621;1364
2013-05-28;1988;621;1367
2013-05-30;1990;620;1370
2013-06-01;1988;620;1368
2013-06-03;1991;620;1371
2013-06-05;1993;620;1373
2013-06-07;1995;620;1375
2013-06-09;1999;620;1379
2013-06-11;1997;621;1376
2013-06-20;1995;621;1374
2013-06-22;2001;620;1381
2013-06-24;2003;620;1383
2013-06-26;2009;620;1389
2013-06-28;2010;620;1390
2013-06-30;2012;620;1392
2013-07-02;2011;644;1367
2013-07-04;2011;644;1367
2013-07-06;2018;644;1374
2013-07-08;2019;644;1375
2013-07-10;2020;644;1376
2013-07-12;2023;645;1378
2013-07-14;2023;645;1378
2013-07-16;2025;645;1380
2013-07-18;2025;644;1381
2013-07-20;2025;644;1381
2013-07-22;2028;644;1384
2013-07-24;2028;644;1384
2013-07-26;2027;644;1383
2013-07-28;2028;643;1385
2013-07-30;2028;643;1385
2013-08-01;2028;642;1386
2013-08-03;2029;642;1387
2013-08-05;2031;642;1389
2013-08-07;2040;654;1386
2013-08-09;2046;655;1391
2013-08-11;2050;655;1395
2013-08-13;2053;655;1398
2013-08-15;2059;656;1403
2013-08-17;2060;656;1404
2013-08-19;2061;656;1405
2013-08-21;2063;656;1407
2013-08-23;2064;656;1408
2013-08-25;2062;656;1406
2013-08-27;2068;656;1412
2013-08-29;2069;656;1413
2013-08-31;2068;656;1412
2013-09-02;2070;656;1414
2013-09-04;2075;656;1419
2013-09-06;2077;656;1421
2013-09-08;2082;656;1426
2013-09-10;2080;656;1424
2013-09-12;2082;656;1426
2013-09-14;2085;656;1429
2013-09-16;2084;656;1428
2013-09-18;2089;656;1433
2013-09-20;2095;656;1439
2013-09-22;2095;656;1439
2013-09-24;2098;656;1442
2013-09-26;2102;656;1446
2013-09-28;2103;656;1447
2013-09-30;2104;656;1448
2013-10-02;2105;656;1449
2013-10-04;2104;656;1448
2013-10-06;2107;656;1451
2013-10-08;2108;656;1452
2013-10-10;2108;656;1452
2013-10-12;2105;656;1449
2013-10-14;2107;656;1451
2013-10-16;2110;656;1454
2013-10-18;2110;656;1454
2013-10-20;2111;656;1455
2013-10-22;2110;656;1454
2013-10-24;2116;663;1453
2013-10-26;2118;663;1455
2013-10-28;2118;663;1455
2013-10-30;2120;663;1457
2013-11-01;2122;663;1459
2013-11-03;2122;663;1459
2013-11-05;2121;663;1458
2013-11-07;2122;663;1459
2013-11-09;2120;663;1457
2013-11-11;2124;663;1461
2013-11-13;2129;663;1466
2013-11-15;2132;663;1469
2013-11-17;2130;663;1467
2013-11-19;2133;663;1470
2013-11-21;2153;663;1490
2013-11-23;2169;664;1505
2013-11-25;2170;665;1505
2013-11-27;2169;666;1503
2013-11-29;2171;670;1501
2013-12-01;2175;670;1505
2013-12-03;2174;670;1504
2013-12-05;2173;670;1503
2013-12-07;2177;670;1507
2013-12-09;2177;670;1507
2013-12-11;2183;670;1513
2013-12-13;2185;670;1515
2013-12-15;2186;670;1516
2013-12-17;2184;670;1514
2013-12-19;2188;670;1518
2013-12-21;2188;670;1518
2013-12-23;2192;670;1522
2013-12-25;2193;670;1523
2013-12-27;2193;670;1523
2013-12-29;2196;670;1526
2013-12-31;2199;669;1530
2014-01-02;2199;669;1530
2014-01-04;2201;669;1532
2014-01-06;2202;669;1533
2014-01-08;2202;669;1533
2014-01-10;2204;669;1535
2014-01-12;2208;669;1539
2014-01-14;2211;669;1542
2014-01-16;2212;669;1543
2014-01-18;2212;669;1543
2014-01-20;2211;669;1542
2014-01-22;2211;669;1542
2014-01-24;2212;670;1542
2014-01-26;2212;670;1542
2014-01-28;2211;670;1541
2014-01-30;2213;670;1543
2014-02-01;2216;677;1539
2014-02-03;2220;677;1543
2014-02-05;2225;681;1544
2014-02-07;2226;684;1542
2014-02-09;2227;684;1543
2014-02-11;2231;684;1547
2014-02-13;2235;684;1551
2014-02-15;2241;684;1557
2014-02-17;2243;684;1559
2014-02-19;2247;684;1563
2014-02-21;2249;684;1565
2014-02-23;2253;684;1569
2014-02-25;2253;684;1569
2014-02-27;2258;684;1574
2014-03-01;2271;688;1583
2014-03-03;2276;688;1588
2014-03-05;2281;726;1555
2014-03-07;2283;730;1553
2014-03-09;2284;731;1553
2014-03-11;2287;731;1556
2014-03-13;2288;731;1557
2014-03-15;2288;731;1557
2014-03-17;2289;731;1558
2014-03-19;2292;730;1562
2014-03-21;2295;731;1564
2014-03-23;2296;731;1565
2014-03-25;2301;731;1570
2014-03-27;2305;732;1573
2014-03-29;2305;732;1573
2014-03-31;2306;732;1574
2014-04-02;2307;733;1574
2014-04-04;2310;733;1577
2014-04-06;2318;733;1585
2014-04-08;2317;733;1584
2014-04-10;2317;733;1584
2014-04-12;2321;734;1587
2014-04-14;2322;734;1588
2014-04-16;2321;734;1587
2014-04-18;2324;734;1590
2014-04-20;2329;734;1595
2014-04-22;2330;733;1597
2014-04-24;2332;734;1598
2014-04-26;2337;736;1601
2014-04-28;2339;736;1603
2014-04-30;2341;736;1605
2014-05-02;2347;736;1611
2014-05-04;2349;736;1613