date;followers;following;fans
2013-12-13;2182;1176;1006
2013-12-15;2183;1178;1005
2013-12-17;2184;1181;1003
2013-12-18;2197;1183;1014
2013-12-21;2203;1184;1019
2013-12-23;2205;1184;1021
2013-12-24;2211;1187;1024
2013-12-27;2216;1191;1025
2013-12-29;2214;1191;1023
2013-12-31;2224;1192;1032
2014-01-02;2231;1193;1038
2014-01-04;2244;1196;1048
2014-01-06;2253;1199;1054
2014-01-08;2260;1201;1059
2014-01-10;2266;1201;1065
2014-01-12;2269;1202;1067
2014-01-14;2274;1204;1070
2014-01-16;2272;1204;1068
2014-01-18;2281;1208;1073
2014-01-20;2283;1209;1074
2014-01-22;2293;1211;1082
2014-01-24;2296;1211;1085
2014-01-26;2300;1211;1089
2014-01-28;2305;1212;1093
2014-01-30;2314;1214;1100
2014-02-01;2325;1218;1107
2014-02-03;2331;1220;1111
2014-02-05;2338;1222;1116
2014-02-07;2337;1223;1114
2014-02-09;2347;1228;1119
2014-02-11;2355;1230;1125
2014-02-13;2365;1231;1134
2014-02-15;2372;1234;1138
2014-02-17;2378;1235;1143
2014-02-19;2381;1236;1145
2014-02-21;2385;1235;1150
2014-02-23;2393;1238;1155
2014-02-25;2394;1240;1154
2014-02-27;2396;1242;1154
2014-03-01;2406;1242;1164
2014-03-03;2412;1244;1168
2014-03-05;2411;1244;1167
2014-03-07;2417;1243;1174
2014-03-09;2419;1249;1170
2014-03-11;2420;1249;1171
2014-03-13;2424;1251;1173
2014-03-15;2437;1255;1182
2014-03-17;2438;1257;1181
2014-03-19;2442;1259;1183
2014-03-21;2443;1260;1183
2014-03-23;2446;1265;1181
2014-03-25;2453;1266;1187
2014-03-27;2457;1267;1190
2014-03-29;2463;1269;1194
2014-03-31;2472;1270;1202
2014-04-02;2475;1275;1200
2014-04-04;2484;1277;1207
2014-04-06;2489;1278;1211
2014-04-08;2491;1278;1213
2014-04-10;2497;1279;1218
2014-04-12;2493;1280;1213
2014-04-14;2498;1282;1216
2014-04-16;2501;1284;1217
2014-04-18;2503;1283;1220
2014-04-20;2507;1283;1224
2014-04-22;2508;1285;1223
2014-04-24;2514;1290;1224
2014-04-26;2516;1291;1225
2014-04-28;2520;1292;1228
2014-04-30;2530;1291;1239
2014-05-02;2532;1292;1240
2014-05-04;2539;1296;1243