date;followers;following;fans
2013-04-18;8597;508;8089
2013-04-20;8598;508;8090
2013-04-21;8605;508;8097
2013-04-22;8613;508;8105
2013-04-23;8610;508;8102
2013-04-25;8607;508;8099
2013-04-26;8609;507;8102
2013-04-27;8609;507;8102
2013-04-28;8612;506;8106
2013-04-29;8613;508;8105
2013-05-01;8619;508;8111
2013-05-02;8624;509;8115
2013-05-03;8623;509;8114
2013-05-04;8634;509;8125
2013-05-05;8647;509;8138
2013-05-06;8656;509;8147
2013-05-07;8660;510;8150
2013-05-08;8670;511;8159
2013-05-09;8678;511;8167
2013-05-11;8666;511;8155
2013-05-12;8668;511;8157
2013-05-13;8671;510;8161
2013-05-14;8687;510;8177
2013-05-15;8702;510;8192
2013-05-16;8704;510;8194
2013-05-17;8711;511;8200
2013-05-18;8777;512;8265
2013-05-20;8798;512;8286
2013-05-21;8799;511;8288
2013-05-22;8806;513;8293
2013-05-23;8832;513;8319
2013-05-24;8856;515;8341
2013-05-26;8862;516;8346
2013-05-27;8868;515;8353
2013-05-28;8879;515;8364
2013-05-30;8924;516;8408
2013-05-31;8939;516;8423
2013-06-01;8958;516;8442
2013-06-02;8976;516;8460
2013-06-03;8975;515;8460
2013-06-04;9008;516;8492
2013-06-05;9020;516;8504
2013-06-06;9035;516;8519
2013-06-08;9039;516;8523
2013-06-09;9037;516;8521
2013-06-10;9036;499;8537
2013-06-11;9044;489;8555
2013-06-20;9104;490;8614
2013-06-21;9103;489;8614
2013-06-22;9105;489;8616
2013-06-24;9123;489;8634
2013-06-25;9119;490;8629
2013-06-26;9126;490;8636
2013-06-27;9125;490;8635
2013-06-28;9133;490;8643
2013-06-30;9134;489;8645
2013-07-02;9136;489;8647
2013-07-03;9136;489;8647
2013-07-04;9139;488;8651
2013-07-06;9144;488;8656
2013-07-07;9144;488;8656
2013-07-08;9160;488;8672
2013-07-09;9178;489;8689
2013-07-10;9193;488;8705
2013-07-12;9205;489;8716
2013-07-13;9214;489;8725
2013-07-14;9217;490;8727
2013-07-15;9228;490;8738
2013-07-16;9225;489;8736
2013-07-18;9241;489;8752
2013-07-19;9244;489;8755
2013-07-20;9239;489;8750
2013-07-21;9248;490;8758
2013-07-22;9247;490;8757
2013-07-23;9252;492;8760
2013-07-24;9254;493;8761
2013-07-25;9252;492;8760
2013-07-26;9254;494;8760
2013-07-27;9257;494;8763
2013-07-28;9257;494;8763
2013-07-29;9258;494;8764
2013-07-30;9256;495;8761
2013-07-31;9263;495;8768
2013-08-01;9267;496;8771
2013-08-03;9277;499;8778
2013-08-05;9263;502;8761
2013-08-06;9272;502;8770
2013-08-07;9274;502;8772
2013-08-08;9275;503;8772
2013-08-09;9280;503;8777
2013-08-10;9279;503;8776
2013-08-11;9283;505;8778
2013-08-12;9294;506;8788
2013-08-13;9303;508;8795
2013-08-14;9303;507;8796
2013-08-15;9310;508;8802
2013-08-16;9312;509;8803
2013-08-17;9313;510;8803
2013-08-18;9313;510;8803
2013-08-19;9311;511;8800
2013-08-20;9310;509;8801
2013-08-21;9316;498;8818
2013-08-22;9319;499;8820
2013-08-23;9327;499;8828
2013-08-24;9323;500;8823
2013-08-25;9319;499;8820
2013-08-26;9326;499;8827
2013-08-27;9329;498;8831
2013-08-28;9335;499;8836
2013-08-29;9338;500;8838
2013-08-30;9336;502;8834
2013-08-31;9339;501;8838
2013-09-01;9332;500;8832
2013-09-02;9342;500;8842
2013-09-03;9357;500;8857
2013-09-04;9375;500;8875
2013-09-05;9377;500;8877
2013-09-06;9380;500;8880
2013-09-07;9385;500;8885
2013-09-08;9400;500;8900
2013-09-09;9410;500;8910
2013-09-10;9410;501;8909
2013-09-11;9410;500;8910
2013-09-12;9411;498;8913
2013-09-13;9414;498;8916
2013-09-14;9421;497;8924
2013-09-15;9426;500;8926
2013-09-16;9437;501;8936
2013-09-17;9437;503;8934
2013-09-18;9444;505;8939
2013-09-19;9451;505;8946
2013-09-20;9452;506;8946
2013-09-21;9455;507;8948
2013-09-22;9458;508;8950
2013-09-23;9459;508;8951
2013-09-24;9463;508;8955
2013-09-25;9462;509;8953
2013-09-26;9455;509;8946
2013-09-27;9457;509;8948
2013-09-28;9458;509;8949
2013-09-29;9461;509;8952
2013-10-01;9453;510;8943
2013-10-02;9452;510;8942
2013-10-03;9452;508;8944
2013-10-04;9457;508;8949
2013-10-05;9456;508;8948
2013-10-06;9455;508;8947
2013-10-07;9466;505;8961
2013-10-08;9465;498;8967
2013-10-09;9472;498;8974
2013-10-10;9478;499;8979
2013-10-11;9484;499;8985
2013-10-12;9480;500;8980
2013-10-13;9476;500;8976
2013-10-14;9473;500;8973
2013-10-15;9474;500;8974
2013-10-16;9481;500;8981
2013-10-17;9488;502;8986
2013-10-18;9488;502;8986
2013-10-19;9484;502;8982
2013-10-20;9490;502;8988
2013-10-21;9488;502;8986
2013-10-22;9491;502;8989
2013-10-23;9488;502;8986
2013-10-24;9496;503;8993
2013-10-25;9500;503;8997
2013-10-26;9499;504;8995
2013-10-27;9498;504;8994
2013-10-29;9502;505;8997
2013-10-30;9501;505;8996
2013-10-31;9506;506;9000
2013-11-01;9513;506;9007
2013-11-02;9527;506;9021
2013-11-03;9548;506;9042
2013-11-04;9560;506;9054
2013-11-06;9562;506;9056
2013-11-07;9565;506;9059
2013-11-08;9573;506;9067
2013-11-10;9565;503;9062
2013-11-12;9576;504;9072
2013-11-13;9570;504;9066
2013-11-15;9580;503;9077
2013-11-16;9605;502;9103
2013-11-17;9600;502;9098
2013-11-18;9603;501;9102
2013-11-19;9613;501;9112
2013-11-21;9615;501;9114
2013-11-22;9624;499;9125
2013-11-23;9633;497;9136
2013-11-25;9630;495;9135
2013-11-26;9629;496;9133
2013-11-27;9632;494;9138
2013-11-28;9630;495;9135
2013-11-29;9623;494;9129
2013-11-30;9621;495;9126
2013-12-02;9628;494;9134
2013-12-03;9634;495;9139
2013-12-04;9639;495;9144
2013-12-05;9644;494;9150
2013-12-06;9645;495;9150
2013-12-08;9643;495;9148
2013-12-09;9656;497;9159
2013-12-11;9666;498;9168
2013-12-12;9667;498;9169
2013-12-13;9664;498;9166
2013-12-14;9662;499;9163
2013-12-15;9666;499;9167
2013-12-16;9671;499;9172
2013-12-17;9669;500;9169
2013-12-18;9674;501;9173
2013-12-19;9674;502;9172
2013-12-20;9674;502;9172
2013-12-21;9679;502;9177
2013-12-22;9677;502;9175
2013-12-23;9682;502;9180
2013-12-24;9686;502;9184
2013-12-26;9693;500;9193
2013-12-27;9696;497;9199
2013-12-28;9691;497;9194
2013-12-29;9695;496;9199
2013-12-30;9698;496;9202
2013-12-31;9704;495;9209
2014-01-01;9702;495;9207
2014-01-02;9706;497;9209
2014-01-03;9710;496;9214
2014-01-04;9714;496;9218
2014-01-05;9730;496;9234
2014-01-06;9731;495;9236
2014-01-07;9738;496;9242
2014-01-08;9736;496;9240
2014-01-09;9740;497;9243
2014-01-10;9743;492;9251
2014-01-11;9750;491;9259
2014-01-12;9749;491;9258
2014-01-13;9759;491;9268
2014-01-14;9760;491;9269
2014-01-15;9761;492;9269
2014-01-16;9761;492;9269
2014-01-17;9768;491;9277
2014-01-18;9778;492;9286
2014-01-19;9785;491;9294
2014-01-20;9786;491;9295
2014-01-21;9785;491;9294
2014-01-22;9794;491;9303
2014-01-23;9803;491;9312
2014-01-24;9809;492;9317
2014-01-25;9821;493;9328
2014-01-26;9852;493;9359
2014-01-28;9872;470;9402
2014-01-29;9866;470;9396
2014-01-30;9866;470;9396
2014-02-01;9870;470;9400
2014-02-02;9868;470;9398
2014-02-03;9870;472;9398
2014-02-04;9869;473;9396
2014-02-05;9868;473;9395
2014-02-06;9872;471;9401
2014-02-07;9882;472;9410
2014-02-08;9882;472;9410
2014-02-09;9892;472;9420
2014-02-10;9895;471;9424
2014-02-11;9900;471;9429
2014-02-12;9898;472;9426
2014-02-13;9898;472;9426
2014-02-14;9905;472;9433
2014-02-15;9907;472;9435
2014-02-16;9909;472;9437
2014-02-17;9911;472;9439
2014-02-18;9912;472;9440
2014-02-19;9919;472;9447
2014-02-20;9930;472;9458
2014-02-21;9932;472;9460
2014-02-22;9943;472;9471
2014-02-23;9944;472;9472
2014-02-24;9947;472;9475
2014-02-25;9945;472;9473
2014-02-26;9945;472;9473
2014-02-27;9941;472;9469
2014-02-28;9944;472;9472
2014-03-01;9944;472;9472
2014-03-02;9949;472;9477
2014-03-03;9947;472;9475
2014-03-04;9949;472;9477
2014-03-05;9956;472;9484
2014-03-06;9950;472;9478
2014-03-07;9961;472;9489
2014-03-08;9959;472;9487
2014-03-09;9960;472;9488
2014-03-10;9954;472;9482
2014-03-11;9951;470;9481
2014-03-12;9955;470;9485
2014-03-13;9957;470;9487
2014-03-14;9954;470;9484
2014-03-15;9952;470;9482
2014-03-16;9952;470;9482
2014-03-17;9947;467;9480
2014-03-18;9948;467;9481
2014-03-19;9945;467;9478
2014-03-20;9950;467;9483
2014-03-21;9950;467;9483
2014-03-22;9954;468;9486
2014-03-23;9959;468;9491
2014-03-24;9962;468;9494
2014-03-25;9967;468;9499
2014-03-26;9965;468;9497
2014-03-27;9965;468;9497
2014-03-28;9967;468;9499
2014-03-29;9970;468;9502
2014-03-30;9977;468;9509
2014-03-31;9978;468;9510
2014-04-01;9984;468;9516
2014-04-02;9982;468;9514
2014-04-03;9978;466;9512
2014-04-04;9982;466;9516
2014-04-05;9977;466;9511
2014-04-06;9978;467;9511
2014-04-07;9981;467;9514
2014-04-08;9976;467;9509
2014-04-09;9978;467;9511
2014-04-10;9976;467;9509
2014-04-11;9976;467;9509
2014-04-12;9969;467;9502
2014-04-13;9966;467;9499
2014-04-14;9966;467;9499
2014-04-15;9977;466;9511
2014-04-16;9977;465;9512
2014-04-17;9981;465;9516
2014-04-18;9978;466;9512
2014-04-19;9986;467;9519
2014-04-20;9991;467;9524
2014-04-21;9999;467;9532
2014-04-22;9992;467;9525
2014-04-23;9990;467;9523
2014-04-24;9986;467;9519
2014-04-25;9985;467;9518
2014-04-26;9982;467;9515
2014-04-27;9982;467;9515
2014-04-28;9986;467;9519
2014-04-29;9989;467;9522
2014-04-30;9991;467;9524
2014-05-01;9994;466;9528
2014-05-02;9996;466;9530
2014-05-03;9999;466;9533
2014-05-04;9998;467;9531
2014-05-05;9998;467;9531