date;followers;following;fans
2013-04-18;2553;826;1727
2013-04-20;2555;826;1729
2013-04-22;2555;827;1728
2013-04-24;2558;828;1730
2013-04-26;2562;827;1735
2013-04-28;2562;827;1735
2013-04-30;2568;828;1740
2013-05-02;2575;831;1744
2013-05-04;2577;831;1746
2013-05-06;2585;832;1753
2013-05-08;2589;832;1757
2013-05-10;2597;832;1765
2013-05-12;2610;833;1777
2013-05-14;2636;839;1797
2013-05-16;2643;839;1804
2013-05-18;2646;841;1805
2013-05-20;2653;841;1812
2013-05-22;2662;841;1821
2013-05-24;2669;841;1828
2013-05-26;2675;841;1834
2013-05-28;2681;841;1840
2013-05-30;2688;841;1847
2013-06-01;2691;841;1850
2013-06-03;2700;841;1859
2013-06-05;2705;841;1864
2013-06-07;2711;840;1871
2013-06-09;2725;842;1883
2013-06-11;2738;840;1898
2013-06-20;2756;842;1914
2013-06-22;2767;841;1926
2013-06-24;2773;841;1932
2013-06-26;2778;840;1938
2013-06-28;2788;840;1948
2013-06-30;2792;840;1952
2013-07-02;2797;841;1956
2013-07-04;2803;841;1962
2013-07-06;2807;841;1966
2013-07-08;2815;842;1973
2013-07-10;2818;842;1976
2013-07-12;2829;842;1987
2013-07-14;2832;842;1990
2013-07-16;2839;842;1997
2013-07-18;2846;842;2004
2013-07-20;2847;842;2005
2013-07-22;2851;842;2009
2013-07-24;2858;841;2017
2013-07-26;2864;841;2023
2013-07-28;2872;842;2030
2013-07-30;2877;842;2035
2013-08-01;2880;842;2038
2013-08-03;2888;843;2045
2013-08-05;2891;843;2048
2013-08-07;2896;844;2052
2013-08-09;2902;845;2057
2013-08-11;2907;845;2062
2013-08-13;2907;845;2062
2013-08-15;2912;845;2067
2013-08-17;2914;845;2069
2013-08-19;2916;845;2071
2013-08-21;2922;845;2077
2013-08-23;2930;845;2085
2013-08-25;2934;845;2089
2013-08-27;2939;845;2094
2013-08-29;2951;848;2103
2013-08-31;2956;847;2109
2013-09-02;2963;847;2116
2013-09-04;2973;847;2126
2013-09-06;2980;849;2131
2013-09-08;2986;849;2137
2013-09-10;2991;849;2142
2013-09-12;2993;849;2144
2013-09-14;2996;849;2147
2013-09-16;3000;849;2151
2013-09-18;3008;849;2159
2013-09-20;3011;849;2162
2013-09-22;3019;850;2169
2013-09-24;3027;850;2177
2013-09-26;3029;850;2179
2013-09-28;3033;850;2183
2013-09-30;3030;850;2180
2013-10-02;3028;850;2178
2013-10-04;3036;855;2181
2013-10-06;3043;855;2188
2013-10-08;3044;855;2189
2013-10-10;3051;857;2194
2013-10-12;3053;857;2196
2013-10-14;3059;857;2202
2013-10-16;3067;857;2210
2013-10-18;3065;856;2209
2013-10-20;3068;857;2211
2013-10-22;3077;858;2219
2013-10-24;3087;859;2228
2013-10-26;3090;859;2231
2013-10-28;3094;859;2235
2013-10-30;3095;859;2236
2013-11-01;3089;859;2230
2013-11-03;3090;858;2232
2013-11-05;3094;858;2236
2013-11-07;3101;857;2244
2013-11-09;3097;857;2240
2013-11-11;3107;857;2250
2013-11-13;3116;857;2259
2013-11-15;3122;857;2265
2013-11-17;3126;857;2269
2013-11-19;3132;856;2276
2013-11-21;3136;856;2280
2013-11-23;3139;856;2283
2013-11-25;3142;856;2286
2013-11-27;3147;856;2291
2013-11-29;3153;856;2297
2013-12-01;3150;856;2294
2013-12-03;3154;856;2298
2013-12-05;3157;856;2301
2013-12-07;3161;856;2305
2013-12-09;3168;856;2312
2013-12-11;3170;856;2314
2013-12-13;3172;856;2316
2013-12-15;3168;856;2312
2013-12-17;3173;856;2317
2013-12-19;3185;857;2328
2013-12-21;3194;858;2336
2013-12-23;3194;858;2336
2013-12-25;3202;858;2344
2013-12-27;3208;857;2351
2013-12-29;3212;857;2355
2013-12-31;3217;858;2359
2014-01-02;3223;858;2365
2014-01-04;3239;857;2382
2014-01-06;3248;857;2391
2014-01-08;3250;857;2393
2014-01-10;3256;857;2399
2014-01-12;3261;857;2404
2014-01-14;3267;857;2410
2014-01-16;3268;856;2412
2014-01-18;3278;857;2421
2014-01-20;3279;857;2422
2014-01-22;3286;857;2429
2014-01-24;3293;857;2436
2014-01-26;3297;858;2439
2014-01-28;3302;859;2443
2014-01-30;3312;859;2453
2014-02-01;3315;859;2456
2014-02-03;3322;859;2463
2014-02-05;3323;862;2461
2014-02-07;3333;862;2471
2014-02-09;3339;862;2477
2014-02-11;3350;862;2488
2014-02-13;3364;862;2502
2014-02-14;3367;862;2505
2014-02-15;3370;862;2508
2014-02-16;3372;863;2509
2014-02-18;3388;863;2525
2014-02-19;3391;864;2527
2014-02-20;3394;864;2530
2014-02-22;3397;864;2533
2014-02-23;3405;864;2541
2014-02-24;3412;864;2548
2014-02-26;3414;864;2550
2014-02-27;3419;864;2555
2014-02-28;3419;864;2555
2014-03-02;3420;864;2556
2014-03-03;3425;864;2561
2014-03-04;3423;864;2559
2014-03-06;3427;864;2563
2014-03-07;3430;864;2566
2014-03-08;3436;865;2571
2014-03-10;3439;865;2574
2014-03-11;3442;865;2577
2014-03-13;3448;866;2582
2014-03-14;3455;867;2588
2014-03-15;3460;867;2593
2014-03-17;3462;867;2595
2014-03-18;3464;867;2597
2014-03-19;3461;867;2594
2014-03-21;3465;867;2598
2014-03-22;3469;867;2602
2014-03-23;3476;867;2609
2014-03-25;3481;867;2614
2014-03-26;3486;867;2619
2014-03-27;3491;867;2624
2014-03-29;3496;867;2629
2014-03-30;3497;867;2630
2014-04-01;3501;867;2634
2014-04-02;3502;867;2635
2014-04-03;3507;867;2640
2014-04-05;3513;866;2647
2014-04-06;3517;866;2651
2014-04-07;3519;866;2653
2014-04-09;3525;866;2659
2014-04-10;3527;866;2661
2014-04-12;3526;866;2660
2014-04-13;3528;867;2661
2014-04-14;3531;867;2664
2014-04-16;3542;866;2676
2014-04-17;3544;866;2678
2014-04-18;3546;866;2680
2014-04-20;3550;866;2684
2014-04-21;3556;866;2690
2014-04-22;3553;866;2687
2014-04-24;3564;865;2699
2014-04-25;3571;865;2706
2014-04-26;3574;865;2709
2014-04-28;3581;865;2716
2014-04-29;3588;865;2723
2014-04-30;3593;865;2728
2014-05-02;3594;865;2729
2014-05-03;3598;866;2732
2014-05-04;3606;867;2739
2014-05-06;3613;867;2746