date;followers;following;fans
2013-06-20;3885;710;3175
2013-06-21;3888;711;3177
2013-06-22;3887;711;3176
2013-06-24;3890;711;3179
2013-06-25;3894;712;3182
2013-06-26;3892;712;3180
2013-06-27;3884;712;3172
2013-06-28;3875;712;3163
2013-06-29;3877;713;3164
2013-06-30;3877;714;3163
2013-07-01;3871;717;3154
2013-07-03;3870;720;3150
2013-07-04;3883;727;3156
2013-07-05;3884;728;3156
2013-07-06;3885;730;3155
2013-07-07;3884;730;3154
2013-07-08;3889;730;3159
2013-07-09;3894;730;3164
2013-07-10;3893;730;3163
2013-07-12;3892;737;3155
2013-07-13;3893;737;3156
2013-07-14;3896;737;3159
2013-07-15;3896;737;3159
2013-07-16;3899;737;3162
2013-07-17;3903;737;3166
2013-07-18;3901;737;3164
2013-07-19;3898;737;3161
2013-07-21;3894;736;3158
2013-07-22;3894;736;3158
2013-07-23;3891;737;3154
2013-07-24;3887;737;3150
2013-07-25;3887;737;3150
2013-07-26;3886;737;3149
2013-07-28;3881;737;3144
2013-07-29;3878;737;3141
2013-07-30;3878;737;3141
2013-07-31;3876;736;3140
2013-08-01;3873;738;3135
2013-08-02;3869;738;3131
2013-08-03;3865;738;3127
2013-08-04;3866;739;3127
2013-08-06;3865;739;3126
2013-08-07;3856;739;3117
2013-08-08;3860;739;3121
2013-08-09;3866;741;3125
2013-08-10;3862;741;3121
2013-08-11;3865;741;3124
2013-08-12;3865;741;3124
2013-08-13;3868;742;3126
2013-08-15;3864;746;3118
2013-08-16;3868;746;3122
2013-08-17;3869;754;3115
2013-08-18;3871;757;3114
2013-08-19;3870;758;3112
2013-08-20;3871;761;3110
2013-08-22;3871;766;3105
2013-08-23;3879;769;3110
2013-08-24;3886;769;3117
2013-08-25;3890;769;3121
2013-08-26;3895;769;3126
2013-08-27;3897;770;3127
2013-08-29;3913;776;3137
2013-08-30;3932;777;3155
2013-08-31;3937;780;3157
2013-09-01;3941;780;3161
2013-09-02;3947;780;3167
2013-09-03;3952;782;3170
2013-09-04;3964;786;3178
2013-09-06;3969;785;3184
2013-09-07;3972;787;3185
2013-09-08;3973;787;3186
2013-09-09;3977;788;3189
2013-09-10;3982;788;3194
2013-09-11;3989;790;3199
2013-09-13;4017;790;3227
2013-09-14;4034;791;3243
2013-09-15;4037;791;3246
2013-09-16;4046;790;3256
2013-09-17;4050;790;3260
2013-09-18;4060;793;3267
2013-09-20;4064;793;3271
2013-09-21;4072;793;3279
2013-09-22;4077;793;3284
2013-09-23;4104;793;3311
2013-09-24;4104;794;3310
2013-09-25;4113;794;3319
2013-09-27;4115;795;3320
2013-09-28;4118;796;3322
2013-09-29;4123;797;3326
2013-09-30;4125;799;3326
2013-10-01;4123;800;3323
2013-10-02;4131;802;3329
2013-10-04;4130;803;3327
2013-10-05;4169;798;3371
2013-10-06;4179;798;3381
2013-10-07;4182;798;3384
2013-10-09;4190;798;3392
2013-10-10;4193;801;3392
2013-10-11;4198;803;3395
2013-10-12;4198;806;3392
2013-10-13;4203;806;3397
2013-10-15;4202;806;3396
2013-10-16;4199;806;3393
2013-10-17;4199;805;3394
2013-10-18;4196;804;3392
2013-10-19;4198;806;3392
2013-10-21;4202;807;3395
2013-10-22;4205;806;3399
2013-10-23;4205;807;3398
2013-10-24;4204;811;3393
2013-10-25;4213;815;3398
2013-10-27;4214;815;3399
2013-10-28;4215;815;3400
2013-10-29;4219;816;3403
2013-10-30;4220;816;3404
2013-10-31;4226;817;3409
2013-11-02;4232;819;3413
2013-11-03;4233;819;3414
2013-11-04;4231;819;3412
2013-11-05;4236;819;3417
2013-11-06;4232;820;3412
2013-11-08;4239;822;3417
2013-11-09;4241;827;3414
2013-11-10;4245;827;3418
2013-11-11;4247;827;3420
2013-11-12;4251;830;3421
2013-11-14;4245;830;3415
2013-11-15;4261;830;3431
2013-11-16;4275;832;3443
2013-11-17;4277;834;3443
2013-11-19;4283;834;3449
2013-11-20;4288;834;3454
2013-11-21;4289;836;3453
2013-11-22;4303;837;3466
2013-11-24;4302;836;3466
2013-11-25;4307;836;3471
2013-11-26;4303;835;3468
2013-11-27;4309;837;3472
2013-11-29;4312;837;3475
2013-11-30;4317;837;3480
2013-12-01;4319;837;3482
2013-12-02;4320;838;3482
2013-12-04;4320;840;3480
2013-12-05;4321;840;3481
2013-12-06;4324;839;3485
2013-12-07;4334;843;3491
2013-12-08;4361;846;3515
2013-12-10;4372;849;3523
2013-12-11;4377;851;3526
2013-12-12;4380;852;3528
2013-12-13;4391;851;3540
2013-12-15;4420;851;3569
2013-12-16;4424;851;3573
2013-12-17;4423;850;3573
2013-12-18;4423;849;3574
2013-12-20;4428;849;3579
2013-12-21;4436;850;3586
2013-12-22;4456;852;3604
2013-12-24;4464;852;3612
2013-12-25;4458;855;3603
2013-12-26;4470;858;3612
2013-12-27;4496;858;3638
2013-12-29;4499;857;3642
2013-12-30;4502;856;3646
2013-12-31;4504;855;3649
2014-01-01;4507;856;3651
2014-01-03;4509;856;3653
2014-01-04;4503;855;3648
2014-01-05;4502;856;3646
2014-01-06;4504;855;3649
2014-01-08;4508;856;3652
2014-01-09;4522;856;3666
2014-01-10;4526;855;3671
2014-01-12;4531;855;3676
2014-01-13;4534;855;3679
2014-01-14;4537;856;3681
2014-01-15;4540;860;3680
2014-01-17;4542;859;3683
2014-01-18;4545;859;3686
2014-01-19;4550;859;3691
2014-01-21;4548;859;3689
2014-01-22;4551;859;3692
2014-01-23;4552;859;3693
2014-01-24;4560;859;3701
2014-01-26;4557;859;3698
2014-01-27;4559;859;3700
2014-01-28;4570;863;3707
2014-01-30;4578;863;3715
2014-01-31;4581;863;3718
2014-02-01;4585;863;3722
2014-02-03;4591;863;3728
2014-02-04;4592;863;3729
2014-02-05;4598;863;3735
2014-02-07;4607;863;3744
2014-02-08;4606;862;3744
2014-02-09;4607;862;3745
2014-02-11;4607;862;3745
2014-02-12;4611;862;3749
2014-02-13;4619;862;3757
2014-02-15;4625;862;3763
2014-02-16;4625;862;3763
2014-02-17;4628;863;3765
2014-02-19;4626;863;3763
2014-02-20;4637;865;3772
2014-02-21;4640;870;3770
2014-02-23;4643;873;3770
2014-02-24;4651;874;3777
2014-02-25;4666;875;3791
2014-02-27;4663;875;3788
2014-02-28;4676;876;3800
2014-03-01;4681;876;3805
2014-03-03;4686;878;3808
2014-03-04;4687;875;3812
2014-03-05;4697;874;3823
2014-03-07;4702;876;3826
2014-03-08;4705;876;3829
2014-03-10;4703;876;3827
2014-03-11;4703;868;3835
2014-03-12;4707;867;3840
2014-03-14;4707;868;3839
2014-03-15;4711;868;3843
2014-03-16;4712;867;3845
2014-03-18;4719;869;3850
2014-03-19;4724;871;3853
2014-03-20;4727;872;3855
2014-03-22;4742;875;3867
2014-03-23;4904;876;4028
2014-03-24;4930;878;4052
2014-03-26;4930;881;4049
2014-03-27;4938;881;4057
2014-03-28;4949;882;4067
2014-03-30;4952;882;4070
2014-03-31;4956;883;4073
2014-04-02;4962;884;4078
2014-04-03;4963;884;4079
2014-04-04;4966;883;4083
2014-04-06;4969;882;4087
2014-04-07;4970;882;4088
2014-04-09;4972;882;4090
2014-04-10;4969;882;4087
2014-04-12;4966;882;4084
2014-04-13;4964;882;4082
2014-04-14;4967;881;4086
2014-04-15;4967;883;4084
2014-04-17;4970;882;4088
2014-04-18;4972;883;4089
2014-04-19;4970;883;4087
2014-04-21;4971;883;4088
2014-04-22;4974;883;4091
2014-04-24;4975;885;4090
2014-04-25;4974;887;4087
2014-04-26;4974;888;4086
2014-04-27;4974;888;4086
2014-04-29;4979;887;4092
2014-04-30;4985;888;4097
2014-05-01;4996;892;4104
2014-05-03;4999;894;4105
2014-05-04;4997;894;4103
2014-05-06;4999;895;4104