date;followers;following;fans
2013-07-02;4978;3699;1279
2013-07-04;4970;3698;1272
2013-07-06;4967;3699;1268
2013-07-08;4952;3637;1315
2013-07-10;4939;3638;1301
2013-07-12;4926;3636;1290
2013-07-14;4916;3631;1285
2013-07-16;4910;3630;1280
2013-07-18;4906;3630;1276
2013-07-20;4897;3626;1271
2013-07-22;4888;3624;1264
2013-07-24;4881;3622;1259
2013-07-26;4874;3623;1251
2013-07-28;4854;3614;1240
2013-07-30;4851;3612;1239
2013-08-01;4849;3615;1234
2013-08-03;4845;3615;1230
2013-08-05;4844;3614;1230
2013-08-07;4834;3612;1222
2013-08-09;4831;3614;1217
2013-08-11;4825;3611;1214
2013-08-13;4823;3612;1211
2013-08-15;4824;3611;1213
2013-08-17;4823;3610;1213
2013-08-19;4820;3583;1237
2013-08-21;4813;3584;1229
2013-08-23;4810;3583;1227
2013-08-25;4806;3578;1228
2013-08-27;4795;3575;1220
2013-08-29;4789;3574;1215
2013-08-31;4782;3574;1208
2013-09-02;4780;3575;1205
2013-09-04;4777;3577;1200
2013-09-06;4771;3573;1198
2013-09-08;4765;3573;1192
2013-09-10;4761;3573;1188
2013-09-12;4757;3573;1184
2013-09-14;4756;3573;1183
2013-09-16;4749;3572;1177
2013-09-18;4743;3570;1173
2013-09-20;4740;3568;1172
2013-09-22;4738;3569;1169
2013-09-24;4731;3566;1165
2013-09-26;4726;3563;1163
2013-09-28;4727;3565;1162
2013-09-30;4721;3561;1160
2013-10-02;4718;3562;1156
2013-10-04;4718;3563;1155
2013-10-06;4710;3563;1147
2013-10-08;4705;3560;1145
2013-10-10;4703;3561;1142
2013-10-12;4697;3559;1138
2013-10-14;4686;3555;1131
2013-10-16;4682;3555;1127
2013-10-18;4680;3555;1125
2013-10-20;4676;3554;1122
2013-10-22;4673;3554;1119
2013-10-24;4664;3554;1110
2013-10-26;4661;3553;1108
2013-10-28;4657;3551;1106
2013-10-30;4653;3550;1103
2013-11-01;4651;3549;1102
2013-11-03;4645;3547;1098
2013-11-05;4639;3547;1092
2013-11-07;4635;3546;1089
2013-11-09;4626;3545;1081
2013-11-11;4623;3546;1077
2013-11-13;4621;3546;1075
2013-11-15;4618;3545;1073
2013-11-17;4612;3541;1071
2013-11-19;4606;3506;1100
2013-11-21;4601;3505;1096
2013-11-23;4599;3502;1097
2013-11-25;4596;3501;1095
2013-11-27;4596;3500;1096
2013-11-29;4594;3501;1093
2013-12-01;4593;3504;1089
2013-12-03;4588;3504;1084
2013-12-05;4583;3503;1080
2013-12-07;4576;3504;1072
2013-12-09;4573;3502;1071
2013-12-11;4570;3502;1068
2013-12-13;4569;3499;1070
2013-12-15;4563;3497;1066
2013-12-17;4557;3494;1063
2013-12-19;4543;3483;1060
2013-12-21;4540;3483;1057
2013-12-23;4534;3482;1052
2013-12-25;4531;3481;1050
2013-12-27;4527;3480;1047
2013-12-29;4520;3477;1043
2013-12-31;4519;3477;1042
2014-01-02;4519;3477;1042
2014-01-04;4516;3476;1040
2014-01-06;4514;3225;1289
2014-01-08;4513;3227;1286
2014-01-10;4512;3226;1286
2014-01-12;4511;3226;1285
2014-01-14;4510;3228;1282
2014-01-16;4508;3228;1280
2014-01-18;4511;3228;1283
2014-01-20;4501;2334;2167
2014-01-22;4500;2344;2156
2014-01-24;4492;2342;2150
2014-01-26;4491;2344;2147
2014-01-28;4486;2343;2143
2014-01-30;4484;2343;2141
2014-02-01;4480;2343;2137
2014-02-03;4476;2342;2134
2014-02-05;4469;2340;2129
2014-02-07;4467;2339;2128
2014-02-09;4463;2339;2124
2014-02-11;4462;2339;2123
2014-02-13;4459;2338;2121
2014-02-15;4458;2311;2147
2014-02-17;4460;2311;2149
2014-02-19;4456;1876;2580
2014-02-20;4453;1874;2579
2014-02-21;4450;1877;2573
2014-02-23;4449;1877;2572
2014-02-24;4449;1877;2572
2014-02-25;4440;1874;2566
2014-02-27;4440;1875;2565
2014-02-28;4440;1875;2565
2014-03-01;4438;1874;2564
2014-03-03;4433;1874;2559
2014-03-04;4433;1899;2534
2014-03-05;4432;1899;2533
2014-03-07;4431;1898;2533
2014-03-08;4429;1897;2532
2014-03-09;4429;1898;2531
2014-03-11;4424;1895;2529
2014-03-12;4434;1942;2492
2014-03-15;4431;1944;2487
2014-03-17;4435;1944;2491
2014-03-19;4432;1944;2488
2014-03-21;4429;1943;2486
2014-03-23;4429;1943;2486
2014-03-25;4427;1942;2485
2014-03-27;4429;1987;2442
2014-03-29;4429;1986;2443
2014-03-31;4425;1986;2439
2014-04-02;4426;1985;2441
2014-04-04;4424;1984;2440
2014-04-06;4420;1984;2436
2014-04-08;4414;1980;2434
2014-04-10;4415;1982;2433
2014-04-12;4412;1983;2429
2014-04-14;4410;1982;2428
2014-04-16;4406;1981;2425
2014-04-18;4401;1980;2421
2014-04-20;4402;1981;2421
2014-04-22;4400;1982;2418
2014-04-24;4396;1982;2414
2014-04-26;4393;1981;2412
2014-04-28;4392;1981;2411
2014-04-30;4390;1980;2410
2014-05-02;4388;1980;2408
2014-05-04;4386;1980;2406