date;followers;following;fans
2014-01-03;1549;378;1171
2014-01-06;1557;379;1178
2014-01-08;1564;381;1183
2014-01-10;1580;381;1199
2014-01-12;1580;380;1200
2014-01-14;1585;379;1206
2014-01-16;1588;380;1208
2014-01-18;1589;380;1209
2014-01-20;1598;380;1218
2014-01-22;1606;380;1226
2014-01-24;1611;381;1230
2014-01-26;1612;382;1230
2014-01-28;1613;382;1231
2014-01-30;1616;383;1233
2014-02-01;1622;386;1236
2014-02-03;1626;386;1240
2014-02-05;1630;386;1244
2014-02-07;1634;389;1245
2014-02-09;1639;389;1250
2014-02-11;1648;388;1260
2014-02-13;1651;389;1262
2014-02-15;1661;389;1272
2014-02-17;1667;389;1278
2014-02-19;1676;388;1288
2014-02-21;1679;389;1290
2014-02-23;1683;389;1294
2014-02-25;1685;389;1296
2014-02-27;1685;389;1296
2014-03-01;1684;390;1294
2014-03-03;1689;391;1298
2014-03-05;1690;391;1299
2014-03-07;1694;389;1305
2014-03-09;1697;389;1308
2014-03-11;1698;390;1308
2014-03-13;1699;389;1310
2014-03-15;1702;392;1310
2014-03-17;1712;392;1320
2014-03-19;1717;391;1326
2014-03-21;1722;390;1332
2014-03-23;1727;389;1338
2014-03-25;1730;389;1341
2014-03-27;1739;388;1351
2014-03-29;1747;388;1359
2014-03-31;1749;388;1361
2014-04-02;1756;389;1367
2014-04-04;1756;389;1367
2014-04-06;1763;389;1374
2014-04-08;1765;389;1376
2014-04-10;1768;388;1380
2014-04-12;1771;388;1383
2014-04-14;1770;388;1382
2014-04-16;1772;389;1383
2014-04-18;1773;390;1383
2014-04-20;1774;390;1384
2014-04-22;1776;389;1387
2014-04-24;1788;389;1399
2014-04-26;1797;389;1408
2014-04-28;1797;389;1408
2014-04-30;1801;389;1412
2014-05-02;1804;390;1414
2014-05-04;1805;392;1413