date;followers;following;fans
2013-04-18;3835;2495;1340
2013-04-20;3843;2497;1346
2013-04-22;3853;2497;1356
2013-04-24;3857;2500;1357
2013-04-26;3862;2500;1362
2013-04-28;3871;2500;1371
2013-04-30;3888;2502;1386
2013-05-02;3903;2502;1401
2013-05-04;3911;2501;1410
2013-05-06;3922;2499;1423
2013-05-08;3932;2499;1433
2013-05-10;3940;2498;1442
2013-05-12;3929;2482;1447
2013-05-14;3944;2484;1460
2013-05-16;3963;2489;1474
2013-05-18;3982;2497;1485
2013-05-20;3983;2498;1485
2013-05-22;3997;2499;1498
2013-05-24;4016;2499;1517
2013-05-26;4021;2499;1522
2013-05-28;4028;2499;1529
2013-05-30;4029;2498;1531
2013-06-01;4034;2496;1538
2013-06-03;4044;2495;1549
2013-06-05;4049;2495;1554
2013-06-07;4056;2493;1563
2013-06-09;4062;2492;1570
2013-06-11;4069;2491;1578
2013-06-20;4098;2491;1607
2013-06-22;4114;2490;1624
2013-06-24;4119;2490;1629
2013-06-26;4129;2490;1639
2013-06-28;4133;2491;1642
2013-06-30;4137;2491;1646
2013-07-02;4150;2491;1659
2013-07-04;4154;2489;1665
2013-07-06;4161;2487;1674
2013-07-08;4172;2487;1685
2013-07-10;4177;2487;1690
2013-07-12;4180;2486;1694
2013-07-14;4184;2486;1698
2013-07-16;4185;2486;1699
2013-07-18;4185;2485;1700
2013-07-20;4190;2485;1705
2013-07-22;4192;2485;1707
2013-07-24;4194;2485;1709
2013-07-26;4205;2486;1719
2013-07-28;4212;2483;1729
2013-07-30;4220;2484;1736
2013-08-01;4223;2482;1741
2013-08-03;4226;2482;1744
2013-08-05;4237;2479;1758
2013-08-07;4246;2480;1766
2013-08-09;4250;2480;1770
2013-08-11;4251;2478;1773
2013-08-13;4260;2478;1782
2013-08-15;4268;2478;1790
2013-08-17;4274;2478;1796
2013-08-19;4274;2478;1796
2013-08-21;4282;2477;1805
2013-08-23;4279;2476;1803
2013-08-25;4286;2476;1810
2013-08-27;4293;2474;1819
2013-08-29;4305;2473;1832
2013-08-31;4311;2476;1835
2013-09-02;4319;2475;1844
2013-09-04;4330;2475;1855
2013-09-06;4333;2474;1859
2013-09-08;4340;2473;1867
2013-09-10;4345;2475;1870
2013-09-12;4350;2474;1876
2013-09-14;4355;2473;1882
2013-09-16;4359;2475;1884
2013-09-18;4361;2474;1887
2013-09-20;4373;2477;1896
2013-09-22;4387;2477;1910
2013-09-24;4403;2477;1926
2013-09-26;4420;2476;1944
2013-09-28;4432;2477;1955
2013-09-29;4439;2477;1962
2013-10-02;4445;2477;1968
2013-10-04;4450;2477;1973
2013-10-06;4458;2477;1981
2013-10-08;4467;2477;1990
2013-10-10;4473;2476;1997
2013-10-12;4472;2475;1997
2013-10-14;4484;2474;2010
2013-10-16;4493;2474;2019
2013-10-18;4500;2476;2024
2013-10-20;4502;2475;2027
2013-10-22;4511;2475;2036
2013-10-24;4512;2475;2037
2013-10-26;4517;2475;2042
2013-10-28;4521;2474;2047
2013-10-30;4527;2474;2053
2013-11-01;4528;2474;2054
2013-11-03;4533;2473;2060
2013-11-05;4539;2472;2067
2013-11-07;4540;2473;2067
2013-11-09;4544;2473;2071
2013-11-11;4549;2472;2077
2013-11-12;4551;2476;2075
2013-11-15;4561;2477;2084
2013-11-17;4566;2477;2089
2013-11-19;4576;2477;2099
2013-11-21;4585;2474;2111
2013-11-23;4603;2474;2129
2013-11-25;4614;2473;2141
2013-11-27;4621;2473;2148
2013-11-29;4625;2471;2154
2013-12-01;4637;2472;2165
2013-12-03;4636;2470;2166
2013-12-05;4648;2472;2176
2013-12-07;4678;2472;2206
2013-12-09;4688;2472;2216
2013-12-11;4702;2473;2229
2013-12-13;4711;2473;2238
2013-12-15;4721;2474;2247
2013-12-17;4737;2475;2262
2013-12-19;4736;2476;2260
2013-12-21;4741;2476;2265
2013-12-23;4749;2476;2273
2013-12-25;4755;2476;2279
2013-12-27;4766;2476;2290
2013-12-29;4779;2476;2303
2013-12-31;4810;2476;2334
2014-01-02;4820;2474;2346
2014-01-04;4839;2474;2365
2014-01-06;4848;2473;2375
2014-01-08;4859;2473;2386
2014-01-10;4868;2473;2395
2014-01-12;4887;2473;2414
2014-01-14;4896;2474;2422
2014-01-16;4905;2473;2432
2014-01-18;4922;2473;2449
2014-01-20;4939;2473;2466
2014-01-22;4977;2472;2505
2014-01-23;4982;2472;2510
2014-01-24;4981;2471;2510
2014-01-25;4989;2471;2518
2014-01-26;4993;2471;2522
2014-01-28;4994;2470;2524
2014-01-30;4997;2470;2527
2014-01-31;5003;2470;2533
2014-02-01;5007;2470;2537
2014-02-02;5009;2470;2539
2014-02-04;5009;2470;2539
2014-02-05;5015;2470;2545
2014-02-06;5011;2468;2543
2014-02-08;5016;2472;2544
2014-02-09;5017;2472;2545
2014-02-10;5020;2472;2548
2014-02-12;5022;2468;2554
2014-02-13;5027;2468;2559
2014-02-14;5027;2468;2559
2014-02-16;5024;2468;2556
2014-02-17;5026;2467;2559
2014-02-18;5035;2466;2569
2014-02-20;5036;2467;2569
2014-02-21;5043;2466;2577
2014-02-22;5043;2466;2577
2014-02-24;5043;2466;2577
2014-02-25;5050;2467;2583
2014-02-26;5059;2466;2593
2014-02-28;5060;2466;2594
2014-03-01;5060;2466;2594
2014-03-02;5065;2466;2599
2014-03-04;5064;2465;2599
2014-03-05;5070;2465;2605
2014-03-06;5074;2465;2609
2014-03-08;5075;2465;2610
2014-03-09;5074;2465;2609
2014-03-10;5078;2465;2613
2014-03-12;5080;2464;2616
2014-03-13;5081;2464;2617
2014-03-14;5082;2464;2618
2014-03-16;5085;2464;2621
2014-03-17;5086;2464;2622
2014-03-19;5090;2464;2626
2014-03-20;5095;2464;2631
2014-03-21;5095;2464;2631
2014-03-22;5102;2468;2634
2014-03-24;5107;2468;2639
2014-03-25;5108;2469;2639
2014-03-26;5115;2469;2646
2014-03-28;5121;2469;2652
2014-03-29;5124;2469;2655
2014-03-31;5126;2469;2657
2014-04-01;5130;2468;2662
2014-04-02;5130;2468;2662
2014-04-03;5135;2467;2668
2014-04-05;5138;2466;2672
2014-04-06;5142;2466;2676
2014-04-07;5146;2466;2680
2014-04-09;5148;2468;2680
2014-04-10;5157;2469;2688
2014-04-12;5162;2469;2693
2014-04-13;5166;2469;2697
2014-04-14;5168;2469;2699
2014-04-16;5171;2468;2703
2014-04-17;5171;2468;2703
2014-04-18;5172;2468;2704
2014-04-20;5182;2469;2713
2014-04-21;5181;2469;2712
2014-04-22;5182;2469;2713
2014-04-24;5187;2469;2718
2014-04-25;5189;2469;2720
2014-04-26;5191;2469;2722
2014-04-28;5195;2470;2725
2014-04-29;5196;2470;2726
2014-04-30;5198;2471;2727
2014-05-02;5200;2471;2729
2014-05-03;5198;2471;2727
2014-05-04;5201;2471;2730