date;followers;following;fans
2013-04-17;2501;172;2329
2013-04-20;2503;172;2331
2013-04-22;2502;173;2329
2013-04-24;2501;174;2327
2013-04-26;2503;174;2329
2013-04-28;2504;174;2330
2013-04-30;2506;174;2332
2013-05-02;2508;174;2334
2013-05-03;2510;174;2336
2013-05-06;2513;173;2340
2013-05-08;2515;175;2340
2013-05-10;2517;174;2343
2013-05-12;2508;174;2334
2013-05-14;2507;174;2333
2013-05-16;2514;174;2340
2013-05-18;2521;177;2344
2013-05-20;2521;177;2344
2013-05-22;2524;177;2347
2013-05-23;2525;178;2347
2013-05-26;2529;178;2351
2013-05-28;2534;180;2354
2013-05-30;2532;180;2352
2013-06-01;2536;180;2356
2013-06-03;2534;180;2354
2013-06-05;2537;181;2356
2013-06-06;2545;181;2364
2013-06-09;2547;182;2365
2013-06-11;2551;183;2368
2013-06-20;2562;184;2378
2013-06-22;2566;184;2382
2013-06-24;2570;185;2385
2013-06-26;2575;187;2388
2013-06-28;2580;187;2393
2013-06-30;2588;188;2400
2013-07-02;2592;189;2403
2013-07-04;2591;190;2401
2013-07-06;2597;192;2405
2013-07-08;2597;192;2405
2013-07-10;2597;192;2405
2013-07-12;2597;192;2405
2013-07-14;2603;191;2412
2013-07-16;2603;190;2413
2013-07-18;2606;190;2416
2013-07-20;2604;190;2414
2013-07-22;2605;190;2415
2013-07-24;2610;190;2420
2013-07-26;2611;190;2421
2013-07-28;2613;190;2423
2013-07-30;2615;144;2471
2013-08-01;2617;145;2472
2013-08-03;2616;145;2471
2013-08-05;2619;145;2474
2013-08-07;2636;145;2491
2013-08-09;2643;145;2498
2013-08-11;2641;145;2496
2013-08-13;2638;146;2492
2013-08-15;2641;146;2495
2013-08-17;2648;146;2502
2013-08-18;2652;146;2506
2013-08-19;2651;146;2505
2013-08-20;2653;146;2507
2013-08-21;2655;146;2509
2013-08-22;2660;146;2514
2013-08-23;2659;147;2512
2013-08-24;2660;147;2513
2013-08-26;2660;147;2513
2013-08-27;2659;147;2512
2013-08-28;2656;147;2509
2013-08-29;2658;147;2511
2013-08-30;2663;147;2516
2013-08-31;2663;147;2516
2013-09-02;2663;147;2516
2013-09-03;2668;147;2521
2013-09-04;2668;147;2521
2013-09-05;2669;149;2520
2013-09-06;2674;150;2524
2013-09-07;2674;152;2522
2013-09-08;2674;152;2522
2013-09-10;2674;152;2522
2013-09-11;2677;152;2525
2013-09-12;2676;152;2524
2013-09-13;2678;153;2525
2013-09-14;2680;153;2527
2013-09-15;2680;153;2527
2013-09-17;2680;154;2526
2013-09-18;2681;154;2527
2013-09-19;2681;154;2527
2013-09-20;2681;154;2527
2013-09-21;2680;154;2526
2013-09-22;2680;154;2526
2013-09-24;2682;154;2528
2013-09-25;2683;154;2529
2013-09-26;2681;154;2527
2013-09-27;2682;155;2527
2013-09-28;2686;156;2530
2013-09-30;2687;155;2532
2013-10-01;2689;155;2534
2013-10-02;2688;155;2533
2013-10-03;2689;155;2534
2013-10-04;2690;157;2533
2013-10-06;2691;145;2546
2013-10-07;2695;145;2550
2013-10-08;2699;146;2553
2013-10-09;2700;146;2554
2013-10-10;2702;146;2556
2013-10-12;2699;147;2552
2013-10-13;2702;148;2554
2013-10-14;2703;148;2555
2013-10-15;2701;148;2553
2013-10-16;2701;148;2553
2013-10-17;2700;148;2552
2013-10-19;2697;148;2549
2013-10-20;2697;148;2549
2013-10-21;2699;148;2551
2013-10-22;2696;148;2548
2013-10-23;2697;148;2549
2013-10-25;2699;148;2551
2013-10-26;2698;148;2550
2013-10-27;2697;149;2548
2013-10-28;2696;149;2547
2013-10-29;2695;149;2546
2013-10-31;2695;149;2546
2013-11-01;2693;149;2544
2013-11-02;2693;149;2544
2013-11-03;2694;149;2545
2013-11-04;2693;149;2544
2013-11-06;2691;149;2542
2013-11-07;2692;149;2543
2013-11-08;2690;149;2541
2013-11-09;2690;149;2541
2013-11-11;2692;149;2543
2013-11-12;2692;148;2544
2013-11-13;2690;148;2542
2013-11-14;2691;148;2543
2013-11-16;2692;148;2544
2013-11-17;2691;148;2543
2013-11-18;2691;148;2543
2013-11-19;2691;148;2543
2013-11-20;2692;148;2544
2013-11-22;2694;148;2546
2013-11-23;2693;148;2545
2013-11-24;2694;149;2545
2013-11-25;2692;149;2543
2013-11-26;2694;150;2544
2013-11-28;2693;151;2542
2013-11-29;2693;151;2542
2013-11-30;2692;147;2545
2013-12-01;2691;147;2544
2013-12-03;2691;147;2544
2013-12-04;2692;147;2545
2013-12-05;2693;146;2547
2013-12-06;2693;146;2547
2013-12-08;2692;146;2546
2013-12-09;2693;146;2547
2013-12-10;2691;146;2545
2013-12-11;2690;147;2543
2013-12-13;2691;147;2544
2013-12-14;2694;147;2547
2013-12-15;2695;147;2548
2013-12-16;2698;147;2551
2013-12-18;2697;147;2550
2013-12-19;2695;147;2548
2013-12-20;2694;147;2547
2013-12-21;2696;147;2549
2013-12-23;2695;147;2548
2013-12-24;2694;147;2547
2013-12-25;2695;147;2548
2013-12-27;2695;147;2548
2013-12-28;2694;147;2547
2013-12-29;2695;146;2549
2013-12-30;2694;146;2548
2014-01-01;2695;146;2549
2014-01-02;2697;146;2551
2014-01-03;2696;146;2550
2014-01-04;2697;144;2553
2014-01-06;2698;144;2554
2014-01-07;2698;144;2554
2014-01-08;2702;144;2558
2014-01-10;2703;144;2559
2014-01-11;2702;144;2558
2014-01-12;2701;144;2557
2014-01-13;2698;144;2554
2014-01-15;2699;144;2555
2014-01-16;2701;144;2557
2014-01-17;2702;145;2557
2014-01-18;2702;145;2557
2014-01-20;2701;145;2556
2014-01-21;2702;145;2557
2014-01-22;2703;145;2558
2014-01-24;2704;145;2559
2014-01-25;2704;145;2559
2014-01-26;2706;145;2561
2014-01-27;2705;145;2560
2014-01-30;2702;145;2557
2014-01-31;2705;145;2560
2014-02-01;2705;145;2560
2014-02-02;2705;145;2560
2014-02-04;2704;146;2558
2014-02-05;2705;147;2558
2014-02-06;2703;147;2556
2014-02-07;2701;147;2554
2014-02-09;2702;147;2555
2014-02-10;2702;148;2554
2014-02-11;2702;146;2556
2014-02-13;2703;146;2557
2014-02-14;2702;146;2556
2014-02-15;2701;146;2555
2014-02-17;2701;146;2555
2014-02-18;2706;146;2560
2014-02-19;2705;145;2560
2014-02-21;2705;146;2559
2014-02-22;2705;146;2559
2014-02-23;2707;146;2561
2014-02-25;2708;146;2562
2014-02-26;2708;148;2560
2014-02-27;2709;148;2561
2014-03-01;2709;149;2560
2014-03-02;2709;148;2561
2014-03-03;2708;148;2560
2014-03-05;2707;148;2559
2014-03-06;2708;148;2560
2014-03-07;2706;148;2558
2014-03-09;2705;148;2557
2014-03-10;2705;148;2557
2014-03-11;2705;152;2553
2014-03-13;2702;152;2550
2014-03-14;2699;152;2547
2014-03-16;2697;154;2543
2014-03-17;2697;154;2543
2014-03-18;2697;155;2542
2014-03-20;2700;155;2545
2014-03-21;2700;155;2545
2014-03-22;2701;155;2546
2014-03-24;2701;155;2546
2014-03-25;2703;155;2548
2014-03-26;2700;154;2546
2014-03-28;2704;154;2550
2014-03-29;2704;154;2550
2014-03-31;2704;154;2550
2014-04-01;2705;154;2551
2014-04-02;2704;154;2550
2014-04-03;2703;153;2550
2014-04-05;2703;153;2550
2014-04-06;2701;153;2548
2014-04-07;2698;153;2545
2014-04-09;2698;153;2545
2014-04-10;2699;154;2545
2014-04-12;2700;153;2547
2014-04-13;2699;153;2546
2014-04-14;2700;153;2547
2014-04-16;2700;154;2546
2014-04-17;2701;154;2547
2014-04-18;2700;154;2546
2014-04-20;2700;154;2546
2014-04-21;2701;154;2547
2014-04-22;2702;154;2548
2014-04-24;2704;154;2550
2014-04-25;2701;154;2547
2014-04-26;2701;155;2546
2014-04-28;2702;155;2547
2014-04-29;2700;155;2545
2014-04-30;2699;155;2544
2014-05-02;2700;155;2545
2014-05-03;2697;155;2542
2014-05-04;2696;155;2541