date;followers;following;fans
2013-04-18;6690;4347;2343
2013-04-20;7227;4750;2477
2013-04-22;7716;5262;2454
2013-04-24;8427;6001;2426
2013-04-26;9260;6653;2607
2013-04-27;9810;6830;2980
2013-04-28;10444;7729;2715
2013-04-29;10602;7371;3231
2013-04-30;10625;7375;3250
2013-05-01;10618;7373;3245
2013-05-02;10628;7369;3259
2013-05-03;10636;7370;3266
2013-05-04;10648;7368;3280
2013-05-05;10660;7327;3333
2013-05-07;10859;7527;3332
2013-05-08;10861;7526;3335
2013-05-09;10882;7526;3356
2013-05-10;11021;7799;3222
2013-05-11;11429;8321;3108
2013-05-12;12014;8462;3552
2013-05-13;12438;9118;3320
2013-05-14;12657;9249;3408
2013-05-15;12857;9223;3634
2013-05-17;12959;9351;3608
2013-05-18;13267;9878;3389
2013-05-19;13766;10104;3662
2013-05-20;14549;10991;3558
2013-05-21;14888;11345;3543
2013-05-22;15058;10993;4065
2013-05-23;15419;11799;3620
2013-05-24;15495;11716;3779
2013-05-25;16489;12746;3743
2013-05-27;17029;12478;4551
2013-05-28;17460;13427;4033
2013-05-29;17828;13406;4422
2013-05-30;18311;13934;4377
2013-05-31;18696;14281;4415
2013-06-01;18835;14362;4473
2013-06-02;18877;13897;4980
2013-06-03;19163;14516;4647
2013-06-04;19503;15126;4377
2013-06-06;20095;15436;4659
2013-06-07;20549;15745;4804
2013-06-08;21037;16113;4924
2013-06-09;21534;16697;4837
2013-06-10;21858;16500;5358
2013-06-11;22134;16605;5529
2013-06-20;24150;17690;6460
2013-06-21;24422;18208;6214
2013-06-22;25114;18797;6317
2013-06-23;25624;18883;6741
2013-06-24;26137;19516;6621
2013-06-25;26278;19172;7106
2013-06-26;26543;19537;7006
2013-06-27;26809;19619;7190
2013-06-28;27077;19492;7585
2013-06-29;27219;19540;7679
2013-06-30;27387;19585;7802
2013-07-01;28028;20612;7416
2013-07-02;28235;20225;8010
2013-07-03;28494;20434;8060
2013-07-04;28679;20422;8257
2013-07-05;29054;20989;8065
2013-07-06;29330;21044;8286
2013-07-07;29523;21231;8292
2013-07-08;29738;21400;8338
2013-07-10;30144;21165;8979
2013-07-11;30311;21147;9164
2013-07-12;30584;21640;8944
2013-07-13;30820;21377;9443
2013-07-14;30937;21434;9503
2013-07-15;31012;21412;9600
2013-07-16;31179;21413;9766
2013-07-17;31255;21415;9840
2013-07-18;31347;21412;9935
2013-07-19;31433;21405;10028
2013-07-20;31497;21401;10096
2013-07-21;31610;21402;10208
2013-07-22;31800;21471;10329
2013-07-23;31947;21343;10604
2013-07-24;32121;21462;10659
2013-07-25;32220;21458;10762
2013-07-26;32279;21279;11000
2013-07-27;32364;21378;10986
2013-07-28;32362;21321;11041
2013-07-29;32704;21675;11029
2013-07-30;33508;22566;10942
2013-07-31;33845;22747;11098
2013-08-01;34439;23321;11118
2013-08-02;34761;23155;11606
2013-08-03;34898;23269;11629
2013-08-04;35068;23214;11854
2013-08-05;35454;23490;11964
2013-08-06;36078;24114;11964
2013-08-07;36501;24254;12247
2013-08-08;36659;24224;12435
2013-08-09;37225;24836;12389
2013-08-10;37678;25342;12336
2013-08-11;37912;25369;12543
2013-08-12;37999;25362;12637
2013-08-13;38278;25589;12689
2013-08-14;38394;24979;13415
2013-08-15;38565;25170;13395
2013-08-16;38648;25177;13471
2013-08-17;38774;25227;13547
2013-08-18;38889;25228;13661
2013-08-19;39018;25230;13788
2013-08-20;39098;25234;13864
2013-08-21;39221;25240;13981
2013-08-22;39275;25231;14044
2013-08-23;39401;25231;14170
2013-08-24;39501;25230;14271
2013-08-25;39606;25228;14378
2013-08-26;39671;25223;14448
2013-08-27;39761;25226;14535
2013-08-28;39840;25223;14617
2013-08-29;39952;25214;14738
2013-08-30;40058;25205;14853
2013-08-31;40177;25201;14976
2013-09-01;40279;24953;15326
2013-09-02;40372;24956;15416
2013-09-03;40527;25079;15448
2013-09-04;40622;25080;15542
2013-09-05;40707;25081;15626
2013-09-06;40786;25087;15699
2013-09-07;40919;25086;15833
2013-09-08;41025;25079;15946
2013-09-09;41089;25070;16019
2013-09-10;41182;25079;16103
2013-09-11;41241;25072;16169
2013-09-12;41328;25063;16265
2013-09-13;41402;25062;16340
2013-09-14;41483;25063;16420
2013-09-15;41542;25059;16483
2013-09-16;41604;25060;16544
2013-09-17;41677;25053;16624
2013-09-18;41759;25078;16681
2013-09-19;41808;25070;16738
2013-09-20;41846;25071;16775
2013-09-21;41882;25066;16816
2013-09-22;41846;25059;16787
2013-09-23;41834;25051;16783
2013-09-24;41895;25058;16837
2013-09-25;41905;25052;16853
2013-09-26;41914;25046;16868
2013-09-27;41922;25045;16877
2013-09-28;41939;25042;16897
2013-09-29;41932;25033;16899
2013-09-30;41935;25031;16904
2013-10-01;41941;25027;16914
2013-10-02;41944;25015;16929
2013-10-03;41946;25014;16932
2013-10-04;41978;25015;16963
2013-10-05;42045;25017;17028
2013-10-06;42108;25003;17105
2013-10-07;42206;24999;17207
2013-10-08;42340;24589;17751
2013-10-09;42423;24587;17836
2013-10-10;42471;24586;17885
2013-10-11;42487;24587;17900
2013-10-12;42503;24587;17916
2013-10-13;42508;24580;17928
2013-10-14;42522;24568;17954
2013-10-15;42585;24566;18019
2013-10-16;42624;24566;18058
2013-10-17;42667;24564;18103
2013-10-18;42709;24566;18143
2013-10-19;42727;24563;18164
2013-10-20;42769;24589;18180
2013-10-21;42791;24573;18218
2013-10-22;42879;24706;18173
2013-10-23;42904;24701;18203
2013-10-24;42924;24703;18221
2013-10-25;42935;24694;18241
2013-10-26;42948;24688;18260
2013-10-27;42986;24692;18294
2013-10-28;43057;24702;18355
2013-10-29;43083;24702;18381
2013-10-30;43109;24705;18404
2013-10-31;43138;24703;18435
2013-11-01;43192;24702;18490
2013-11-02;43228;24698;18530
2013-11-03;43250;24684;18566
2013-11-04;43274;24681;18593
2013-11-05;43292;24675;18617
2013-11-06;43338;24666;18672
2013-11-07;43360;24669;18691
2013-11-08;43390;24672;18718
2013-11-09;43434;24680;18754
2013-11-10;43431;24633;18798
2013-11-11;43439;24681;18758
2013-11-12;43517;24465;19052
2013-11-13;43571;24478;19093
2013-11-14;43632;24479;19153
2013-11-15;43667;24481;19186
2013-11-16;43691;24489;19202
2013-11-17;43732;24496;19236
2013-11-18;43763;24483;19280
2013-11-19;43817;24484;19333
2013-11-20;43855;24480;19375
2013-11-21;43877;24478;19399
2013-11-22;43899;24480;19419
2013-11-23;43921;24483;19438
2013-11-24;43964;24494;19470
2013-11-25;44023;24495;19528
2013-11-26;44054;24507;19547
2013-11-27;44080;24506;19574
2013-11-28;44079;24498;19581
2013-11-29;44080;24499;19581
2013-11-30;44081;24492;19589
2013-12-01;44130;24486;19644
2013-12-02;44157;24486;19671
2013-12-03;44186;24481;19705
2013-12-04;44202;24481;19721
2013-12-05;44219;24470;19749
2013-12-06;44217;24464;19753
2013-12-07;44218;24465;19753
2013-12-08;44223;24461;19762
2013-12-09;44228;24462;19766
2013-12-10;44350;23479;20871
2013-12-11;44360;23479;20881
2013-12-12;44371;23338;21033
2013-12-13;44399;23335;21064
2013-12-14;44396;23327;21069
2013-12-15;44417;23336;21081
2013-12-16;44431;23333;21098
2013-12-17;44455;23329;21126
2013-12-18;44500;23331;21169
2013-12-19;44538;23329;21209
2013-12-20;44585;23345;21240
2013-12-21;44581;23342;21239
2013-12-22;44571;23334;21237
2013-12-23;44594;23343;21251
2013-12-24;44621;23337;21284
2013-12-25;44637;23337;21300
2013-12-26;44688;23345;21343
2013-12-27;45015;23732;21283
2013-12-28;45032;23470;21562
2013-12-29;45059;23460;21599
2013-12-30;45069;23456;21613
2013-12-31;45078;23448;21630
2014-01-01;45092;23449;21643
2014-01-02;45112;23442;21670
2014-01-03;45149;23447;21702
2014-01-04;45188;23446;21742
2014-01-05;45187;23439;21748
2014-01-06;45197;23426;21771
2014-01-07;45208;23422;21786
2014-01-08;45199;23418;21781
2014-01-09;45227;23411;21816
2014-01-10;45281;23413;21868
2014-01-11;45293;23436;21857
2014-01-12;45254;23442;21812
2014-01-13;45166;23433;21733
2014-01-14;45126;23435;21691
2014-01-15;45143;23435;21708
2014-01-16;45188;23287;21901
2014-01-17;45168;23280;21888
2014-01-18;45185;23285;21900
2014-01-19;45170;23280;21890
2014-01-20;45134;23284;21850
2014-01-21;45117;23285;21832
2014-01-22;45087;23277;21810
2014-01-23;45075;23274;21801
2014-01-24;45140;23459;21681
2014-01-25;45164;23478;21686
2014-01-26;45171;23474;21697
2014-01-27;45160;23470;21690
2014-01-28;45184;23462;21722
2014-01-29;45143;23460;21683
2014-01-30;45147;23465;21682
2014-01-31;45173;23466;21707
2014-02-01;45184;23466;21718
2014-02-02;45174;23456;21718
2014-02-03;45208;23453;21755
2014-02-04;45212;23451;21761
2014-02-05;45237;23452;21785
2014-02-06;45223;23444;21779
2014-02-07;45254;23436;21818
2014-02-08;45275;23435;21840
2014-02-09;45307;23434;21873
2014-02-10;45299;23430;21869
2014-02-11;45311;23430;21881
2014-02-12;45345;23430;21915
2014-02-13;45346;23427;21919
2014-02-14;45374;23430;21944
2014-02-15;45412;23429;21983
2014-02-16;45408;23427;21981
2014-02-17;45425;23430;21995
2014-02-18;45420;23420;22000
2014-02-19;45423;23419;22004
2014-02-20;45427;23412;22015
2014-02-21;45442;23414;22028
2014-02-22;45459;23406;22053
2014-02-23;45462;23394;22068
2014-02-24;45464;23386;22078
2014-02-25;45467;23378;22089
2014-02-26;45484;23381;22103
2014-02-27;45486;23382;22104
2014-02-28;45471;23380;22091
2014-03-01;45482;23383;22099
2014-03-02;45408;23382;22026
2014-03-03;45382;23378;22004
2014-03-04;45377;23162;22215
2014-03-05;45357;23152;22205
2014-03-06;45343;23150;22193
2014-03-07;45351;23153;22198
2014-03-08;45352;23151;22201
2014-03-09;45333;23143;22190
2014-03-10;45300;23135;22165
2014-03-11;45295;23131;22164
2014-03-12;45293;23130;22163
2014-03-13;45282;23131;22151
2014-03-14;45272;23126;22146
2014-03-15;45276;23128;22148
2014-03-16;45263;23120;22143
2014-03-17;45232;23114;22118
2014-03-18;45220;23114;22106
2014-03-19;45205;23109;22096
2014-03-20;45200;23101;22099
2014-03-21;45203;23101;22102
2014-03-22;45192;23095;22097
2014-03-23;45183;23089;22094
2014-03-24;45167;23084;22083
2014-03-25;45172;23082;22090
2014-03-26;45165;23082;22083
2014-03-27;45155;23072;22083
2014-03-28;45158;23075;22083
2014-03-29;45140;23074;22066
2014-03-30;45108;23068;22040
2014-03-31;45096;23068;22028
2014-04-01;45086;23067;22019
2014-04-02;45074;23072;22002
2014-04-03;45050;23070;21980
2014-04-04;45036;23070;21966
2014-04-05;45017;23069;21948
2014-04-06;44981;23057;21924
2014-04-07;44990;23057;21933
2014-04-08;44983;23053;21930
2014-04-09;44973;23054;21919
2014-04-10;44963;23048;21915
2014-04-11;44946;23046;21900
2014-04-12;44922;23043;21879
2014-04-13;44906;23044;21862
2014-04-14;44883;23040;21843
2014-04-15;44877;23044;21833
2014-04-16;44868;23040;21828
2014-04-17;44847;23039;21808
2014-04-18;44815;23022;21793
2014-04-19;44795;23019;21776
2014-04-20;44776;23019;21757
2014-04-21;44753;23018;21735
2014-04-22;44714;23006;21708
2014-04-23;44691;23008;21683
2014-04-24;44650;23002;21648
2014-04-25;44638;23000;21638
2014-04-26;44607;22996;21611
2014-04-27;44589;23001;21588
2014-04-28;44567;23001;21566
2014-04-29;44556;23003;21553
2014-04-30;44542;22999;21543
2014-05-01;44523;22994;21529
2014-05-02;44499;22994;21505
2014-05-03;44480;22994;21486
2014-05-04;44451;22993;21458
2014-05-05;44423;22986;21437