date;followers;following;fans
2013-11-29;1608;606;1002
2013-12-01;1607;606;1001
2013-12-03;1607;606;1001
2013-12-05;1606;606;1000
2013-12-07;1607;606;1001
2013-12-09;1608;606;1002
2013-12-11;1609;607;1002
2013-12-13;1609;606;1003
2013-12-15;1613;607;1006
2013-12-17;1613;607;1006
2013-12-19;1612;607;1005
2013-12-21;1612;607;1005
2013-12-23;1613;607;1006
2013-12-25;1614;607;1007
2013-12-27;1615;607;1008
2013-12-29;1616;607;1009
2013-12-31;1620;607;1013
2014-01-02;1622;607;1015
2014-01-04;1624;607;1017
2014-01-06;1627;607;1020
2014-01-08;1628;608;1020
2014-01-10;1631;608;1023
2014-01-12;1632;608;1024
2014-01-14;1631;608;1023
2014-01-16;1632;608;1024
2014-01-18;1628;609;1019
2014-01-20;1630;609;1021
2014-01-22;1629;610;1019
2014-01-24;1634;610;1024
2014-01-26;1634;610;1024
2014-01-28;1635;611;1024
2014-01-30;1637;611;1026
2014-02-01;1636;611;1025
2014-02-03;1636;611;1025
2014-02-05;1637;611;1026
2014-02-07;1643;611;1032
2014-02-09;1642;612;1030
2014-02-11;1643;612;1031
2014-02-13;1644;613;1031
2014-02-15;1642;612;1030
2014-02-17;1641;612;1029
2014-02-19;1642;612;1030
2014-02-21;1646;613;1033
2014-02-23;1650;613;1037
2014-02-25;1651;613;1038
2014-02-27;1650;613;1037
2014-03-01;1652;613;1039
2014-03-03;1655;613;1042
2014-03-05;1657;613;1044
2014-03-07;1659;613;1046
2014-03-09;1659;613;1046
2014-03-11;1661;613;1048
2014-03-13;1663;613;1050
2014-03-15;1664;613;1051
2014-03-17;1666;613;1053
2014-03-19;1668;613;1055
2014-03-21;1668;613;1055
2014-03-23;1672;613;1059
2014-03-25;1673;613;1060
2014-03-27;1675;613;1062
2014-03-29;1677;613;1064
2014-03-31;1678;613;1065
2014-04-02;1678;613;1065
2014-04-04;1680;613;1067
2014-04-06;1684;617;1067
2014-04-08;1685;617;1068
2014-04-10;1690;618;1072
2014-04-12;1691;618;1073
2014-04-14;1693;618;1075
2014-04-16;1696;617;1079
2014-04-18;1698;617;1081
2014-04-20;1697;616;1081
2014-04-22;1698;616;1082
2014-04-24;1700;617;1083
2014-04-26;1704;618;1086
2014-04-28;1704;618;1086
2014-04-30;1707;618;1089
2014-05-02;1707;618;1089
2014-05-04;1708;618;1090