date;followers;following;fans
2013-11-12;1737;429;1308
2013-11-14;1736;430;1306
2013-11-16;1736;427;1309
2013-11-18;1736;427;1309
2013-11-20;1734;427;1307
2013-11-22;1733;424;1309
2013-11-24;1731;426;1305
2013-11-26;1732;425;1307
2013-11-28;1731;425;1306
2013-11-30;1730;425;1305
2013-12-02;1728;425;1303
2013-12-04;1728;426;1302
2013-12-06;1726;426;1300
2013-12-08;1728;426;1302
2013-12-10;1734;426;1308
2013-12-12;1736;427;1309
2013-12-14;1736;427;1309
2013-12-16;1735;426;1309
2013-12-18;1739;426;1313
2013-12-20;1739;426;1313
2013-12-22;1738;426;1312
2013-12-24;1737;426;1311
2013-12-26;1739;426;1313
2013-12-28;1739;426;1313
2013-12-30;1739;426;1313
2014-01-01;1740;426;1314
2014-01-03;1739;426;1313
2014-01-05;1736;425;1311
2014-01-07;1735;426;1309
2014-01-09;1737;426;1311
2014-01-11;1740;426;1314
2014-01-13;1739;426;1313
2014-01-15;1742;426;1316
2014-01-17;1739;426;1313
2014-01-19;1741;426;1315
2014-01-21;1741;427;1314
2014-01-23;1740;427;1313
2014-01-25;1739;428;1311
2014-01-27;1740;428;1312
2014-01-30;1741;428;1313
2014-02-01;1743;428;1315
2014-02-03;1741;428;1313
2014-02-05;1742;428;1314
2014-02-07;1745;428;1317
2014-02-09;1746;430;1316
2014-02-11;1744;429;1315
2014-02-13;1747;430;1317
2014-02-15;1749;431;1318
2014-02-17;1747;431;1316
2014-02-19;1751;426;1325
2014-02-21;1757;426;1331
2014-02-23;1759;427;1332
2014-02-25;1764;427;1337
2014-02-27;1763;427;1336
2014-03-01;1765;428;1337
2014-03-03;1770;429;1341
2014-03-05;1773;430;1343
2014-03-07;1775;430;1345
2014-03-09;1778;432;1346
2014-03-11;1778;431;1347
2014-03-13;1782;433;1349
2014-03-15;1784;432;1352
2014-03-17;1782;433;1349
2014-03-19;1781;433;1348
2014-03-21;1779;434;1345
2014-03-23;1782;434;1348
2014-03-25;1782;434;1348
2014-03-27;1782;433;1349
2014-03-29;1782;433;1349
2014-03-31;1787;433;1354
2014-04-02;1787;433;1354
2014-04-04;1790;433;1357
2014-04-06;1793;433;1360
2014-04-08;1799;434;1365
2014-04-10;1799;435;1364
2014-04-12;1799;435;1364
2014-04-14;1799;436;1363
2014-04-16;1794;435;1359
2014-04-18;1796;430;1366
2014-04-20;1800;430;1370
2014-04-22;1804;431;1373
2014-04-24;1807;431;1376
2014-04-26;1809;432;1377
2014-04-28;1808;432;1376
2014-04-30;1814;434;1380
2014-05-02;1817;436;1381
2014-05-04;1827;437;1390