date;followers;following;fans
2013-04-17;3939;689;3250
2013-04-18;3938;689;3249
2013-04-19;3936;692;3244
2013-04-20;3939;695;3244
2013-04-21;3939;696;3243
2013-04-22;3940;697;3243
2013-04-23;3940;697;3243
2013-04-24;3937;697;3240
2013-04-26;3938;700;3238
2013-04-27;3936;701;3235
2013-04-28;3933;701;3232
2013-04-29;3933;701;3232
2013-04-30;3929;701;3228
2013-05-01;3929;701;3228
2013-05-02;3922;701;3221
2013-05-03;3918;701;3217
2013-05-04;3917;701;3216
2013-05-06;3914;701;3213
2013-05-07;3914;701;3213
2013-05-08;3914;702;3212
2013-05-09;3913;702;3211
2013-05-10;3913;702;3211
2013-05-11;3912;702;3210
2013-05-12;3912;702;3210
2013-05-13;3911;702;3209
2013-05-14;3911;702;3209
2013-05-15;3911;702;3209
2013-05-17;3912;707;3205
2013-05-18;3919;714;3205
2013-05-19;3926;734;3192
2013-05-20;3927;736;3191
2013-05-21;3931;736;3195
2013-05-22;3929;738;3191
2013-05-23;3929;741;3188
2013-05-24;3927;743;3184
2013-05-25;3936;785;3151
2013-05-27;3939;791;3148
2013-05-28;3941;792;3149
2013-05-29;3941;792;3149
2013-05-30;3944;815;3129
2013-05-31;3955;827;3128
2013-06-01;3956;842;3114
2013-06-02;3958;842;3116
2013-06-03;3961;842;3119
2013-06-04;3966;845;3121
2013-06-06;3965;845;3120
2013-06-07;3967;850;3117
2013-06-08;4069;1050;3019
2013-06-09;4220;1140;3080
2013-06-10;4312;1268;3044
2013-06-11;4319;1269;3050
2013-06-20;4333;1409;2924
2013-06-21;4345;1415;2930
2013-06-22;4348;1411;2937
2013-06-23;4344;1409;2935
2013-06-24;4366;1471;2895
2013-06-26;4366;1472;2894
2013-06-27;4367;1472;2895
2013-06-28;4367;1474;2893
2013-06-29;4368;1476;2892
2013-06-30;4367;1475;2892
2013-07-01;4364;1493;2871
2013-07-02;4372;1500;2872
2013-07-04;4368;1498;2870
2013-07-05;4366;1498;2868
2013-07-06;4365;1497;2868
2013-07-07;4376;1528;2848
2013-07-08;4402;1611;2791
2013-07-09;4439;1640;2799
2013-07-10;4449;1644;2805
2013-07-11;4446;1645;2801
2013-07-13;4448;1643;2805
2013-07-14;4449;1645;2804
2013-07-15;4449;1645;2804
2013-07-16;4448;1645;2803
2013-07-17;4447;1646;2801
2013-07-18;4442;1638;2804
2013-07-19;4445;1640;2805
2013-07-20;4446;1640;2806
2013-07-22;4441;1639;2802
2013-07-23;4439;1641;2798
2013-07-24;4440;1642;2798
2013-07-25;4438;1638;2800
2013-07-26;4440;1662;2778
2013-07-27;4411;1647;2764
2013-07-28;4389;1638;2751
2013-07-29;4384;1633;2751
2013-07-31;4387;1638;2749
2013-08-01;4387;1639;2748
2013-08-02;4386;1637;2749
2013-08-03;4388;1640;2748
2013-08-04;4385;1636;2749
2013-08-05;4385;1634;2751
2013-08-06;4386;1636;2750
2013-08-08;4384;1636;2748
2013-08-09;4387;1638;2749
2013-08-10;4384;1639;2745
2013-08-11;4380;1637;2743
2013-08-12;4381;1639;2742
2013-08-13;4385;1642;2743
2013-08-14;4385;1642;2743
2013-08-16;4386;1641;2745
2013-08-17;4388;1642;2746
2013-08-18;4387;1642;2745
2013-08-19;4384;1641;2743
2013-08-20;4387;1644;2743
2013-08-21;4381;1641;2740
2013-08-23;4376;1639;2737
2013-08-24;4375;1641;2734
2013-08-25;4372;1641;2731
2013-08-26;4369;1640;2729
2013-08-27;4371;1642;2729
2013-08-28;4371;1640;2731
2013-08-29;4370;1639;2731
2013-08-31;4370;1639;2731
2013-09-01;4371;1640;2731
2013-09-02;4365;1641;2724
2013-09-03;4360;1640;2720
2013-09-04;4359;1642;2717
2013-09-05;4356;1642;2714
2013-09-06;4355;1640;2715
2013-09-08;4353;1640;2713
2013-09-09;4351;1640;2711
2013-09-10;4353;1642;2711
2013-09-11;4350;1641;2709
2013-09-12;4349;1641;2708
2013-09-13;4347;1640;2707
2013-09-15;4347;1640;2707
2013-09-16;4342;1640;2702
2013-09-17;4341;1640;2701
2013-09-18;4341;1639;2702
2013-09-19;4342;1639;2703
2013-09-20;4338;1640;2698
2013-09-22;4337;1639;2698
2013-09-23;4337;1638;2699
2013-09-24;4335;1640;2695
2013-09-25;4336;1639;2697
2013-09-26;4335;1639;2696
2013-09-28;4335;1639;2696
2013-09-29;4336;1638;2698
2013-09-30;4334;1638;2696
2013-10-01;4331;1638;2693
2013-10-02;4324;1635;2689
2013-10-04;4214;1628;2586
2013-10-05;4214;1628;2586
2013-10-06;4212;1627;2585
2013-10-07;4212;1628;2584
2013-10-08;4213;1629;2584
2013-10-10;4211;1630;2581
2013-10-11;4211;1630;2581
2013-10-12;4210;1629;2581
2013-10-13;4208;1627;2581
2013-10-14;4207;1627;2580
2013-10-15;4208;1627;2581
2013-10-17;4210;1627;2583
2013-10-18;4212;1627;2585
2013-10-19;4211;1627;2584
2013-10-20;4213;1627;2586
2013-10-22;4215;1628;2587
2013-10-23;4213;1627;2586
2013-10-24;4214;1627;2587
2013-10-25;4209;1624;2585
2013-10-26;4209;1626;2583
2013-10-27;4210;1625;2585
2013-10-29;4210;1627;2583
2013-10-30;4210;1627;2583
2013-10-31;4209;1626;2583
2013-11-01;4207;1625;2582
2013-11-02;4208;1625;2583
2013-11-04;4206;1625;2581
2013-11-05;4205;1625;2580
2013-11-06;4203;1626;2577
2013-11-07;4202;1625;2577
2013-11-08;4200;1628;2572
2013-11-10;4200;1628;2572
2013-11-11;4198;1626;2572
2013-11-12;4197;1626;2571
2013-11-13;4199;1627;2572
2013-11-15;4200;1627;2573
2013-11-16;4200;1627;2573
2013-11-17;4199;1625;2574
2013-11-18;4199;1625;2574
2013-11-19;4199;1626;2573
2013-11-21;4199;1627;2572
2013-11-22;4199;1627;2572
2013-11-23;4198;1626;2572
2013-11-25;4196;1625;2571
2013-11-26;4191;1625;2566
2013-11-27;4192;1624;2568
2013-11-28;4192;1623;2569
2013-11-29;4193;1625;2568
2013-12-01;4192;1625;2567
2013-12-02;4190;1625;2565
2013-12-03;4187;1625;2562
2013-12-04;4187;1623;2564
2013-12-06;4187;1623;2564
2013-12-07;4186;1623;2563
2013-12-08;4183;1622;2561
2013-12-09;4183;1622;2561
2013-12-10;4178;1621;2557
2013-12-12;4177;1621;2556
2013-12-13;4177;1621;2556
2013-12-14;4175;1620;2555
2013-12-15;4175;1620;2555
2013-12-17;4173;1619;2554
2013-12-18;4173;1617;2556
2013-12-19;4175;1618;2557
2013-12-21;4173;1617;2556
2013-12-22;4173;1617;2556
2013-12-23;4172;1616;2556
2013-12-24;4172;1618;2554
2013-12-26;4171;1616;2555
2013-12-27;4168;1614;2554
2013-12-28;4168;1615;2553
2013-12-29;4159;1610;2549
2013-12-31;4167;1650;2517
2014-01-01;4176;1659;2517
2014-01-02;4176;1660;2516
2014-01-03;4176;1661;2515
2014-01-05;4174;1657;2517
2014-01-06;4169;1656;2513
2014-01-07;4171;1658;2513
2014-01-09;4172;1657;2515
2014-01-10;4177;1660;2517
2014-01-11;4179;1660;2519
2014-01-13;4180;1661;2519
2014-01-14;4180;1662;2518
2014-01-15;4181;1662;2519
2014-01-16;4175;1660;2515
2014-01-18;4178;1663;2515
2014-01-19;4178;1663;2515
2014-01-20;4177;1663;2514
2014-01-22;4175;1661;2514
2014-01-23;4173;1661;2512
2014-01-24;4177;1663;2514
2014-01-25;4173;1662;2511
2014-01-27;4168;1659;2509
2014-01-28;4168;1658;2510
2014-01-30;4168;1656;2512
2014-01-31;4165;1656;2509
2014-02-01;4170;1661;2509
2014-02-02;4169;1659;2510
2014-02-04;4169;1659;2510
2014-02-05;4168;1657;2511
2014-02-06;4166;1656;2510
2014-02-08;4167;1656;2511
2014-02-09;4172;1661;2511
2014-02-10;4171;1658;2513
2014-02-12;4173;1660;2513
2014-02-13;4172;1661;2511
2014-02-14;4171;1659;2512
2014-02-16;4165;1658;2507
2014-02-17;4168;1661;2507
2014-02-18;4169;1663;2506
2014-02-20;4171;1664;2507
2014-02-21;4171;1664;2507
2014-02-22;4171;1663;2508
2014-02-24;4167;1660;2507
2014-02-25;4167;1660;2507
2014-02-26;4163;1659;2504
2014-02-28;4162;1658;2504
2014-03-01;4162;1659;2503
2014-03-02;4158;1656;2502
2014-03-04;4157;1656;2501
2014-03-05;4155;1655;2500
2014-03-06;4153;1654;2499
2014-03-09;4150;1655;2495
2014-03-11;4149;1655;2494
2014-03-13;4150;1656;2494
2014-03-15;4152;1658;2494
2014-03-17;4152;1657;2495
2014-03-19;4155;1658;2497
2014-03-21;4157;1659;2498
2014-03-23;4158;1660;2498
2014-03-25;4159;1660;2499
2014-03-27;4157;1661;2496
2014-03-29;4157;1661;2496
2014-03-31;4158;1662;2496
2014-04-02;4157;1662;2495
2014-04-04;4163;1663;2500
2014-04-05;4162;1663;2499
2014-04-07;4161;1663;2498
2014-04-09;4162;1662;2500
2014-04-10;4161;1662;2499
2014-04-12;4159;1661;2498
2014-04-14;4165;1681;2484
2014-04-16;4171;1687;2484
2014-04-18;4175;1691;2484
2014-04-20;4174;1692;2482
2014-04-22;4174;1692;2482
2014-04-24;4173;1692;2481
2014-04-26;4176;1692;2484
2014-04-28;4176;1692;2484
2014-04-30;4173;1692;2481
2014-05-02;4173;1692;2481
2014-05-04;4174;1694;2480