date;followers;following;fans
2014-01-28;3511;1450;2061
2014-01-30;3529;1506;2023
2014-02-01;3540;1505;2035
2014-02-03;3551;1505;2046
2014-02-05;3565;1538;2027
2014-02-07;3582;1559;2023
2014-02-09;3589;1561;2028
2014-02-11;3600;1564;2036
2014-02-13;3618;1575;2043
2014-02-15;3632;1587;2045
2014-02-17;3641;1587;2054
2014-02-19;3650;1601;2049
2014-02-21;3668;1629;2039
2014-02-23;3678;1635;2043
2014-02-25;3688;1645;2043
2014-02-27;3694;1661;2033
2014-03-01;3706;1663;2043
2014-03-03;3720;1662;2058
2014-03-05;3736;1661;2075
2014-03-07;3744;1690;2054
2014-03-09;3769;1705;2064
2014-03-11;3786;1735;2051
2014-03-13;3796;1762;2034
2014-03-15;3807;1764;2043
2014-03-17;3815;1764;2051
2014-03-19;3834;1792;2042
2014-03-21;3844;1804;2040
2014-03-23;3866;1805;2061
2014-03-25;3874;1829;2045
2014-03-27;3885;1837;2048
2014-03-29;3899;1845;2054
2014-03-31;3915;1846;2069
2014-04-02;3931;1864;2067
2014-04-04;3937;1874;2063
2014-04-06;3950;1876;2074
2014-04-08;3960;1883;2077
2014-04-10;3974;1894;2080
2014-04-12;3981;1900;2081
2014-04-14;3989;1900;2089
2014-04-16;4000;1912;2088
2014-04-18;4010;1912;2098
2014-04-20;4015;1912;2103
2014-04-22;4027;1911;2116
2014-04-24;4044;1925;2119
2014-04-26;4053;1943;2110
2014-04-28;4069;1942;2127
2014-04-30;4093;1978;2115
2014-05-02;4111;1976;2135
2014-05-04;4124;1975;2149