date;followers;following;fans
2013-04-17;1567;156;1411
2013-04-19;1567;157;1410
2013-04-22;1565;157;1408
2013-04-24;1560;159;1401
2013-04-26;1559;162;1397
2013-04-28;1557;163;1394
2013-04-30;1553;165;1388
2013-05-02;1555;166;1389
2013-05-03;1553;168;1385
2013-05-06;1551;170;1381
2013-05-08;1549;169;1380
2013-05-09;1549;170;1379
2013-05-12;1547;170;1377
2013-05-14;1553;170;1383
2013-05-16;1550;170;1380
2013-05-18;1551;170;1381
2013-05-20;1552;170;1382
2013-05-22;1554;170;1384
2013-05-23;1554;171;1383
2013-05-26;1555;171;1384
2013-05-28;1558;171;1387
2013-05-30;1557;171;1386
2013-06-01;1556;170;1386
2013-06-03;1558;171;1387
2013-06-05;1560;171;1389
2013-06-07;1560;171;1389
2013-06-09;1565;172;1393
2013-06-11;1564;172;1392
2013-06-20;1578;171;1407
2013-06-22;1579;171;1408
2013-06-24;1580;171;1409
2013-06-26;1579;171;1408
2013-06-28;1580;171;1409
2013-06-30;1583;171;1412
2013-07-02;1586;171;1415
2013-07-04;1590;171;1419
2013-07-06;1591;171;1420
2013-07-08;1597;171;1426
2013-07-10;1596;171;1425
2013-07-12;1601;171;1430
2013-07-14;1600;171;1429
2013-07-16;1602;171;1431
2013-07-18;1604;171;1433
2013-07-20;1605;171;1434
2013-07-22;1603;171;1432
2013-07-24;1603;169;1434
2013-07-26;1603;170;1433
2013-07-28;1602;170;1432
2013-07-30;1600;170;1430
2013-08-01;1600;171;1429
2013-08-03;1599;172;1427
2013-08-05;1599;172;1427
2013-08-07;1599;172;1427
2013-08-09;1598;172;1426
2013-08-11;1596;172;1424
2013-08-13;1596;172;1424
2013-08-15;1596;172;1424
2013-08-17;1598;172;1426
2013-08-19;1599;172;1427
2013-08-21;1598;172;1426
2013-08-23;1598;172;1426
2013-08-25;1599;171;1428
2013-08-27;1603;171;1432
2013-08-29;1601;172;1429
2013-08-31;1601;172;1429
2013-09-02;1605;172;1433
2013-09-04;1606;172;1434
2013-09-06;1606;172;1434
2013-09-08;1606;172;1434
2013-09-10;1608;172;1436
2013-09-12;1612;172;1440
2013-09-14;1614;172;1442
2013-09-16;1614;172;1442
2013-09-18;1614;172;1442
2013-09-20;1617;172;1445
2013-09-22;1615;172;1443
2013-09-24;1615;172;1443
2013-09-26;1615;172;1443
2013-09-28;1616;172;1444
2013-09-29;1617;172;1445
2013-10-02;1633;171;1462
2013-10-04;1636;171;1465
2013-10-06;1641;171;1470
2013-10-08;1675;171;1504
2013-10-10;1686;171;1515
2013-10-12;1696;171;1525
2013-10-14;1698;171;1527
2013-10-16;1698;171;1527
2013-10-18;1702;171;1531
2013-10-20;1702;171;1531
2013-10-22;1702;171;1531
2013-10-24;1699;171;1528
2013-10-26;1700;171;1529
2013-10-28;1699;172;1527
2013-10-30;1701;172;1529
2013-11-01;1706;172;1534
2013-11-03;1709;172;1537
2013-11-05;1715;172;1543
2013-11-07;1718;172;1546
2013-11-09;1718;172;1546
2013-11-11;1793;172;1621
2013-11-13;1818;172;1646
2013-11-15;1818;172;1646
2013-11-17;1824;172;1652
2013-11-19;1823;172;1651
2013-11-21;1825;172;1653
2013-11-23;1824;171;1653
2013-11-25;1832;171;1661
2013-11-27;1833;171;1662
2013-11-29;1834;171;1663
2013-12-01;1835;171;1664
2013-12-03;1836;171;1665
2013-12-05;1837;171;1666
2013-12-07;1839;171;1668
2013-12-09;1840;171;1669
2013-12-11;1842;172;1670
2013-12-13;1845;172;1673
2013-12-15;1845;172;1673
2013-12-17;1846;172;1674
2013-12-19;1846;172;1674
2013-12-21;1846;172;1674
2013-12-23;1844;172;1672
2013-12-25;1845;172;1673
2013-12-27;1845;172;1673
2013-12-29;1849;172;1677
2013-12-31;1853;172;1681
2014-01-02;1855;172;1683
2014-01-04;1856;172;1684
2014-01-06;1879;172;1707
2014-01-08;1885;172;1713
2014-01-10;1886;172;1714
2014-01-12;1887;172;1715
2014-01-14;1893;172;1721
2014-01-16;1893;172;1721
2014-01-18;1895;172;1723
2014-01-20;1897;172;1725
2014-01-22;1912;172;1740
2014-01-24;1917;172;1745
2014-01-26;1917;172;1745
2014-01-28;1920;172;1748
2014-01-30;1921;172;1749
2014-02-01;1921;172;1749
2014-02-03;1923;172;1751
2014-02-05;1924;172;1752
2014-02-07;1927;172;1755
2014-02-09;1928;172;1756
2014-02-11;1932;172;1760
2014-02-13;1931;172;1759
2014-02-15;1930;172;1758
2014-02-17;1929;172;1757
2014-02-19;1930;172;1758
2014-02-21;1932;172;1760
2014-02-23;1934;172;1762
2014-02-25;1933;172;1761
2014-02-27;1934;172;1762
2014-03-01;1935;172;1763
2014-03-03;1938;172;1766
2014-03-05;1938;172;1766
2014-03-07;1943;172;1771
2014-03-09;1954;172;1782
2014-03-11;1967;172;1795
2014-03-13;1977;172;1805
2014-03-15;1992;172;1820
2014-03-17;2011;172;1839
2014-03-19;2179;172;2007
2014-03-21;2201;172;2029
2014-03-23;2217;172;2045
2014-03-25;2288;172;2116
2014-03-27;2307;172;2135
2014-03-29;2313;172;2141
2014-03-31;2327;172;2155
2014-04-02;2368;171;2197
2014-04-04;2388;171;2217
2014-04-06;2396;171;2225
2014-04-08;2453;171;2282
2014-04-10;2473;171;2302
2014-04-12;2481;171;2310
2014-04-14;2489;171;2318
2014-04-16;2487;171;2316
2014-04-18;2487;171;2316
2014-04-20;2488;171;2317
2014-04-22;2493;171;2322
2014-04-24;2492;171;2321
2014-04-26;2492;171;2321
2014-04-28;2500;171;2329
2014-04-30;2502;171;2331
2014-05-02;2500;171;2329
2014-05-04;2500;171;2329