date;followers;following;fans
2013-07-03;3319;1237;2082
2013-07-05;3326;1237;2089
2013-07-07;3331;1237;2094
2013-07-09;3336;1238;2098
2013-07-11;3337;1237;2100
2013-07-13;3338;1239;2099
2013-07-15;3343;1238;2105
2013-07-16;3355;1240;2115
2013-07-19;3364;1241;2123
2013-07-21;3373;1242;2131
2013-07-23;3378;1242;2136
2013-07-25;3385;1241;2144
2013-07-27;3392;1241;2151
2013-07-29;3390;1241;2149
2013-07-31;3399;1242;2157
2013-08-02;3421;1247;2174
2013-08-03;3430;1249;2181
2013-08-06;3434;1248;2186
2013-08-08;3435;1248;2187
2013-08-10;3450;1248;2202
2013-08-12;3454;1248;2206
2013-08-14;3455;1248;2207
2013-08-16;3468;1247;2221
2013-08-18;3473;1247;2226
2013-08-20;3482;1248;2234
2013-08-22;3491;1252;2239
2013-08-24;3498;1297;2201
2013-08-26;3513;1298;2215
2013-08-28;3537;1303;2234
2013-08-30;3549;1303;2246
2013-09-01;3568;1305;2263
2013-09-03;3587;1305;2282
2013-09-05;3605;1305;2300
2013-09-07;3620;1305;2315
2013-09-09;3643;1304;2339
2013-09-11;3661;1303;2358
2013-09-13;3676;1303;2373
2013-09-15;3695;1302;2393
2013-09-17;3707;1303;2404
2013-09-19;3726;1303;2423
2013-09-21;3736;1303;2433
2013-09-23;3763;1303;2460
2013-09-25;3788;1302;2486
2013-09-27;3804;1302;2502
2013-09-28;3816;1304;2512
2013-09-29;3826;1304;2522
2013-09-30;3888;1306;2582
2013-10-01;3901;1306;2595
2013-10-02;3912;1306;2606
2013-10-04;3914;1305;2609
2013-10-05;3915;1305;2610
2013-10-06;3916;1305;2611
2013-10-07;3923;1305;2618
2013-10-09;3923;1305;2618
2013-10-10;3921;1305;2616
2013-10-11;3919;1307;2612
2013-10-12;3917;1307;2610
2013-10-13;3914;1307;2607
2013-10-15;3917;1307;2610
2013-10-16;3917;1307;2610
2013-10-17;3915;1307;2608
2013-10-18;3913;1307;2606
2013-10-19;3912;1306;2606
2013-10-21;3907;1307;2600
2013-10-22;3910;1307;2603
2013-10-23;3905;1306;2599
2013-10-24;3902;1306;2596
2013-10-25;3902;1305;2597
2013-10-27;3899;1304;2595
2013-10-28;3897;1305;2592
2013-10-29;3898;1305;2593
2013-10-30;3896;1305;2591
2013-10-31;3895;1304;2591
2013-11-02;3897;1304;2593
2013-11-03;3899;1302;2597
2013-11-04;3901;1301;2600
2013-11-05;3901;1301;2600
2013-11-06;3906;1302;2604
2013-11-08;3909;1304;2605
2013-11-09;3911;1304;2607
2013-11-10;3911;1304;2607
2013-11-11;3910;1304;2606
2013-11-12;3910;1304;2606
2013-11-14;3910;1304;2606
2013-11-15;3911;1304;2607
2013-11-16;3910;1304;2606
2013-11-17;3913;1304;2609
2013-11-19;3915;1302;2613
2013-11-20;3915;1303;2612
2013-11-21;3914;1302;2612
2013-11-22;3915;1303;2612
2013-11-24;3915;1303;2612
2013-11-25;3919;1303;2616
2013-11-26;3922;1304;2618
2013-11-27;3921;1304;2617
2013-11-29;3921;1304;2617
2013-11-30;3918;1305;2613
2013-12-01;3916;1305;2611
2013-12-02;3918;1305;2613
2013-12-04;3922;1302;2620
2013-12-05;3923;1302;2621
2013-12-06;3921;1303;2618
2013-12-07;3923;1303;2620
2013-12-08;3922;1303;2619
2013-12-10;3923;1303;2620
2013-12-11;3921;1303;2618
2013-12-12;3920;1301;2619
2013-12-13;3930;1301;2629
2013-12-15;3929;1301;2628
2013-12-16;3931;1301;2630
2013-12-17;3933;1305;2628
2013-12-18;3940;1308;2632
2013-12-20;3944;1308;2636
2013-12-21;3946;1308;2638
2013-12-22;3947;1308;2639
2013-12-23;3946;1308;2638
2013-12-25;3947;1308;2639
2013-12-26;3952;1308;2644
2013-12-27;3958;1308;2650
2013-12-29;3958;1308;2650
2013-12-30;3955;1307;2648
2013-12-31;3961;1310;2651
2014-01-01;3965;1309;2656
2014-01-03;3967;1309;2658
2014-01-04;3969;1309;2660
2014-01-05;3971;1309;2662
2014-01-06;3971;1310;2661
2014-01-08;3975;1310;2665
2014-01-09;3969;1309;2660
2014-01-10;3970;1309;2661
2014-01-12;3973;1310;2663
2014-01-13;3974;1309;2665
2014-01-14;3973;1309;2664
2014-01-15;3977;1310;2667
2014-01-17;3978;1310;2668
2014-01-18;3982;1311;2671
2014-01-19;4004;1313;2691
2014-01-21;4011;1314;2697
2014-01-22;4014;1314;2700
2014-01-23;4013;1313;2700
2014-01-24;4022;1314;2708
2014-01-26;4026;1314;2712
2014-01-27;4026;1314;2712
2014-01-28;4027;1313;2714
2014-01-30;4029;1313;2716
2014-01-31;4025;1313;2712
2014-02-01;4026;1312;2714
2014-02-03;4022;1312;2710
2014-02-04;4023;1312;2711
2014-02-05;4028;1311;2717
2014-02-07;4029;1314;2715
2014-02-08;4032;1314;2718
2014-02-09;4033;1314;2719
2014-02-11;4030;1313;2717
2014-02-12;4029;1313;2716
2014-02-13;4026;1312;2714
2014-02-15;4026;1312;2714
2014-02-16;4022;1312;2710
2014-02-17;4023;1312;2711
2014-02-19;4023;1312;2711
2014-02-20;4027;1312;2715
2014-02-21;4029;1312;2717
2014-02-23;4026;1311;2715
2014-02-24;4024;1311;2713
2014-02-25;4024;1311;2713
2014-02-27;4024;1311;2713
2014-02-28;4026;1311;2715
2014-03-01;4022;1311;2711
2014-03-03;4020;1311;2709
2014-03-04;4020;1312;2708
2014-03-05;4022;1312;2710
2014-03-07;4024;1312;2712
2014-03-08;4024;1312;2712
2014-03-10;4023;1312;2711
2014-03-11;4022;1312;2710
2014-03-12;4023;1312;2711
2014-03-14;4023;1311;2712
2014-03-15;4021;1311;2710
2014-03-16;4025;1311;2714
2014-03-18;4026;1311;2715
2014-03-19;4024;1311;2713
2014-03-20;4026;1311;2715
2014-03-22;4027;1311;2716
2014-03-23;4026;1310;2716
2014-03-24;4028;1309;2719
2014-03-26;4029;1309;2720
2014-03-27;4033;1309;2724
2014-03-28;4038;1309;2729
2014-03-30;4039;1309;2730
2014-03-31;4042;1309;2733
2014-04-02;4042;1310;2732
2014-04-03;4042;1310;2732
2014-04-04;4046;1310;2736
2014-04-06;4047;1309;2738
2014-04-07;4047;1309;2738
2014-04-09;4056;1310;2746
2014-04-10;4059;1310;2749
2014-04-12;4058;1309;2749
2014-04-13;4063;1309;2754
2014-04-14;4066;1309;2757
2014-04-15;4072;1309;2763
2014-04-17;4076;1309;2767
2014-04-18;4077;1309;2768
2014-04-20;4082;1309;2773
2014-04-21;4082;1309;2773
2014-04-22;4085;1309;2776
2014-04-24;4088;1310;2778
2014-04-25;4093;1311;2782
2014-04-26;4091;1311;2780
2014-04-27;4092;1311;2781
2014-04-29;4092;1311;2781
2014-04-30;4093;1311;2782
2014-05-02;4098;1311;2787
2014-05-03;4098;1311;2787
2014-05-04;4101;1311;2790
2014-05-06;4107;1311;2796