date;followers;following;fans
2013-04-18;36257;28420;7837
2013-04-19;36244;28426;7818
2013-04-20;36218;28422;7796
2013-04-21;36200;28418;7782
2013-04-22;36177;28415;7762
2013-04-23;36157;28417;7740
2013-04-24;36143;28410;7733
2013-04-25;36115;28394;7721
2013-04-26;36094;28389;7705
2013-04-27;36085;28392;7693
2013-04-28;36070;28391;7679
2013-04-29;36044;28382;7662
2013-05-01;36016;28380;7636
2013-05-02;36000;28382;7618
2013-05-03;35978;28380;7598
2013-05-04;35939;28376;7563
2013-05-06;35920;28374;7546
2013-05-07;35909;28372;7537
2013-05-08;35903;28376;7527
2013-05-09;35890;28376;7514
2013-05-11;35374;27311;8063
2013-05-12;35383;27333;8050
2013-05-13;35347;27314;8033
2013-05-14;35363;27339;8024
2013-05-15;35650;27620;8030
2013-05-16;35635;27625;8010
2013-05-17;35659;27659;8000
2013-05-18;35739;27743;7996
2013-05-19;35727;27744;7983
2013-05-20;35712;27740;7972
2013-05-21;35708;27744;7964
2013-05-22;35696;27739;7957
2013-05-23;35677;27733;7944
2013-05-24;35652;27725;7927
2013-05-25;35645;27729;7916
2013-05-26;35606;27712;7894
2013-05-27;35594;27711;7883
2013-05-28;35595;27712;7883
2013-05-29;35580;27712;7868
2013-05-30;35558;27708;7850
2013-05-31;35546;27713;7833
2013-06-01;35536;27707;7829
2013-06-02;35512;27699;7813
2013-06-03;35487;27687;7800
2013-06-04;35488;27698;7790
2013-06-05;35476;27695;7781
2013-06-06;35460;27694;7766
2013-06-07;35442;27688;7754
2013-06-08;35431;27689;7742
2013-06-09;35411;27674;7737
2013-06-10;35392;27665;7727
2013-06-11;35385;27669;7716
2013-06-20;35263;27647;7616
2013-06-21;35268;27661;7607
2013-06-22;35240;27653;7587
2013-06-23;35209;27640;7569
2013-06-24;35173;27631;7542
2013-06-25;35162;27627;7535
2013-06-26;35127;27628;7499
2013-06-27;35088;27624;7464
2013-06-28;35062;27623;7439
2013-06-29;35045;27614;7431
2013-06-30;35012;27605;7407
2013-07-02;34974;27602;7372
2013-07-03;34957;27600;7357
2013-07-04;34934;27596;7338
2013-07-05;34908;27595;7313
2013-07-06;34883;27581;7302
2013-07-07;34863;27577;7286
2013-07-08;34851;27575;7276
2013-07-10;34792;27561;7231
2013-07-11;34777;27562;7215
2013-07-12;34756;27559;7197
2013-07-13;34723;27554;7169
2013-07-14;34705;27546;7159
2013-07-15;34691;27546;7145
2013-07-16;34677;27547;7130
2013-07-17;34660;27545;7115
2013-07-18;34638;27543;7095
2013-07-19;34612;27540;7072
2013-07-20;34595;27543;7052
2013-07-21;34569;27534;7035
2013-07-22;34552;27529;7023
2013-07-23;34535;27528;7007
2013-07-24;34515;27527;6988
2013-07-25;34484;27520;6964
2013-07-26;34451;26921;7530
2013-07-27;34333;26827;7506
2013-07-28;34234;26754;7480
2013-07-29;34199;26725;7474
2013-07-30;34221;26744;7477
2013-07-31;34211;26757;7454
2013-08-01;34222;26774;7448
2013-08-03;34200;26777;7423
2013-08-04;34186;26172;8014
2013-08-05;34167;26164;8003
2013-08-06;34175;26178;7997
2013-08-07;34159;26176;7983
2013-08-08;34146;25576;8570
2013-08-09;34119;25578;8541
2013-08-10;34101;24977;9124
2013-08-11;34081;24974;9107
2013-08-12;34058;24966;9092
2013-08-13;34052;24369;9683
2013-08-14;34039;24367;9672
2013-08-15;34018;23765;10253
2013-08-16;33986;23764;10222
2013-08-17;33957;23157;10800
2013-08-18;33929;23158;10771
2013-08-19;33896;23154;10742
2013-08-20;33892;23158;10734
2013-08-21;33871;22554;11317
2013-08-22;33848;21929;11919
2013-08-23;33809;21890;11919
2013-08-24;33793;21890;11903
2013-08-25;33749;21275;12474
2013-08-26;33718;20662;13056
2013-08-27;33707;20663;13044
2013-08-28;33648;19998;13650
2013-08-29;33604;19993;13611
2013-08-30;33577;19993;13584
2013-08-31;33521;19979;13542
2013-09-01;33493;19974;13519
2013-09-02;33444;19370;14074
2013-09-03;33398;19375;14023
2013-09-04;33356;19366;13990
2013-09-05;33329;19366;13963
2013-09-06;33312;19372;13940
2013-09-07;33294;19373;13921
2013-09-08;33272;19370;13902
2013-09-09;33249;19370;13879
2013-09-10;33205;19000;14205
2013-09-11;33017;14999;18018
2013-09-12;32726;14602;18124
2013-09-13;32532;12993;19539
2013-09-14;32375;12987;19388
2013-09-15;32259;12255;20004
2013-09-16;31888;6999;24889
2013-09-17;31551;7004;24547
2013-09-18;31312;7001;24311
2013-09-19;31139;7002;24137
2013-09-20;30973;7006;23967
2013-09-21;30742;5700;25042
2013-09-22;30491;4401;26090
2013-09-23;30069;843;29226
2013-09-24;29626;846;28780
2013-09-25;29420;848;28572
2013-09-26;29233;845;28388
2013-09-27;29085;843;28242
2013-09-28;28941;844;28097
2013-09-29;28803;844;27959
2013-09-30;28640;843;27797
2013-10-01;28537;843;27694
2013-10-02;28433;843;27590
2013-10-03;28334;843;27491
2013-10-04;28232;842;27390
2013-10-05;28163;842;27321
2013-10-06;28071;842;27229
2013-10-07;27954;845;27109
2013-10-08;27888;849;27039
2013-10-09;27811;851;26960
2013-10-10;27740;834;26906
2013-10-11;27676;834;26842
2013-10-12;27619;836;26783
2013-10-13;27558;836;26722
2013-10-14;27473;835;26638
2013-10-15;27403;836;26567
2013-10-16;27349;837;26512
2013-10-17;27290;837;26453
2013-10-18;27243;842;26401
2013-10-19;27201;842;26359
2013-10-20;27157;842;26315
2013-10-21;27091;841;26250
2013-10-22;27049;842;26207
2013-10-23;27007;843;26164
2013-10-24;26956;843;26113
2013-10-25;26913;843;26070
2013-10-26;26863;843;26020
2013-10-27;26828;843;25985
2013-10-28;26786;843;25943
2013-10-29;26742;844;25898
2013-10-30;26697;846;25851
2013-10-31;26659;846;25813
2013-11-01;26616;846;25770
2013-11-02;26580;848;25732
2013-11-03;26540;848;25692
2013-11-04;26500;848;25652
2013-11-05;26464;847;25617
2013-11-06;26424;847;25577
2013-11-07;26381;846;25535
2013-11-08;26351;846;25505
2013-11-09;26311;845;25466
2013-11-10;26283;845;25438
2013-11-11;26244;845;25399
2013-11-12;26204;846;25358
2013-11-13;26160;846;25314
2013-11-14;26118;845;25273
2013-11-15;26088;846;25242
2013-11-16;26059;846;25213
2013-11-17;26028;846;25182
2013-11-18;26001;846;25155
2013-11-19;25960;847;25113
2013-11-20;25929;847;25082
2013-11-21;25871;845;25026
2013-11-22;25846;845;25001
2013-11-23;25805;846;24959
2013-11-24;25773;847;24926
2013-11-25;25731;847;24884
2013-11-26;25707;846;24861
2013-11-27;25680;848;24832
2013-11-28;25647;849;24798
2013-11-29;25624;849;24775
2013-11-30;25608;849;24759
2013-12-01;25581;850;24731
2013-12-02;25550;850;24700
2013-12-03;25527;851;24676
2013-12-04;25507;851;24656
2013-12-05;25488;851;24637
2013-12-06;25465;851;24614
2013-12-07;25444;852;24592
2013-12-08;25424;852;24572
2013-12-09;25407;852;24555
2013-12-10;25391;852;24539
2013-12-11;25354;853;24501
2013-12-12;25329;853;24476
2013-12-13;25304;853;24451
2013-12-14;25285;855;24430
2013-12-15;25253;855;24398
2013-12-16;25216;854;24362
2013-12-17;25191;855;24336
2013-12-18;25161;855;24306
2013-12-19;25141;855;24286
2013-12-20;25133;857;24276
2013-12-21;25112;856;24256
2013-12-22;25092;856;24236
2013-12-23;25062;856;24206
2013-12-24;25050;857;24193
2013-12-25;25030;857;24173
2013-12-26;25018;857;24161
2013-12-27;24997;859;24138
2013-12-28;24981;860;24121
2013-12-29;24961;860;24101
2013-12-30;24939;861;24078
2013-12-31;24908;860;24048
2014-01-01;24887;859;24028
2014-01-02;24867;859;24008
2014-01-03;24842;861;23981
2014-01-04;24807;861;23946
2014-01-05;24780;862;23918
2014-01-06;24762;862;23900
2014-01-07;24747;861;23886
2014-01-08;24729;861;23868
2014-01-09;24702;841;23861
2014-01-10;24677;841;23836
2014-01-11;24659;842;23817
2014-01-12;24641;843;23798
2014-01-13;24618;844;23774
2014-01-14;24594;844;23750
2014-01-15;24584;844;23740
2014-01-16;24566;844;23722
2014-01-17;24550;844;23706
2014-01-18;24532;844;23688
2014-01-19;24518;844;23674
2014-01-20;24501;844;23657
2014-01-21;24481;844;23637
2014-01-22;24462;844;23618
2014-01-23;24421;846;23575
2014-01-24;24406;845;23561
2014-01-25;24395;846;23549
2014-01-26;24371;846;23525
2014-01-27;24346;846;23500
2014-01-28;24325;846;23479
2014-01-30;24270;846;23424
2014-01-31;24242;846;23396
2014-02-01;24231;848;23383
2014-02-02;24221;849;23372
2014-02-03;24203;849;23354
2014-02-04;24178;849;23329
2014-02-05;24166;850;23316
2014-02-06;24152;849;23303
2014-02-07;24129;849;23280
2014-02-08;24112;852;23260
2014-02-09;24093;851;23242
2014-02-10;24071;851;23220
2014-02-11;24053;852;23201
2014-02-12;24041;853;23188
2014-02-13;24026;853;23173
2014-02-14;24011;853;23158
2014-02-15;23841;853;22988
2014-02-16;23826;854;22972
2014-02-17;23811;854;22957
2014-02-18;23800;855;22945
2014-02-19;23781;855;22926
2014-02-20;23769;856;22913
2014-02-21;23754;856;22898
2014-02-22;23741;856;22885
2014-02-23;23721;856;22865
2014-02-24;23704;856;22848
2014-02-25;23684;856;22828
2014-02-26;23675;856;22819
2014-02-27;23660;856;22804
2014-02-28;23640;856;22784
2014-03-01;23627;856;22771
2014-03-02;23611;856;22755
2014-03-03;23588;855;22733
2014-03-04;23579;857;22722
2014-03-05;23563;857;22706
2014-03-06;23542;857;22685
2014-03-07;23526;855;22671
2014-03-08;23508;855;22653
2014-03-09;23484;856;22628
2014-03-10;23472;856;22616
2014-03-11;23453;858;22595
2014-03-12;23444;862;22582
2014-03-13;23418;862;22556
2014-03-14;23414;902;22512
2014-03-15;23412;902;22510
2014-03-16;23397;902;22495
2014-03-17;23377;902;22475
2014-03-18;23358;902;22456
2014-03-19;23341;901;22440
2014-03-20;23331;901;22430
2014-03-21;23310;905;22405
2014-03-22;23296;906;22390
2014-03-23;23285;906;22379
2014-03-24;23273;906;22367
2014-03-25;23258;906;22352
2014-03-26;23250;906;22344
2014-03-27;23234;906;22328
2014-03-28;23224;909;22315
2014-03-29;23209;909;22300
2014-03-30;23204;909;22295
2014-03-31;23186;909;22277
2014-04-01;23173;910;22263
2014-04-02;23164;910;22254
2014-04-03;23143;911;22232
2014-04-04;23141;912;22229
2014-04-05;23135;911;22224
2014-04-06;23117;912;22205
2014-04-07;23107;912;22195
2014-04-08;23093;913;22180
2014-04-09;23078;912;22166
2014-04-10;23066;912;22154
2014-04-11;23058;912;22146
2014-04-12;23051;912;22139
2014-04-13;23042;914;22128
2014-04-14;23025;915;22110
2014-04-15;23015;916;22099
2014-04-16;22997;916;22081
2014-04-17;22983;917;22066
2014-04-18;22972;917;22055
2014-04-19;22960;917;22043
2014-04-20;22946;917;22029
2014-04-21;22941;917;22024
2014-04-22;22928;917;22011
2014-04-23;22915;918;21997
2014-04-24;22897;920;21977
2014-04-25;22891;920;21971
2014-04-26;22878;922;21956
2014-04-27;22868;923;21945
2014-04-28;22854;927;21927
2014-04-29;22843;930;21913
2014-04-30;22826;933;21893
2014-05-01;22819;933;21886
2014-05-02;22802;934;21868
2014-05-03;22793;934;21859
2014-05-04;22779;936;21843
2014-05-05;22774;935;21839