date;followers;following;fans
2013-05-08;1223;210;1013
2013-05-10;1225;216;1009
2013-05-12;1223;223;1000
2013-05-14;1229;225;1004
2013-05-16;1234;226;1008
2013-05-18;1242;226;1016
2013-05-20;1239;230;1009
2014-01-20;1730;374;1356
2014-01-22;1737;375;1362
2014-01-24;1736;374;1362
2014-01-26;1745;379;1366
2014-01-28;1751;345;1406
2014-01-30;1756;345;1411
2014-02-01;1763;347;1416
2014-02-03;1771;349;1422
2014-02-05;1773;351;1422
2014-02-07;1773;352;1421
2014-02-09;1774;356;1418
2014-02-11;1779;356;1423
2014-02-13;1783;359;1424
2014-02-15;1784;359;1425
2014-02-17;1790;360;1430
2014-02-19;1789;360;1429
2014-02-21;1790;359;1431
2014-02-23;1791;361;1430
2014-02-25;1796;332;1464
2014-02-27;1800;336;1464
2014-03-01;1799;336;1463
2014-03-03;1801;337;1464
2014-03-05;1802;341;1461
2014-03-07;1804;342;1462
2014-03-09;1806;345;1461
2014-03-11;1811;345;1466
2014-03-13;1815;345;1470
2014-03-15;1819;347;1472
2014-03-17;1828;350;1478
2014-03-19;1834;353;1481
2014-03-21;1839;369;1470
2014-03-23;1836;373;1463
2014-03-25;1841;377;1464
2014-03-27;1842;378;1464
2014-03-29;1841;378;1463
2014-03-31;1848;380;1468
2014-04-02;1851;384;1467
2014-04-04;1852;384;1468
2014-04-06;1855;384;1471
2014-04-08;1862;381;1481
2014-04-11;1865;381;1484
2014-04-13;1868;383;1485
2014-04-15;1871;385;1486
2014-04-17;1876;387;1489
2014-04-19;1880;389;1491
2014-04-21;1886;392;1494
2014-04-23;1896;393;1503
2014-04-25;1900;395;1505
2014-04-27;1907;337;1570
2014-04-29;1906;339;1567
2014-05-01;1905;339;1566
2014-05-03;1909;340;1569
2014-05-05;1910;342;1568