date;followers;following;fans
2014-01-01;4946;71;4875
2014-01-02;4944;70;4874
2014-01-03;4926;69;4857
2014-01-05;4924;67;4857
2014-01-06;4918;67;4851
2014-01-07;4916;68;4848
2014-01-09;4915;68;4847
2014-01-10;4911;69;4842
2014-01-11;4910;69;4841
2014-01-13;4905;68;4837
2014-01-14;4900;69;4831
2014-01-15;4895;71;4824
2014-01-16;4893;72;4821
2014-01-18;4889;72;4817
2014-01-19;4884;70;4814
2014-01-20;4890;72;4818
2014-01-22;4883;78;4805
2014-01-23;4880;77;4803
2014-01-24;4880;77;4803
2014-01-25;4877;77;4800
2014-01-27;4877;77;4800
2014-01-28;4868;77;4791
2014-01-30;4858;74;4784
2014-01-31;4852;74;4778
2014-02-01;4854;76;4778
2014-02-02;4848;77;4771
2014-02-04;4843;75;4768
2014-02-05;4843;75;4768
2014-02-06;4836;75;4761
2014-02-08;4834;76;4758
2014-02-09;4834;76;4758
2014-02-10;4832;76;4756
2014-02-12;4831;76;4755
2014-02-13;4831;76;4755
2014-02-14;4830;78;4752
2014-02-16;4831;79;4752
2014-02-17;4830;83;4747
2014-02-18;4830;81;4749
2014-02-20;4827;81;4746
2014-02-21;4823;81;4742
2014-02-22;4823;81;4742
2014-02-24;4816;81;4735
2014-02-25;4814;81;4733
2014-02-26;4811;81;4730
2014-02-28;4808;80;4728
2014-03-01;4807;81;4726
2014-03-02;4806;81;4725
2014-03-04;4799;80;4719
2014-03-05;4800;80;4720
2014-03-06;4797;79;4718
2014-03-08;4791;80;4711
2014-03-09;4787;80;4707
2014-03-11;4790;80;4710
2014-03-12;4794;81;4713
2014-03-13;4793;89;4704
2014-03-14;4794;87;4707
2014-03-16;4793;86;4707
2014-03-17;4791;87;4704
2014-03-19;4788;87;4701
2014-03-20;4788;86;4702
2014-03-21;4785;86;4699
2014-03-22;4782;87;4695
2014-03-24;4777;86;4691
2014-03-25;4777;87;4690
2014-03-27;4771;86;4685
2014-03-28;4767;87;4680
2014-03-29;4763;87;4676
2014-03-31;4760;87;4673
2014-04-01;4757;85;4672
2014-04-02;4754;85;4669
2014-04-04;4753;87;4666
2014-04-05;4751;87;4664
2014-04-06;4750;88;4662
2014-04-08;4751;92;4659
2014-04-09;4752;94;4658
2014-04-10;4749;93;4656
2014-04-12;4749;94;4655
2014-04-13;4748;94;4654
2014-04-15;4743;94;4649
2014-04-16;4742;93;4649
2014-04-18;4738;92;4646
2014-04-19;4737;93;4644
2014-04-20;4734;93;4641
2014-04-22;4732;94;4638
2014-04-23;4726;94;4632
2014-04-24;4721;94;4627
2014-04-26;4716;95;4621
2014-04-27;4713;96;4617
2014-04-28;4712;95;4617
2014-04-30;4711;95;4616
2014-05-01;4704;95;4609
2014-05-03;4701;94;4607
2014-05-04;4698;93;4605
2014-05-05;4696;96;4600