date;followers;following;fans
2013-04-17;4728;1678;3050
2013-04-18;4730;1683;3047
2013-04-19;4741;1710;3031
2013-04-20;4740;1713;3027
2013-04-21;4739;1713;3026
2013-04-22;4739;1713;3026
2013-04-23;4740;1713;3027
2013-04-24;4742;1764;2978
2013-04-25;4746;1772;2974
2013-04-27;4748;1776;2972
2013-04-28;4748;1776;2972
2013-04-29;4747;1776;2971
2013-04-30;4748;1782;2966
2013-05-01;4751;1782;2969
2013-05-02;4748;1782;2966
2013-05-03;4748;1785;2963
2013-05-04;4755;1788;2967
2013-05-05;4754;1789;2965
2013-05-06;4756;1797;2959
2013-05-08;4757;1797;2960
2013-05-09;4759;1800;2959
2013-05-10;4748;1818;2930
2013-05-11;4645;1816;2829
2013-05-12;4644;1816;2828
2013-05-13;4644;1816;2828
2013-05-14;4682;1817;2865
2013-05-15;4726;1825;2901
2013-05-16;4748;1838;2910
2013-05-18;4769;1850;2919
2013-05-19;4772;1850;2922
2013-05-20;4773;1850;2923
2013-05-21;4777;1850;2927
2013-05-22;4780;1856;2924
2013-05-23;4779;1857;2922
2013-05-24;4780;1857;2923
2013-05-25;4781;1865;2916
2013-05-26;4783;1865;2918
2013-05-28;4787;1875;2912
2013-05-29;4788;1879;2909
2013-05-30;4788;1884;2904
2013-05-31;4791;1885;2906
2013-06-01;4792;1888;2904
2013-06-02;4795;1888;2907
2013-06-03;4795;1890;2905
2013-06-04;4799;1896;2903
2013-06-05;4803;1909;2894
2013-06-07;4809;1924;2885
2013-06-08;4814;1939;2875
2013-06-09;4816;1939;2877
2013-06-10;4815;1939;2876
2013-06-11;4816;1945;2871
2013-06-20;4829;1986;2843
2013-06-21;4831;1988;2843
2013-06-22;4833;2018;2815
2013-06-23;4835;2018;2817
2013-06-24;4839;2029;2810
2013-06-26;4841;2033;2808
2013-06-27;4842;2033;2809
2013-06-28;4847;2036;2811
2013-06-29;4850;2036;2814
2013-06-30;4851;2036;2815
2013-07-01;4852;2036;2816
2013-07-02;4858;2036;2822
2013-07-03;4861;2047;2814
2013-07-05;4860;2051;2809
2013-07-06;4858;2051;2807
2013-07-07;4856;2052;2804
2013-07-08;4860;2052;2808
2013-07-09;4857;2052;2805
2013-07-10;4854;2051;2803
2013-07-11;4853;2051;2802
2013-07-12;4857;2051;2806
2013-07-14;4855;2051;2804
2013-07-15;4854;2051;2803
2013-07-16;4852;2051;2801
2013-07-17;4849;2051;2798
2013-07-18;4853;2052;2801
2013-07-19;4851;2052;2799
2013-07-20;4853;2052;2801
2013-07-21;4854;2052;2802
2013-07-23;4858;2052;2806
2013-07-24;4853;2052;2801
2013-07-25;4857;2052;2805
2013-07-26;4854;2051;2803
2013-07-27;4853;2059;2794
2013-07-28;4854;2070;2784
2013-07-29;4852;2072;2780
2013-07-30;4859;2077;2782
2013-08-01;4867;2079;2788
2013-08-02;4866;2079;2787
2013-08-03;4868;2079;2789
2013-08-04;4869;2079;2790
2013-08-05;4870;2079;2791
2013-08-06;4872;2080;2792
2013-08-07;4878;2081;2797
2013-08-09;4876;2082;2794
2013-08-10;4877;2082;2795
2013-08-11;4872;2082;2790
2013-08-12;4870;2082;2788
2013-08-13;4870;2082;2788
2013-08-14;4873;2084;2789
2013-08-15;4876;2084;2792
2013-08-17;4873;2083;2790
2013-08-18;4874;2083;2791
2013-08-19;4872;2083;2789
2013-08-20;4876;2082;2794
2013-08-21;4876;2082;2794
2013-08-22;4876;2082;2794
2013-08-24;4879;2082;2797
2013-08-25;4879;2082;2797
2013-08-26;4880;2082;2798
2013-08-27;4879;2083;2796
2013-08-28;4877;2083;2794
2013-08-29;4877;2083;2794
2013-08-30;4876;2084;2792
2013-08-31;4877;2084;2793
2013-09-02;4875;2084;2791
2013-09-03;4872;2084;2788
2013-09-04;4873;2084;2789
2013-09-05;4875;2085;2790
2013-09-06;4875;2084;2791
2013-09-08;4871;2084;2787
2013-09-09;4873;2084;2789
2013-09-10;4876;2084;2792
2013-09-11;4873;2084;2789
2013-09-12;4871;2084;2787
2013-09-13;4870;2084;2786
2013-09-14;4870;2083;2787
2013-09-16;4871;2083;2788
2013-09-17;4872;2083;2789
2013-09-18;4875;2087;2788
2013-09-19;4873;2088;2785
2013-09-20;4876;2088;2788
2013-09-21;4877;2089;2788
2013-09-23;4876;2089;2787
2013-09-24;4877;2088;2789
2013-09-25;4876;2087;2789
2013-09-26;4877;2087;2790
2013-09-27;4875;2088;2787
2013-09-29;4876;2087;2789
2013-09-30;4876;2087;2789
2013-10-01;4875;2087;2788
2013-10-02;4881;2087;2794
2013-10-03;4880;2087;2793
2013-10-05;4879;2087;2792
2013-10-06;4878;2087;2791
2013-10-07;4877;2087;2790
2013-10-08;4882;2132;2750
2013-10-09;4894;2155;2739
2013-10-11;4898;2156;2742
2013-10-12;4896;2159;2737
2013-10-13;4899;2159;2740
2013-10-14;4903;2158;2745
2013-10-15;4913;2185;2728
2013-10-17;4912;2186;2726
2013-10-18;4913;2186;2727
2013-10-19;4913;2195;2718
2013-10-20;4911;2202;2709
2013-10-21;4911;2202;2709
2013-10-23;4909;2202;2707
2013-10-24;4918;2226;2692
2013-10-25;4918;2225;2693
2013-10-26;4918;2251;2667
2013-10-27;4918;2257;2661
2013-10-28;4927;2275;2652
2013-10-30;4929;2277;2652
2013-10-31;4934;2283;2651
2013-11-01;4932;2284;2648
2013-11-02;4931;2286;2645
2013-11-03;4928;2285;2643
2013-11-05;4932;2296;2636
2013-11-06;4941;2321;2620
2013-11-07;4941;2326;2615
2013-11-08;4944;2336;2608
2013-11-09;4943;2351;2592
2013-11-11;4943;2351;2592
2013-11-12;4946;2360;2586
2013-11-13;4950;2387;2563
2013-11-14;4972;2446;2526
2013-11-16;4979;2451;2528
2013-11-17;4984;2460;2524
2013-11-18;4983;2461;2522
2013-11-19;4985;2471;2514
2013-11-21;4989;2471;2518
2013-11-22;4990;2474;2516
2013-11-23;4995;2476;2519
2013-11-24;5002;2489;2513
2013-11-26;5006;2502;2504
2013-11-27;5009;2517;2492
2013-11-29;5014;2541;2473
2013-12-01;5018;2544;2474
2013-12-03;5023;2548;2475
2013-12-05;5027;2558;2469
2013-12-07;5027;2561;2466
2013-12-09;5032;2564;2468
2013-12-11;5037;2564;2473
2013-12-13;5044;2592;2452
2013-12-15;5045;2592;2453
2013-12-17;5047;2598;2449
2013-12-19;5041;2600;2441
2013-12-21;5043;2609;2434
2013-12-23;5041;2608;2433
2013-12-25;5045;2622;2423
2013-12-27;5046;2622;2424
2013-12-29;5047;2623;2424
2013-12-31;5043;2618;2425
2014-01-02;5046;2623;2423
2014-01-04;5053;2637;2416
2014-01-06;5054;2645;2409
2014-01-08;5057;2648;2409
2014-01-10;5056;2662;2394
2014-01-12;5056;2662;2394
2014-01-14;5065;2675;2390
2014-01-16;5068;2683;2385
2014-01-18;5077;2707;2370
2014-01-20;5079;2707;2372
2014-01-22;5086;2718;2368
2014-01-24;5089;2726;2363
2014-01-26;5088;2727;2361
2014-01-28;5090;2755;2335
2014-01-30;5104;2989;2115
2014-02-01;5111;2999;2112
2014-02-03;5113;3000;2113
2014-02-05;5118;3057;2061
2014-02-07;5125;3086;2039
2014-02-09;5129;3093;2036
2014-02-11;5133;3100;2033
2014-02-13;5136;3104;2032
2014-02-15;5140;3117;2023
2014-02-17;5140;3121;2019
2014-02-19;5153;3128;2025
2014-02-21;5162;3138;2024
2014-02-23;5165;3139;2026
2014-02-25;5167;3142;2025
2014-02-27;5169;3145;2024
2014-03-01;5170;3143;2027
2014-03-03;5170;3143;2027
2014-03-05;5179;3169;2010
2014-03-07;5180;3176;2004
2014-03-09;5189;3190;1999
2014-03-11;5189;3198;1991
2014-03-13;5191;3195;1996
2014-03-15;5194;3219;1975
2014-03-17;5200;3219;1981
2014-03-19;5204;3222;1982
2014-03-21;5208;3222;1986
2014-03-23;5209;3227;1982
2014-03-25;5216;3266;1950
2014-03-27;5227;3286;1941
2014-03-29;5234;3288;1946
2014-03-31;5243;3298;1945
2014-04-02;5244;3297;1947
2014-04-04;5247;3307;1940
2014-04-06;5253;3320;1933
2014-04-08;5254;3318;1936
2014-04-10;5256;3319;1937
2014-04-12;5258;3320;1938
2014-04-14;5259;3318;1941
2014-04-16;5257;3327;1930
2014-04-18;5259;3336;1923
2014-04-20;5260;3337;1923
2014-04-22;5262;3352;1910
2014-04-24;5264;3355;1909
2014-04-26;5273;3368;1905
2014-04-28;5272;3368;1904
2014-04-30;5278;3370;1908
2014-05-02;5285;3371;1914
2014-05-04;5286;3377;1909