date;followers;following;fans
2013-04-18;2782;993;1789
2013-04-20;2782;993;1789
2013-04-22;2784;996;1788
2013-04-24;2785;998;1787
2013-04-26;2786;999;1787
2013-04-28;2784;999;1785
2013-04-30;2782;998;1784
2013-05-02;2786;998;1788
2013-05-04;2786;998;1788
2013-05-06;2791;999;1792
2013-05-08;2790;999;1791
2013-05-10;2797;999;1798
2013-05-12;2791;994;1797
2013-05-14;2791;994;1797
2013-05-16;2802;998;1804
2013-05-18;2807;999;1808
2013-05-20;2808;999;1809
2013-05-22;2813;919;1894
2013-05-24;2816;920;1896
2013-05-26;2820;921;1899
2013-05-28;2820;920;1900
2013-05-30;2820;922;1898
2013-06-01;2819;925;1894
2013-06-03;2819;925;1894
2013-06-05;2818;926;1892
2013-06-07;2817;926;1891
2013-06-09;2816;928;1888
2013-06-11;2820;929;1891
2013-06-20;2823;934;1889
2013-06-22;2827;935;1892
2013-06-24;2825;935;1890
2013-06-26;2830;937;1893
2013-06-28;2830;937;1893
2013-06-30;2830;941;1889
2013-07-02;2832;942;1890
2013-07-04;2833;943;1890
2013-07-06;2833;946;1887
2013-07-08;2834;947;1887
2013-07-10;2839;952;1887
2013-07-12;2843;952;1891
2013-07-14;2843;952;1891
2013-07-16;2843;952;1891
2013-07-18;2841;953;1888
2013-07-20;2841;955;1886
2013-07-22;2840;955;1885
2013-07-24;2841;956;1885
2013-07-26;2841;957;1884
2013-07-28;2836;957;1879
2013-07-30;2838;958;1880
2013-08-01;2836;957;1879
2013-08-03;2841;959;1882
2013-08-05;2843;961;1882
2013-08-07;2843;963;1880
2013-08-09;2843;968;1875
2013-08-11;2849;973;1876
2013-08-13;2849;983;1866
2013-08-15;2851;966;1885
2013-08-17;2852;966;1886
2013-08-19;2854;969;1885
2013-08-21;2864;972;1892
2013-08-23;2864;974;1890
2013-08-25;2864;977;1887
2013-08-27;2863;977;1886
2013-08-29;2862;977;1885
2013-08-31;2864;977;1887
2013-09-02;2862;977;1885
2013-09-04;2863;980;1883
2013-09-06;2864;981;1883
2013-09-08;2861;983;1878
2013-09-10;2867;984;1883
2013-09-12;2866;984;1882
2013-09-14;2866;984;1882
2013-09-16;2867;984;1883
2013-09-18;2868;984;1884
2013-09-20;2872;982;1890
2013-09-22;2870;983;1887
2013-09-24;2874;987;1887
2013-09-26;2877;991;1886
2013-09-28;2874;993;1881
2013-09-30;2876;999;1877
2013-10-02;2873;991;1882
2013-10-04;2875;992;1883
2013-10-06;2874;993;1881
2013-10-08;2872;996;1876
2013-10-10;2878;996;1882
2013-10-12;2878;999;1879
2013-10-14;2875;999;1876
2013-10-16;2882;998;1884
2013-10-18;2883;1000;1883
2013-10-20;2883;997;1886
2013-10-22;2880;999;1881
2013-10-24;2887;994;1893
2013-10-26;2888;996;1892
2013-10-28;2885;996;1889
2013-10-30;2893;999;1894
2013-11-01;2896;999;1897
2013-11-03;2897;997;1900
2013-11-05;2894;1002;1892
2013-11-07;2897;1001;1896
2013-11-09;2904;998;1906
2013-11-11;2907;1000;1907
2013-11-13;2910;1007;1903
2013-11-15;2907;1012;1895
2013-11-17;2904;1015;1889
2013-11-19;2905;1018;1887
2013-11-21;2907;1020;1887
2013-11-23;2905;1008;1897
2013-11-25;2905;629;2276
2013-11-27;2908;634;2274
2013-11-29;2912;637;2275
2013-12-01;2914;637;2277
2013-12-03;2916;640;2276
2013-12-05;2916;642;2274
2013-12-07;2918;644;2274
2013-12-09;2920;647;2273
2013-12-11;2923;650;2273
2013-12-13;2924;654;2270
2013-12-15;2923;654;2269
2013-12-17;2924;655;2269
2013-12-19;2923;656;2267
2013-12-21;2926;658;2268
2013-12-23;2927;658;2269
2013-12-25;2922;658;2264
2013-12-27;2920;658;2262
2013-12-29;2920;659;2261
2013-12-31;2918;659;2259
2014-01-02;2918;660;2258
2014-01-04;2918;660;2258
2014-01-06;2915;659;2256
2014-01-08;2915;660;2255
2014-01-10;2917;661;2256
2014-01-12;2916;661;2255
2014-01-14;2915;661;2254
2014-01-16;2919;661;2258
2014-01-18;2917;662;2255
2014-01-20;2915;662;2253
2014-01-22;2917;663;2254
2014-01-24;2920;663;2257
2014-01-26;2917;663;2254
2014-01-28;2917;663;2254
2014-01-30;2923;665;2258
2014-02-01;2930;667;2263
2014-02-03;2930;670;2260
2014-02-05;2930;670;2260
2014-02-07;2935;670;2265
2014-02-09;2937;672;2265
2014-02-11;2937;673;2264
2014-02-13;2939;676;2263
2014-02-15;2940;679;2261
2014-02-17;2943;681;2262
2014-02-19;2945;681;2264
2014-02-21;2951;685;2266
2014-02-23;2953;687;2266
2014-02-25;2954;688;2266
2014-02-27;2957;694;2263
2014-03-01;2965;699;2266
2014-03-03;2961;699;2262
2014-03-05;2964;702;2262
2014-03-07;2959;703;2256
2014-03-09;2958;704;2254
2014-03-11;2961;705;2256
2014-03-13;2962;707;2255
2014-03-15;2965;708;2257
2014-03-17;2965;709;2256
2014-03-19;2964;708;2256
2014-03-21;2967;711;2256
2014-03-23;2967;711;2256
2014-03-25;2966;711;2255
2014-03-27;2965;714;2251
2014-03-29;2966;715;2251
2014-03-31;2965;715;2250
2014-04-02;2968;714;2254
2014-04-04;2969;715;2254
2014-04-06;2968;718;2250
2014-04-08;2968;720;2248
2014-04-10;2967;720;2247
2014-04-12;2965;722;2243
2014-04-14;2969;722;2247
2014-04-16;2965;724;2241
2014-04-18;2970;706;2264
2014-04-20;2970;707;2263
2014-04-22;2971;707;2264
2014-04-24;2967;694;2273
2014-04-26;2964;684;2280
2014-04-28;2968;684;2284
2014-04-30;2961;687;2274
2014-05-02;2964;688;2276
2014-05-04;2967;689;2278