date;followers;following;fans
2013-04-17;13375;2219;11156
2013-04-18;13390;2219;11171
2013-04-19;13424;2219;11205
2013-04-20;13463;2219;11244
2013-04-21;13486;2219;11267
2013-04-22;13518;2219;11299
2013-04-23;13537;2219;11318
2013-04-24;13555;2219;11336
2013-04-25;13584;2219;11365
2013-04-26;13610;2219;11391
2013-04-27;13642;2219;11423
2013-04-28;13680;2219;11461
2013-04-29;13690;2219;11471
2013-04-30;13714;2219;11495
2013-05-01;13772;2219;11553
2013-05-02;13843;2219;11624
2013-05-03;13902;2217;11685
2013-05-04;13957;2217;11740
2013-05-05;14014;2217;11797
2013-05-06;14062;2217;11845
2013-05-07;14128;2217;11911
2013-05-08;14198;2217;11981
2013-05-09;14258;2217;12041
2013-05-10;14352;2213;12139
2013-05-11;14435;2184;12251
2013-05-12;14549;2183;12366
2013-05-13;14661;2183;12478
2013-05-14;14785;2196;12589
2013-05-15;14893;2205;12688
2013-05-16;15003;2211;12792
2013-05-17;15142;2212;12930
2013-05-18;15282;2214;13068
2013-05-19;15378;2215;13163
2013-05-20;15474;2215;13259
2013-05-21;15579;2216;13363
2013-05-22;15721;2216;13505
2013-05-23;15824;2215;13609
2013-05-24;15951;2215;13736
2013-05-25;16036;2215;13821
2013-05-26;16135;2215;13920
2013-05-27;16199;2214;13985
2013-05-28;16291;2214;14077
2013-05-29;16378;2214;14164
2013-05-30;16471;2214;14257
2013-05-31;16547;2214;14333
2013-06-01;16613;2214;14399
2013-06-02;16685;2214;14471
2013-06-03;16731;2214;14517
2013-06-04;16804;2214;14590
2013-06-05;16875;2214;14661
2013-06-06;16914;2214;14700
2013-06-07;16943;2214;14729
2013-06-08;16972;2214;14758
2013-06-09;17009;2214;14795
2013-06-10;17047;2214;14833
2013-06-11;17130;2214;14916
2013-06-20;17897;2214;15683
2013-06-21;17987;2214;15773
2013-06-22;18105;2214;15891
2013-06-23;18166;2214;15952
2013-06-24;18257;2214;16043
2013-06-25;18330;2214;16116
2013-06-26;18392;2214;16178
2013-06-27;18454;2214;16240
2013-06-28;18540;2214;16326
2013-06-29;18623;2214;16409
2013-06-30;18685;2214;16471
2013-07-01;18728;2214;16514
2013-07-02;18781;2214;16567
2013-07-03;18829;2214;16615
2013-07-04;18882;2214;16668
2013-07-05;18981;2214;16767
2013-07-06;19063;2214;16849
2013-07-07;19127;2214;16913
2013-07-08;19222;2214;17008
2013-07-09;19291;2214;17077
2013-07-10;19382;2214;17168
2013-07-11;19473;2214;17259
2013-07-12;19578;2214;17364
2013-07-13;19661;2214;17447
2013-07-14;19712;2214;17498
2013-07-15;19751;2214;17537
2013-07-16;19827;2214;17613
2013-07-17;19891;2214;17677
2013-07-18;19962;2214;17748
2013-07-19;20069;2214;17855
2013-07-20;20147;2214;17933
2013-07-21;20207;2214;17993
2013-07-22;20263;2214;18049
2013-07-23;20310;2214;18096
2013-07-24;20379;2214;18165
2013-07-25;20472;2214;18258
2013-07-26;20562;2213;18349
2013-07-27;20609;2211;18398
2013-07-28;20663;2210;18453
2013-07-29;20716;2210;18506
2013-07-30;20787;2211;18576
2013-07-31;20845;2211;18634
2013-08-01;20886;2211;18675
2013-08-02;20938;2211;18727
2013-08-03;21005;2211;18794
2013-08-04;21058;2211;18847
2013-08-05;21105;2211;18894
2013-08-06;21141;2211;18930
2013-08-07;21174;2211;18963
2013-08-08;21202;2210;18992
2013-08-09;21271;2210;19061
2013-08-10;21318;2210;19108
2013-08-11;21351;2210;19141
2013-08-12;21395;2210;19185
2013-08-13;21444;2210;19234
2013-08-14;21474;2210;19264
2013-08-15;21523;2210;19313
2013-08-16;21579;2210;19369
2013-08-17;21645;2210;19435
2013-08-18;21693;2210;19483
2013-08-19;21738;2210;19528
2013-08-20;21773;2210;19563
2013-08-21;21848;2210;19638
2013-08-22;21874;2210;19664
2013-08-23;21928;2206;19722
2013-08-24;21971;2206;19765
2013-08-25;22015;2206;19809
2013-08-26;22065;2206;19859
2013-08-27;22112;2206;19906
2013-08-28;22152;2206;19946
2013-08-29;22192;2206;19986
2013-08-30;22243;2206;20037
2013-08-31;22292;2206;20086
2013-09-01;22336;2206;20130
2013-09-02;22370;2205;20165
2013-09-03;22416;2205;20211
2013-09-04;22449;2205;20244
2013-09-05;22535;2205;20330
2013-09-06;22622;2205;20417
2013-09-07;22698;2205;20493
2013-09-08;22783;2205;20578
2013-09-09;22850;2205;20645
2013-09-10;22914;2205;20709
2013-09-11;22994;2205;20789
2013-09-12;23064;2205;20859
2013-09-13;23123;2205;20918
2013-09-14;23195;2205;20990
2013-09-15;23276;2205;21071
2013-09-16;23330;2206;21124
2013-09-17;23369;2206;21163
2013-09-18;23408;2206;21202
2013-09-19;23456;2206;21250
2013-09-20;23540;2206;21334
2013-09-21;23630;2206;21424
2013-09-22;23661;2206;21455
2013-09-23;23699;2206;21493
2013-09-24;23738;2206;21532
2013-09-25;23778;2206;21572
2013-09-26;23853;2206;21647
2013-09-27;23970;2206;21764
2013-09-28;24053;2206;21847
2013-09-29;24089;2206;21883
2013-09-30;24176;2206;21970
2013-10-01;24266;2206;22060
2013-10-02;24320;2206;22114
2013-10-03;24370;2206;22164
2013-10-04;24419;2206;22213
2013-10-05;24476;2206;22270
2013-10-06;24493;2206;22287
2013-10-07;24525;2206;22319
2013-10-08;24566;2206;22360
2013-10-09;24583;2206;22377
2013-10-10;24614;2206;22408
2013-10-11;24668;2206;22462
2013-10-12;24734;2206;22528
2013-10-13;24778;2206;22572
2013-10-14;24807;2206;22601
2013-10-15;24853;2206;22647
2013-10-16;24917;2206;22711
2013-10-17;24976;2206;22770
2013-10-18;25035;2206;22829
2013-10-19;25099;2206;22893
2013-10-20;25150;2205;22945
2013-10-21;25219;2205;23014
2013-10-22;25263;2205;23058
2013-10-23;25326;2205;23121
2013-10-24;25388;2205;23183
2013-10-25;25453;2205;23248
2013-10-26;25485;2205;23280
2013-10-27;25548;2205;23343
2013-10-28;25586;2205;23381
2013-10-29;25642;2205;23437
2013-10-30;25686;2203;23483
2013-10-31;25742;2203;23539
2013-11-01;25782;2203;23579
2013-11-02;25843;2203;23640
2013-11-03;25895;2203;23692
2013-11-04;25947;2203;23744
2013-11-05;25982;2202;23780
2013-11-06;26029;2202;23827
2013-11-07;26080;2202;23878
2013-11-08;26142;2201;23941
2013-11-09;26202;2201;24001
2013-11-10;26249;2201;24048
2013-11-11;26310;2201;24109
2013-11-12;26366;2201;24165
2013-11-13;26433;2201;24232
2013-11-14;26480;2201;24279
2013-11-15;26566;2201;24365
2013-11-16;26619;2201;24418
2013-11-17;26697;2200;24497
2013-11-18;26781;2200;24581
2013-11-19;26862;2200;24662
2013-11-20;26928;2200;24728
2013-11-21;27006;2200;24806
2013-11-22;27056;2200;24856
2013-11-23;27115;2200;24915
2013-11-24;27183;2200;24983
2013-11-25;27267;2200;25067
2013-11-26;27319;2200;25119
2013-11-27;27364;2200;25164
2013-11-28;27422;2200;25222
2013-11-29;27487;2200;25287
2013-11-30;27588;2200;25388
2013-12-01;27624;2200;25424
2013-12-02;27703;2200;25503
2013-12-03;27761;2200;25561
2013-12-04;27802;2200;25602
2013-12-05;27837;2200;25637
2013-12-06;27900;2200;25700
2013-12-07;27950;2200;25750
2013-12-08;28008;2200;25808
2013-12-09;28059;2200;25859
2013-12-10;28110;2200;25910
2013-12-11;28153;2200;25953
2013-12-12;28217;2200;26017
2013-12-13;28267;2200;26067
2013-12-14;28312;2200;26112
2013-12-15;28380;2200;26180
2013-12-16;28421;2200;26221
2013-12-17;28493;2200;26293
2013-12-18;28561;2200;26361
2013-12-19;28625;2200;26425
2013-12-20;28686;2200;26486
2013-12-21;28737;2200;26537
2013-12-22;28788;2200;26588
2013-12-23;28831;2200;26631
2013-12-24;28878;2200;26678
2013-12-25;28953;2199;26754
2013-12-26;28998;2199;26799
2013-12-27;29050;2199;26851
2013-12-28;29091;2199;26892
2013-12-29;29146;2199;26947
2013-12-30;29186;2199;26987
2013-12-31;29226;2199;27027
2014-01-01;29272;2199;27073
2014-01-02;29331;2199;27132
2014-01-03;29369;2199;27170
2014-01-04;29417;2199;27218
2014-01-05;29461;2199;27262
2014-01-06;29490;2199;27291
2014-01-07;29524;2199;27325
2014-01-08;29581;2199;27382
2014-01-09;29636;2199;27437
2014-01-10;29680;2199;27481
2014-01-11;29722;2199;27523
2014-01-12;29764;2199;27565
2014-01-13;29810;2199;27611
2014-01-14;29852;2199;27653
2014-01-15;29892;2199;27693
2014-01-16;29923;2199;27724
2014-01-17;29964;2199;27765
2014-01-18;30007;2199;27808
2014-01-19;30045;2199;27846
2014-01-20;30105;2199;27906
2014-01-21;30146;2199;27947
2014-01-22;30176;2199;27977
2014-01-23;30228;2199;28029
2014-01-24;30279;2199;28080
2014-01-25;30305;2199;28106
2014-01-26;30351;2199;28152
2014-01-27;30369;2199;28170
2014-01-28;30403;2198;28205
2014-01-29;30478;2198;28280
2014-01-30;30496;2198;28298
2014-01-31;30524;2198;28326
2014-02-01;30570;2198;28372
2014-02-02;30646;2198;28448
2014-02-03;30754;2198;28556
2014-02-04;30826;2198;28628
2014-02-05;30877;2198;28679
2014-02-06;30916;2196;28720
2014-02-07;30978;2196;28782
2014-02-08;31058;2196;28862
2014-02-09;31126;2196;28930
2014-02-10;31176;2196;28980
2014-02-11;31222;2196;29026
2014-02-12;31258;2196;29062
2014-02-13;31320;2196;29124
2014-02-14;31364;2196;29168
2014-02-15;31413;2196;29217
2014-02-16;31474;2196;29278
2014-02-17;31514;2196;29318
2014-02-18;31545;2196;29349
2014-02-19;31605;2196;29409
2014-02-20;31638;2196;29442
2014-02-21;31729;2196;29533
2014-02-22;31918;2196;29722
2014-02-23;32057;2196;29861
2014-02-24;32144;2196;29948
2014-02-25;32201;2196;30005
2014-02-26;32243;2196;30047
2014-02-27;32312;2196;30116
2014-02-28;32360;2197;30163
2014-03-01;32419;2196;30223
2014-03-02;32480;2196;30284
2014-03-03;32550;2196;30354
2014-03-04;32590;2195;30395
2014-03-05;32647;2195;30452
2014-03-06;32679;2195;30484
2014-03-07;32746;2195;30551
2014-03-08;32817;2195;30622
2014-03-09;32890;2195;30695
2014-03-10;32935;2195;30740
2014-03-11;32991;2195;30796
2014-03-12;33037;2195;30842
2014-03-13;33098;2195;30903
2014-03-14;33194;2195;30999
2014-03-15;33323;2195;31128
2014-03-16;33375;2195;31180
2014-03-17;33492;2195;31297
2014-03-18;33563;2195;31368
2014-03-19;33628;2195;31433
2014-03-20;33685;2195;31490
2014-03-21;33775;2195;31580
2014-03-22;33857;2195;31662
2014-03-23;33917;2195;31722
2014-03-24;33971;2195;31776
2014-03-25;34066;2195;31871
2014-03-26;34121;2195;31926
2014-03-27;34196;2195;32001
2014-03-28;34266;2195;32071
2014-03-29;34327;2195;32132
2014-03-30;34423;2195;32228
2014-03-31;34472;2195;32277
2014-04-01;34522;2195;32327
2014-04-02;34557;2195;32362
2014-04-03;34595;2195;32400
2014-04-04;34629;2195;32434
2014-04-05;34675;2195;32480
2014-04-06;34723;2195;32528
2014-04-07;34746;2195;32551
2014-04-08;34782;2195;32587
2014-04-09;34807;2195;32612
2014-04-10;34843;2195;32648
2014-04-11;34877;2195;32682
2014-04-12;34916;2195;32721
2014-04-13;34956;2195;32761
2014-04-14;34988;2195;32793
2014-04-15;35023;2195;32828
2014-04-16;35075;2195;32880
2014-04-17;35113;2195;32918
2014-04-18;35158;2195;32963
2014-04-19;35219;2195;33024
2014-04-20;35258;2195;33063
2014-04-21;35287;2195;33092
2014-04-22;35339;2194;33145
2014-04-23;35382;2194;33188
2014-04-24;35415;2194;33221
2014-04-25;35458;2194;33264
2014-04-26;35512;2194;33318
2014-04-27;35533;2194;33339
2014-04-28;35571;2194;33377
2014-04-29;35601;2194;33407
2014-04-30;35639;2194;33445
2014-05-01;35657;2194;33463
2014-05-02;35690;2194;33496
2014-05-03;35731;2194;33537
2014-05-04;35768;2194;33574
2014-05-05;35809;2194;33615