date;followers;following;fans
2013-04-18;1863;331;1532
2013-04-20;1865;331;1534
2013-04-22;1866;333;1533
2013-04-24;1870;333;1537
2013-04-26;1871;333;1538
2013-04-28;1877;333;1544
2013-04-30;1893;341;1552
2013-05-02;1894;341;1553
2013-05-04;1896;342;1554
2013-05-06;1896;344;1552
2013-05-08;1906;347;1559
2013-05-10;1922;349;1573
2013-05-12;1931;350;1581
2013-05-14;1934;355;1579
2013-05-16;1939;355;1584
2013-05-18;1936;355;1581
2013-05-20;1940;355;1585
2013-05-22;1946;355;1591
2013-05-24;1949;357;1592
2013-05-26;1952;359;1593
2013-05-28;1953;360;1593
2013-05-30;1951;366;1585
2013-06-01;1952;367;1585
2013-06-03;1952;366;1586
2013-06-05;1954;366;1588
2013-06-07;1953;366;1587
2013-06-09;1954;365;1589
2013-06-11;1961;365;1596
2013-06-20;1952;374;1578
2013-06-22;1960;376;1584
2013-06-24;1963;376;1587
2013-06-26;1957;375;1582
2013-06-28;1960;375;1585
2013-06-30;1960;376;1584
2013-07-02;1960;377;1583
2013-07-04;1958;377;1581
2013-07-06;1961;378;1583
2013-07-08;1968;378;1590
2013-07-10;1987;378;1609
2013-07-12;1986;380;1606
2013-07-14;1988;380;1608
2013-07-16;1983;380;1603
2013-07-18;1980;380;1600
2013-07-20;1983;379;1604
2013-07-22;1987;379;1608
2013-07-24;1988;379;1609
2013-07-26;1991;380;1611
2013-07-28;1989;382;1607
2013-07-30;1984;383;1601
2013-08-01;1986;381;1605
2013-08-03;1991;380;1611
2013-08-05;1995;381;1614
2013-08-07;1995;381;1614
2013-08-09;1997;381;1616
2013-08-11;1996;381;1615
2013-08-13;1996;381;1615
2013-08-15;1996;381;1615
2013-08-17;2001;381;1620
2013-08-19;2004;385;1619
2013-08-21;2002;386;1616
2013-08-23;2003;385;1618
2013-08-25;2004;385;1619
2013-08-27;2038;389;1649
2013-08-29;2039;390;1649
2013-08-31;2047;391;1656
2013-09-02;2054;392;1662
2013-09-04;2055;395;1660
2013-09-06;2050;394;1656
2013-09-08;2050;394;1656
2013-09-10;2053;395;1658
2013-09-12;2059;397;1662
2013-09-14;2061;398;1663
2013-09-16;2063;400;1663
2013-09-18;2058;401;1657
2013-09-20;2056;401;1655
2013-09-22;2057;402;1655
2013-09-24;2059;404;1655
2013-09-26;2056;405;1651
2013-09-28;2070;405;1665
2013-09-29;2079;406;1673
2013-10-02;2081;409;1672
2013-10-04;2081;409;1672
2013-10-06;2084;410;1674
2013-10-08;2078;411;1667
2013-10-10;2081;413;1668
2013-10-12;2088;415;1673
2013-10-14;2090;414;1676
2013-10-16;2094;412;1682
2013-10-18;2095;412;1683
2013-10-20;2097;412;1685
2013-10-22;2099;412;1687
2013-10-24;2099;413;1686
2013-10-26;2102;414;1688
2013-10-28;2101;414;1687
2013-10-30;2103;414;1689
2013-11-01;2103;415;1688
2013-11-03;2100;415;1685
2013-11-05;2102;414;1688
2013-11-07;2104;414;1690
2013-11-09;2104;415;1689
2013-11-10;2108;415;1693
2013-11-12;2115;418;1697
2013-11-15;2115;418;1697
2013-11-17;2117;419;1698
2013-11-19;2118;419;1699
2013-11-21;2125;420;1705
2013-11-23;2122;421;1701
2013-11-25;2122;421;1701
2013-11-27;2124;421;1703
2013-11-29;2122;423;1699
2013-12-01;2128;424;1704
2013-12-03;2123;424;1699
2013-12-05;2121;424;1697
2013-12-07;2123;424;1699
2013-12-08;2121;424;1697
2013-12-11;2120;424;1696
2013-12-13;2124;425;1699
2013-12-15;2125;425;1700
2013-12-17;2127;425;1702
2013-12-19;2122;424;1698
2013-12-21;2120;424;1696
2013-12-23;2122;424;1698
2013-12-24;2121;424;1697
2013-12-27;2124;425;1699
2013-12-29;2125;424;1701
2013-12-31;2123;424;1699
2014-01-02;2129;425;1704
2014-01-04;2128;425;1703
2014-01-06;2125;426;1699
2014-01-08;2126;427;1699
2014-01-10;2128;427;1701
2014-01-12;2126;427;1699
2014-01-14;2124;426;1698
2014-01-16;2122;428;1694
2014-01-18;2125;428;1697
2014-01-20;2123;427;1696
2014-01-22;2124;425;1699
2014-01-24;2127;425;1702
2014-01-26;2127;425;1702
2014-01-28;2135;428;1707
2014-01-30;2137;429;1708
2014-02-01;2138;429;1709
2014-02-03;2135;429;1706
2014-02-05;2138;429;1709
2014-02-07;2140;429;1711
2014-02-09;2145;430;1715
2014-02-11;2142;429;1713
2014-02-13;2142;431;1711
2014-02-15;2142;431;1711
2014-02-17;2143;431;1712
2014-02-19;2144;431;1713
2014-02-21;2143;431;1712
2014-02-23;2145;432;1713
2014-02-25;2147;432;1715
2014-02-27;2147;432;1715
2014-03-01;2158;433;1725
2014-03-03;2158;433;1725
2014-03-05;2159;435;1724
2014-03-07;2162;437;1725
2014-03-09;2160;438;1722
2014-03-11;2162;439;1723
2014-03-13;2160;441;1719
2014-03-15;2158;445;1713
2014-03-17;2155;446;1709
2014-03-19;2154;447;1707
2014-03-21;2153;447;1706
2014-03-23;2156;447;1709
2014-03-25;2155;447;1708
2014-03-27;2154;449;1705
2014-03-29;2190;451;1739
2014-03-31;2211;451;1760
2014-04-02;2212;451;1761
2014-04-04;2209;452;1757
2014-04-06;2210;453;1757
2014-04-08;2210;456;1754
2014-04-10;2211;460;1751
2014-04-12;2210;460;1750
2014-04-14;2211;463;1748
2014-04-16;2212;462;1750
2014-04-18;2234;463;1771
2014-04-20;2235;462;1773
2014-04-22;2234;462;1772
2014-04-24;2236;461;1775
2014-04-26;2239;462;1777
2014-04-28;2242;463;1779
2014-04-30;2241;464;1777
2014-05-02;2246;464;1782
2014-05-04;2245;463;1782