date;followers;following;fans
2013-11-27;2203;616;1587
2013-11-30;2213;615;1598
2013-12-02;2229;615;1614
2013-12-04;2234;614;1620
2013-12-05;2239;613;1626
2013-12-08;2252;614;1638
2013-12-09;2257;612;1645
2013-12-12;2258;611;1647
2013-12-13;2268;611;1657
2013-12-16;2271;611;1660
2013-12-18;2272;612;1660
2013-12-20;2275;611;1664
2013-12-22;2274;612;1662
2013-12-24;2277;612;1665
2013-12-26;2277;612;1665
2013-12-28;2284;612;1672
2013-12-30;2296;612;1684
2014-01-01;2302;611;1691
2014-01-03;2309;611;1698
2014-01-05;2317;612;1705
2014-01-07;2330;612;1718
2014-01-09;2336;611;1725
2014-01-11;2336;610;1726
2014-01-13;2339;610;1729
2014-01-15;2338;609;1729
2014-01-17;2345;609;1736
2014-01-19;2349;609;1740
2014-01-21;2350;609;1741
2014-01-23;2358;608;1750
2014-01-25;2356;607;1749
2014-01-27;2361;609;1752
2014-01-29;2362;611;1751
2014-02-01;2368;611;1757
2014-02-03;2373;611;1762
2014-02-04;2382;611;1771
2014-02-07;2382;612;1770
2014-02-09;2389;612;1777
2014-02-11;2394;612;1782
2014-02-13;2395;609;1786
2014-02-15;2397;610;1787
2014-02-17;2403;611;1792
2014-02-19;2407;612;1795
2014-02-21;2412;611;1801
2014-02-23;2414;612;1802
2014-02-25;2412;612;1800
2014-02-27;2423;613;1810
2014-03-01;2428;615;1813
2014-03-03;2429;615;1814
2014-03-05;2432;605;1827
2014-03-07;2436;606;1830
2014-03-09;2440;608;1832
2014-03-11;2444;608;1836
2014-03-13;2447;608;1839
2014-03-15;2453;609;1844
2014-03-17;2453;609;1844
2014-03-19;2455;608;1847
2014-03-21;2459;607;1852
2014-03-23;2464;607;1857
2014-03-25;2466;608;1858
2014-03-27;2468;608;1860
2014-03-29;2473;608;1865
2014-03-31;2474;608;1866
2014-04-02;2473;609;1864
2014-04-04;2475;609;1866
2014-04-06;2475;610;1865
2014-04-08;2482;611;1871
2014-04-10;2482;614;1868
2014-04-12;2482;615;1867
2014-04-14;2482;616;1866
2014-04-16;2481;617;1864
2014-04-18;2485;617;1868
2014-04-20;2485;617;1868
2014-04-22;2485;617;1868
2014-04-24;2488;618;1870
2014-04-26;2488;619;1869
2014-04-28;2500;620;1880
2014-04-30;2512;620;1892
2014-05-02;2514;621;1893
2014-05-04;2521;620;1901