date;followers;following;fans
2014-01-20;1446;20;1426
2014-01-22;8792;32;8760
2014-01-23;11166;35;11131
2014-01-24;10347;39;10308
2014-01-25;10009;33;9976
2014-01-26;9708;34;9674
2014-01-27;9523;34;9489
2014-01-28;9385;36;9349
2014-01-30;9127;38;9089
2014-01-31;9023;45;8978
2014-02-01;8920;45;8875
2014-02-02;8843;42;8801
2014-02-03;8736;42;8694
2014-02-04;8660;42;8618
2014-02-05;8601;42;8559
2014-02-06;8533;42;8491
2014-02-07;8495;43;8452
2014-02-08;8472;43;8429
2014-02-09;8398;43;8355
2014-02-10;8344;42;8302
2014-02-11;8296;43;8253
2014-02-12;8251;44;8207
2014-02-13;8217;44;8173
2014-02-14;8193;44;8149
2014-02-15;8176;44;8132
2014-02-16;8142;44;8098
2014-02-17;8102;44;8058
2014-02-18;8084;44;8040
2014-02-19;8051;44;8007
2014-02-20;8012;44;7968
2014-02-21;7993;44;7949
2014-02-22;7964;44;7920
2014-02-23;7931;44;7887
2014-02-24;7887;44;7843
2014-02-25;7851;44;7807
2014-02-26;7835;44;7791
2014-02-27;7816;44;7772
2014-02-28;7801;44;7757
2014-03-01;7776;44;7732
2014-03-02;7741;44;7697
2014-03-03;7717;34;7683
2014-03-04;7690;34;7656
2014-03-05;7676;34;7642
2014-03-06;7665;34;7631
2014-03-07;7649;35;7614
2014-03-08;7617;35;7582
2014-03-09;7606;35;7571
2014-03-10;7590;35;7555
2014-03-11;7571;35;7536
2014-03-12;7553;35;7518
2014-03-13;7539;35;7504
2014-03-14;7530;37;7493
2014-03-15;7512;37;7475
2014-03-16;7493;37;7456
2014-03-17;7471;37;7434
2014-03-18;7468;37;7431
2014-03-19;7454;37;7417
2014-03-20;7453;34;7419
2014-03-21;7439;34;7405
2014-03-22;7430;34;7396
2014-03-23;7420;34;7386
2014-03-24;7407;34;7373
2014-03-25;7400;34;7366
2014-03-26;7391;34;7357
2014-03-27;7371;34;7337
2014-03-28;7360;34;7326
2014-03-29;7353;34;7319
2014-03-30;7340;34;7306
2014-03-31;7329;34;7295
2014-04-01;7320;34;7286
2014-04-02;7313;34;7279
2014-04-03;7304;34;7270
2014-04-04;7293;34;7259
2014-04-05;7285;34;7251
2014-04-06;7274;34;7240
2014-04-07;7256;34;7222
2014-04-08;7239;34;7205
2014-04-09;7232;34;7198
2014-04-10;7229;34;7195
2014-04-11;7219;34;7185
2014-04-12;7211;34;7177
2014-04-13;7195;34;7161
2014-04-14;7183;33;7150
2014-04-15;7175;33;7142
2014-04-16;7164;33;7131
2014-04-17;7157;33;7124
2014-04-18;7150;33;7117
2014-04-19;7134;33;7101
2014-04-20;7122;34;7088
2014-04-21;7112;34;7078
2014-04-22;7110;34;7076
2014-04-23;7103;34;7069
2014-04-24;7094;34;7060
2014-04-25;7080;34;7046
2014-04-26;7064;30;7034
2014-04-27;7049;29;7020
2014-04-28;7040;29;7011
2014-04-29;7030;30;7000
2014-04-30;7023;31;6992
2014-05-01;7015;31;6984
2014-05-02;7009;33;6976
2014-05-03;6997;33;6964
2014-05-04;6986;33;6953
2014-05-05;6971;33;6938