date;followers;following;fans
2013-04-18;1698;416;1282
2013-04-20;1699;416;1283
2013-04-22;1697;415;1282
2013-04-24;1699;415;1284
2013-04-26;1699;415;1284
2013-04-28;1700;415;1285
2013-04-30;1705;415;1290
2013-05-02;1707;415;1292
2013-05-04;1706;415;1291
2013-05-06;1704;414;1290
2013-05-08;1703;415;1288
2013-05-10;1705;413;1292
2013-05-12;1702;411;1291
2013-05-14;1705;410;1295
2013-05-16;1710;412;1298
2013-05-18;1711;413;1298
2013-05-20;1718;413;1305
2013-05-22;1716;414;1302
2013-05-24;1717;414;1303
2013-05-26;1720;414;1306
2013-05-28;1721;414;1307
2013-05-30;1721;414;1307
2013-06-01;1721;414;1307
2013-06-03;1724;414;1310
2013-06-05;1728;415;1313
2013-06-07;1730;415;1315
2013-06-09;1728;414;1314
2013-06-11;1732;414;1318
2013-06-20;1740;416;1324
2013-06-22;1742;416;1326
2013-06-24;1742;417;1325
2013-06-26;1744;417;1327
2013-06-28;1745;417;1328
2013-06-30;1743;414;1329
2013-07-02;1746;413;1333
2013-07-04;1747;413;1334
2013-07-06;1751;413;1338
2013-07-08;1758;413;1345
2013-07-10;1762;413;1349
2013-07-12;1763;414;1349
2013-07-14;1764;414;1350
2013-07-16;1768;413;1355
2013-07-18;1770;414;1356
2013-07-20;1770;414;1356
2013-07-22;1771;414;1357
2013-07-24;1771;414;1357
2013-07-26;1772;414;1358
2013-07-28;1770;414;1356
2013-07-30;1769;413;1356
2013-08-01;1771;413;1358
2013-08-03;1773;413;1360
2013-08-05;1774;413;1361
2013-08-07;1774;413;1361
2013-08-09;1773;414;1359
2013-08-11;1775;414;1361
2013-08-13;1777;414;1363
2013-08-15;1780;412;1368
2013-08-17;1780;412;1368
2013-08-19;1781;413;1368
2013-08-21;1780;413;1367
2013-08-23;1781;412;1369
2013-08-25;1786;412;1374
2013-08-27;1789;413;1376
2013-08-29;1793;413;1380
2013-08-31;1797;413;1384
2013-09-02;1799;413;1386
2013-09-04;1801;413;1388
2013-09-06;1803;413;1390
2013-09-08;1803;413;1390
2013-09-10;1799;413;1386
2013-09-12;1800;413;1387
2013-09-14;1800;414;1386
2013-09-16;1801;414;1387
2013-09-18;1803;414;1389
2013-09-20;1806;414;1392
2013-09-22;1805;414;1391
2013-09-24;1803;413;1390
2013-09-26;1805;413;1392
2013-09-28;1804;414;1390
2013-09-30;1806;414;1392
2013-10-02;1806;414;1392
2013-10-04;1809;414;1395
2013-10-06;1809;413;1396
2013-10-08;1808;410;1398
2013-10-10;1810;410;1400
2013-10-12;1811;410;1401
2013-10-14;1811;410;1401
2013-10-16;1815;410;1405
2013-10-18;1814;411;1403
2013-10-20;1815;411;1404
2013-10-22;1815;411;1404
2013-10-24;1814;411;1403
2013-10-26;1811;411;1400
2013-10-28;1814;411;1403
2013-10-30;1817;411;1406
2013-11-01;1817;411;1406
2013-11-03;1819;411;1408
2013-11-05;1820;411;1409
2013-11-07;1821;410;1411
2013-11-09;1819;410;1409
2013-11-11;1819;410;1409
2013-11-13;1818;410;1408
2013-11-15;1820;410;1410
2013-11-17;1822;410;1412
2013-11-19;1821;409;1412
2013-11-21;1822;411;1411
2013-11-23;1822;411;1411
2013-11-25;1822;411;1411
2013-11-27;1822;411;1411
2013-11-29;1823;411;1412
2013-12-01;1824;410;1414
2013-12-03;1825;410;1415
2013-12-05;1824;410;1414
2013-12-07;1824;410;1414
2013-12-09;1823;410;1413
2013-12-11;1824;410;1414
2013-12-13;1823;410;1413
2013-12-15;1822;410;1412
2013-12-17;1823;410;1413
2013-12-19;1823;410;1413
2013-12-21;1825;412;1413
2013-12-23;1827;412;1415
2013-12-25;1827;412;1415
2013-12-27;1824;412;1412
2013-12-29;1824;412;1412
2013-12-31;1827;412;1415
2014-01-02;1826;412;1414
2014-01-04;1825;412;1413
2014-01-06;1825;412;1413
2014-01-08;1826;412;1414
2014-01-10;1824;412;1412
2014-01-12;1825;412;1413
2014-01-14;1822;411;1411
2014-01-16;1821;411;1410
2014-01-18;1822;409;1413
2014-01-20;1823;409;1414
2014-01-22;1821;408;1413
2014-01-24;1820;409;1411
2014-01-26;1822;409;1413
2014-01-28;1822;408;1414
2014-01-30;1824;406;1418
2014-02-01;1825;406;1419
2014-02-03;1823;404;1419
2014-02-05;1821;403;1418
2014-02-07;1821;406;1415
2014-02-09;1819;406;1413
2014-02-11;1818;406;1412
2014-02-13;1819;406;1413
2014-02-15;1820;406;1414
2014-02-17;1818;406;1412
2014-02-19;1817;406;1411
2014-02-21;1817;406;1411
2014-02-23;1815;405;1410
2014-02-25;1814;404;1410
2014-02-27;1815;406;1409
2014-03-01;1815;404;1411
2014-03-03;1814;403;1411
2014-03-05;1813;403;1410
2014-03-07;1812;403;1409
2014-03-09;1811;401;1410
2014-03-11;1814;403;1411
2014-03-13;1816;405;1411
2014-03-15;1813;405;1408
2014-03-17;1810;406;1404
2014-03-19;1810;406;1404
2014-03-21;1812;406;1406
2014-03-23;1815;406;1409
2014-03-25;1815;407;1408
2014-03-27;1814;407;1407
2014-03-29;1817;419;1398
2014-03-31;1818;419;1399
2014-04-02;1817;418;1399
2014-04-04;1817;418;1399
2014-04-06;1814;418;1396
2014-04-08;1817;418;1399
2014-04-10;1815;418;1397
2014-04-12;1815;418;1397
2014-04-14;1815;419;1396
2014-04-16;1817;419;1398
2014-04-18;1815;419;1396
2014-04-20;1814;419;1395
2014-04-22;1811;418;1393
2014-04-24;1811;417;1394
2014-04-26;1815;416;1399
2014-04-28;1814;416;1398
2014-04-30;1817;416;1401
2014-05-02;1816;415;1401
2014-05-04;1815;415;1400