date;followers;following;fans
2013-04-18;2129;261;1868
2013-04-20;2132;261;1871
2013-04-22;2134;262;1872
2013-04-24;2137;262;1875
2013-04-26;2140;262;1878
2013-04-28;2140;262;1878
2013-04-30;2146;262;1884
2013-05-02;2155;262;1893
2013-05-04;2159;262;1897
2013-05-06;2161;262;1899
2013-05-08;2168;263;1905
2013-05-10;2184;263;1921
2013-05-12;2188;263;1925
2013-05-14;2194;263;1931
2013-05-16;2194;263;1931
2013-05-18;2201;263;1938
2013-05-20;2207;263;1944
2013-05-22;2212;263;1949
2013-05-24;2215;263;1952
2013-05-26;2219;263;1956
2013-05-28;2221;263;1958
2013-05-30;2220;263;1957
2013-06-01;2226;263;1963
2013-06-03;2234;263;1971
2013-06-05;2243;263;1980
2013-06-07;2247;266;1981
2013-06-09;2248;267;1981
2013-06-11;2246;267;1979
2013-06-20;2260;268;1992
2013-06-22;2261;268;1993
2013-06-24;2257;270;1987
2013-06-26;2261;271;1990
2013-06-28;2263;271;1992
2013-06-30;2262;271;1991
2013-07-02;2264;270;1994
2013-07-04;2266;270;1996
2013-07-06;2265;270;1995
2013-07-08;2265;270;1995
2013-07-10;2270;270;2000
2013-07-12;2268;270;1998
2013-07-14;2270;270;2000
2013-07-16;2274;270;2004
2013-07-18;2273;270;2003
2013-07-20;2278;270;2008
2013-07-22;2280;270;2010
2013-07-24;2281;270;2011
2013-07-26;2281;269;2012
2013-07-28;2285;269;2016
2013-07-30;2296;274;2022
2013-08-01;2315;275;2040
2013-08-03;2320;274;2046
2013-08-05;2328;273;2055
2013-08-07;2331;273;2058
2013-08-09;2333;272;2061
2013-08-11;2339;272;2067
2013-08-13;2342;272;2070
2013-08-15;2346;273;2073
2013-08-17;2346;272;2074
2013-08-19;2346;272;2074
2013-08-21;2348;272;2076
2013-08-23;2350;273;2077
2013-08-25;2352;273;2079
2013-08-27;2354;273;2081
2013-08-29;2355;273;2082
2013-08-31;2359;273;2086
2013-09-02;2360;273;2087
2013-09-04;2364;273;2091
2013-09-06;2363;276;2087
2013-09-08;2368;276;2092
2013-09-10;2371;276;2095
2013-09-12;2371;276;2095
2013-09-14;2375;276;2099
2013-09-16;2378;276;2102
2013-09-18;2378;276;2102
2013-09-20;2379;276;2103
2013-09-22;2384;276;2108
2013-09-24;2385;276;2109
2013-09-26;2386;276;2110
2013-09-28;2387;276;2111
2013-09-29;2388;275;2113
2013-10-02;2392;275;2117
2013-10-04;2395;275;2120
2013-10-06;2398;276;2122
2013-10-08;2403;276;2127
2013-10-10;2400;275;2125
2013-10-12;2402;276;2126
2013-10-14;2398;276;2122
2013-10-16;2401;276;2125
2013-10-18;2405;277;2128
2013-10-20;2406;277;2129
2013-10-22;2408;277;2131
2013-10-24;2409;277;2132
2013-10-26;2408;277;2131
2013-10-28;2412;280;2132
2013-10-30;2419;281;2138
2013-11-01;2421;282;2139
2013-11-03;2419;282;2137
2013-11-05;2421;282;2139
2013-11-07;2425;282;2143
2013-11-09;2427;285;2142
2013-11-11;2432;285;2147
2013-11-13;2435;285;2150
2013-11-15;2437;285;2152
2013-11-17;2434;285;2149
2013-11-19;2431;285;2146
2013-11-21;2435;285;2150
2013-11-23;2437;285;2152
2013-11-25;2439;285;2154
2013-11-27;2439;285;2154
2013-11-29;2440;285;2155
2013-12-01;2443;285;2158
2013-12-03;2442;285;2157
2013-12-05;2439;285;2154
2013-12-07;2440;285;2155
2013-12-09;2440;285;2155
2013-12-11;2443;285;2158
2013-12-13;2443;284;2159
2013-12-15;2449;284;2165
2013-12-17;2450;284;2166
2013-12-19;2451;285;2166
2013-12-21;2451;285;2166
2013-12-23;2454;285;2169
2013-12-25;2453;285;2168
2013-12-27;2454;285;2169
2013-12-29;2455;285;2170
2013-12-31;2458;286;2172
2014-01-02;2461;286;2175
2014-01-04;2462;287;2175
2014-01-06;2460;287;2173
2014-01-08;2466;288;2178
2014-01-10;2467;287;2180
2014-01-12;2471;290;2181
2014-01-14;2478;290;2188
2014-01-16;2478;290;2188
2014-01-18;2481;291;2190
2014-01-20;2484;291;2193
2014-01-22;2502;292;2210
2014-01-24;2531;293;2238
2014-01-26;2635;294;2341
2014-01-28;2645;295;2350
2014-01-30;2645;295;2350
2014-02-01;2650;295;2355
2014-02-03;2649;295;2354
2014-02-05;2649;295;2354
2014-02-07;2653;294;2359
2014-02-09;2657;295;2362
2014-02-11;2657;298;2359
2014-02-13;2657;298;2359
2014-02-15;2659;298;2361
2014-02-17;2658;297;2361
2014-02-19;2658;297;2361
2014-02-21;2660;297;2363
2014-02-23;2658;299;2359
2014-02-25;2660;300;2360
2014-02-27;2663;300;2363
2014-03-01;2661;300;2361
2014-03-03;2661;303;2358
2014-03-05;2665;303;2362
2014-03-07;2666;303;2363
2014-03-09;2666;303;2363
2014-03-11;2667;303;2364
2014-03-13;2664;303;2361
2014-03-15;2664;303;2361
2014-03-17;2664;303;2361
2014-03-19;2666;302;2364
2014-03-21;2668;302;2366
2014-03-23;2667;302;2365
2014-03-25;2670;302;2368
2014-03-27;2673;302;2371
2014-03-29;2673;303;2370
2014-03-31;2675;303;2372
2014-04-02;2674;303;2371
2014-04-04;2677;303;2374
2014-04-06;2680;303;2377
2014-04-08;2685;303;2382
2014-04-10;2687;303;2384
2014-04-12;2689;303;2386
2014-04-14;2692;303;2389
2014-04-16;2689;305;2384
2014-04-18;2692;305;2387
2014-04-20;2694;306;2388
2014-04-22;2696;306;2390
2014-04-24;2701;304;2397
2014-04-26;2703;303;2400
2014-04-28;2705;303;2402
2014-04-30;2706;303;2403
2014-05-02;2709;304;2405
2014-05-04;2716;304;2412