date;followers;following;fans
2013-09-23;9656;8650;1006
2013-09-25;9674;8649;1025
2013-09-27;9688;8648;1040
2013-09-29;9695;8647;1048
2013-10-01;9717;8648;1069
2013-10-03;9727;8647;1080
2013-10-05;9741;8648;1093
2013-10-07;9750;8649;1101
2013-10-09;9772;8647;1125
2013-10-11;9787;8646;1141
2013-10-13;9796;8643;1153
2013-10-15;9815;8641;1174
2013-10-17;9826;8640;1186
2013-10-19;9833;8640;1193
2013-10-21;9841;8639;1202
2013-10-23;9845;8641;1204
2013-10-25;9860;8639;1221
2013-10-27;9868;8638;1230
2013-10-29;9884;8639;1245
2013-10-31;9905;8636;1269
2013-11-02;9916;8636;1280
2013-11-04;9919;8634;1285
2013-11-06;9920;8634;1286
2013-11-08;9930;8634;1296
2013-11-10;9932;8633;1299
2013-11-12;9942;8633;1309
2013-11-14;9959;8630;1329
2013-11-16;9970;8629;1341
2013-11-18;9982;8628;1354
2013-11-20;10002;8626;1376
2013-11-22;10008;8622;1386
2013-11-24;10013;8622;1391
2013-11-26;10030;8622;1408
2013-11-28;10035;8622;1413
2013-11-30;10044;8620;1424
2013-12-02;9938;8617;1321
2013-12-04;9938;8618;1320
2013-12-06;9945;8619;1326
2013-12-08;9947;8617;1330
2013-12-10;9954;8616;1338
2013-12-12;9948;8617;1331
2013-12-14;9952;8615;1337
2013-12-16;9959;8614;1345
2013-12-18;9960;8606;1354
2013-12-20;9968;8606;1362
2013-12-22;9972;8607;1365
2013-12-24;9968;8593;1375
2013-12-26;9967;8593;1374
2013-12-28;9969;8592;1377
2013-12-30;9977;8590;1387
2014-01-01;9993;8591;1402
2014-01-03;9993;8589;1404
2014-01-05;9999;8585;1414
2014-01-07;10003;8584;1419
2014-01-09;10020;8581;1439
2014-01-11;10030;8582;1448
2014-01-13;10032;8580;1452
2014-01-15;10044;8576;1468
2014-01-17;10060;8576;1484
2014-01-19;10067;8574;1493
2014-01-21;10070;8571;1499
2014-01-23;10099;8575;1524
2014-01-25;10111;8576;1535
2014-01-27;10126;8575;1551
2014-01-29;10145;8576;1569
2014-02-01;10151;8576;1575
2014-02-03;10154;8570;1584
2014-02-05;10168;8574;1594
2014-02-07;10179;8574;1605
2014-02-09;10189;8574;1615
2014-02-11;10193;8570;1623
2014-02-13;10194;8569;1625
2014-02-15;10188;8556;1632
2014-02-17;10202;8555;1647
2014-02-19;10211;8556;1655
2014-02-21;10226;8559;1667
2014-02-23;10233;8558;1675
2014-02-25;10234;8558;1676
2014-02-27;10236;8556;1680
2014-03-01;10245;8556;1689
2014-03-03;10246;8555;1691
2014-03-05;10255;8554;1701
2014-03-07;10256;8553;1703
2014-03-09;10253;8550;1703
2014-03-11;10259;8547;1712
2014-03-13;10265;8547;1718
2014-03-15;10269;8547;1722
2014-03-17;10263;8546;1717
2014-03-19;10271;8546;1725
2014-03-21;10281;8547;1734
2014-03-23;10298;8547;1751
2014-03-25;10301;8547;1754
2014-03-27;10312;8548;1764
2014-03-29;10322;8548;1774
2014-03-31;10330;8543;1787
2014-04-02;10336;8542;1794
2014-04-04;10342;8541;1801
2014-04-06;10357;8541;1816
2014-04-08;10381;8539;1842
2014-04-10;10397;8536;1861
2014-04-12;10402;8537;1865
2014-04-14;10411;8536;1875
2014-04-16;10418;8533;1885
2014-04-18;10424;8532;1892
2014-04-20;10421;8532;1889
2014-04-22;10424;8533;1891
2014-04-24;10428;8534;1894
2014-04-26;10426;8533;1893
2014-04-28;10433;8531;1902
2014-04-30;10439;8531;1908
2014-05-02;10444;8527;1917
2014-05-04;10451;8526;1925