date;followers;following;fans
2013-11-29;4813;797;4016
2013-11-30;4858;795;4063
2013-12-02;4880;795;4085
2013-12-03;4912;795;4117
2013-12-04;4938;796;4142
2013-12-05;4963;795;4168
2013-12-07;4979;795;4184
2013-12-08;5000;797;4203
2013-12-09;5069;797;4272
2013-12-10;5099;798;4301
2013-12-12;5133;798;4335
2013-12-13;5154;799;4355
2013-12-14;5174;796;4378
2013-12-15;5191;797;4394
2013-12-17;5200;797;4403
2013-12-18;5205;796;4409
2013-12-19;5209;797;4412
2013-12-20;5224;797;4427
2013-12-22;5228;797;4431
2013-12-23;5246;798;4448
2013-12-24;5264;798;4466
2013-12-25;5286;799;4487
2013-12-27;5296;801;4495
2013-12-28;5307;802;4505
2013-12-29;5320;803;4517
2013-12-31;5337;802;4535
2014-01-01;5359;803;4556
2014-01-02;5383;805;4578
2014-01-03;5407;808;4599
2014-01-05;5423;809;4614
2014-01-06;5449;809;4640
2014-01-07;5460;809;4651
2014-01-09;5484;810;4674
2014-01-10;5495;810;4685
2014-01-11;5501;811;4690
2014-01-12;5510;811;4699
2014-01-14;5524;811;4713
2014-01-15;5534;813;4721
2014-01-16;5550;815;4735
2014-01-18;5563;818;4745
2014-01-19;5571;820;4751
2014-01-20;5583;824;4759
2014-01-22;5598;825;4773
2014-01-23;5607;825;4782
2014-01-24;5615;825;4790
2014-01-25;5634;825;4809
2014-01-26;5674;824;4850
2014-01-28;5718;826;4892
2014-01-30;5785;826;4959
2014-01-31;5822;826;4996
2014-02-01;5841;826;5015
2014-02-02;5857;827;5030
2014-02-03;5882;828;5054
2014-02-04;5909;830;5079
2014-02-05;5914;830;5084
2014-02-06;5936;830;5106
2014-02-07;5956;830;5126
2014-02-08;5966;832;5134
2014-02-09;5974;833;5141
2014-02-10;5979;835;5144
2014-02-11;5989;835;5154
2014-02-12;5993;836;5157
2014-02-13;5998;838;5160
2014-02-14;6004;839;5165
2014-02-15;6011;839;5172
2014-02-16;6017;838;5179
2014-02-17;6025;838;5187
2014-02-18;6028;839;5189
2014-02-19;6024;836;5188
2014-02-20;6021;837;5184
2014-02-21;6039;841;5198
2014-02-22;6053;845;5208
2014-02-23;6067;845;5222
2014-02-24;6074;844;5230
2014-02-25;6079;846;5233
2014-02-26;6084;848;5236
2014-02-27;6084;848;5236
2014-02-28;6088;848;5240
2014-03-01;6086;847;5239
2014-03-02;6094;848;5246
2014-03-03;6099;849;5250
2014-03-04;6104;851;5253
2014-03-05;6110;850;5260
2014-03-06;6112;850;5262
2014-03-07;6121;850;5271
2014-03-08;6128;850;5278
2014-03-09;6134;849;5285
2014-03-10;6141;849;5292
2014-03-11;6141;848;5293
2014-03-12;6145;849;5296
2014-03-13;6152;849;5303
2014-03-14;6149;851;5298
2014-03-15;6150;848;5302
2014-03-16;6157;849;5308
2014-03-17;6166;849;5317
2014-03-18;6167;849;5318
2014-03-19;6174;850;5324
2014-03-20;6179;853;5326
2014-03-21;6184;853;5331
2014-03-22;6186;853;5333
2014-03-23;6191;854;5337
2014-03-24;6195;848;5347
2014-03-25;6204;848;5356
2014-03-26;6207;849;5358
2014-03-27;6212;849;5363
2014-03-28;6216;850;5366
2014-03-29;6221;851;5370
2014-03-30;6221;853;5368
2014-03-31;6225;853;5372
2014-04-01;6224;853;5371
2014-04-02;6222;852;5370
2014-04-03;6226;854;5372
2014-04-04;6234;856;5378
2014-04-05;6235;857;5378
2014-04-06;6245;858;5387
2014-04-07;6252;858;5394
2014-04-08;6259;858;5401
2014-04-09;6268;859;5409
2014-04-10;6268;859;5409
2014-04-11;6273;859;5414
2014-04-12;6279;861;5418
2014-04-13;6298;862;5436
2014-04-14;6303;861;5442
2014-04-15;6312;861;5451
2014-04-16;6309;855;5454
2014-04-17;6317;855;5462
2014-04-18;6326;855;5471
2014-04-19;6330;860;5470
2014-04-20;6336;862;5474
2014-04-21;6351;864;5487
2014-04-22;6363;866;5497
2014-04-23;6387;865;5522
2014-04-24;6401;863;5538
2014-04-25;6393;864;5529
2014-04-26;6394;865;5529
2014-04-27;6398;865;5533
2014-04-28;6402;864;5538
2014-04-29;6410;865;5545
2014-04-30;6420;865;5555
2014-05-01;6427;865;5562
2014-05-02;6444;866;5578
2014-05-03;6444;865;5579
2014-05-04;6446;864;5582
2014-05-05;6449;864;5585