date;followers;following;fans
2013-08-04;5033;4018;1015
2013-08-06;5047;4034;1013
2013-08-08;5051;4034;1017
2013-08-10;5078;4033;1045
2013-08-12;5108;4040;1068
2013-08-14;5133;4103;1030
2013-08-16;5170;4106;1064
2013-08-18;5234;4117;1117
2013-08-20;5254;4071;1183
2013-08-22;5246;4011;1235
2013-08-24;5283;4077;1206
2013-08-26;5353;4139;1214
2013-08-28;5380;4134;1246
2013-08-30;5426;4105;1321
2013-09-01;5555;4352;1203
2013-09-03;5662;4353;1309
2013-09-05;5737;4422;1315
2013-09-07;5834;4500;1334
2013-09-09;5843;4514;1329
2013-09-11;5855;4524;1331
2013-09-13;5873;4552;1321
2013-09-15;5882;4569;1313
2013-09-17;5887;4586;1301
2013-09-19;5891;4555;1336
2013-09-21;5897;4555;1342
2013-09-23;5876;4533;1343
2013-09-25;5885;4544;1341
2013-09-27;5874;4539;1335
2013-09-29;5867;4534;1333
2013-10-01;5861;4533;1328
2013-10-03;5856;4529;1327
2013-10-05;5860;4438;1422
2013-10-07;5840;4424;1416
2013-10-09;5853;4438;1415
2013-10-11;5846;4437;1409
2013-10-13;5841;4422;1419
2013-10-15;5849;4431;1418
2013-10-17;5839;4423;1416
2013-10-19;5833;4424;1409
2013-10-21;5823;4415;1408
2013-10-23;5823;4399;1424
2013-10-25;5822;4394;1428
2013-10-27;5825;4397;1428
2013-10-28;5816;4394;1422
2013-10-31;5818;4434;1384
2013-11-02;5820;4435;1385
2013-11-04;5808;4427;1381
2013-11-06;5812;4429;1383
2013-11-08;5801;4423;1378
2013-11-10;5807;4427;1380
2013-11-12;5795;4418;1377
2013-11-14;5793;4417;1376
2013-11-16;5785;4412;1373
2013-11-18;5774;4404;1370
2013-11-20;5778;4409;1369
2013-11-22;5777;4408;1369
2013-11-23;5765;4405;1360
2013-11-26;5763;4405;1358
2013-11-28;5747;4398;1349
2013-11-30;5749;4402;1347
2013-12-02;5747;4402;1345
2013-12-04;5751;4411;1340
2013-12-06;5745;4411;1334
2013-12-08;5741;4412;1329
2013-12-10;5734;4410;1324
2013-12-12;5723;4409;1314
2013-12-14;5722;4410;1312
2013-12-16;5718;4409;1309
2013-12-18;5715;4412;1303
2013-12-20;5715;4409;1306
2013-12-22;5706;4403;1303
2013-12-24;5701;4403;1298
2013-12-26;5699;4402;1297
2013-12-28;5694;4400;1294
2013-12-30;5691;4398;1293
2014-01-01;5693;4405;1288
2014-01-03;5691;4406;1285
2014-01-05;5682;4402;1280
2014-01-07;5683;4407;1276
2014-01-09;5678;4406;1272
2014-01-11;5672;4407;1265
2014-01-13;5659;4400;1259
2014-01-15;5661;4406;1255
2014-01-17;5659;4407;1252
2014-01-19;5650;4402;1248
2014-01-21;5649;4402;1247
2014-01-23;5650;4403;1247
2014-01-25;5648;4402;1246
2014-01-27;5635;4393;1242
2014-01-29;5635;4398;1237
2014-02-01;5630;4395;1235
2014-02-03;5617;4389;1228
2014-02-05;5618;4395;1223
2014-02-07;5616;4394;1222
2014-02-09;5612;4391;1221
2014-02-11;5609;4393;1216
2014-02-13;5608;4391;1217
2014-02-15;5601;4387;1214
2014-02-17;5598;4384;1214
2014-02-19;5598;4387;1211
2014-02-21;5597;4385;1212
2014-02-23;5593;4384;1209
2014-02-25;5594;4386;1208
2014-02-27;5592;4382;1210
2014-03-01;5598;4388;1210
2014-03-03;5596;4386;1210
2014-03-05;5594;4385;1209
2014-03-07;5591;4384;1207
2014-03-09;5584;4379;1205
2014-03-11;5582;4375;1207
2014-03-13;5580;4374;1206
2014-03-15;5580;4375;1205
2014-03-17;5578;4375;1203
2014-03-19;5573;4374;1199
2014-03-21;5570;4372;1198
2014-03-23;5576;4377;1199
2014-03-25;5570;4377;1193
2014-03-27;5570;4374;1196
2014-03-29;5568;4374;1194
2014-03-31;5565;4371;1194
2014-04-02;5569;4374;1195
2014-04-04;5564;4372;1192
2014-04-06;5559;4371;1188
2014-04-08;5558;4372;1186
2014-04-10;5554;4373;1181
2014-04-12;5549;4368;1181
2014-04-14;5550;4375;1175
2014-04-16;5554;4380;1174
2014-04-18;5551;4378;1173
2014-04-20;5552;4379;1173
2014-04-22;5553;4381;1172
2014-04-24;5547;4378;1169
2014-04-26;5545;4374;1171
2014-04-28;5541;4374;1167
2014-04-30;5538;4373;1165
2014-05-02;5535;4374;1161
2014-05-04;5536;4375;1161