date;followers;following;fans
2013-11-14;3152;636;2516
2013-11-15;3148;655;2493
2013-11-17;3145;655;2490
2013-11-19;3130;679;2451
2013-11-21;3121;690;2431
2013-11-23;3115;690;2425
2013-11-26;3102;697;2405
2013-11-28;3094;697;2397
2013-11-30;3086;696;2390
2013-12-02;3073;694;2379
2013-12-04;3063;693;2370
2013-12-06;3054;698;2356
2013-12-08;3054;699;2355
2013-12-10;3045;699;2346
2013-12-12;3036;699;2337
2013-12-13;3035;698;2337
2013-12-16;3024;698;2326
2013-12-18;3019;699;2320
2013-12-20;3016;699;2317
2013-12-22;3004;698;2306
2013-12-24;2996;699;2297
2013-12-26;2992;699;2293
2013-12-28;2987;701;2286
2013-12-30;2982;701;2281
2014-01-01;2979;701;2278
2014-01-03;2971;701;2270
2014-01-05;2966;702;2264
2014-01-07;2962;702;2260
2014-01-09;2954;706;2248
2014-01-11;2947;706;2241
2014-01-13;2944;706;2238
2014-01-15;2938;706;2232
2014-01-17;2925;706;2219
2014-01-19;2924;706;2218
2014-01-21;2918;706;2212
2014-01-23;2917;705;2212
2014-01-25;2915;707;2208
2014-01-27;2911;711;2200
2014-01-29;2909;711;2198
2014-02-01;2905;711;2194
2014-02-03;2903;711;2192
2014-02-04;2898;711;2187
2014-02-07;2890;709;2181
2014-02-09;2890;709;2181
2014-02-11;2894;715;2179
2014-02-13;2887;717;2170
2014-02-15;2881;715;2166
2014-02-17;2878;715;2163
2014-02-19;2872;716;2156
2014-02-21;2869;717;2152
2014-02-23;2865;716;2149
2014-02-25;2858;716;2142
2014-02-27;2858;716;2142
2014-03-01;2858;715;2143
2014-03-03;2853;716;2137
2014-03-05;2851;716;2135
2014-03-07;2848;716;2132
2014-03-09;2842;716;2126
2014-03-11;2834;712;2122
2014-03-13;2835;715;2120
2014-03-15;2819;715;2104
2014-03-17;2818;715;2103
2014-03-19;2814;715;2099
2014-03-21;2811;722;2089
2014-03-23;2810;723;2087
2014-03-25;2805;723;2082
2014-03-27;2796;723;2073
2014-03-29;2790;724;2066
2014-03-31;2786;724;2062
2014-04-02;2783;724;2059
2014-04-04;2782;728;2054
2014-04-06;2780;728;2052
2014-04-08;2776;728;2048
2014-04-10;2776;727;2049
2014-04-12;2771;726;2045
2014-04-14;2771;726;2045
2014-04-16;2770;726;2044
2014-04-18;2764;721;2043
2014-04-20;2761;722;2039
2014-04-22;2762;723;2039
2014-04-24;2758;723;2035
2014-04-26;2757;723;2034
2014-04-28;2756;724;2032
2014-04-30;2757;724;2033
2014-05-02;2757;724;2033
2014-05-04;2754;725;2029