date;followers;following;fans
2013-04-18;2284;830;1454
2013-04-20;2288;830;1458
2013-04-22;2290;830;1460
2013-04-24;2291;830;1461
2013-04-26;2294;830;1464
2013-04-28;2299;830;1469
2013-04-30;2300;830;1470
2013-05-02;2302;830;1472
2013-05-04;2304;830;1474
2013-05-06;2305;830;1475
2013-05-08;2306;829;1477
2013-05-10;2308;829;1479
2013-05-12;2287;819;1468
2013-05-14;2303;824;1479
2013-05-16;2318;825;1493
2013-05-18;2334;830;1504
2013-05-20;2337;830;1507
2013-05-22;2341;830;1511
2013-05-24;2341;830;1511
2013-05-26;2337;829;1508
2013-05-28;2343;829;1514
2013-05-30;2345;829;1516
2013-06-01;2347;829;1518
2013-06-03;2350;829;1521
2013-06-05;2352;829;1523
2013-06-07;2351;829;1522
2013-06-09;2351;829;1522
2013-06-11;2356;829;1527
2013-06-20;2358;832;1526
2013-06-22;2357;832;1525
2013-06-24;2357;832;1525
2013-06-26;2360;832;1528
2013-06-28;2359;833;1526
2013-06-30;2360;833;1527
2013-07-02;2362;833;1529
2013-07-04;2369;833;1536
2013-07-06;2371;833;1538
2013-07-08;2376;833;1543
2013-07-10;2377;833;1544
2013-07-12;2376;833;1543
2013-07-14;2376;833;1543
2013-07-16;2376;833;1543
2013-07-18;2381;833;1548
2013-07-20;2381;833;1548
2013-07-22;2381;833;1548
2013-07-24;2383;833;1550
2013-07-26;2387;833;1554
2013-07-28;2384;831;1553
2013-07-30;2385;832;1553
2013-08-01;2390;832;1558
2013-08-03;2393;833;1560
2013-08-05;2394;833;1561
2013-08-07;2398;833;1565
2013-08-09;2403;834;1569
2013-08-11;2406;834;1572
2013-08-13;2407;834;1573
2013-08-15;2409;834;1575
2013-08-17;2410;834;1576
2013-08-19;2413;834;1579
2013-08-21;2416;833;1583
2013-08-23;2415;833;1582
2013-08-25;2418;833;1585
2013-08-27;2421;833;1588
2013-08-29;2424;833;1591
2013-08-31;2426;833;1593
2013-09-02;2427;833;1594
2013-09-04;2428;833;1595
2013-09-06;2435;833;1602
2013-09-08;2434;832;1602
2013-09-10;2438;833;1605
2013-09-12;2442;833;1609
2013-09-14;2442;833;1609
2013-09-16;2442;833;1609
2013-09-18;2445;833;1612
2013-09-20;2449;833;1616
2013-09-22;2451;833;1618
2013-09-24;2450;833;1617
2013-09-26;2454;833;1621
2013-09-28;2456;833;1623
2013-09-29;2457;833;1624
2013-10-02;2458;833;1625
2013-10-04;2462;833;1629
2013-10-06;2466;833;1633
2013-10-08;2465;833;1632
2013-10-10;2469;833;1636
2013-10-12;2472;833;1639
2013-10-14;2474;833;1641
2013-10-16;2477;832;1645
2013-10-18;2475;832;1643
2013-10-20;2477;832;1645
2013-10-22;2478;832;1646
2013-10-24;2485;832;1653
2013-10-26;2483;831;1652
2013-10-28;2483;831;1652
2013-10-30;2487;832;1655
2013-11-01;2494;833;1661
2013-11-03;2495;833;1662
2013-11-05;2495;833;1662
2013-11-07;2496;833;1663
2013-11-09;2499;833;1666
2013-11-11;2497;833;1664
2013-11-13;2497;833;1664
2013-11-15;2499;834;1665
2013-11-17;2499;834;1665
2013-11-19;2499;836;1663
2013-11-21;2501;836;1665
2013-11-23;2503;836;1667
2013-11-25;2504;836;1668
2013-11-27;2507;836;1671
2013-11-29;2508;836;1672
2013-12-01;2506;836;1670
2013-12-03;2507;836;1671
2013-12-05;2508;836;1672
2013-12-07;2509;837;1672
2013-12-09;2509;837;1672
2013-12-11;2509;837;1672
2013-12-13;2509;837;1672
2013-12-15;2511;837;1674
2013-12-17;2513;837;1676
2013-12-19;2514;837;1677
2013-12-21;2515;837;1678
2013-12-23;2516;837;1679
2013-12-25;2518;837;1681
2013-12-27;2519;837;1682
2013-12-29;2523;837;1686
2013-12-31;2524;837;1687
2014-01-02;2526;837;1689
2014-01-04;2527;837;1690
2014-01-06;2528;837;1691
2014-01-08;2530;837;1693
2014-01-10;2529;837;1692
2014-01-12;2528;837;1691
2014-01-14;2527;837;1690
2014-01-16;2526;837;1689
2014-01-18;2530;837;1693
2014-01-20;2532;837;1695
2014-01-22;2532;837;1695
2014-01-24;2535;837;1698
2014-01-26;2536;837;1699
2014-01-28;2536;837;1699
2014-01-30;2537;837;1700
2014-02-01;2541;837;1704
2014-02-03;2544;837;1707
2014-02-05;2546;837;1709
2014-02-07;2546;836;1710
2014-02-09;2547;836;1711
2014-02-11;2547;835;1712
2014-02-13;2548;835;1713
2014-02-15;2550;835;1715
2014-02-17;2552;835;1717
2014-02-19;2555;835;1720
2014-02-21;2553;835;1718
2014-02-23;2554;835;1719
2014-02-25;2552;835;1717
2014-02-27;2555;835;1720
2014-03-01;2553;835;1718
2014-03-03;2552;835;1717
2014-03-05;2554;835;1719
2014-03-07;2557;835;1722
2014-03-09;2557;835;1722
2014-03-11;2557;835;1722
2014-03-13;2558;835;1723
2014-03-15;2560;835;1725
2014-03-17;2561;835;1726
2014-03-19;2562;835;1727
2014-03-21;2565;835;1730
2014-03-23;2565;835;1730
2014-03-25;2566;835;1731
2014-03-27;2566;835;1731
2014-03-29;2566;835;1731
2014-03-31;2566;835;1731
2014-04-02;2566;835;1731
2014-04-04;2568;836;1732
2014-04-06;2568;836;1732
2014-04-08;2569;836;1733
2014-04-10;2566;836;1730
2014-04-12;2565;836;1729
2014-04-14;2565;836;1729
2014-04-16;2566;836;1730
2014-04-18;2564;834;1730
2014-04-20;2564;835;1729
2014-04-22;2564;836;1728
2014-04-24;2561;836;1725
2014-04-26;2560;836;1724
2014-04-28;2561;836;1725
2014-04-30;2561;836;1725
2014-05-02;2556;837;1719
2014-05-04;2560;837;1723