date;followers;following;fans
2013-04-17;3549;475;3074
2013-04-18;3549;475;3074
2013-04-19;3551;475;3076
2013-04-20;3540;476;3064
2013-04-21;3538;476;3062
2013-04-22;3538;476;3062
2013-04-23;3536;476;3060
2013-04-24;3536;476;3060
2013-04-25;3536;477;3059
2013-04-27;3538;476;3062
2013-04-28;3537;475;3062
2013-04-29;3536;474;3062
2013-04-30;3537;474;3063
2013-05-01;3536;474;3062
2013-05-02;3538;474;3064
2013-05-03;3534;474;3060
2013-05-04;3531;475;3056
2013-05-05;3534;476;3058
2013-05-07;3536;476;3060
2013-05-08;3539;476;3063
2013-05-09;3543;476;3067
2013-05-10;3542;475;3067
2013-05-11;3533;475;3058
2013-05-12;3533;475;3058
2013-05-13;3536;475;3061
2013-05-14;3541;476;3065
2013-05-15;3544;478;3066
2013-05-17;3545;479;3066
2013-05-18;3547;479;3068
2013-05-19;3548;479;3069
2013-05-20;3548;479;3069
2013-05-21;3548;477;3071
2013-05-22;3547;476;3071
2013-05-23;3546;476;3070
2013-05-24;3550;476;3074
2013-05-25;3551;476;3075
2013-05-27;3551;476;3075
2013-05-28;3550;476;3074
2013-05-29;3555;476;3079
2013-05-30;3553;477;3076
2013-05-31;3551;478;3073
2013-06-01;3551;477;3074
2013-06-02;3554;477;3077
2013-06-03;3555;479;3076
2013-06-04;3561;480;3081
2013-06-06;3563;481;3082
2013-06-07;3565;482;3083
2013-06-08;3566;482;3084
2013-06-09;3566;482;3084
2013-06-10;3566;482;3084
2013-06-11;3567;482;3085
2013-06-20;3566;486;3080
2013-06-21;3566;486;3080
2013-06-22;3567;487;3080
2013-06-23;3567;486;3081
2013-06-24;3570;488;3082
2013-06-26;3572;492;3080
2013-06-27;3572;492;3080
2013-06-28;3571;492;3079
2013-06-29;3569;492;3077
2013-06-30;3572;492;3080
2013-07-01;3574;492;3082
2013-07-02;3573;493;3080
2013-07-04;3573;493;3080
2013-07-05;3573;493;3080
2013-07-06;3572;494;3078
2013-07-07;3573;494;3079
2013-07-08;3577;494;3083
2013-07-09;3580;494;3086
2013-07-10;3582;494;3088
2013-07-11;3582;494;3088
2013-07-13;3583;498;3085
2013-07-14;3582;497;3085
2013-07-15;3582;496;3086
2013-07-16;3581;497;3084
2013-07-17;3577;497;3080
2013-07-18;3580;496;3084
2013-07-19;3581;496;3085
2013-07-20;3566;496;3070
2013-07-21;3566;496;3070
2013-07-23;3566;496;3070
2013-07-24;3562;498;3064
2013-07-25;3562;498;3064
2013-07-26;3563;501;3062
2013-07-27;3562;502;3060
2013-07-28;3560;501;3059
2013-07-29;3558;501;3057
2013-07-31;3559;501;3058
2013-08-01;3557;501;3056
2013-08-02;3558;499;3059
2013-08-03;3557;499;3058
2013-08-04;3560;499;3061
2013-08-05;3559;499;3060
2013-08-06;3559;499;3060
2013-08-07;3557;499;3058
2013-08-09;3565;499;3066
2013-08-10;3566;499;3067
2013-08-11;3567;499;3068
2013-08-12;3566;499;3067
2013-08-13;3564;499;3065
2013-08-14;3564;499;3065
2013-08-15;3565;500;3065
2013-08-17;3564;500;3064
2013-08-18;3563;499;3064
2013-08-19;3564;499;3065
2013-08-20;3563;500;3063
2013-08-21;3563;500;3063
2013-08-22;3564;499;3065
2013-08-24;3565;500;3065
2013-08-25;3563;501;3062
2013-08-26;3561;502;3059
2013-08-27;3559;502;3057
2013-08-28;3557;502;3055
2013-08-29;3558;502;3056
2013-08-30;3559;502;3057
2013-09-01;3558;502;3056
2013-09-02;3556;502;3054
2013-09-03;3557;502;3055
2013-09-04;3555;505;3050
2013-09-05;3555;508;3047
2013-09-06;3552;512;3040
2013-09-08;3551;512;3039
2013-09-09;3553;513;3040
2013-09-10;3553;516;3037
2013-09-11;3553;516;3037
2013-09-12;3552;516;3036
2013-09-13;3551;517;3034
2013-09-15;3554;517;3037
2013-09-16;3558;517;3041
2013-09-17;3558;517;3041
2013-09-18;3559;516;3043
2013-09-19;3559;516;3043
2013-09-20;3559;515;3044
2013-09-22;3555;515;3040
2013-09-23;3554;515;3039
2013-09-24;3555;515;3040
2013-09-25;3556;515;3041
2013-09-26;3556;515;3041
2013-09-27;3557;515;3042
2013-09-29;3559;515;3044
2013-09-30;3561;513;3048
2013-10-01;3562;513;3049
2013-10-02;3562;512;3050
2013-10-03;3564;514;3050
2013-10-05;3570;517;3053
2013-10-06;3570;516;3054
2013-10-07;3570;517;3053
2013-10-08;3570;517;3053
2013-10-09;3572;517;3055
2013-10-11;3573;517;3056
2013-10-12;3576;517;3059
2013-10-13;3573;518;3055
2013-10-14;3574;519;3055
2013-10-15;3576;522;3054
2013-10-17;3576;523;3053
2013-10-18;3576;525;3051
2013-10-19;3577;530;3047
2013-10-20;3577;530;3047
2013-10-21;3574;531;3043
2013-10-23;3573;531;3042
2013-10-24;3572;531;3041
2013-10-25;3574;532;3042
2013-10-26;3578;535;3043
2013-10-27;3578;535;3043
2013-10-28;3579;534;3045
2013-10-30;3577;534;3043
2013-10-31;3576;533;3043
2013-11-01;3578;525;3053
2013-11-02;3576;525;3051
2013-11-03;3576;525;3051
2013-11-05;3575;525;3050
2013-11-06;3574;526;3048
2013-11-07;3574;526;3048
2013-11-08;3573;525;3048
2013-11-10;3573;526;3047
2013-11-11;3575;526;3049
2013-11-12;3577;525;3052
2013-11-13;3576;525;3051
2013-11-14;3580;527;3053
2013-11-16;3582;527;3055
2013-11-17;3580;527;3053
2013-11-18;3581;527;3054
2013-11-19;3583;529;3054
2013-11-21;3584;529;3055
2013-11-22;3586;529;3057
2013-11-23;3585;529;3056
2013-11-24;3583;529;3054
2013-11-26;3583;529;3054
2013-11-27;3584;530;3054
2013-11-28;3586;530;3056
2013-11-29;3586;531;3055
2013-11-30;3587;530;3057
2013-12-02;3587;530;3057
2013-12-03;3589;530;3059
2013-12-04;3587;531;3056
2013-12-05;3589;531;3058
2013-12-07;3587;531;3056
2013-12-08;3589;531;3058
2013-12-09;3587;532;3055
2013-12-10;3585;531;3054
2013-12-12;3584;531;3053
2013-12-13;3584;532;3052
2013-12-14;3584;532;3052
2013-12-15;3582;534;3048
2013-12-17;3583;534;3049
2013-12-18;3581;534;3047
2013-12-19;3581;534;3047
2013-12-20;3577;534;3043
2013-12-22;3576;534;3042
2013-12-23;3576;534;3042
2013-12-24;3576;534;3042
2013-12-26;3576;534;3042
2013-12-27;3576;534;3042
2013-12-28;3577;534;3043
2013-12-29;3577;534;3043
2013-12-31;3578;536;3042
2014-01-01;3580;535;3045
2014-01-02;3580;535;3045
2014-01-03;3582;539;3043
2014-01-05;3583;539;3044
2014-01-06;3583;539;3044
2014-01-07;3583;540;3043
2014-01-09;3583;541;3042
2014-01-10;3584;543;3041
2014-01-11;3585;543;3042
2014-01-12;3585;544;3041
2014-01-14;3587;544;3043
2014-01-15;3587;544;3043
2014-01-16;3586;544;3042
2014-01-18;3585;544;3041
2014-01-19;3587;544;3043
2014-01-20;3587;545;3042
2014-01-21;3587;545;3042
2014-01-23;3588;544;3044
2014-01-24;3587;543;3044
2014-01-25;3585;543;3042
2014-01-26;3586;543;3043
2014-01-28;3586;543;3043
2014-01-30;3585;543;3042
2014-01-31;3583;543;3040
2014-02-01;3584;543;3041
2014-02-02;3585;543;3042
2014-02-04;3587;542;3045
2014-02-05;3589;542;3047
2014-02-06;3591;542;3049
2014-02-08;3593;543;3050
2014-02-09;3594;543;3051
2014-02-10;3594;543;3051
2014-02-12;3591;543;3048
2014-02-13;3590;543;3047
2014-02-14;3589;543;3046
2014-02-15;3591;543;3048
2014-02-17;3594;543;3051
2014-02-18;3593;543;3050
2014-02-20;3593;544;3049
2014-02-21;3594;543;3051
2014-02-22;3596;544;3052
2014-02-24;3598;544;3054
2014-02-25;3596;545;3051
2014-02-26;3590;545;3045
2014-02-28;3590;545;3045
2014-03-01;3592;547;3045
2014-03-02;3591;547;3044
2014-03-04;3592;550;3042
2014-03-05;3592;551;3041
2014-03-06;3594;551;3043
2014-03-08;3593;551;3042
2014-03-09;3593;552;3041
2014-03-10;3594;553;3041
2014-03-12;3593;552;3041
2014-03-13;3589;552;3037
2014-03-14;3588;552;3036
2014-03-16;3590;553;3037
2014-03-17;3587;552;3035
2014-03-19;3588;552;3036
2014-03-20;3590;552;3038
2014-03-21;3592;552;3040
2014-03-22;3589;554;3035
2014-03-24;3590;554;3036
2014-03-25;3591;554;3037
2014-03-26;3589;555;3034
2014-03-28;3588;555;3033
2014-03-29;3588;555;3033
2014-03-31;3587;555;3032
2014-04-01;3587;556;3031
2014-04-02;3586;556;3030
2014-04-04;3583;556;3027
2014-04-05;3586;557;3029
2014-04-06;3585;557;3028
2014-04-07;3583;557;3026
2014-04-09;3584;557;3027
2014-04-10;3588;557;3031
2014-04-12;3588;557;3031
2014-04-13;3585;558;3027
2014-04-14;3586;559;3027
2014-04-16;3584;559;3025
2014-04-17;3586;559;3027
2014-04-19;3588;555;3033
2014-04-20;3588;556;3032
2014-04-21;3588;556;3032
2014-04-23;3587;556;3031
2014-04-24;3587;556;3031
2014-04-25;3587;558;3029
2014-04-27;3587;558;3029
2014-04-28;3587;557;3030
2014-04-29;3588;557;3031
2014-05-01;3589;557;3032
2014-05-02;3589;557;3032
2014-05-04;3590;556;3034
2014-05-05;3590;556;3034