date;followers;following;fans
2013-04-18;2414;464;1950
2013-04-20;2417;464;1953
2013-04-22;2418;464;1954
2013-04-24;2420;464;1956
2013-04-26;2423;464;1959
2013-04-28;2424;464;1960
2013-04-30;2427;464;1963
2013-05-02;2429;464;1965
2013-05-04;2432;464;1968
2013-05-06;2437;465;1972
2013-05-08;2440;465;1975
2013-05-10;2441;465;1976
2013-05-12;2414;460;1954
2013-05-14;2414;459;1955
2013-05-16;2428;462;1966
2013-05-18;2434;463;1971
2013-05-20;2437;464;1973
2013-05-22;2438;464;1974
2013-05-24;2442;464;1978
2013-05-26;2440;463;1977
2013-05-28;2439;463;1976
2013-05-30;2447;463;1984
2013-06-01;2456;464;1992
2013-06-03;2457;464;1993
2013-06-05;2458;464;1994
2013-06-07;2459;464;1995
2013-06-09;2457;464;1993
2013-06-11;2457;463;1994
2013-06-20;2473;463;2010
2013-06-22;2475;463;2012
2013-06-24;2479;463;2016
2013-06-26;2482;463;2019
2013-06-28;2482;463;2019
2013-06-30;2482;463;2019
2013-07-02;2487;463;2024
2013-07-04;2487;463;2024
2013-07-06;2487;463;2024
2013-07-08;2486;462;2024
2013-07-10;2486;462;2024
2013-07-12;2489;462;2027
2013-07-14;2489;462;2027
2013-07-16;2488;462;2026
2013-07-18;2488;462;2026
2013-07-20;2486;462;2024
2013-07-22;2486;462;2024
2013-07-24;2490;462;2028
2013-07-26;2493;462;2031
2013-07-28;2492;459;2033
2013-07-30;2492;459;2033
2013-08-01;2493;459;2034
2013-08-03;2494;459;2035
2013-08-05;2495;459;2036
2013-08-07;2495;459;2036
2013-08-09;2502;460;2042
2013-08-11;2503;460;2043
2013-08-13;2503;460;2043
2013-08-15;2511;460;2051
2013-08-17;2512;460;2052
2013-08-19;2513;460;2053
2013-08-21;2514;460;2054
2013-08-23;2515;460;2055
2013-08-25;2516;460;2056
2013-08-27;2517;460;2057
2013-08-29;2514;460;2054
2013-08-31;2515;460;2055
2013-09-02;2514;459;2055
2013-09-04;2519;459;2060
2013-09-06;2521;459;2062
2013-09-08;2519;458;2061
2013-09-10;2521;459;2062
2013-09-12;2529;459;2070
2013-09-14;2531;459;2072
2013-09-16;2532;460;2072
2013-09-18;2538;460;2078
2013-09-20;2536;460;2076
2013-09-22;2534;460;2074
2013-09-24;2533;460;2073
2013-09-26;2535;460;2075
2013-09-28;2534;460;2074
2013-09-30;2536;460;2076
2013-10-02;2538;460;2078
2013-10-04;2538;460;2078
2013-10-06;2541;460;2081
2013-10-08;2543;460;2083
2013-10-10;2545;460;2085
2013-10-12;2545;460;2085
2013-10-14;2547;460;2087
2013-10-16;2547;460;2087
2013-10-18;2552;460;2092
2013-10-20;2554;460;2094
2013-10-22;2555;460;2095
2013-10-24;2557;460;2097
2013-10-26;2557;460;2097
2013-10-28;2557;460;2097
2013-10-30;2561;460;2101
2013-11-01;2562;460;2102
2013-11-03;2565;460;2105
2013-11-05;2567;459;2108
2013-11-07;2572;459;2113
2013-11-09;2572;459;2113
2013-11-11;2575;459;2116
2013-11-13;2577;459;2118
2013-11-15;2581;459;2122
2013-11-17;2585;459;2126
2013-11-19;2587;459;2128
2013-11-21;2591;459;2132
2013-11-23;2593;459;2134
2013-11-25;2595;459;2136
2013-11-27;2605;458;2147
2013-11-29;2604;458;2146
2013-12-01;2606;458;2148
2013-12-03;2608;458;2150
2013-12-05;2615;459;2156
2013-12-07;2618;459;2159
2013-12-09;2623;459;2164
2013-12-11;2624;459;2165
2013-12-13;2626;459;2167
2013-12-15;2627;459;2168
2013-12-17;2631;459;2172
2013-12-19;2630;459;2171
2013-12-21;2631;459;2172
2013-12-23;2634;459;2175
2013-12-25;2638;459;2179
2013-12-27;2636;459;2177
2013-12-29;2640;459;2181
2013-12-31;2640;459;2181
2014-01-02;2642;459;2183
2014-01-04;2646;459;2187
2014-01-06;2649;459;2190
2014-01-08;2652;459;2193
2014-01-10;2654;459;2195
2014-01-12;2655;459;2196
2014-01-14;2656;459;2197
2014-01-16;2659;459;2200
2014-01-18;2665;459;2206
2014-01-20;2666;459;2207
2014-01-22;2671;459;2212
2014-01-24;2673;459;2214
2014-01-26;2676;459;2217
2014-01-28;2677;459;2218
2014-01-30;2683;459;2224
2014-02-01;2687;459;2228
2014-02-03;2686;459;2227
2014-02-05;2688;459;2229
2014-02-07;2691;459;2232
2014-02-09;2692;459;2233
2014-02-11;2693;459;2234
2014-02-13;2696;459;2237
2014-02-15;2701;459;2242
2014-02-17;2697;459;2238
2014-02-19;2697;459;2238
2014-02-21;2703;459;2244
2014-02-23;2712;459;2253
2014-02-25;2712;459;2253
2014-02-27;2715;459;2256
2014-03-01;2715;459;2256
2014-03-03;2719;459;2260
2014-03-05;2725;459;2266
2014-03-07;2734;459;2275
2014-03-09;2736;459;2277
2014-03-11;2750;459;2291
2014-03-13;2755;459;2296
2014-03-15;2756;459;2297
2014-03-17;2761;459;2302
2014-03-19;2768;459;2309
2014-03-21;2772;459;2313
2014-03-23;2774;459;2315
2014-03-25;2777;459;2318
2014-03-27;2783;459;2324
2014-03-29;2783;459;2324
2014-03-31;2787;459;2328
2014-04-02;2787;459;2328
2014-04-04;2790;460;2330
2014-04-06;2793;460;2333
2014-04-08;2794;460;2334
2014-04-10;2799;460;2339
2014-04-12;2804;460;2344
2014-04-14;2807;460;2347
2014-04-16;2809;460;2349
2014-04-18;2812;460;2352
2014-04-20;2812;460;2352
2014-04-22;2812;460;2352
2014-04-24;2814;460;2354
2014-04-26;2817;471;2346
2014-04-28;2818;471;2347
2014-04-30;2820;470;2350
2014-05-02;2820;470;2350
2014-05-04;2824;470;2354