date;followers;following;fans
2013-10-09;1458;454;1004
2013-10-11;1462;454;1008
2013-10-13;1465;454;1011
2013-10-15;1474;455;1019
2013-10-17;1483;454;1029
2013-10-19;1491;455;1036
2013-10-21;1493;454;1039
2013-10-23;1500;455;1045
2013-10-25;1507;455;1052
2013-10-27;1510;455;1055
2013-10-29;1513;456;1057
2013-10-31;1523;457;1066
2013-11-02;1530;458;1072
2013-11-04;1530;459;1071
2013-11-06;1536;457;1079
2013-11-08;1544;456;1088
2013-11-10;1550;457;1093
2013-11-12;1555;458;1097
2013-11-14;1563;459;1104
2013-11-16;1567;459;1108
2013-11-18;1567;459;1108
2013-11-20;1573;461;1112
2013-11-22;1582;461;1121
2013-11-24;1583;462;1121
2013-11-26;1593;462;1131
2013-11-28;1595;464;1131
2013-11-30;1601;465;1136
2013-12-02;1602;466;1136
2013-12-04;1606;467;1139
2013-12-06;1613;468;1145
2013-12-08;1618;469;1149
2013-12-10;1624;469;1155
2013-12-12;1630;469;1161
2013-12-14;1630;469;1161
2013-12-16;1635;469;1166
2013-12-18;1638;469;1169
2013-12-20;1640;470;1170
2013-12-22;1651;470;1181
2013-12-24;1652;470;1182
2013-12-26;1655;471;1184
2013-12-28;1664;473;1191
2013-12-30;1667;473;1194
2014-01-01;1673;474;1199
2014-01-03;1680;473;1207
2014-01-05;1681;474;1207
2014-01-07;1689;477;1212
2014-01-09;1693;477;1216
2014-01-11;1700;479;1221
2014-01-13;1704;479;1225
2014-01-15;1713;480;1233
2014-01-17;1718;481;1237
2014-01-19;1720;483;1237
2014-01-21;1722;483;1239
2014-01-23;1726;482;1244
2014-01-25;1739;483;1256
2014-01-27;1746;483;1263
2014-01-30;1763;484;1279
2014-02-01;1770;485;1285
2014-02-03;1776;486;1290
2014-02-05;1789;486;1303
2014-02-07;1797;487;1310
2014-02-09;1801;487;1314
2014-02-11;1804;487;1317
2014-02-13;1807;487;1320
2014-02-15;1816;487;1329
2014-02-17;1818;487;1331
2014-02-19;1825;487;1338
2014-02-21;1834;487;1347
2014-02-23;1834;487;1347
2014-02-25;1837;487;1350
2014-02-27;1844;487;1357
2014-03-01;1846;487;1359
2014-03-03;1850;487;1363
2014-03-05;1862;487;1375
2014-03-07;1863;487;1376
2014-03-09;1868;487;1381
2014-03-11;1876;487;1389
2014-03-13;1879;488;1391
2014-03-15;1887;488;1399
2014-03-17;1888;487;1401
2014-03-19;1897;489;1408
2014-03-21;1897;489;1408
2014-03-23;1906;490;1416
2014-03-25;1908;490;1418
2014-03-27;1911;491;1420
2014-03-29;1914;492;1422
2014-03-31;1917;492;1425
2014-04-02;1920;492;1428
2014-04-04;1925;493;1432
2014-04-06;1932;493;1439
2014-04-08;1937;493;1444
2014-04-10;1945;492;1453
2014-04-12;1953;493;1460
2014-04-14;1958;492;1466
2014-04-16;1961;493;1468
2014-04-18;1969;491;1478
2014-04-20;1975;491;1484
2014-04-22;1976;491;1485
2014-04-24;1976;491;1485
2014-04-26;1980;489;1491
2014-04-28;1988;489;1499
2014-04-30;1993;489;1504
2014-05-02;1998;489;1509
2014-05-04;2000;489;1511