date;followers;following;fans
2013-04-18;1060;18;1042
2013-04-20;1058;17;1041
2013-04-22;1058;37;1021
2013-04-24;1058;38;1020
2013-04-26;1056;19;1037
2013-04-28;1054;19;1035
2013-04-30;1054;19;1035
2013-05-02;1054;19;1035
2013-05-04;1052;19;1033
2013-05-06;1051;19;1032
2013-05-08;1050;19;1031
2013-05-10;1051;19;1032
2013-05-12;1048;19;1029
2013-05-14;1048;19;1029
2013-05-16;1045;19;1026
2013-05-18;1046;19;1027
2013-05-20;1046;19;1027
2013-05-22;1045;19;1026
2013-05-24;1043;19;1024
2013-05-26;1043;19;1024
2013-05-28;1043;19;1024
2013-05-30;1042;19;1023
2013-06-01;1042;19;1023
2013-06-03;1041;19;1022
2013-06-05;1041;19;1022
2013-06-07;1040;19;1021
2013-06-09;1039;20;1019
2013-06-11;1038;21;1017
2013-06-20;1037;21;1016
2013-06-22;1037;21;1016
2013-06-24;1033;21;1012
2013-06-26;1033;22;1011
2013-06-28;1032;23;1009
2013-06-30;1032;23;1009
2013-07-02;1031;23;1008
2013-07-04;1033;25;1008
2013-07-06;1033;25;1008
2013-07-08;1034;25;1009
2013-07-10;1032;25;1007
2013-07-12;1031;25;1006
2013-07-14;1075;26;1049
2013-07-16;1095;30;1065
2013-07-18;1145;28;1117
2013-07-20;1127;28;1099
2013-07-22;1116;29;1087
2013-07-24;1113;29;1084
2013-07-26;1108;30;1078
2013-07-28;1089;30;1059
2013-07-30;1087;30;1057
2013-08-01;1085;30;1055
2013-08-03;1083;30;1053
2013-08-05;1082;32;1050
2013-08-07;1082;32;1050
2013-08-09;1081;32;1049
2013-08-11;1079;34;1045
2013-08-13;1078;34;1044
2013-08-15;1076;34;1042
2013-08-17;1077;34;1043
2013-08-19;1075;34;1041
2013-08-21;1074;34;1040
2013-08-23;1074;34;1040
2013-08-25;1072;34;1038
2013-08-27;1072;34;1038
2013-08-29;1071;34;1037
2013-08-31;1072;34;1038
2013-09-02;1072;34;1038
2013-09-04;1072;35;1037
2013-09-06;1071;35;1036
2013-09-08;1070;35;1035
2013-09-10;1068;35;1033
2013-09-12;1069;35;1034
2013-09-14;1069;35;1034
2013-09-16;1065;35;1030
2013-09-18;1066;35;1031
2013-09-20;1066;35;1031
2013-09-22;1065;35;1030
2013-09-24;1062;35;1027
2013-09-26;1060;35;1025
2013-09-28;1060;36;1024
2013-09-30;1059;36;1023
2013-10-02;1058;36;1022
2013-10-04;1058;36;1022
2013-10-06;1057;36;1021
2013-10-08;1057;36;1021
2013-10-10;1057;36;1021
2013-10-12;1056;36;1020
2013-10-14;1057;47;1010
2013-10-16;1056;47;1009
2013-10-18;1056;47;1009
2013-10-20;1054;47;1007
2013-10-22;1053;47;1006
2013-10-24;1056;47;1009
2013-10-26;1057;47;1010
2013-10-28;1062;49;1013
2013-10-30;1060;49;1011
2013-11-01;1061;49;1012
2013-11-03;1061;51;1010
2013-11-05;1060;51;1009
2013-11-07;1058;51;1007
2013-11-09;1057;51;1006
2013-11-11;1059;51;1008
2013-11-13;1059;51;1008
2013-11-15;1058;51;1007
2013-11-17;1057;51;1006
2013-11-19;1060;54;1006
2013-11-21;1059;53;1006
2013-11-23;1059;54;1005
2013-11-25;1059;54;1005
2013-11-27;1060;54;1006
2013-11-29;1059;53;1006
2013-12-01;1059;53;1006
2013-12-03;1059;54;1005
2013-12-05;1058;54;1004
2013-12-07;1059;54;1005
2013-12-09;1059;54;1005
2013-12-11;1059;54;1005
2013-12-13;1059;54;1005
2013-12-15;1060;56;1004
2013-12-17;1059;56;1003
2013-12-19;1058;56;1002
2013-12-21;1057;57;1000
2013-12-27;1057;57;1000
2013-12-29;1057;57;1000
2013-12-31;1057;57;1000