date;followers;following;fans
2013-04-17;2599;721;1878
2013-04-20;2599;728;1871
2013-04-22;2598;728;1870
2013-04-24;2603;731;1872
2013-04-26;2603;735;1868
2013-04-28;2600;735;1865
2013-04-30;2600;735;1865
2013-05-02;2599;735;1864
2013-05-04;2597;736;1861
2013-05-06;2600;736;1864
2013-05-08;2603;738;1865
2013-05-10;2610;740;1870
2013-05-12;2607;741;1866
2013-05-14;2610;741;1869
2013-05-16;2612;744;1868
2013-05-18;2617;744;1873
2013-05-20;2618;744;1874
2013-05-22;2614;744;1870
2013-05-24;2611;745;1866
2013-05-26;2609;746;1863
2013-05-28;2610;746;1864
2013-05-30;2615;746;1869
2013-06-01;2614;746;1868
2013-06-03;2614;746;1868
2013-06-05;2613;746;1867
2013-06-07;2613;746;1867
2013-06-09;2615;747;1868
2013-06-11;2614;747;1867
2013-06-20;2610;748;1862
2013-06-22;2612;748;1864
2013-06-24;2615;748;1867
2013-06-26;2618;751;1867
2013-06-28;2618;751;1867
2013-06-30;2617;751;1866
2013-07-02;2618;751;1867
2013-07-04;2617;751;1866
2013-07-06;2616;752;1864
2013-07-08;2616;753;1863
2013-07-10;2613;753;1860
2013-07-12;2614;753;1861
2013-07-14;2616;753;1863
2013-07-16;2620;753;1867
2013-07-18;2621;754;1867
2013-07-20;2621;755;1866
2013-07-22;2619;754;1865
2013-07-24;2618;754;1864
2013-07-26;2619;754;1865
2013-07-28;2616;753;1863
2013-07-30;2619;754;1865
2013-08-01;2621;755;1866
2013-08-03;2621;756;1865
2013-08-05;2620;756;1864
2013-08-07;2621;756;1865
2013-08-09;2623;756;1867
2013-08-11;2625;756;1869
2013-08-13;2625;757;1868
2013-08-15;2626;757;1869
2013-08-17;2623;759;1864
2013-08-19;2622;759;1863
2013-08-21;2620;758;1862
2013-08-23;2621;758;1863
2013-08-25;2622;758;1864
2013-08-27;2623;758;1865
2013-08-29;2621;758;1863
2013-08-31;2622;758;1864
2013-09-02;2625;758;1867
2013-09-04;2624;758;1866
2013-09-06;2622;758;1864
2013-09-08;2623;758;1865
2013-09-10;2623;758;1865
2013-09-12;2623;758;1865
2013-09-14;2625;758;1867
2013-09-16;2627;758;1869
2013-09-18;2625;758;1867
2013-09-20;2624;760;1864
2013-09-22;2626;760;1866
2013-09-24;2628;760;1868
2013-09-26;2630;760;1870
2013-09-28;2630;760;1870
2013-09-30;2628;760;1868
2013-10-02;2627;761;1866
2013-10-04;2626;761;1865
2013-10-06;2627;761;1866
2013-10-08;2626;761;1865
2013-10-10;2632;762;1870
2013-10-12;2633;763;1870
2013-10-14;2635;763;1872
2013-10-16;2636;764;1872
2013-10-18;2636;764;1872
2013-10-20;2635;764;1871
2013-10-22;2635;766;1869
2013-10-24;2630;766;1864
2013-10-26;2629;766;1863
2013-10-28;2628;766;1862
2013-10-30;2631;766;1865
2013-11-01;2632;769;1863
2013-11-03;2631;769;1862
2013-11-05;2635;769;1866
2013-11-07;2635;813;1822
2013-11-09;2643;814;1829
2013-11-11;2645;817;1828
2013-11-13;2643;820;1823
2013-11-15;2641;821;1820
2013-11-17;2643;823;1820
2013-11-19;2641;823;1818
2013-11-21;2640;825;1815
2013-11-23;2640;828;1812
2013-11-25;2641;827;1814
2013-11-27;2638;827;1811
2013-11-29;2642;826;1816
2013-12-01;2641;826;1815
2013-12-03;2640;826;1814
2013-12-05;2640;826;1814
2013-12-07;2639;826;1813
2013-12-09;2635;825;1810
2013-12-11;2631;826;1805
2013-12-13;2631;826;1805
2013-12-15;2633;827;1806
2013-12-17;2636;830;1806
2013-12-19;2636;831;1805
2013-12-21;2640;831;1809
2013-12-23;2639;839;1800
2013-12-25;2642;840;1802
2013-12-27;2643;840;1803
2013-12-29;2644;843;1801
2013-12-31;2643;843;1800
2014-01-02;2643;843;1800
2014-01-04;2644;844;1800
2014-01-06;2643;845;1798
2014-01-08;2641;845;1796
2014-01-10;2642;845;1797
2014-01-12;2641;845;1796
2014-01-14;2641;845;1796
2014-01-16;2642;845;1797
2014-01-18;2640;845;1795
2014-01-20;2639;847;1792
2014-01-22;2638;847;1791
2014-01-24;2641;866;1775
2014-01-26;2646;867;1779
2014-01-28;2646;875;1771
2014-01-30;2646;875;1771
2014-02-01;2645;876;1769
2014-02-03;2644;877;1767
2014-02-05;2644;877;1767
2014-02-07;2644;881;1763
2014-02-09;2648;881;1767
2014-02-11;2646;883;1763
2014-02-13;2646;884;1762
2014-02-15;2654;898;1756
2014-02-17;2658;899;1759
2014-02-19;2655;902;1753
2014-02-21;2656;902;1754
2014-02-23;2659;904;1755
2014-02-25;2661;905;1756
2014-02-27;2663;909;1754
2014-03-01;2671;915;1756
2014-03-03;2685;935;1750
2014-03-05;2692;935;1757
2014-03-07;2694;941;1753
2014-03-09;2694;941;1753
2014-03-11;2695;941;1754
2014-03-13;2694;942;1752
2014-03-15;2693;943;1750
2014-03-17;2691;942;1749
2014-03-19;2694;944;1750
2014-03-21;2696;945;1751
2014-03-23;2698;946;1752
2014-03-25;2698;954;1744
2014-03-27;2698;958;1740
2014-03-29;2695;958;1737
2014-03-31;2695;958;1737
2014-04-02;2695;958;1737
2014-04-04;2694;958;1736
2014-04-06;2694;958;1736
2014-04-08;2701;972;1729
2014-04-10;2702;983;1719
2014-04-12;2705;983;1722
2014-04-14;2706;983;1723
2014-04-16;2710;983;1727
2014-04-18;2709;986;1723
2014-04-20;2708;990;1718
2014-04-22;2711;990;1721
2014-04-24;2708;990;1718
2014-04-26;2708;991;1717
2014-04-28;2708;991;1717
2014-04-30;2707;994;1713
2014-05-02;2708;994;1714
2014-05-04;2708;995;1713